"","Atleta","gamesPlayed","points_pg","price_pg","points_per_price"
"36443","36443",35,0,5,0
"36540","36540",35,0.425714285714286,10.9165714285714,0.0356590971597675
"36591","36591",35,0.142857142857143,3.31028571428571,0.0408163265306122
"36612","36612",35,3.72285714285714,26.162,0.137034554461375
"36650","36650",35,0.262857142857143,4.05342857142857,0.0609557417746883
"36790","36790",35,0.257142857142857,9.34428571428571,0.0234437137727428
"36802","36802",11,-0.436363636363636,12.4518181818182,-0.0380889510724724
"36856","36856",11,2.50545454545455,9.86545454545455,0.247510763101191
"36940","36940",21,3.42952380952381,10.9428571428571,0.30704574989357
"37085","37085",6,2.01,7.17,0.271464211393154
"37086","37086",4,0.5775,11.5675,0.0484057575477203
"37187","37187",21,2.78190476190476,10.2957142857143,0.268341642012721
"37245","37245",27,3.58259259259259,12.3951851851852,0.295570406580144
"37246","37246",25,3.0908,7.8596,0.386597580769496
"37281","37281",15,3.82866666666667,12.6673333333333,0.297051828346624
"37306","37306",31,2.20193548387097,5.75354838709677,0.368583498470937
"37604","37604",35,0.414285714285714,6.83742857142857,0.0497273928798836
"37607","37607",35,1.95142857142857,13.6837142857143,0.134205855967919
"37608","37608",35,0.58,9.50685714285714,0.0588473177401615
"37613","37613",34,0.0558823529411765,7.16529411764706,0.0089214536865761
"37623","37623",21,0.604761904761905,4.61142857142857,0.108938234404398
"37627","37627",35,0.697142857142857,5.58228571428571,0.112152518314574
"37633","37633",29,0.803448275862069,3.77827586206897,0.168931146797835
"37644","37644",35,4.76857142857143,19.8982857142857,0.229248382053756
"37652","37652",35,1.21142857142857,8.94485714285714,0.132039465051259
"37653","37653",15,2.54,16.434,0.150099973018579
"37654","37654",23,0.0869565217391304,5.07391304347826,0.0109448330162329
"37655","37655",35,0.688571428571429,8.52057142857143,0.0645563016602008
"37656","37656",35,3.13142857142857,12.6597142857143,0.222551337121437
"37657","37657",35,1.75714285714286,11.3402857142857,0.149478807341545
"37662","37662",12,0.791666666666667,7.8275,0.105083964761082
"37663","37663",35,1.94857142857143,4.35142857142857,0.37621913434696
"37673","37673",35,0.842857142857143,12.9037142857143,0.0598018786023979
"37674","37674",12,0.333333333333333,5.5275,0.0310627195456556
"37688","37688",21,1.35714285714286,10.6214285714286,0.114008287987022
"37694","37694",35,2.90285714285714,12.4445714285714,0.224221066769051
"37695","37695",35,0.171428571428571,2.70828571428571,0.00189238344539882
"37705","37705",21,2.3,5.12761904761905,0.346394963110375
"37718","37718",35,0.92,4.57942857142857,0.190001046548359
"37770","37770",35,2.51142857142857,17.7354285714286,0.141675047944443
"37781","37781",35,0.0857142857142857,6.59828571428571,0.00712098137271694
"37783","37783",7,0,6,0
"37784","37784",26,0.2,8.73846153846154,0.0188950278084199
"37790","37790",35,1.00285714285714,4.35371428571429,0.150738461651866
"37792","37792",32,0.46875,3.6390625,0.0888421294541814
"37837","37837",12,0.9,5.85916666666667,0.131866777135797
"37840","37840",21,1.80952380952381,9.28428571428571,0.178889191299471
"37851","37851",14,2.22857142857143,7.61214285714286,0.248946703326733
"37899","37899",35,2.52571428571429,19.6571428571429,0.116344939860318
"37917","37917",19,0.363157894736842,10.3789473684211,0.0350571037013179
"37919","37919",35,2.26,15.58,0.134746476802191
"37941","37941",35,1.03142857142857,12.3288571428571,0.080609859751025
"37958","37958",35,-0.177142857142857,8.02657142857143,-0.0261054508564679
"37984","37984",35,0,6,0
"37993","37993",35,0.151428571428571,5.06657142857143,0.0298460862321217
"38021","38021",35,1.82,9.79857142857143,0.177375001571275
"38032","38032",29,1.72758620689655,6.08724137931034,0.258937731368641
"38043","38043",35,0,4.02485714285714,0
"38055","38055",35,2.92571428571429,26.0394285714286,0.108318493050926
"38061","38061",35,0.128571428571429,3.64542857142857,0.0330832516667964
"38064","38064",8,0.8625,10.65375,0.0789522275325191
"38067","38067",35,0.314285714285714,6.96342857142857,0.0406856141081447
"38069","38069",35,0,10,0
"38074","38074",36,-0.430555555555556,0.893888888888889,-0.484754870563688
"38100","38100",35,3.10285714285714,12.6165714285714,0.235633375518533
"38108","38108",35,0.0314285714285714,6.84971428571429,-0.0168044127545179
"38138","38138",11,0.509090909090909,11.5490909090909,0.040226967580948
"38139","38139",21,2.88095238095238,6.42428571428571,0.368824051670159
"38140","38140",35,3.15142857142857,13.7434285714286,0.218614193324886
"38150","38150",35,0.442857142857143,14.1625714285714,0.0182251099806516
"38162","38162",35,2.69142857142857,24.5502857142857,0.103258643376903
"38178","38178",35,0.574285714285714,5.304,0.0804023938910536
"38186","38186",35,0.188571428571429,5.71457142857143,0.0354460061377463
"38187","38187",33,0.0363636363636364,9.81454545454545,0.0042932274337233
"38194","38194",35,0.86,7.89028571428571,0.0872133699677807
"38196","38196",35,1.11714285714286,5.398,0.184625965849197
"38219","38219",35,1.61428571428571,12.3094285714286,0.123229205766546
"38229","38229",6,5.2,16.235,0.295792023049213
"38246","38246",12,2.03333333333333,28.7908333333333,0.0693136856733904
"38247","38247",29,0.448275862068966,6.79586206896552,0.0620820900730522
"38278","38278",36,-0.0305555555555556,0.996111111111111,-0.0619892275381594
"38279","38279",35,0.342857142857143,8.45857142857143,0.0281328440491868
"38287","38287",23,0.547826086956522,12.2939130434783,0.039710479306371
"38311","38311",35,1.86,7.21628571428571,0.244091849203518
"38315","38315",35,5.04571428571429,18.4805714285714,0.259806800422434
"38365","38365",35,0.454285714285714,5.728,0.0723248508744314
"38394","38394",35,1.67714285714286,11.6085714285714,0.137838234095679
"38398","38398",35,2.92,12.518,0.219812584840702
