"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"0.74","1.41","0.06","265","76","88","266","0.62","1.55","1"
"1.07","1.84","0.98","262","89","68","267","-0.02","1.21","0.82"
"1.2","1.46","0.81","276","70","69","275","0.78","1.42","1.21"
"1.28","1.16","0.58","284","63","67","277","0.73","1.42","1.17"
"0.55","1.79","-0.03","290","86","98","282","0.98","2.18","0.91"
"1.36","0.74","0","293","32","61","285","1.25","1.28","1.87"
"1.09","1.05","0.18","263","62","60","292","0.09","0.98","1.09"
"1.66","1.08","0.84","356","68","36","294","-0.53","0.73","0.95"
"1.06","1.05","0.15","264","67","63","354","0","1.06","0.94"
"0.85","1.13","-0.06","280","68","65","373","-0.17","0.89","1"
