"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"0.85","0.81","-0.54","356","81","81","266","0.76","1.41","1.2"
"0.7","1.11","-0.36","290","49","49","267","-0.41","0.96","0.78"
"0.97","1.82","0.82","262","81","81","276","0.6","1.44","1.05"
"1.01","1.41","0.51","284","49","49","280","0.98","1.28","1.55"
"1.19","1.15","0.44","275","81","81","282","0.82","1.6","1.11"
"1.16","1.1","0.35","264","49","49","285","1.02","1.49","1.36"
"0.84","1.19","0","277","81","81","265","0.24","1.32","0.89"
"0.92","0.73","-0.57","292","49","49","293","0.75","1.15","1.46"
"0.68","0.76","-0.95","263","81","81","354","0.39","1.43","0.92"
"0.76","0.81","-0.71","294","49","49","373","0.3","1.23","1"
