"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"0.66","1.18","-0.36","265","67","63","263","-0.05","0.89","1.09"
"0.83","1.15","-0.06","373","76","75","264","0.09","1.45","0.73"
"1.21","0.67","-0.3","294","40","80","266","0.02","1.05","0.97"
"0.67","1.39","-0.1","280","61","84","267","0.53","1.51","0.96"
"0.85","1.48","0.34","262","74","77","275","0.79","1.34","1.29"
"1.42","1.02","0.54","356","45","77","277","0.63","1.32","1.17"
"1.6","0.95","0.61","284","54","87","282","0.64","1.69","0.92"
"1.11","1.19","0.4","276","67","87","285","1.01","1.22","1.64"
"0.66","1.18","-0.36","265","67","57","293","0.02","0.82","1.24"
"0.66","1.51","0","290","58","70","354","-0.11","1.05","0.89"
"1.09","0.89","-0.05","263","63","76","373","-0.06","1.15","0.83"
