"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"0.76","1.31","0","264","75","80","266","0.2","1.22","0.94"
"1.02","1.69","0.79","267","84","63","263","-0.08","1","0.94"
"0.92","1.08","-0.02","292","55","77","275","0.83","1.33","1.34"
"1.04","1.2","0.32","276","67","77","277","0.71","1.52","1.07"
"0.71","1.03","-0.46","280","61","87","282","0.68","1.45","1.11"
"1.25","1","0.32","356","45","54","284","0.67","0.96","1.65"
"1.07","0.96","0.03","373","76","67","265","-0.3","1.2","0.68"
"1.02","0.65","-0.6","294","40","57","293","0.13","0.86","1.27"
"0.86","1.51","0.38","262","74","70","354","0.2","1.03","1.12"
"1.75","1.35","1.24","285","87","58","290","-0.01","1.52","0.65"
