"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","SG","DS","FC","FD","FF","PI","A","FS","CA","G","PC","I","PS","CV","FT","PP","GC","DE","GS"
"687",107263,6,290,"ata","6",0,2,0,0,0,NA,"indio","Índio","Índio","Eduardo Figueiredo da Cruz","https://s.glbimg.com/es/sde/f/2022/03/10/a6633ada3323491df8e823750266cc83_FORMATO.png","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688",73465,6,266,"zag","2",0.5,5.3,-0.47,1.62,4,NA,"luccas-claro","Luccas Claro","L. Claro","Luccas Claro dos Santos","https://s.glbimg.com/es/sde/f/2022/04/20/cc881a3f67d02298fccc58df9491957c_FORMATO.png","Fluminense",1,3,4,NA,1,17,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"689",62977,6,266,"mei","5",0,6.87,0,5.28,4,NA,"ganso","Ganso","Ganso","Paulo Henrique Chagas de Lima","https://s.glbimg.com/es/sde/f/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png","Fluminense",NA,4,2,1,NA,18,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690",100969,6,356,"mei","6",0,4,0,0,0,NA,"ronald","Ronald","Ronald","Ronald dos Santos Lopes","https://s.glbimg.com/es/sde/f/2022/05/12/50ab9a9c9ef9edc1a9bed39d4552c026_FORMATO.png","Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691",107259,6,290,"mei","6",0,1.76,0,-0.05,2,NA,"henrique-lordelo","Henrique Lordelo","H. Lordelo","Henrique Lordelo Souza de Oliveira","https://s.glbimg.com/es/sde/f/2022/03/10/651627e528e2f1f7054ea3eda1e6c660_FORMATO.png","Goiás",NA,4,7,NA,NA,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"692",78867,6,1371,"mei","6",1,3.72,-0.53,1.3,3,NA,"rafael-gava","Rafael Gava","R. Gava","Rafael Gustavo Meneghel Gava","https://s.glbimg.com/es/sde/f/2022/02/23/16687c4ddc3ae72291f2729ad61ed092_FORMATO.png","Cuiabá",NA,4,2,NA,1,16,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"693",104666,6,356,"ata","7",8.8,5.95,1.78,3.9,5,NA,"moises","Moisés","Moisés","Moisés Vieira da Veiga","https://s.glbimg.com/es/sde/f/2022/02/25/d70cbac7a2764d91733f288c09e9f357_FORMATO.png","Fortaleza",NA,4,2,5,3,24,NA,3,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"694",109573,6,266,"mei","6",2.2,4.5,0.12,0.67,3,NA,"martinelli","Martinelli","Martinelli","Matheus Martinelli Lima","https://s.glbimg.com/es/sde/f/2022/04/20/d62bf91da00804290e9991da9ebe56a2_FORMATO.png","Fluminense",NA,1,2,2,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695",107908,6,290,"lat","5",0,2.64,0,0.7,3,NA,"hugo","Hugo","Hugo","Hugo Ferreira de Farias","https://s.glbimg.com/es/sde/f/2022/03/10/121d7e4dfd7120daf27329b4d1e02005_FORMATO.png","Goiás",NA,4,NA,NA,NA,31,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"696",69041,6,266,"gol","6",0,4,0,0,0,NA,"muriel","Muriel","Muriel","Muriel Gustavo Becker","https://s.glbimg.com/es/sde/f/2022/04/20/df58bf5b977794fb0f9e7d4982f1faf7_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"697",69345,6,262,"lat","2",-0.9,4.56,-0.52,1.33,4,NA,"isla","Isla","Isla","Mauricio Aníbal Isla Isla","https://s.glbimg.com/es/sde/f/2022/04/25/e2c0e2f10ef5fd6a8eb0c8cc0cd509d7_FORMATO.png","Flamengo",NA,1,2,NA,NA,23,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"698",94968,6,356,"lat","6",1.5,4.45,-0.76,2.35,4,NA,"juninho-capixaba","Juninho Capixaba","J. Capixaba","Luis Antônio da Rocha Júnior","https://s.glbimg.com/es/sde/f/2022/02/25/404f0a454cb039f59334f747add17f5e_FORMATO.png","Fortaleza",NA,6,6,NA,NA,40,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"699",93834,6,285,"gol","6",0,1.98,0,-1,0,NA,"keiller","Keiller","Keiller","Keiller da Silva Nunes","https://s.glbimg.com/es/sde/f/2022/02/22/d956425748ab5bc7726c1e8337593d78_FORMATO.png","Internacional",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"700",70116,6,290,"mei","7",3.4,3.28,0.72,1,6,NA,"fellipe-bastos","Fellipe Bastos","F. Bastos","Fellipe Ramos Ignez Bastos","https://s.glbimg.com/es/sde/f/2022/03/10/4fc5c3b6693e46bf2e956854bbf5da76_FORMATO.png","Goiás",NA,5,6,4,1,23,NA,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"701",68917,6,290,"ata","5",0,5,0,0,0,NA,"vinicius","Vinicius","Vinicius","Vinicius Santos Silva","https://s.glbimg.com/es/sde/f/2022/03/10/4b5dcfbcabc53f525f565f57f8050ed7_FORMATO.png","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702",110303,6,356,"ata","6",0.5,2.3,-0.7,0.5,1,NA,"igor-torres","Igor Torres","I. Torres","Igor Torres da Silva","https://s.glbimg.com/es/sde/f/2022/02/25/592c6fbd0b930f3b97d777c5fd852cfc_FORMATO.png","Fortaleza",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703",87929,6,356,"mei","6",0,4.02,0,0.87,3,NA,"matheus-vargas","Matheus Vargas","M. Vargas","Matheus de Vargas","https://s.glbimg.com/es/sde/f/2022/05/12/8d527aee11a3ca28fe1dab544e70733d_FORMATO.png","Fortaleza",NA,2,4,NA,4,22,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"704",84817,6,356,"ata","6",0,5.24,0,1.75,4,NA,"robson","Robson","Robson","Robson dos Santos Fernandes","https://s.glbimg.com/es/sde/f/2022/02/25/6d625807fa7a6d37492ec7d37c654dc8_FORMATO.png","Fortaleza",NA,2,6,NA,4,6,NA,8,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA
"705",51042,6,290,"mei","7",5.8,7.36,0.92,4.37,6,NA,"apodi","Apodi","Apodi","Luiz Diallison de Souza Alves","https://s.glbimg.com/es/sde/f/2022/03/02/2c74555af9089b55a230b00443763cf4_FORMATO.jpeg","Goiás",NA,8,11,2,1,17,1,9,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA
"706",80193,6,286,"ata","5",0,2.32,0,0.45,2,NA,"edinho","Edinho","Edinho","Francisco Edson Moreira da Silva","https://s.glbimg.com/es/sde/f/2022/04/04/7be5a82aee84c2e49f3f8260766fd19d_FORMATO.png","Juventude",NA,NA,NA,NA,1,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"707",63354,6,285,"zag","5",0,7.11,0,5.63,3,NA,"rodrigo-moledo","Rodrigo Moledo","R. Moledo","Rodrigo Modesto da Silva Moledo","https://s.glbimg.com/es/sde/f/2022/04/02/a672a123ec8d7b626a7c7aad1211dc94_FORMATO.png","Internacional",2,3,2,1,2,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
