Rodada,Atleta,Apelido,Clube,Posicao,Status,Pontos,PontosMedia,Preco,PrecoVariacao,Mando,TimeCasa,TimeVisitante,PartidaData,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
28,77556,Bruno,294,1,6,0.0,0.52,2.86,0.0,True,283,294,27/09/2015,1.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,2.0,8.0,NA,14.0
28,68807,Neto Berola,277,5,6,-2.0,0.47,2.85,-0.79,False,277,285,27/09/2015,23.0,24.0,NA,1.0,2.0,3.0,NA,NA,NA,4.0,8.0,NA,4.0,NA,NA,NA,NA,NA
28,85591,Artur,285,2,6,0.0,2.23,2.84,0.0,True,277,285,27/09/2015,5.0,13.0,NA,NA,NA,NA,NA,1.0,NA,4.0,11.0,NA,3.0,NA,4.0,NA,NA,NA
28,74076,Misael,294,4,6,0.0,1.66,2.84,0.0,True,283,294,27/09/2015,7.0,6.0,NA,NA,2.0,2.0,NA,NA,NA,5.0,4.0,NA,NA,NA,NA,NA,NA,NA
28,73445,Denner,314,4,6,0.0,0.65,2.83,0.0,True,284,314,26/09/2015,3.0,5.0,NA,NA,NA,NA,NA,1.0,NA,3.0,4.0,NA,NA,NA,NA,NA,NA,NA
28,37790,Ceará,283,2,7,0.0,-0.16,2.81,0.0,False,283,294,27/09/2015,2.0,28.0,1.0,NA,NA,NA,NA,NA,NA,3.0,7.0,NA,3.0,NA,1.0,NA,NA,NA
28,82381,Juninho,303,4,3,-2.6,1.27,2.8,-0.38,True,293,303,27/09/2015,11.0,33.0,NA,NA,2.0,3.0,NA,1.0,NA,21.0,15.0,NA,3.0,NA,NA,NA,NA,NA
28,70992,Juliano,290,4,6,0.0,0.0,2.79,0.0,True,266,290,26/09/2015,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA
28,89190,Judivan ,283,5,5,0.0,-0.5,2.77,0.0,False,283,294,27/09/2015,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,89976,Geferson,285,2,5,0.0,2.13,2.75,0.0,True,277,285,27/09/2015,11.0,36.0,NA,NA,1.0,1.0,NA,NA,NA,11.0,19.0,NA,5.0,NA,6.0,NA,NA,NA
