Rodada,Atleta,Apelido,Clube,Posicao,Status,Pontos,PontosMedia,Preco,PrecoVariacao,Mando,TimeCasa,TimeVisitante,PartidaData,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
24,51299,Emerson,314,3,6,1.5,2.34,3.6,-0.48,True,282,314,09/09/2015,7.0,42.0,NA,NA,3.0,6.0,1.0,1.0,NA,22.0,15.0,NA,4.0,NA,2.0,NA,NA,NA
24,63058,Willian Farias,283,4,5,0.0,-0.05,3.57,0.0,True,262,283,10/09/2015,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,36591,Leonardo,277,3,5,0.0,5.0,3.5,0.0,False,277,276,09/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA
24,79334,Ricardo Silva,293,3,6,0.0,0.7,3.5,0.0,True,316,293,09/09/2015,1.0,1.0,NA,NA,1.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA
24,83817,Clayson,303,4,6,-1.1,-0.6,3.45,-0.58,False,303,267,09/09/2015,1.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA
24,89273,João Pedro ,275,2,7,0.0,1.33,3.42,0.0,True,285,275,09/09/2015,2.0,11.0,NA,NA,NA,NA,NA,NA,NA,4.0,1.0,NA,NA,NA,NA,NA,NA,NA
24,87213,Pará,283,2,7,6.4,1.29,3.39,1.53,True,262,283,10/09/2015,15.0,29.0,1.0,NA,NA,1.0,NA,NA,NA,8.0,15.0,NA,2.0,NA,1.0,NA,NA,NA
24,37790,Ceará,283,2,7,-0.5,0.19,3.37,0.35,True,262,283,10/09/2015,1.0,15.0,1.0,NA,NA,NA,NA,NA,NA,NA,5.0,NA,1.0,NA,1.0,NA,NA,NA
24,38579,Rodrigo Mancha,292,4,6,0.0,0.97,3.37,0.0,True,290,292,10/09/2015,12.0,12.0,NA,NA,NA,1.0,NA,NA,NA,12.0,14.0,NA,1.0,NA,NA,NA,NA,NA
24,92150,Daniel Hernández,293,4,7,-1.8,0.53,3.33,-0.57,True,316,293,09/09/2015,5.0,25.0,2.0,NA,3.0,NA,NA,NA,NA,1.0,4.0,NA,2.0,NA,NA,NA,NA,NA
24,92501,Lucas Lovat,314,2,6,0.0,3.4,3.29,0.0,True,282,314,09/09/2015,NA,5.0,NA,NA,NA,NA,NA,NA,NA,2.0,3.0,NA,1.0,NA,1.0,NA,NA,NA
24,40758,Leandrão,267,5,7,0.0,0.0,3.28,-0.72,True,303,267,09/09/2015,NA,4.0,NA,NA,1.0,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA
24,81612,Fernando Viana,317,5,6,0.0,0.0,3.28,-0.72,False,317,315,09/09/2015,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA
24,88224,Paulo Ricardo,277,3,6,0.0,4.52,3.27,0.0,False,277,276,09/09/2015,4.0,16.0,NA,NA,1.0,3.0,NA,NA,NA,9.0,4.0,NA,1.0,NA,4.0,NA,NA,NA
24,89696,Romulo,314,5,7,0.8,2.48,3.25,-0.33,True,282,314,09/09/2015,20.0,20.0,NA,1.0,8.0,12.0,2.0,1.0,NA,11.0,15.0,NA,3.0,NA,NA,NA,NA,NA
24,63000,Victor Ramos,275,3,6,0.0,2.63,3.23,0.0,True,285,275,09/09/2015,10.0,46.0,1.0,1.0,1.0,2.0,2.0,1.0,NA,17.0,24.0,1.0,7.0,1.0,6.0,NA,NA,NA
24,82381,Juninho,303,4,7,-0.6,1.68,3.23,-0.28,False,303,267,09/09/2015,10.0,29.0,NA,NA,2.0,3.0,NA,1.0,NA,20.0,13.0,NA,2.0,NA,NA,NA,NA,NA
24,87754,Diego,317,2,3,0.2,2.57,3.21,-0.67,False,317,315,09/09/2015,19.0,44.0,1.0,NA,4.0,3.0,NA,4.0,NA,15.0,27.0,NA,2.0,2.0,7.0,NA,NA,NA
24,90334,Araújo,284,4,6,0.0,2.8,3.21,0.0,True,264,284,09/09/2015,NA,2.0,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA
24,68807,Neto Berola,277,5,6,0.0,0.52,3.2,-0.02,False,277,276,09/09/2015,17.0,20.0,NA,1.0,1.0,3.0,NA,NA,NA,4.0,7.0,NA,3.0,NA,NA,NA,NA,NA
24,68827,Renato Chaves,303,3,7,8.1,3.72,8.6,1.72,False,303,267,09/09/2015,10.0,34.0,NA,NA,3.0,4.0,1.0,1.0,NA,22.0,16.0,NA,4.0,NA,6.0,NA,NA,NA
24,83257,Gabriel,277,5,7,-0.8,3.5,8.56,-2.19,False,277,276,09/09/2015,27.0,37.0,NA,3.0,8.0,10.0,4.0,15.0,NA,13.0,15.0,NA,2.0,NA,NA,NA,NA,NA
24,68952,Marinho,283,5,6,1.2,2.11,8.56,0.29,True,262,283,10/09/2015,32.0,29.0,NA,NA,7.0,10.0,1.0,1.0,1.0,7.0,16.0,NA,3.0,NA,NA,NA,NA,NA
24,68693,Armero,262,2,7,-0.1,2.32,8.5,-1.33,False,262,283,10/09/2015,5.0,17.0,2.0,NA,NA,1.0,NA,1.0,NA,1.0,6.0,NA,1.0,NA,1.0,NA,NA,NA
24,38960,Zé Eduardo,290,5,7,2.1,3.3,8.49,-0.2,False,290,292,10/09/2015,14.0,14.0,NA,NA,4.0,6.0,1.0,3.0,NA,1.0,4.0,NA,2.0,NA,NA,NA,NA,NA
24,69177,Léo,285,2,6,0.0,3.75,8.48,0.0,False,285,275,09/09/2015,8.0,7.0,NA,NA,NA,2.0,NA,NA,NA,6.0,3.0,NA,1.0,1.0,2.0,NA,NA,NA
24,38695,David,290,4,7,3.8,1.54,8.46,-0.56,False,290,292,10/09/2015,5.0,34.0,2.0,NA,1.0,2.0,NA,NA,NA,11.0,10.0,NA,NA,NA,NA,NA,NA,NA
24,68910,Anselmo,317,4,5,0.0,2.89,8.41,0.0,False,317,315,09/09/2015,18.0,61.0,1.0,NA,3.0,8.0,NA,NA,NA,45.0,28.0,NA,6.0,NA,NA,NA,NA,NA
24,62004,Bruno Aguiar,317,3,7,5.0,4.23,8.35,0.12,False,317,315,09/09/2015,8.0,16.0,NA,NA,1.0,3.0,2.0,NA,NA,9.0,13.0,NA,1.0,NA,6.0,NA,NA,NA
24,41859,Marcelinho Paraíba,317,4,7,-0.4,3.01,8.27,-0.05,False,317,315,09/09/2015,9.0,59.0,2.0,NA,5.0,8.0,4.0,5.0,NA,14.0,15.0,NA,1.0,NA,NA,NA,NA,NA
24,50382,Charles,283,4,6,0.0,2.69,8.27,0.0,True,262,283,10/09/2015,12.0,47.0,NA,1.0,3.0,7.0,2.0,NA,NA,29.0,30.0,NA,4.0,NA,NA,NA,NA,NA
24,37784,Herrera,267,5,6,0.0,-0.02,8.21,0.0,True,303,267,09/09/2015,4.0,9.0,NA,1.0,2.0,1.0,NA,3.0,NA,2.0,7.0,NA,2.0,NA,NA,NA,NA,NA
24,80036,Alex Alves,290,3,7,0.0,2.38,8.17,-0.4,False,290,292,10/09/2015,4.0,6.0,NA,NA,NA,2.0,NA,1.0,NA,9.0,19.0,NA,4.0,NA,5.0,NA,NA,NA
24,60853,Julio Dos Santos,267,4,7,-0.5,0.96,8.17,-0.46,True,303,267,09/09/2015,13.0,51.0,NA,NA,3.0,3.0,NA,NA,NA,15.0,11.0,NA,1.0,NA,NA,NA,NA,NA
24,68938,Giovanni Augusto,282,4,7,1.9,4.01,8.15,-0.52,False,282,314,09/09/2015,27.0,62.0,4.0,1.0,7.0,7.0,3.0,NA,NA,20.0,20.0,NA,1.0,NA,NA,NA,NA,NA
24,73540,Rogério,276,5,7,14.8,14.8,8.12,4.12,True,277,276,09/09/2015,3.0,5.0,NA,NA,1.0,1.0,1.0,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA
24,73317,Argel Fucks,285,6,7,1.08,3.38,8.12,-1.18,False,285,275,09/09/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
