Rodada,Atleta,Apelido,Clube,Posicao,Status,Pontos,PontosMedia,Preco,PrecoVariacao,Mando,TimeCasa,TimeVisitante,PartidaData,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
5,91391,Juninho,317,4,6,0.0,0.0,2.0,0.0,True,315,317,03/06/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,90318,Joãozinho,317,2,5,0.0,0.0,2.0,0.0,True,315,317,03/06/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,82461,Danrlei,317,3,6,0.0,0.0,2.0,0.0,True,315,317,03/06/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,90917,Carlos ,290,5,7,0.0,0.0,2.0,0.0,True,292,290,04/06/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,87197,Matheus ,315,5,6,0.0,0.0,2.0,0.0,False,315,317,03/06/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,89227,Balbino,284,4,6,0.0,0.0,2.0,0.0,False,284,264,03/06/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,86776,Jordi,267,1,7,0.0,0.0,2.0,0.0,False,267,303,03/06/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,73421,Rafael Vaz,267,3,6,0.0,0.0,2.0,0.0,False,267,303,03/06/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,72117,Victor Bolt,267,4,6,0.0,0.0,2.0,0.0,False,267,303,03/06/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,89815,Gustavo Ferrareis,285,5,6,0.0,0.0,2.0,0.0,True,275,285,04/06/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
