Rodada,Atleta,Apelido,Clube,Posicao,Status,Pontos,PontosMedia,Preco,PrecoVariacao,Mando,TimeCasa,TimeVisitante,PartidaData,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
10,63110,Alan Ruschel,285,2,2,4.1,2.54,4.86,0.36,True,292,285,01/07/2015,14.0,11.0,1.0,NA,NA,NA,NA,NA,NA,5.0,11.0,NA,2.0,1.0,2.0,NA,NA,NA
10,71042,Augusto César,317,4,5,0.0,1.03,4.85,0.0,False,317,262,01/07/2015,9.0,18.0,NA,NA,2.0,1.0,NA,NA,NA,7.0,9.0,NA,1.0,NA,NA,NA,NA,NA
10,70916,Diogo Barbosa,290,2,7,0.0,2.2,4.85,0.0,True,316,290,02/07/2015,6.0,12.0,NA,NA,NA,2.0,NA,1.0,NA,5.0,NA,NA,NA,1.0,1.0,NA,NA,NA
10,86757,Everton,284,5,6,0.0,1.37,4.83,0.0,False,284,283,01/07/2015,1.0,4.0,NA,NA,NA,2.0,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA
10,68962,Arthur Maia,262,4,6,0.0,0.3,4.82,0.0,True,317,262,01/07/2015,4.0,9.0,NA,NA,NA,1.0,NA,NA,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA
10,70934,Jackson,275,3,5,0.0,3.4,4.79,0.0,False,275,315,01/07/2015,2.0,10.0,NA,NA,NA,1.0,NA,NA,NA,5.0,4.0,NA,NA,NA,1.0,NA,NA,NA
10,38196,Maicon,284,4,2,1.4,0.87,4.78,-0.92,False,284,283,01/07/2015,4.0,29.0,NA,NA,3.0,1.0,1.0,1.0,NA,9.0,16.0,NA,2.0,NA,NA,NA,NA,NA
10,72334,Ayrton,262,2,6,0.0,3.03,4.77,0.0,True,317,262,01/07/2015,3.0,7.0,NA,NA,1.0,NA,NA,NA,NA,1.0,2.0,NA,1.0,NA,2.0,NA,NA,NA
10,54250,Maylson,315,4,5,0.0,0.0,4.75,0.0,True,275,315,01/07/2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,69008,Neto,315,3,7,2.7,1.37,4.74,-0.12,True,275,315,01/07/2015,1.0,7.0,NA,NA,1.0,NA,NA,NA,NA,3.0,4.0,NA,1.0,NA,1.0,NA,NA,NA
10,50292,Paulinho Dias,293,4,6,0.0,-0.3,4.73,0.0,False,293,276,01/07/2015,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,70162,Jackson Caucaia,267,4,6,0.0,4.23,4.7,0.0,False,267,314,01/07/2015,6.0,4.0,NA,NA,1.0,NA,NA,NA,NA,7.0,4.0,NA,NA,NA,NA,NA,NA,NA
10,78994,Eduardo,282,4,6,0.0,4.9,4.67,0.0,False,282,294,01/07/2015,NA,1.0,1.0,NA,NA,1.0,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA
10,68697,Bernardo,267,4,6,0.0,-0.2,4.67,0.0,False,267,314,01/07/2015,NA,9.0,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,51293,Wanderson,315,4,6,0.0,-0.6,4.66,0.0,True,275,315,01/07/2015,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
