Rodada,Atleta,Apelido,Clube,Posicao,Status,Pontos,PontosMedia,Preco,PrecoVariacao,Mando,TimeCasa,TimeVisitante,PartidaData,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
38,38738,Douglas,284,4,3,0.0,1.12,7.5,0.0,True,317,284,06/12/2015,21.0,160.0,4.0,NA,8.0,24.0,5.0,NA,2.0,13.0,32.0,NA,6.0,NA,NA,NA,NA,NA
38,88323,Ángel Romero,264,5,6,0.7,2.95,7.47,-0.43,False,264,314,06/12/2015,23.0,20.0,NA,NA,3.0,3.0,3.0,2.0,NA,4.0,10.0,NA,NA,NA,NA,NA,NA,NA
38,63119,Juninho,316,4,3,0.0,0.79,7.47,0.0,False,316,266,06/12/2015,13.0,38.0,NA,NA,3.0,NA,NA,1.0,NA,12.0,5.0,NA,3.0,NA,NA,NA,NA,NA
38,68808,Nino Paraíba,314,2,7,10.1,2.39,7.46,1.11,True,264,314,06/12/2015,45.0,154.0,4.0,NA,3.0,10.0,NA,6.0,NA,49.0,34.0,NA,8.0,NA,6.0,NA,NA,NA
38,38194,Antônio Carlos,266,3,6,0.0,1.78,7.44,0.0,True,316,266,06/12/2015,10.0,31.0,NA,NA,2.0,1.0,NA,4.0,NA,14.0,8.0,NA,3.0,1.0,5.0,NA,NA,NA
38,78578,Paulinho,262,5,3,0.0,1.34,7.33,0.0,False,262,275,06/12/2015,21.0,59.0,NA,NA,8.0,16.0,3.0,4.0,NA,8.0,16.0,NA,3.0,NA,NA,NA,NA,NA
38,78715,Ramiro,284,4,7,3.8,2.1,7.33,-0.21,True,317,284,06/12/2015,8.0,9.0,1.0,NA,NA,2.0,NA,NA,NA,9.0,13.0,NA,3.0,NA,NA,NA,NA,NA
38,91234,Renan,314,4,6,5.7,2.24,7.32,1.28,True,264,314,06/12/2015,29.0,32.0,NA,NA,NA,4.0,1.0,NA,NA,35.0,32.0,NA,6.0,NA,NA,NA,NA,NA
38,38032,Cleber Santana,315,4,3,0.0,2.24,7.32,0.0,True,282,315,06/12/2015,20.0,85.0,4.0,NA,7.0,13.0,1.0,NA,NA,31.0,22.0,NA,6.0,NA,NA,NA,NA,NA
38,92192,Evandro,294,5,6,0.0,2.79,7.31,0.0,False,294,267,06/12/2015,13.0,11.0,NA,NA,2.0,3.0,3.0,6.0,NA,3.0,7.0,NA,1.0,NA,NA,NA,NA,NA
38,82647,Régis,292,4,7,0.0,1.13,7.3,0.0,True,303,292,06/12/2015,8.0,41.0,2.0,NA,6.0,2.0,3.0,3.0,NA,6.0,15.0,NA,3.0,NA,NA,NA,NA,NA
38,68974,Marcão,316,5,6,5.7,1.15,7.29,0.55,False,316,266,06/12/2015,21.0,21.0,NA,NA,9.0,9.0,3.0,12.0,NA,10.0,31.0,NA,5.0,NA,NA,NA,NA,NA
38,37662,Jonathan,266,2,6,2.1,3.17,7.29,-0.19,True,316,266,06/12/2015,4.0,15.0,1.0,NA,NA,NA,NA,NA,NA,5.0,3.0,NA,NA,NA,NA,NA,NA,NA
38,80393,Fabinho,316,4,7,8.2,2.57,7.23,1.17,False,316,266,06/12/2015,30.0,80.0,NA,NA,5.0,7.0,1.0,6.0,NA,67.0,43.0,NA,7.0,NA,NA,NA,NA,NA
38,82306,Douglas Silva,317,3,6,0.0,3.97,7.23,0.0,False,317,284,06/12/2015,9.0,13.0,NA,NA,1.0,NA,NA,NA,NA,16.0,10.0,NA,1.0,NA,2.0,NA,NA,NA
38,38482,Marcos Aurélio,294,4,6,0.0,1.96,7.2,0.0,False,294,267,06/12/2015,9.0,45.0,2.0,NA,9.0,16.0,1.0,3.0,NA,3.0,11.0,NA,NA,NA,NA,NA,NA,NA
38,51683,Bruno Rangel,315,5,2,-0.3,4.47,7.18,-1.38,True,282,315,06/12/2015,9.0,11.0,NA,1.0,6.0,12.0,9.0,6.0,NA,5.0,19.0,NA,1.0,NA,NA,NA,NA,NA
