,atletas.preco_num,atletas.foto,atletas.posicao_id,atletas.media_num,atletas.apelido_abreviado,atletas.apelido,atletas.pontos_num,atletas.status_id,atletas.clube_id,atletas.variacao_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.rodada_id,atletas.nome,atletas.slug,atletas.minimo_para_valorizar,atletas.atleta_id,CA,DS,FC,FD,FF,FS,PI,SG,A,G,DE,DP,GS,GC,PC,FT,I,CV,PP,PS
15,3.0,https://s.glbimg.com/es/sde/f/2022/04/20/0cf7c39e0e85080dc2234671994e19d9_FORMATO.png,3,0.0,M. Ferraz,Matheus Ferraz,0.0,5,266,0.0,Fluminense,0,25,Matheus Ferraz Pereira,matheus-ferraz,,38632,,,,,,,,,,,,,,,,,,,,
16,6.68,https://s.glbimg.com/es/sde/f/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png,2,3.1,F. Luís,Filipe Luís,0.0,6,262,0.0,Flamengo,6,25,Filipe Luís Kasmirski,filipe-luis,,38750,1.0,11.0,4.0,,2.0,6.0,20.0,1.0,,,,,,,,,,,,
17,9.02,https://s.glbimg.com/es/sde/f/2022/07/15/c04eede8e289c2e2a9d0b82097512fdc_FORMATO.png,2,4.85,Mariano,Mariano,7.0,6,282,0.48,Atlético-MG,16,25,Mariano Ferreira Filho,mariano,,38877,5.0,42.0,14.0,,1.0,9.0,139.0,8.0,1.0,,,,,,,,,,,
18,3.81,https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png,4,1.97,Diego,Diego,2.0,7,262,-0.12,Flamengo,14,25,Diego Ribas da Cunha,diego,,38909,1.0,16.0,12.0,1.0,2.0,13.0,42.0,,,1.0,,,,,,,,,,
19,21.11,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,5,6.59,Hulk,Hulk,15.5,5,282,0.8,Atlético-MG,21,25,Givanildo Vieira de Souza,hulk,,39148,5.0,10.0,31.0,13.0,30.0,49.0,130.0,,2.0,9.0,,,,,,3.0,14.0,,,
20,3.96,https://s.glbimg.com/es/sde/f/2022/02/24/c65bdd88b41fe9f8ddb3c5be562e45a9_FORMATO.png,4,2.15,Renato,Renato,0.0,6,314,0.0,Avaí,9,25,José Renato da Silva Júnior,renato,,39572,1.0,10.0,5.0,3.0,4.0,15.0,42.0,,,,,,,,,,2.0,,,
21,8.64,https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,6,4.03,V. Mancini,Vagner Mancini,7.75,7,327,1.07,América-MG,24,25,Vagner Carmo Mancini,vagner-mancini,,39850,,,,,,,,,,,,,,,,,,,,
22,9.51,https://s.glbimg.com/es/sde/f/2022/03/28/d28c444ff6eaf5f7b58d9f2ef2bd5075_FORMATO.png,6,5.06,D. Júnior,Dorival Júnior,3.45,7,262,-0.06,Flamengo,24,25,Dorival Silvestre Júnior,dorival-junior,,40990,,,,,,,,,,,,,,,,,,,,
23,3.87,https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png,5,1.74,Willian,Willian,-0.5,6,266,-0.04,Fluminense,21,25,Willian Gomes de Siqueira,willian,,42116,2.0,7.0,7.0,3.0,,3.0,18.0,,1.0,3.0,,,,,,,2.0,,,
24,12.66,https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png,2,4.4,Egídio,Egídio,2.1,2,294,-0.41,Coritiba,16,25,Egídio de Araújo Pereira Júnior,egidio,,42145,1.0,31.0,12.0,7.0,3.0,17.0,154.0,4.0,2.0,1.0,,,,,1.0,,2.0,1.0,,
25,11.15,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,1,4.99,Cássio,Cássio,-1.0,7,264,-1.61,Corinthians,21,25,Cássio Roberto Ramos,cassio,,42234,,1.0,,,,1.0,,10.0,,,69.0,,16.0,,,,,,,
26,11.79,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,6,5.21,Cuca,Cuca,7.81,6,282,0.99,Atlético-MG,6,25,Alexi Stival,cuca,,42411,,,,,,,,,,,,,,,,,,,,
27,8.67,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png,2,3.56,Fagner,Fagner,-0.4,2,264,-1.0,Corinthians,7,25,Fagner Conserva Lemos,fagner,,42500,1.0,9.0,4.0,,,2.0,47.0,3.0,1.0,,,,,,,,,,,
28,10.11,https://s.glbimg.com/es/sde/f/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_FORMATO.png,6,4.69,L. Scolari,Luiz Felipe Scolari,6.53,7,293,0.6,Athlético-PR,20,25,Luiz Felipe Scolari,luiz-felipe-scolari,,43618,,,,,,,,,,,,,,,,,,,,
29,4.64,https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,3,1.34,D. Braz,David Braz,-0.2,6,266,-0.56,Fluminense,9,25,David Braz de Oliveira Filho,david-braz,,50317,2.0,9.0,10.0,1.0,4.0,2.0,32.0,2.0,,,,,,,,,,2.0,,
30,7.85,https://s.glbimg.com/es/sde/f/2022/07/15/7596fc0c82f0af26689bc225bb5d8716_FORMATO.png,5,4.6,A. Kardec,Alan Kardec,0.0,6,282,0.0,Atlético-MG,5,25,Alan Kardec de Sousa Pereira Júnior,alan-kardec,,50347,,1.0,3.0,1.0,3.0,1.0,4.0,,,2.0,,,,,,1.0,,,,
31,6.0,https://s.glbimg.com/es/sde/f/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png,3,3.39,Titi,Titi,1.8,7,356,-0.67,Fortaleza,22,25,Christian Chagas Tarouco,titi,,50353,2.0,29.0,29.0,,2.0,17.0,91.0,10.0,,,,,,,,,2.0,,,
32,3.79,https://s.glbimg.com/es/sde/f/2022/03/11/e3b360fda749e06fb7f50ec9ccbb74d7_FORMATO.png,5,0.6,Dentinho,Dentinho,0.0,5,354,0.0,Ceará,4,25,Bruno Ferreira Bonfim,dentinho,,50428,,3.0,3.0,,,,2.0,,,,,,,,,,1.0,,,
33,4.0,https://s.glbimg.com/es/sde/f/2022/08/16/763e722867751c09a3568b9a8117bb29_FORMATO.jpeg,2,0.0,Eduardo,Eduardo,0.0,6,327,0.0,América-MG,0,25,Carlos Eduardo Santos Oliveira,eduardo,,50645,,,,,,,,,,,,,,,,,,,,
34,5.07,https://s.glbimg.com/es/sde/f/2022/02/23/cb5893cb9455c5aab2d21fd3f512ece2_FORMATO.png,3,1.73,Henrique,Henrique,0.0,6,294,0.0,Coritiba,16,25,Henrique Adriano Buss,henrique,,50856,4.0,18.0,12.0,3.0,6.0,4.0,66.0,3.0,,,,,,1.0,2.0,1.0,1.0,1.0,,
35,4.03,https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png,4,0.58,Marlos,Marlos,0.0,6,293,0.0,Athlético-PR,4,25,Marlos Romero Bonfim,marlos,,50879,,1.0,,1.0,,2.0,11.0,,,,,,,,,,,,,
