,atletas.atleta_id,atletas.preco_num,atletas.status_id,atletas.apelido_abreviado,atletas.clube_id,atletas.nome,atletas.posicao_id,atletas.foto,atletas.slug,atletas.rodada_id,atletas.variacao_num,atletas.minimo_para_valorizar,atletas.apelido,atletas.jogos_num,atletas.pontos_num,atletas.media_num,atletas.clube.id.full.name,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PI,PP,PS,PC,SG,DE,GS,GC,DP
0,37245,10.53,7,G. Ferreira,294,Augusto Sérgio Ferreira,6,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,guto-ferreira,33,-0.1,,Guto Ferreira,10,2.72,4.11,Coritiba,,,,,,,,,,,,,,,,,,,,
1,37281,10.0,7,M. Menezes,285,Luis Antônio Venker de Menezes,6,https://s.glbimg.com/es/sde/f/2022/04/20/e2710d5e2f652b8154c927ba13d68369_FORMATO.png,mano-menezes,33,-0.33,,Mano Menezes,30,3.07,5.17,Internacional,,,,,,,,,,,,,,,,,,,,
2,37656,9.88,7,Fábio,266,Fábio Deivson Lopes Maciel,1,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,fabio,33,-1.14,,Fábio,33,1.0,3.28,Fluminense,,2.0,,,,,,4.0,,,,,,,,10.0,98.0,40.0,,
3,37788,4.64,6,M. Boeck,356,Marcelo Boeck,1,https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png,marcelo-boeck,33,0.0,,Marcelo Boeck,12,0.0,2.87,Fortaleza,,2.0,,,,,,3.0,,,,,,,1.0,3.0,38.0,17.0,,
4,38133,5.0,6,J. César,280,Júlio César de Souza Santos,1,https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png,julio-cesar,33,0.0,,Júlio César,0,0.0,0.0,Bragantino,,,,,,,,,,,,,,,,,,,,
5,38138,4.47,7,Jô,354,João Alves de Assis Silva,5,https://s.glbimg.com/es/sde/f/2022/08/11/f19c59d4d6626b101ff291f3e852072d_FORMATO.png,jo,33,-1.27,,Jô,13,-0.4,2.22,Ceará,,2.0,1.0,3.0,14.0,7.0,6.0,14.0,,3.0,7.0,51.0,1.0,,,,,,,
6,38141,6.85,6,Miranda,276,João Miranda de Souza Filho,3,https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png,miranda,33,0.0,,Miranda,15,0.0,3.43,São Paulo,,4.0,,24.0,14.0,2.0,3.0,9.0,,,,36.0,,,,5.0,,,,
7,38144,8.54,7,Rafinha,276,Márcio Rafael Ferreira de Souza,2,https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,rafinha,33,0.37,,Rafinha,26,2.8,2.87,São Paulo,3.0,6.0,,45.0,26.0,,1.0,18.0,,,,158.0,,,,5.0,,,,
8,38225,8.86,6,Muriqui,314,Luiz Guilherme da Conceição Silva,5,https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png,muriqui,33,0.0,,Muriqui,22,0.0,3.27,Avaí,1.0,2.0,,19.0,13.0,1.0,10.0,26.0,1.0,4.0,6.0,75.0,,1.0,,,,,,
9,38229,6.95,7,F. Santos,264,Fábio Santos Romeu,2,https://s.sde.globo.com/media/person_role/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png,fabio-santos,33,0.0,,Fábio Santos,16,0.0,4.9,Corinthians,,1.0,,24.0,9.0,,,9.0,,3.0,,101.0,,,,7.0,,,,
10,38279,3.91,6,W. Paulista,327,Wellington Pereira do Nascimento,5,https://s.glbimg.com/es/sde/f/2022/02/25/12f12e3c03d86cbfec605b70666faaf3_FORMATO.png,wellington-paulista,33,-1.22,,Wellington Paulista,14,-0.4,0.89,América-MG,,1.0,,1.0,9.0,1.0,3.0,6.0,1.0,1.0,4.0,23.0,,,,,,,,
11,38394,5.43,6,T. Heleno,293,Thiago Heleno Henrique Ferreira,3,https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png,thiago-heleno,33,-1.22,,Thiago Heleno,10,-2.0,1.83,Athlético-PR,,4.0,,11.0,9.0,1.0,5.0,4.0,,,,63.0,1.0,,,3.0,,,,
12,38398,8.47,7,R. Augusto,264,Renato Soares de Oliveira Augusto,4,https://s.sde.globo.com/media/person_role/2022/04/27/df30c3d9066a2e16c6625e3aa0a64436_FORMATO.png,renato-augusto,33,0.0,,Renato Augusto,19,0.0,3.5,Corinthians,3.0,,,29.0,11.0,7.0,9.0,19.0,,1.0,1.0,130.0,,,,,,,,
13,38509,6.31,6,D. Alves,262,Diego Alves Carreira,1,https://s.glbimg.com/es/sde/f/2022/03/03/ebf5983aad74aded51b2bdca5bed278f_FORMATO.png,diego-alves,33,0.0,,Diego Alves,3,0.0,1.0,Flamengo,,,,,,,,,,,,,,,,1.0,3.0,5.0,,
14,38545,6.54,2,F. Melo,266,Felipe Melo de Carvalho,3,https://s.glbimg.com/es/sde/f/2022/02/24/ae51c505f4d9ceba09c22ba954cca2bf_FORMATO.png,felipe-melo,33,0.0,,Felipe Melo,20,0.0,1.49,Fluminense,,5.0,,10.0,15.0,,1.0,13.0,,,,49.0,,,,5.0,,,,
15,38632,3.0,5,M. Ferraz,266,Matheus Ferraz Pereira,3,https://s.glbimg.com/es/sde/f/2022/04/20/0cf7c39e0e85080dc2234671994e19d9_FORMATO.png,matheus-ferraz,33,0.0,,Matheus Ferraz,0,0.0,0.0,Fluminense,,,,,,,,,,,,,,,,,,,,
16,38750,6.48,6,F. Luís,262,Filipe Luís Kasmirski,2,https://s.sde.globo.com/media/person_role/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png,filipe-luis,33,0.0,,Filipe Luís,9,0.0,3.37,Flamengo,,1.0,,17.0,4.0,,2.0,8.0,,,,35.0,,,,2.0,,,,
17,38877,8.02,6,Mariano,282,Mariano Ferreira Filho,2,https://s.glbimg.com/es/sde/f/2022/07/15/c04eede8e289c2e2a9d0b82097512fdc_FORMATO.png,mariano,33,0.0,,Mariano,20,0.0,4.41,Atlético-MG,1.0,5.0,,47.0,15.0,,1.0,12.0,,,,155.0,,,,9.0,,,,
18,38909,3.75,6,Diego,262,Diego Ribas da Cunha,4,https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png,diego,33,0.49,,Diego,17,2.9,1.72,Flamengo,,3.0,,19.0,17.0,1.0,2.0,17.0,,1.0,1.0,45.0,,,,,,,,
19,39148,18.99,5,Hulk,282,Givanildo Vieira de Souza,5,https://s.sde.globo.com/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,hulk,33,0.0,,Hulk,25,0.0,7.0,Atlético-MG,2.0,5.0,,11.0,35.0,17.0,35.0,59.0,4.0,12.0,15.0,169.0,,,,,,,,
20,39572,4.12,7,Renato,314,José Renato da Silva Júnior,4,https://s.glbimg.com/es/sde/f/2022/02/24/c65bdd88b41fe9f8ddb3c5be562e45a9_FORMATO.png,renato,33,0.43,,Renato,13,4.5,2.33,Avaí,,2.0,,13.0,9.0,5.0,8.0,25.0,1.0,,3.0,82.0,,,,,,,,
21,39850,8.28,7,V. Mancini,327,Vagner Carmo Mancini,6,https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,vagner-mancini,33,-0.1,,Vagner Mancini,32,3.03,4.12,América-MG,,,,,,,,,,,,,,,,,,,,
22,40990,9.84,6,D. Júnior,262,Dorival Silvestre Júnior,6,https://s.glbimg.com/es/sde/f/2022/03/28/d28c444ff6eaf5f7b58d9f2ef2bd5075_FORMATO.png,dorival-junior,33,-0.36,,Dorival Júnior,32,3.82,4.95,Flamengo,,,,,,,,,,,,,,,,,,,,
23,42116,4.11,6,Willian,266,Willian Gomes de Siqueira,5,https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png,willian,33,0.0,,Willian,28,0.0,1.64,Fluminense,1.0,2.0,,13.0,8.0,5.0,1.0,3.0,,3.0,2.0,21.0,,,,,,,,
24,42145,11.75,6,Egídio,294,Egídio de Araújo Pereira Júnior,2,https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png,egidio,33,0.0,,Egídio,17,0.0,4.09,Coritiba,2.0,1.0,1.0,31.0,12.0,7.0,3.0,17.0,,1.0,2.0,162.0,,,1.0,4.0,,,,
25,42234,12.19,7,Cássio,264,Cássio Roberto Ramos,1,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,cassio,33,-0.42,,Cássio,26,6.5,5.0,Corinthians,,1.0,,1.0,,,,3.0,,,,,,,,12.0,87.0,19.0,,
26,42411,11.3,7,Cuca,282,Alexi Stival,6,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,cuca,33,0.34,,Cuca,13,4.96,4.5,Atlético-MG,,,,,,,,,,,,,,,,,,,,
27,42500,9.58,7,Fagner,264,Fagner Conserva Lemos,2,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png,fagner,33,0.0,,Fagner,11,0.0,3.78,Corinthians,2.0,1.0,,18.0,5.0,,,4.0,,,1.0,94.0,,,,4.0,,,,
28,43618,9.76,6,L. Scolari,293,Luiz Felipe Scolari,6,https://s.glbimg.com/es/sde/f/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_FORMATO.png,luiz-felipe-scolari,33,-0.22,,Luiz Felipe Scolari,28,3.62,4.36,Athlético-PR,,,,,,,,,,,,,,,,,,,,
29,50317,6.53,2,D. Braz,266,David Braz de Oliveira Filho,3,https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,david-braz,33,0.0,,David Braz,11,0.0,2.21,Fluminense,,2.0,3.0,12.0,11.0,1.0,4.0,2.0,,1.0,,43.0,,,,3.0,,,,
