,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.clube_id,atletas.status_id,atletas.nome,atletas.posicao_id,atletas.apelido,atletas.slug,atletas.pontos_num,atletas.clube.id.full.name,atletas.preco_num,atletas.media_num,atletas.rodada_id,atletas.foto,atletas.apelido_abreviado,atletas.variacao_num,DE,DS,FS,GS,SG,A,CA,FC,FD,FF,PC,PI,I,CV,FT,G,PP,PS,GC,DP
15,21,3.94,38545,266,6,Felipe Melo de Carvalho,3,Felipe Melo,felipe-melo,0.0,Fluminense,6.18,1.61,35,https://s.glbimg.com/es/sde/f/2022/02/24/ae51c505f4d9ceba09c22ba954cca2bf_FORMATO.png,F. Melo,0.0,,10.0,13.0,,6.0,,6.0,15.0,,1.0,,49.0,,,,,,,,
16,0,2.34,38632,266,5,Matheus Ferraz Pereira,3,Matheus Ferraz,matheus-ferraz,0.0,Fluminense,3.0,0.0,35,https://s.glbimg.com/es/sde/f/2022/04/20/0cf7c39e0e85080dc2234671994e19d9_FORMATO.png,M. Ferraz,0.0,,,,,,,,,,,,,,,,,,,,
17,9,5.94,38750,262,6,Filipe Luís Kasmirski,2,Filipe Luís,filipe-luis,0.0,Flamengo,6.48,3.37,35,https://s.sde.globo.com/media/person_role/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png,F. Luís,0.0,,17.0,8.0,,2.0,,1.0,4.0,,2.0,,35.0,,,,,,,,
18,21,5.11,38877,282,6,Mariano Ferreira Filho,2,Mariano,mariano,4.8,Atlético-MG,8.48,4.43,35,https://s.glbimg.com/es/sde/f/2022/07/15/c04eede8e289c2e2a9d0b82097512fdc_FORMATO.png,Mariano,0.46,,48.0,12.0,,9.0,2.0,5.0,16.0,,1.0,,166.0,,,,,,,,
19,17,2.88,38909,262,7,Diego Ribas da Cunha,4,Diego,diego,0.0,Flamengo,3.75,1.72,35,https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png,Diego,0.0,,19.0,17.0,,,,3.0,17.0,1.0,2.0,,45.0,1.0,,,1.0,,,,
20,25,4.6,39148,282,5,Givanildo Vieira de Souza,5,Hulk,hulk,0.0,Atlético-MG,18.99,7.0,35,https://s.sde.globo.com/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,Hulk,0.0,,11.0,59.0,,,2.0,5.0,35.0,17.0,35.0,,169.0,15.0,,4.0,12.0,,,,
21,15,0.2,39572,314,7,José Renato da Silva Júnior,4,Renato,renato,-0.4,Avaí,3.33,1.96,35,https://s.glbimg.com/es/sde/f/2022/02/24/c65bdd88b41fe9f8ddb3c5be562e45a9_FORMATO.png,Renato,-0.01,,13.0,25.0,,,,2.0,10.0,5.0,9.0,,94.0,4.0,,1.0,,,,,
22,34,7.21,39850,327,7,Vagner Carmo Mancini,6,Vagner Mancini,vagner-mancini,7.17,América-MG,8.98,4.19,35,https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,V. Mancini,0.68,,,,,,,,,,,,,,,,,,,,
23,33,4.74,40990,262,7,Dorival Silvestre Júnior,6,Dorival Júnior,dorival-junior,3.96,Flamengo,9.81,4.92,35,https://s.glbimg.com/es/sde/f/2022/03/28/d28c444ff6eaf5f7b58d9f2ef2bd5075_FORMATO.png,D. Júnior,-0.03,,,,,,,,,,,,,,,,,,,,
24,28,1.44,42116,266,6,Willian Gomes de Siqueira,5,Willian,willian,0.0,Fluminense,4.11,1.64,35,https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png,Willian,0.0,,13.0,3.0,,,1.0,2.0,8.0,5.0,1.0,,21.0,2.0,,,3.0,,,,
25,18,5.74,42145,294,6,Egídio de Araújo Pereira Júnior,2,Egídio,egidio,4.8,Coritiba,12.18,4.13,35,https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png,Egídio,0.43,,31.0,17.0,,5.0,2.0,1.0,12.0,7.0,3.0,1.0,164.0,2.0,1.0,,1.0,,,,
26,28,3.63,42234,264,7,Cássio Roberto Ramos,1,Cássio,cassio,2.5,Corinthians,11.51,4.82,35,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,Cássio,0.03,94.0,1.0,5.0,22.0,12.0,,1.0,,,,,,,,,,,,,
27,15,3.65,42411,282,7,Alexi Stival,6,Cuca,cuca,2.63,Atlético-MG,10.98,4.46,35,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,Cuca,-0.42,,,,,,,,,,,,,,,,,,,,
28,13,1.22,42500,264,7,Fagner Conserva Lemos,2,Fagner,fagner,0.0,Corinthians,8.42,3.06,35,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png,Fagner,0.25,,19.0,5.0,,4.0,2.0,2.0,10.0,,,,104.0,1.0,,,,,,,
29,29,5.55,43618,293,7,Luiz Felipe Scolari,6,Luiz Felipe Scolari,luiz-felipe-scolari,4.97,Athlético-PR,9.92,4.38,35,https://s.glbimg.com/es/sde/f/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_FORMATO.png,L. Scolari,0.16,,,,,,,,,,,,,,,,,,,,
30,11,11.55,50317,266,6,David Braz de Oliveira Filho,3,David Braz,david-braz,0.0,Fluminense,6.53,2.21,35,https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,D. Braz,0.0,,12.0,2.0,,3.0,,2.0,11.0,1.0,4.0,,43.0,,3.0,,1.0,,,,
31,12,0.76,50347,282,6,Alan Kardec de Sousa Pereira Júnior,5,Alan Kardec,alan-kardec,0.0,Atlético-MG,6.61,2.25,35,https://s.glbimg.com/es/sde/f/2022/07/15/7596fc0c82f0af26689bc225bb5d8716_FORMATO.png,A. Kardec,0.0,,2.0,4.0,,,,,6.0,2.0,5.0,,11.0,,,1.0,2.0,,,,
