,atletas.preco_num,atletas.jogos_num,atletas.apelido,atletas.clube_id,atletas.status_id,atletas.nome,atletas.atleta_id,atletas.slug,atletas.apelido_abreviado,atletas.pontos_num,atletas.posicao_id,atletas.foto,atletas.variacao_num,atletas.rodada_id,atletas.media_num,atletas.clube.id.full.name,atletas.minimo_para_valorizar,A,CA,DS,FC,FD,FF,FS,PC,PI,SG,DE,GS,CV,FT,G,I,PP,PS,DP,GC
17,8.99,19,Mariano,282,6,Mariano Ferreira Filho,38877,mariano,Mariano,7.3,2,https://s.glbimg.com/es/sde/f/2022/07/15/c04eede8e289c2e2a9d0b82097512fdc_FORMATO.png,0.91,29,4.58,Atlético-MG,,1.0,5.0,46.0,15.0,,1.0,11.0,,150.0,9.0,,,,,,,,,,
18,3.22,15,Diego,262,6,Diego Ribas da Cunha,38909,diego,Diego,0.0,4,https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png,0.0,29,1.78,Flamengo,,,2.0,16.0,13.0,1.0,2.0,14.0,,43.0,,,,,,1.0,,,,,
19,21.88,23,Hulk,282,7,Givanildo Vieira de Souza,39148,hulk,Hulk,20.7,5,https://s.sde.globo.com/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,2.74,29,7.17,Atlético-MG,,2.0,5.0,11.0,32.0,16.0,34.0,53.0,,150.0,,,,,4.0,11.0,15.0,,,,
20,3.88,10,Renato,314,6,José Renato da Silva Júnior,39572,renato,Renato,0.0,4,https://s.glbimg.com/es/sde/f/2022/02/24/c65bdd88b41fe9f8ddb3c5be562e45a9_FORMATO.png,0.0,29,2.25,Avaí,,,1.0,11.0,7.0,3.0,5.0,20.0,,50.0,,,,,,,2.0,,,,
21,8.28,28,Vagner Mancini,327,7,Vagner Carmo Mancini,39850,vagner-mancini,V. Mancini,4.34,6,https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,0.47,29,4.09,América-MG,,,,,,,,,,,,,,,,,,,,,
22,10.11,28,Dorival Júnior,262,7,Dorival Silvestre Júnior,40990,dorival-junior,D. Júnior,6.99,6,https://s.glbimg.com/es/sde/f/2022/03/28/d28c444ff6eaf5f7b58d9f2ef2bd5075_FORMATO.png,0.8,29,4.97,Flamengo,,,,,,,,,,,,,,,,,,,,,
23,3.87,25,Willian,266,6,Willian Gomes de Siqueira,42116,willian,Willian,0.0,5,https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png,0.03,29,1.58,Fluminense,,1.0,2.0,8.0,8.0,5.0,,3.0,,19.0,,,,,,3.0,2.0,,,,
24,12.66,16,Egídio,294,6,Egídio de Araújo Pereira Júnior,42145,egidio,Egídio,0.0,2,https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png,0.0,29,4.4,Coritiba,,2.0,1.0,31.0,12.0,7.0,3.0,17.0,1.0,154.0,4.0,,,1.0,,1.0,2.0,,,,
25,12.61,25,Cássio,264,6,Cássio Roberto Ramos,42234,cassio,Cássio,9.0,1,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,1.07,29,4.94,Corinthians,,,,1.0,,,,2.0,,,11.0,85.0,19.0,,,,,,,,
26,11.57,9,Cuca,282,7,Alexi Stival,42411,cuca,Cuca,7.69,6,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,1.21,29,4.77,Atlético-MG,,,,,,,,,,,,,,,,,,,,,
27,9.77,10,Fagner,264,6,Fagner Conserva Lemos,42500,fagner,Fagner,7.8,2,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png,1.07,29,3.55,Corinthians,,1.0,1.0,16.0,4.0,,,4.0,,84.0,4.0,,,,,,1.0,,,,
28,10.12,24,Luiz Felipe Scolari,293,7,Luiz Felipe Scolari,43618,luiz-felipe-scolari,L. Scolari,6.6,6,https://s.glbimg.com/es/sde/f/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_FORMATO.png,0.92,29,4.51,Athlético-PR,,,,,,,,,,,,,,,,,,,,,
29,4.07,9,David Braz,266,2,David Braz de Oliveira Filho,50317,david-braz,D. Braz,0.0,3,https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,0.0,29,1.01,Fluminense,,,2.0,9.0,10.0,1.0,4.0,2.0,,32.0,2.0,,,3.0,,,,,,,
30,7.17,7,Alan Kardec,282,6,Alan Kardec de Sousa Pereira Júnior,50347,alan-kardec,A. Kardec,0.0,5,https://s.glbimg.com/es/sde/f/2022/07/15/7596fc0c82f0af26689bc225bb5d8716_FORMATO.png,0.0,29,3.53,Atlético-MG,,,,1.0,5.0,2.0,4.0,2.0,,6.0,,,,,1.0,2.0,,,,,
31,6.55,25,Titi,356,6,Christian Chagas Tarouco,50353,titi,Titi,5.7,3,https://s.glbimg.com/es/sde/f/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png,0.76,29,3.33,Fortaleza,,,2.0,34.0,34.0,,2.0,18.0,,105.0,11.0,,,,,,2.0,,,,
32,3.31,5,Dentinho,354,6,Bruno Ferreira Bonfim,50428,dentinho,Dentinho,0.0,5,https://s.glbimg.com/es/sde/f/2022/03/11/e3b360fda749e06fb7f50ec9ccbb74d7_FORMATO.png,0.0,29,0.36,Ceará,,,,3.0,5.0,,,,,2.0,,,,,,,1.0,,,,
33,4.0,0,Eduardo,327,6,Carlos Eduardo Santos Oliveira,50645,eduardo,Eduardo,0.0,2,https://s.glbimg.com/es/sde/f/2022/08/16/763e722867751c09a3568b9a8117bb29_FORMATO.jpeg,0.0,29,0.0,América-MG,,,,,,,,,,,,,,,,,,,,,
34,5.07,16,Henrique,294,6,Henrique Adriano Buss,50856,henrique,Henrique,0.0,3,https://s.glbimg.com/es/sde/f/2022/02/23/cb5893cb9455c5aab2d21fd3f512ece2_FORMATO.png,0.0,29,1.73,Coritiba,,,4.0,18.0,12.0,3.0,6.0,4.0,2.0,66.0,3.0,,,1.0,1.0,,1.0,,,,1.0
35,3.15,6,Marlos,293,6,Marlos Romero Bonfim,50879,marlos,Marlos,0.0,4,https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png,0.0,29,0.48,Athlético-PR,,,,2.0,1.0,1.0,,2.0,,14.0,,,,,,,,,,,
36,5.58,14,Apodi,290,6,Luiz Diallison de Souza Alves,51042,apodi,Apodi,0.0,4,https://s.glbimg.com/es/sde/f/2022/03/02/2c74555af9089b55a230b00443763cf4_FORMATO.jpeg,0.0,29,2.35,Goiás,,1.0,2.0,13.0,18.0,3.0,4.0,14.0,,30.0,,,,,,1.0,1.0,,1.0,,
37,11.76,23,Walter,1371,5,Walter Leandro Capeloza Artune,51413,walter,Walter,0.0,1,https://s.glbimg.com/es/sde/f/2021/05/28/50f29a94dff6b578111f33d689953f3c_FORMATO.png,0.0,29,3.92,Cuiabá,,,,3.0,,,,3.0,,,6.0,76.0,21.0,,,,,,,,
38,4.77,23,Giuliano,264,6,Giuliano Victor de Paula,51548,giuliano,Giuliano,-0.3,4,https://s.glbimg.com/es/sde/f/2022/04/27/9ac23014ff9196c4c2a10d652798dcfa_FORMATO.png,-0.06,29,1.56,Corinthians,,2.0,2.0,19.0,13.0,2.0,9.0,12.0,,65.0,,,,,,,2.0,,,,
39,9.2,26,Everton Ribeiro,262,7,Everton Augusto de Barros Ribeiro,51772,everton-ribeiro,E. Ribeiro,4.8,4,https://s.sde.globo.com/media/person_role/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png,-0.17,29,4.09,Flamengo,,4.0,,38.0,24.0,9.0,5.0,51.0,,144.0,,,,,2.0,2.0,1.0,,,,
