,atletas.clube.id.full.name,atletas.status_id,atletas.foto,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.jogos_num,atletas.media_num,atletas.preco_num,atletas.apelido_abreviado,atletas.apelido,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.variacao_num,atletas.pontos_num,atletas.nome,atletas.clube_id,DE,DS,FS,GS,SG,A,CA,FC,FD,FF,GC,PI,FT,G,I,CV,PP,PC,PS,DP
15,Fluminense,5,https://s.glbimg.com/es/sde/f/2022/04/20/0cf7c39e0e85080dc2234671994e19d9_FORMATO.png,3,matheus-ferraz,38632,0,0.0,3.0,M. Ferraz,Matheus Ferraz,2.62,27,0.0,0.0,Matheus Ferraz Pereira,266,,,,,,,,,,,,,,,,,,,,
16,Flamengo,7,https://s.glbimg.com/es/sde/f/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png,2,filipe-luis,38750,7,3.53,6.56,F. Luís,Filipe Luís,6.36,27,-0.12,6.1,Filipe Luís Kasmirski,262,,16.0,7.0,,1.0,,1.0,4.0,,2.0,,24.0,,,,,,,,
17,Atlético-MG,6,https://s.glbimg.com/es/sde/f/2022/07/15/c04eede8e289c2e2a9d0b82097512fdc_FORMATO.png,2,mariano,38877,17,4.54,7.83,Mariano,Mariano,1.24,27,-1.19,-0.4,Mariano Ferreira Filho,282,,42.0,9.0,,8.0,1.0,5.0,14.0,,1.0,,143.0,,,,,,,,
18,Flamengo,6,https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png,4,diego,38909,14,1.97,3.81,Diego,Diego,1.62,27,0.0,0.0,Diego Ribas da Cunha,262,,16.0,13.0,,,,1.0,12.0,1.0,2.0,,42.0,,1.0,,,,,,
19,Atlético-MG,2,https://s.sde.globo.com/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,5,hulk,39148,21,6.59,21.11,Hulk,Hulk,17.64,27,0.0,0.0,Givanildo Vieira de Souza,282,,10.0,49.0,,,2.0,5.0,31.0,13.0,30.0,,130.0,3.0,9.0,14.0,,,,,
20,Avaí,6,https://s.glbimg.com/es/sde/f/2022/02/24/c65bdd88b41fe9f8ddb3c5be562e45a9_FORMATO.png,4,renato,39572,10,2.25,3.88,Renato,Renato,2.08,27,0.0,0.0,José Renato da Silva Júnior,314,,11.0,20.0,,,,1.0,7.0,3.0,5.0,,50.0,,,2.0,,,,,
21,América-MG,7,https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,6,vagner-mancini,39850,26,4.16,8.68,V. Mancini,Vagner Mancini,7.27,27,0.51,6.78,Vagner Carmo Mancini,327,,,,,,,,,,,,,,,,,,,,
22,Flamengo,7,https://s.glbimg.com/es/sde/f/2022/03/28/d28c444ff6eaf5f7b58d9f2ef2bd5075_FORMATO.png,6,dorival-junior,40990,26,4.98,9.71,D. Júnior,Dorival Júnior,5.46,27,0.18,4.35,Dorival Silvestre Júnior,262,,,,,,,,,,,,,,,,,,,,
23,Fluminense,6,https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png,5,willian,42116,23,1.73,4.1,Willian,Willian,1.56,27,-0.21,0.9,Willian Gomes de Siqueira,266,,8.0,3.0,,,1.0,2.0,8.0,5.0,,,18.0,,3.0,2.0,,,,,
24,Coritiba,6,https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png,2,egidio,42145,16,4.4,12.66,Egídio,Egídio,6.75,27,0.0,0.0,Egídio de Araújo Pereira Júnior,294,,31.0,17.0,,4.0,2.0,1.0,12.0,7.0,3.0,,154.0,,1.0,2.0,1.0,,1.0,,
25,Corinthians,7,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,1,cassio,42234,23,4.82,12.0,Cássio,Cássio,6.49,27,0.68,5.0,Cássio Roberto Ramos,264,77.0,1.0,1.0,18.0,10.0,,,,,,,,,,,,,,,
