,atletas.clube.id.full.name,atletas.status_id,atletas.foto,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.jogos_num,atletas.media_num,atletas.preco_num,atletas.apelido_abreviado,atletas.apelido,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.variacao_num,atletas.pontos_num,atletas.nome,atletas.clube_id,DE,DS,FS,GS,SG,A,CA,FC,FD,FF,GC,PI,FT,G,I,CV,PP,PC,PS,DP
186,Fortaleza,6,https://s.glbimg.com/es/sde/f/2022/07/16/c5f5df2eead162d7dc6248c825aa23b0_FORMATO.png,4,otero,83004,2,0.75,4.88,Otero,Otero,0.88,27,0.0,0.0,Rómulo Otero Vásquez,356,,1.0,2.0,,,,,,,,,7.0,,,,,,,,
187,Flamengo,7,https://s.sde.globo.com/media/person_role/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png,5,gabriel,83257,23,3.6,10.84,Gabriel,Gabriel,7.36,27,0.16,6.3,Gabriel Barbosa Almeida,262,,5.0,14.0,,,1.0,7.0,10.0,12.0,14.0,,90.0,1.0,8.0,15.0,1.0,1.0,,,
188,São Paulo,6,https://s.glbimg.com/es/sde/f/2022/06/28/beaa874f9953e86894fb3ff1e44fd934_FORMATO.png,5,marcos-guilherme,83266,8,1.16,4.2,M. Guilherme,Marcos Guilherme,1.14,27,-0.17,0.4,Marcos Guilherme de Almeida Santos Matos,276,,4.0,3.0,,,,,1.0,2.0,3.0,,14.0,,,1.0,,,,,
189,São Paulo,6,https://s.sde.globo.com/media/person_role/2022/03/01/6ebefc2dde70dd404af0145a962b55d4_FORMATO.png,4,patrick,83433,21,4.53,10.38,Patrick,Patrick,10.32,27,1.21,10.0,Patrick Bezerra do Nascimento,276,,43.0,25.0,,,2.0,4.0,22.0,2.0,8.0,,90.0,,4.0,2.0,,,,,
190,Juventude,7,https://s.glbimg.com/es/sde/f/2022/03/03/fc970f8486208ea64d2857c89a9ea781_FORMATO.png,5,guilherme-parede,83438,13,1.27,3.37,G. Parede,Guilherme Parede,6.75,27,0.0,0.0,Guilherme Parede Pinheiro,286,,3.0,6.0,,,1.0,2.0,7.0,3.0,3.0,,49.0,,1.0,1.0,,,,,
191,Flamengo,7,https://s.glbimg.com/es/sde/f/2022/03/04/f8401115c5ce6574f1f6fb8e8cfccee6_FORMATO.png,3,leo-pereira,83528,9,2.43,3.3,L. Pereira,Léo Pereira,2.22,27,0.1,1.9,Leonardo Pereira,262,,10.0,8.0,,3.0,,2.0,10.0,1.0,1.0,,49.0,,,2.0,,,1.0,,
192,Coritiba,6,https://s.glbimg.com/es/sde/f/2022/03/14/cb2e543c7dc405836f0fe7262ffe1ec4_FORMATO.png,5,neilton,83772,3,0.74,3.68,Neilton,Neilton,3.12,27,0.0,0.0,Neilton Meira Mestzk,294,,2.0,1.0,,,,1.0,1.0,1.0,,,6.0,,,,,,,,
193,Botafogo,7,https://s.glbimg.com/es/sde/f/2022/08/16/f47b785622d8aa181e13a5adc40ecb4b_FORMATO.png,5,tiquinho-soares,84042,3,7.0,9.18,T. Soares,Tiquinho Soares,7.1,27,1.17,8.7,Francisco das Chagas Soares dos Santos Meireles,263,,2.0,10.0,,,,,5.0,4.0,6.0,,23.0,,1.0,2.0,,,,,
194,Atlético-MG,7,https://s.glbimg.com/es/sde/f/2022/07/04/27bdac865fa3643b7bb816915def4a64_FORMATO.png,3,jemerson,84263,2,1.45,5.02,Jemerson,Jemerson,-0.71,27,-1.27,-2.1,Jemerson de Jesus Nascimento,282,,,,,1.0,,1.0,3.0,,,,2.0,,,,,,,,
195,Fortaleza,6,https://s.glbimg.com/es/sde/f/2022/02/23/0784484c9e35ebc5b014f365b5cbb5cc_FORMATO.png,1,max-walef,84338,5,1.4,2.88,M. Walef,Max Walef,2.08,27,0.0,0.0,Max Walef Araújo da Silva,356,13.0,,,6.0,,,,,,,,,,,,,,,,
196,Corinthians,6,https://s.glbimg.com/es/sde/f/2022/04/27/35be6fa24036e64091a63cca0ac892d9_FORMATO.png,2,bruno-melo,84339,5,3.26,4.89,B. Melo,Bruno Melo,4.28,27,0.0,0.0,Bruno Ferreira Melo,264,,2.0,3.0,,3.0,,1.0,6.0,1.0,2.0,,24.0,,,2.0,,,,,
197,Goiás,7,https://s.glbimg.com/es/sde/f/2022/04/05/07d7f2dc608c0833bf6c29c75cb93a43_FORMATO.png,2,danilo-barcelos,84382,17,1.52,3.04,D. Barcelos,Danilo Barcelos,1.0,27,0.0,0.0,Danilo Carvalho Barcelos,290,,15.0,8.0,,4.0,1.0,5.0,24.0,,4.0,,120.0,,,1.0,,,,,
198,Ceará,6,https://s.glbimg.com/es/sde/f/2022/02/22/d34e2d5762bbaacd3bc3b1940e28f7dd_FORMATO.png,4,fernando-sobral,84428,13,1.51,5.83,F. Sobral,Fernando Sobral,2.68,27,0.0,0.0,Fernando Pereira do Nascimento,354,,9.0,10.0,,,,1.0,5.0,3.0,4.0,,36.0,1.0,,,,,,,
199,Fortaleza,2,https://s.glbimg.com/es/sde/f/2022/05/12/ccaf4552cbd0363c0a3fceefa2bf00bf_FORMATO.png,5,romarinho,84523,16,2.65,3.59,Romarinho,Romarinho,1.87,27,0.0,0.0,José Romário Silva de Souza,356,,10.0,23.0,,,1.0,2.0,9.0,2.0,12.0,,63.0,,2.0,2.0,1.0,,,,
200,Bragantino,7,https://s.glbimg.com/es/sde/f/2022/05/05/175c2911cb392a7305aef49766feb459_FORMATO.png,4,lucas-evangelista,84674,23,3.55,10.3,L. Evangelista,Lucas Evangelista,6.63,27,0.73,5.6,Lucas Evangelista Santana de Oliveira,280,,33.0,43.0,,,1.0,1.0,27.0,6.0,17.0,,108.0,1.0,2.0,2.0,,1.0,,,
201,Flamengo,6,https://s.sde.globo.com/media/person_role/2022/09/16/photo_FORMATO_NRQp1lu.png,2,varela,84816,1,1.4,6.39,Varela,Varela,0.79,27,0.0,0.0,Guillermo Varela Olivera,262,,1.0,1.0,,,,,,,,,3.0,,,,,,,,
202,Fortaleza,3,https://s.glbimg.com/es/sde/f/2022/05/12/b000ff4ab3334924aefc7d073b85809e_FORMATO.png,5,robson,84817,21,3.7,6.65,Robson,Robson,1.24,27,-0.38,0.0,Robson dos Santos Fernandes,356,,15.0,29.0,,,3.0,6.0,38.0,10.0,15.0,,70.0,1.0,4.0,15.0,,1.0,,1.0,
203,Fortaleza,6,https://s.glbimg.com/es/sde/f/2022/07/16/89176758f659f2237119a0bced3a49fb_FORMATO.png,4,fabricio-baiano,84993,4,0.47,2.78,F. Baiano,Fabrício Baiano,0.86,27,0.0,0.0,Fabrício Santos de Jesus,356,,2.0,1.0,,,,,1.0,,,,7.0,,,,,,,,
204,Fluminense,6,https://s.glbimg.com/es/sde/f/2022/04/20/ab25269795dde58cb608244ba84cb88d_FORMATO.png,1,marcos-felipe,85004,0,0.0,7.0,M. Felipe,Marcos Felipe,6.39,27,0.0,0.0,Marcos Felipe de Freitas Monteiro,266,,,,,,,,,,,,,,,,,,,,
205,Palmeiras,6,https://s.glbimg.com/es/sde/f/2022/02/21/6b18b6e2028293647615790cb3edf11f_FORMATO.png,1,vinicius-silvestre,85083,0,0.0,4.0,V. Silvestre,Vinicius Silvestre,3.56,27,0.0,0.0,Vinicius Silvestre da Costa,275,,,,,,,,,,,,,,,,,,,,
206,Corinthians,6,https://s.glbimg.com/es/sde/f/2022/04/27/c87878b94e3c0c01f4d753ca9ee6fa0c_FORMATO.png,4,cantillo,85315,16,1.98,4.87,Cantillo,Cantillo,1.23,27,0.0,0.0,Víctor Danilo Cantillo Jiménez,264,,26.0,20.0,,,,1.0,10.0,,1.0,,62.0,,,,,,,,
207,Cuiabá,6,https://s.glbimg.com/es/sde/f/2022/02/23/ec8d7f67b026fc679f8ac3b10514eefd_FORMATO.png,4,valdivia,85423,22,2.43,5.68,Valdívia,Valdívia,2.94,27,0.0,0.0,Wanderson Ferreira de Oliveira,1371,,20.0,26.0,,,,3.0,15.0,6.0,11.0,,110.0,1.0,2.0,2.0,,,,,
208,Santos,7,https://s.glbimg.com/es/sde/f/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png,1,joao-paulo,85425,25,4.48,13.18,J. Paulo,João Paulo,3.44,27,0.13,1.0,João Paulo Silva Martins,277,96.0,1.0,5.0,24.0,8.0,,4.0,,,,,,,,,,,,,
209,Athlético-PR,7,https://s.glbimg.com/es/sde/f/2022/07/29/9bcc147b812ef5698e82fee8e3a18b98_FORMATO.png,4,alex-santana,85465,5,3.34,6.35,A. Santana,Alex Santana,2.07,27,-0.26,1.2,Alex Paulo Menezes Santana,293,,12.0,7.0,,,,2.0,5.0,1.0,3.0,,13.0,,,,,,,,
210,São Paulo,6,https://s.glbimg.com/es/sde/f/2022/03/01/7be60e39236cf34421178ed1ea9b2145_FORMATO.png,3,leo,85626,19,1.84,5.28,Léo,Léo,4.26,27,0.04,3.9,Leonardo Pinheiro da Conceição,276,,17.0,9.0,,5.0,,3.0,17.0,,4.0,,98.0,,,,,,,,
211,Bragantino,7,https://s.glbimg.com/es/sde/f/2022/05/05/d656de14270c212a9409e2e8138e3b20_FORMATO.png,4,hyoran,85931,17,3.84,7.24,Hyoran,Hyoran,2.4,27,-0.12,1.2,Hyoran Kaue Dalmoro,280,,15.0,9.0,,,2.0,1.0,11.0,10.0,14.0,,101.0,,3.0,,,,,,
212,Botafogo,6,https://s.glbimg.com/es/sde/f/2022/04/13/ece78d4e91579f63c336f5010cbf9053_FORMATO.png,5,gustavo-sauer,85993,6,1.1,3.88,G. Sauer,Gustavo Sauer,0.44,27,-0.47,-0.4,Gustavo Affonso Sauerbeck,263,,5.0,2.0,,,,,3.0,2.0,,,19.0,,,,,,,,
213,Ceará,6,https://s.glbimg.com/es/sde/f/2022/06/23/a9b4d32f7d6d9e4fc96279399e6ab904_FORMATO.png,4,diego,86029,3,1.47,2.51,Diego,Diego,1.72,27,-0.12,1.5,Diego Rigonato Rodrigues,354,,1.0,4.0,,,,,1.0,2.0,,,9.0,,,,,,,,
214,Atlético-GO,6,https://s.glbimg.com/es/sde/f/2022/03/03/e4318c57015f1d5169d4e83fc7af4813_FORMATO.png,3,wanderson,86143,17,0.75,2.21,Wanderson,Wanderson,0.34,27,0.0,0.0,Wanderson Santos Pereira,373,,6.0,4.0,,2.0,,1.0,13.0,,3.0,,40.0,,,,,,,,
215,Avaí,6,https://s.glbimg.com/es/sde/f/2022/07/18/04d6865853a44f1a0a32d6f5ce32e9fe_FORMATO.png,2,natanael,86264,7,5.46,7.61,Natanael,Natanael,7.23,27,0.52,6.9,Natanael Batista Pimenta,314,,9.0,7.0,,1.0,3.0,,8.0,4.0,5.0,,52.0,1.0,,3.0,,,,,
216,América-MG,7,https://s.glbimg.com/es/sde/f/2022/02/24/4b65fc3f258e926df6bf12c3abbfa9a0_FORMATO.png,4,ale,86388,17,2.91,8.25,Alê,Alê,4.58,27,0.63,3.6,Alexandre Egea,327,,27.0,30.0,,,1.0,,27.0,3.0,5.0,,76.0,,1.0,,1.0,,,,
217,Ceará,6,https://s.glbimg.com/es/sde/f/2022/02/22/451062f55ce1f1bb899af8a090cd1bb5_FORMATO.png,2,victor-luis,86410,14,1.78,4.53,V. Luis,Victor Luis,0.29,27,-0.33,-0.7,Victor Luis Chuab Zamblauskas,354,,11.0,11.0,,2.0,,,10.0,2.0,4.0,,64.0,,,,,,,,
218,Avaí,6,https://s.sde.globo.com/media/person_role/2022/08/16/aa71716a1e7b6d5f4f466762f82871f8_FORMATO.png,5,pablo-dyego,86444,2,0.65,2.77,P. Dyego,Pablo Dyego,1.44,27,-0.31,1.1,Pablo Dyego da Silva Rosa,314,,1.0,2.0,,,,,2.0,,,,3.0,,,,,,,,
219,Atlético-MG,7,https://s.glbimg.com/es/sde/f/2022/07/15/820234c0ffc99499256049457624d710_FORMATO.png,5,keno,86485,17,3.59,7.61,Keno,Keno,4.52,27,-1.22,3.6,Marcos da Silva França,282,,21.0,18.0,,,1.0,2.0,9.0,7.0,16.0,,103.0,,2.0,3.0,,,,,
220,São Paulo,6,https://s.glbimg.com/es/sde/f/2022/03/01/aea40f3f23e91096dde97a5b7a877640_FORMATO.png,1,jandrei,86508,19,2.6,6.39,Jandrei,Jandrei,2.1,27,0.0,0.0,Jandrei Chitolina Carniel,276,47.0,,3.0,19.0,4.0,,,,,,,,,,,,,,,
221,Ceará,7,https://s.glbimg.com/es/sde/f/2022/02/22/6e7e2815732004f3d9c34e0dae8ce6f7_FORMATO.png,4,richardson,86536,20,1.82,3.18,Richardson,Richardson,0.7,27,-0.03,0.1,Richardson Fernandes dos Santos,354,,43.0,22.0,,,,7.0,41.0,,3.0,,54.0,,,,1.0,,1.0,,
222,Atlético-GO,7,https://s.glbimg.com/es/sde/f/2022/03/03/ac8a8dbf454accfda9793bed640e7799_FORMATO.png,2,arthur-henrique,86629,16,1.42,3.34,A. Henrique,Arthur Henrique,2.3,27,0.07,2.0,Arthur Henrique Peixoto Santos,373,,21.0,7.0,,1.0,,,7.0,,,,60.0,,,,1.0,,,,
223,Juventude,7,https://s.glbimg.com/es/sde/f/2022/03/03/9c3587675488eeeb0991d8754b8cee2b_FORMATO.png,2,rodrigo-soares,86675,23,2.03,2.58,R. Soares,Rodrigo Soares,0.16,27,-0.28,-0.4,Rodrigo Alves Soares,286,,28.0,3.0,,4.0,1.0,3.0,20.0,2.0,4.0,,179.0,,1.0,,,,,,
224,Botafogo,7,https://s.glbimg.com/es/sde/f/2022/04/14/0837ace715e5ba9dc6b7efa8744ddb15_FORMATO.png,4,tche-tche,86686,19,1.55,4.03,T. Tchê,Tchê Tchê,0.97,27,-0.53,0.2,Danilo das Neves Pinheiro,263,,20.0,28.0,,,,1.0,27.0,3.0,6.0,,78.0,,,,,,,,
225,Ceará,7,https://s.glbimg.com/es/sde/f/2022/02/22/a9032c07d987ecaec7516f2037a7de70_FORMATO.png,4,richard-coelho,86711,21,2.03,4.73,R. Coelho,Richard Coelho,1.0,27,-0.25,0.1,Richard Cândido Coelho,354,,41.0,23.0,,,1.0,7.0,40.0,5.0,4.0,,99.0,,,2.0,1.0,,,,
226,Flamengo,3,https://s.glbimg.com/es/sde/f/2022/07/15/353ea5b8887c0e119da1d3a27bff35d6_FORMATO.png,5,everton,86757,10,3.27,11.54,Everton,Everton,3.9,27,-0.03,2.0,Everton Sousa Soares,262,,9.0,9.0,,,2.0,,7.0,7.0,9.0,,61.0,1.0,,,1.0,,,,
227,Santos,6,https://s.glbimg.com/es/sde/f/2022/08/05/844f17537a7b2cdc6437bb662770240a_FORMATO.png,4,luan,86759,3,3.53,4.8,Luan,Luan,0.49,27,0.0,0.0,Luan Guilherme de Jesus Vieira,277,,1.0,5.0,,,1.0,,,,3.0,,5.0,,,,,,,,
228,Cuiabá,7,https://s.glbimg.com/es/sde/f/2022/08/04/f1b96cd2e1a5c62c2aec694945991675_FORMATO.png,2,sidcley,86764,4,1.92,4.17,Sidcley,Sidcley,1.1,27,0.0,0.0,Sidcley Ferreira Pereira,1371,,3.0,1.0,,1.0,,,,,1.0,,22.0,,,,,,,,
229,Botafogo,6,https://s.glbimg.com/es/sde/f/2022/08/12/7d590ab4c6d70f44e3ca55f066cacbb7_FORMATO.png,4,danilo-barbosa,86777,3,0.5,3.98,D. Barbosa,Danilo Barbosa,0.97,27,-0.35,0.2,Danilo Barbosa da Silva,263,,2.0,2.0,,,,1.0,4.0,1.0,,,9.0,,,,,,,,
230,Coritiba,6,https://s.glbimg.com/es/sde/f/2022/08/12/8bbade4dbabca44eb3eda2767deda745_FORMATO.png,4,boschilia,86841,5,1.96,4.0,Boschilia,Boschilia,1.6,27,0.0,0.0,Gabriel Boschilia,294,,4.0,3.0,,,1.0,1.0,3.0,,2.0,,12.0,,,,,,,,
231,Fortaleza,7,https://s.glbimg.com/es/sde/f/2022/05/12/32f4ef48713e5687dbe666e42316e4ad_FORMATO.png,4,jose-welison,86859,17,3.07,5.84,J. Welison,José Welison,5.88,27,0.19,5.7,José Welison da Silva,356,,36.0,11.0,,,,3.0,23.0,2.0,11.0,,88.0,1.0,1.0,,,,,,
232,América-MG,7,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/02/25/d945a3ac1fe38c28ea612a9d62b68a37_FORMATO.png,2,marlon,86864,20,4.79,6.57,Marlon,Marlon,7.61,27,0.24,7.6,Marlon Matheus Lopes do Nascimento,327,,52.0,22.0,,7.0,1.0,5.0,28.0,4.0,13.0,,164.0,,,,1.0,,,,
233,Santos,7,https://s.glbimg.com/es/sde/f/2022/03/03/c89e866fa7fb43aaf3b818e5578644d5_FORMATO.png,3,eduardo-bauermann,86970,23,3.82,9.86,E. Bauermann,Eduardo Bauermann,5.4,27,0.4,4.2,Eduardo Gabriel dos Santos Bauermann,277,,27.0,18.0,,9.0,1.0,5.0,8.0,3.0,4.0,,73.0,1.0,,1.0,,,,1.0,
234,Atlético-GO,6,https://s.glbimg.com/es/sde/f/2022/07/28/5ddfe529ef61fe54a0aa6410f1a57699_FORMATO.png,3,emerson-santos,86972,0,0.0,4.0,E. Santos,Emerson Santos,3.56,27,0.0,0.0,Emerson Raymundo Santos,373,,,,,,,,,,,,,,,,,,,,
235,Fluminense,6,https://s.glbimg.com/es/sde/f/2022/04/20/2662f106e29e9ae55a0ef2dd5992e969_FORMATO.png,4,nathan,87009,15,2.66,5.73,Nathan,Nathan,7.84,27,0.83,8.1,Nathan Allan de Souza,266,,10.0,8.0,,,1.0,2.0,8.0,6.0,9.0,,69.0,,2.0,1.0,,,,,
236,Ceará,5,https://s.glbimg.com/es/sde/f/2022/03/14/2eb9eaecb0ea8315d3d9f2e457dac7c4_FORMATO.png,5,matheus-peixoto,87098,11,1.48,5.51,M. Peixoto,Matheus Peixoto,2.17,27,0.0,0.0,Matheus Vieira Campos Peixoto,354,,5.0,6.0,,,1.0,,6.0,4.0,3.0,,28.0,,,3.0,,,,,
237,Atlético-GO,7,https://s.glbimg.com/es/sde/f/2022/03/08/7e94aeb464052c259e6a403d822724af_FORMATO.png,6,eduardo-baptista,87211,15,2.85,6.3,E. Baptista,Eduardo Baptista,3.15,27,0.17,2.15,Eduardo Augusto Baptista Miguel,373,,,,,,,,,,,,,,,,,,,,
238,Athlético-PR,2,https://s.glbimg.com/es/sde/f/2021/05/02/f5dd1bb01acb5eb9e0601cc31c8020f5_FORMATO.png,3,pedro-henrique,87225,21,4.05,7.74,P. Henrique,Pedro Henrique,2.1,27,-0.01,0.7,Pedro Henrique Ribeiro Gonçalves,293,,47.0,20.0,,7.0,,5.0,16.0,4.0,1.0,,119.0,,,,,,,,
239,Atlético-MG,5,https://s.sde.globo.com/media/person_role/2022/07/15/15c5ec9f4de048f57500c0cfa19f5568_FORMATO.png,2,guilherme-arana,87228,18,4.23,12.12,G. Arana,Guilherme Arana,6.64,27,0.0,0.0,Guilherme Antonio Arana Lopes,282,,22.0,13.0,,8.0,2.0,4.0,25.0,4.0,16.0,,147.0,1.0,,1.0,,,1.0,,
240,Coritiba,7,https://s.glbimg.com/es/sde/f/2022/02/23/e40fd20b4f4e43234a7d5ac7d2107fc6_FORMATO.png,3,guillermo-santos,87238,11,3.98,5.95,G. Santos,Guillermo Santos,3.43,27,0.0,0.0,Guillermo Gabriel de los Santos Viana - Daniel,294,,21.0,6.0,,3.0,1.0,2.0,4.0,3.0,1.0,,56.0,,,,,,,,
241,Internacional,6,https://s.glbimg.com/es/sde/f/2022/04/02/d2010e9182e074fe4a26c1c6d39304dc_FORMATO.png,5,carlos-de-pena,87242,23,3.7,6.06,C. Pena,Carlos de Pena,2.08,27,0.29,1.1,Carlos María de Pena Bonino,285,,33.0,11.0,,,5.0,6.0,19.0,12.0,18.0,,251.0,1.0,3.0,,,1.0,,,
242,Santos,6,https://s.glbimg.com/es/sde/f/2020/02/28/1ad66e771f5acc6f55ab13d6cdc8b6f4_FORMATO.png,5,soteldo,87258,5,2.32,9.25,Soteldo,Soteldo,2.72,27,-0.21,1.0,Yeferson Julio Soteldo Martínez,277,,1.0,9.0,,,1.0,1.0,2.0,3.0,5.0,,50.0,,,1.0,,,,,
243,Atlético-GO,7,https://s.glbimg.com/es/sde/f/2022/07/22/3d441c6c216df311f638855e5ae9f952_FORMATO.png,4,willian-maranhao,87262,12,1.23,3.72,W. Maranhão,Willian Maranhão,2.19,27,0.16,1.8,Willian Marlon Ferreira Moraes,373,,16.0,6.0,,,,4.0,12.0,,5.0,,37.0,,,1.0,,,,,
244,Ceará,7,https://s.glbimg.com/es/sde/f/2022/02/22/871ec7ac3407b7d4cb4080a3fce62515_FORMATO.png,3,messias,87402,21,1.6,3.94,Messias,Messias,1.42,27,0.17,0.8,Messias Rodrigues da Silva Júnior,354,,11.0,7.0,,5.0,,4.0,18.0,3.0,4.0,,74.0,1.0,,,,,1.0,,
245,Athlético-PR,6,https://s.glbimg.com/es/sde/f/2022/02/21/2a32e3c3943071802ba1b4023aaab2a0_FORMATO.png,4,vitor-bueno,87552,15,3.14,4.51,V. Bueno,Vitor Bueno,2.48,27,0.0,0.0,Vitor Frezarin Bueno,293,,11.0,13.0,,,1.0,2.0,9.0,2.0,10.0,,73.0,,3.0,1.0,,,,,
246,Juventude,5,https://s.glbimg.com/es/sde/f/2022/07/29/30173d69a7048132aa419f0efded3f32_FORMATO.png,4,anderson-leite,87691,2,1.95,3.71,A. Leite,Anderson Leite,1.78,27,0.0,0.0,Anderson Leite Moraes,286,,4.0,1.0,,,,,3.0,,,,5.0,,,,,,,,
247,Fluminense,2,https://s.glbimg.com/es/sde/f/2022/04/20/ab8a626607a5cce566a4090db8ae4c19_FORMATO.png,4,yago-felipe,87747,13,1.59,5.16,Y. Felipe,Yago Felipe,2.02,27,0.0,1.2,Yago Felipe da Costa Rocha,266,,14.0,21.0,,,,2.0,11.0,2.0,4.0,,68.0,,,1.0,,,,,
248,Botafogo,6,https://s.glbimg.com/es/sde/f/2022/03/10/0b9c95c7f9a5612681798da7797e3cec_FORMATO.png,3,philipe-sampaio,87808,13,1.16,2.33,P. Sampaio,Philipe Sampaio,0.64,27,0.0,0.0,Philipe Sampaio Azevedo,263,,12.0,7.0,,3.0,,2.0,17.0,,1.0,,44.0,,,1.0,2.0,,1.0,,
249,Fluminense,2,https://s.glbimg.com/es/sde/f/2022/02/24/276aa6ed48cc157820cbf56e845f043f_FORMATO.png,2,pineida,87838,7,2.74,4.72,Pineida,Pineida,5.9,27,0.0,0.0,Mario Alberto Pineida Martínez,266,,,6.0,,4.0,,,6.0,,1.0,,28.0,,,,,,,,
250,Flamengo,6,https://s.sde.globo.com/media/person_role/2022/04/25/cc92618f5866aefc097fc6f6ad12eef6_FORMATO.png,4,arrascaeta,87863,20,6.27,18.25,Arrascaeta,Arrascaeta,11.3,27,1.34,9.3,Giorgian Daniel de Arrascaeta Benedetti,262,,33.0,38.0,,,7.0,,7.0,11.0,19.0,,173.0,2.0,2.0,2.0,,,,1.0,
251,Corinthians,7,https://s.glbimg.com/es/sde/f/2018/03/19/8391694cbff5bcefdd87bc85cc615423_FORMATO.png,3,balbuena,87887,7,5.2,10.23,Balbuena,Balbuena,5.53,27,0.0,0.0,Fabián Cornelio Balbuena González,264,,13.0,3.0,,2.0,,1.0,5.0,,2.0,,48.0,,2.0,,,,1.0,,
252,Fortaleza,6,https://s.glbimg.com/es/sde/f/2022/05/12/8d527aee11a3ca28fe1dab544e70733d_FORMATO.png,4,matheus-vargas,87929,11,1.01,3.19,M. Vargas,Matheus Vargas,0.66,27,0.0,0.0,Matheus de Vargas,356,,4.0,11.0,,,,2.0,11.0,4.0,7.0,,40.0,,,3.0,,,,,
253,Palmeiras,7,https://s.sde.globo.com/media/person_role/2022/02/21/7f4f870f8251e4f95ab6d372a22919c1_FORMATO.png,4,gustavo-scarpa,87999,24,6.17,11.62,G. Scarpa,Gustavo Scarpa,2.41,27,-1.17,0.1,Gustavo Henrique Furtado Scarpa,275,,15.0,53.0,,,9.0,,8.0,23.0,31.0,,287.0,2.0,4.0,8.0,,,,,
254,Cuiabá,7,https://s.glbimg.com/es/sde/f/2022/07/20/5db43ec8756f6951151160f78ec748cb_FORMATO.png,3,alan-empereur,88033,17,1.3,4.56,A. Empereur,Alan Empereur,0.8,27,-0.43,-0.1,Alan Pereira Empereur,1371,,11.0,15.0,,4.0,,4.0,14.0,,,,72.0,,,,1.0,,,,
255,Botafogo,7,https://s.glbimg.com/es/sde/f/2022/02/21/3d4eb55c672851b1407085b09c4dfbb4_FORMATO.png,6,luis-castro,88037,27,4.14,9.91,L. Castro,Luís Castro,7.97,27,0.48,7.3,Luís Manuel Ribeiro de Castro,263,,,,,,,,,,,,,,,,,,,,
256,Palmeiras,6,https://s.glbimg.com/es/sde/f/2022/02/21/93adceb828cf61a7789b7674fbd4e929_FORMATO.png,2,jorge,88065,7,3.93,3.46,Jorge,Jorge,2.12,27,0.0,0.0,Jorge Marco de Oliveira Moraes,275,,9.0,9.0,,4.0,,1.0,4.0,,2.0,1.0,42.0,,,,,,,,
257,Atlético-GO,5,https://s.glbimg.com/es/sde/f/2022/03/03/addba459fcb5f0a6de801f763b1f8375_FORMATO.png,3,ramon-menezes,88087,14,1.48,3.94,R. Menezes,Ramon Menezes,2.38,27,0.0,0.0,Ramon Menezes Roma,373,,9.0,,,2.0,,2.0,10.0,3.0,2.0,,33.0,1.0,,,,,,,
258,Cuiabá,6,https://s.glbimg.com/es/sde/f/2022/04/21/eb1d1f53750f2ecb8c48b5caa3985a22_FORMATO.png,2,daniel-guedes,88225,9,2.97,3.43,D. Guedes,Daniel Guedes ,3.71,27,0.07,3.7,Daniel Guedes da Silva,1371,,11.0,4.0,,2.0,3.0,3.0,10.0,,2.0,,87.0,,,3.0,,,,,
259,Atlético-MG,6,https://s.glbimg.com/es/sde/f/2022/07/15/18f148a4c0e6304c4e127291f1935424_FORMATO.png,3,junior-alonso,88312,22,3.25,11.13,J. Alonso,Junior Alonso,1.61,27,-0.07,-0.7,Junior Osmar Ignacio Alonso Mujica,282,,21.0,4.0,,9.0,2.0,3.0,11.0,,5.0,,105.0,1.0,,,,,1.0,,
260,Flamengo,6,https://s.glbimg.com/es/sde/f/2022/04/14/36837bfe151af329a80e71d5dc2bc8e0_FORMATO.png,2,ayrton-lucas,88393,21,5.3,8.19,A. Lucas,Ayrton Lucas,5.65,27,0.0,0.0,Ayrton Lucas Dantas de Medeiros,262,,42.0,35.0,,7.0,3.0,3.0,33.0,4.0,3.0,,170.0,,2.0,,,,,,
261,Bragantino,7,https://s.glbimg.com/es/sde/f/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png,2,aderlan,88423,21,3.37,8.33,Aderlan,Aderlan,5.13,27,-0.22,4.2,Aderlan de Lima Silva,280,,52.0,10.0,,6.0,2.0,5.0,53.0,1.0,6.0,,215.0,,,2.0,,,,,
262,Juventude,6,https://s.glbimg.com/es/sde/f/2022/03/27/52ccdcb0c3400c65e20b83b56e0a5800_FORMATO.png,4,marlon,88427,9,0.84,2.83,Marlon,Marlon,1.12,27,0.0,0.0,Marlon Adriano Prezotti,286,,10.0,6.0,,,,1.0,13.0,,,,25.0,,,,,,,,
263,Santos,6,https://s.glbimg.com/es/sde/f/2022/03/14/540966ca01d0e0b65fec115d8e24488b_FORMATO.png,2,auro,88540,4,1.73,3.05,Auro,Auro,0.86,27,0.0,0.0,Auro Álvaro da Cruz Júnior,277,,5.0,1.0,,1.0,,2.0,6.0,,1.0,,16.0,,,,,,,,
