"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.gato_mestre.media_pontos_mandante","atletas.gato_mestre.media_pontos_visitante","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","FT","G","I","PI","PS","PP","SG","DE","GS","CV","PC","GC","DP"
"15", 42411,21, 282,"tec","7", 5.48,10.17, 0.59, 4.40, 2, 4.79,NA,NA,"cuca","Cuca","Cuca","Alexi Stival","https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png","Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16", 38133,21, 280,"gol","6", 0.00, 5.00, 0.00, 0.00, 0, 6.00,NA,NA,"julio-cesar","Júlio César","J. César","Júlio César de Souza Santos","https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png","Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17", 42500,21, 264,"lat","7", 0.00, 9.70, 0.00, 4.35, 4, 6.02, 3.90000000, 5.70000000,"fagner","Fagner","Fagner","Fagner Conserva Lemos","https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png","Corinthians", 1, 1, 4, 2,NA,NA, 2,NA,NA,NA, 18,NA,NA, 2,NA,NA,NA,NA,NA,NA
"18", 38509,21, 262,"gol","6", 0.00, 6.31, 0.00, 1.00, 3, 2.56,NA,NA,"diego-alves","Diego Alves","D. Alves","Diego Alves Carreira","https://s.glbimg.com/es/sde/f/2022/03/03/ebf5983aad74aded51b2bdca5bed278f_FORMATO.png","Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 1, 3, 5,NA,NA,NA,NA
"19", 38750,21, 262,"lat","6", 0.00, 6.68, 0.00, 3.10, 6, 6.86, 4.00000000, 1.30000000,"filipe-luis","Filipe Luís","F. Luís","Filipe Luís Kasmirski","https://s.glbimg.com/es/sde/f/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png","Flamengo",NA, 1,11, 4,NA, 2, 6,NA,NA,NA, 20,NA,NA, 1,NA,NA,NA,NA,NA,NA
"20", 38144,21, 276,"lat","6", 4.30, 9.20, 0.28, 3.31,19, 4.19, 4.00000000, 2.51111111,"rafinha","Rafinha","Rafinha","Márcio Rafael Ferreira de Souza","https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png","São Paulo", 3, 4,33,20,NA, 1,16,NA,NA,NA,108,NA,NA, 4,NA,NA,NA,NA,NA,NA
"21", 38877,21, 282,"lat","7", 0.00, 7.78, 0.00, 4.78,12, 1.74,NA,NA,"mariano","Mariano","Mariano","Mariano Ferreira Filho","https://s.glbimg.com/es/sde/f/2022/07/15/c04eede8e289c2e2a9d0b82097512fdc_FORMATO.png","Atlético-MG", 1, 5,31,11,NA,NA, 6,NA,NA,NA, 95,NA,NA, 6,NA,NA,NA,NA,NA,NA
"22", 38545,21, 266,"zag","6", 3.60, 6.36, 0.56, 1.58,11, 3.45, 1.18571429, 2.27500000,"felipe-melo","Felipe Melo","F. Melo","Felipe Melo de Carvalho","https://s.glbimg.com/es/sde/f/2022/02/24/ae51c505f4d9ceba09c22ba954cca2bf_FORMATO.png","Fluminense",NA, 4, 7, 9,NA,NA, 8,NA,NA,NA, 33,NA,NA, 3,NA,NA,NA,NA,NA,NA
"23", 40990,21, 262,"tec","7", 7.80, 9.67, 0.20, 4.95,20, 6.85,NA,NA,"dorival-junior","Dorival Júnior","D. Júnior","Dorival Silvestre Júnior","https://s.glbimg.com/es/sde/f/2022/03/28/d28c444ff6eaf5f7b58d9f2ef2bd5075_FORMATO.png","Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24", 42116,21, 266,"ata","6", 0.00, 3.58,-0.05, 1.25,17, 0.30, 1.05000000, 1.54285714,"willian","Willian","Willian","Willian Gomes de Siqueira","https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png","Fluminense", 1, 1, 6, 4, 3,NA, 3,NA, 1, 2, 16,NA,NA,NA,NA,NA,NA,NA,NA,NA
