"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.gato_mestre.media_pontos_mandante","atletas.gato_mestre.media_pontos_visitante","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","FT","G","I","PI","PS","PP","SG","DE","GS","CV","PC","GC","DP"
"162", 84338,21, 356,"gol","6", 0.00, 2.88, 0.00, 1.40, 5, 2.98,NA,NA,"max-walef","Max Walef","M. Walef","Max Walef Araújo da Silva","https://s.glbimg.com/es/sde/f/2022/02/23/0784484c9e35ebc5b014f365b5cbb5cc_FORMATO.png","Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13, 6,NA,NA,NA,NA
"163", 82334,21, 314,"lat","6", 0.00, 4.00, 0.00, 0.00, 0, 4.88,NA,NA,"thales","Thales","Thales","Thales Bento Oleques","https://s.glbimg.com/es/sde/f/2022/07/28/c7f78fd98e40333df68d75f1e5bfe407_FORMATO.png","Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164", 80193,21, 286,"ata","6",-0.50, 1.61,-0.09, 0.26,10,-0.28,-0.14000000, 0.68000000,"edinho","Edinho","Edinho","Francisco Edson Moreira da Silva","https://s.glbimg.com/es/sde/f/2022/04/04/7be5a82aee84c2e49f3f8260766fd19d_FORMATO.png","Juventude",NA,NA, 2, 4,NA, 1, 7,NA,NA,NA, 28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165", 51042,21, 290,"mei","6", 0.00, 6.62, 0.00, 3.51, 9, 4.81,NA,NA,"apodi","Apodi","Apodi","Luiz Diallison de Souza Alves","https://s.glbimg.com/es/sde/f/2022/03/02/2c74555af9089b55a230b00443763cf4_FORMATO.jpeg","Goiás", 1,NA,11,14, 2, 3,13,NA, 1, 1, 26, 1,NA,NA,NA,NA,NA,NA,NA,NA
"166", 84339,21, 264,"lat","6", 0.00, 4.89, 0.00, 3.26, 5, 5.70,NA,NA,"bruno-melo","Bruno Melo","B. Melo","Bruno Ferreira Melo","https://s.glbimg.com/es/sde/f/2022/04/27/35be6fa24036e64091a63cca0ac892d9_FORMATO.png","Corinthians",NA, 1, 2, 6, 1, 2, 3,NA,NA, 2, 24,NA,NA, 3,NA,NA,NA,NA,NA,NA
"167", 60969,21, 327,"lat","7", 0.00, 6.10, 0.00, 2.27,19, 1.14,NA,NA,"patric","Patric","Patric","Patric Cabral Lalau","https://s.glbimg.com/es/sde/f/2022/02/25/7625d982588386e96390538eb699b2a2_FORMATO.png","América-MG",NA, 4,32,21, 5, 5,19,NA,NA, 3,189,NA,NA, 3,NA,NA,NA,NA,NA,NA
"168", 84523,21, 356,"ata","3",-3.00, 2.89,-0.93, 3.09,12,-2.17,NA,NA,"romarinho","Romarinho","Romarinho","José Romário Silva de Souza","https://s.glbimg.com/es/sde/f/2022/05/12/ccaf4552cbd0363c0a3fceefa2bf00bf_FORMATO.png","Fortaleza", 1, 2, 9, 9, 2, 9,18,NA, 2, 2, 55,NA,NA,NA,NA,NA, 1,NA,NA,NA
"169", 51413,21,1371,"gol","7", 4.20,12.26, 0.60, 4.01,19, 4.34,NA,NA,"walter","Walter","Walter","Walter Leandro Capeloza Artune","https://s.glbimg.com/es/sde/f/2021/05/28/50f29a94dff6b578111f33d689953f3c_FORMATO.png","Cuiabá",NA,NA, 3,NA,NA,NA, 3,NA,NA,NA,NA,NA,NA, 4,71,20,NA,NA,NA,NA
"170", 80287,21, 276,"ata","7", 0.00,11.69, 0.00, 5.68,16, 0.78,NA,NA,"luciano","Luciano","Luciano","Luciano da Rocha Neves","https://s.glbimg.com/es/sde/f/2022/03/01/aeb1926a6ddb270206f4ceffcf701d4b_FORMATO.png","São Paulo", 1, 6,15, 9,10,13,14,NA, 7, 4, 54, 1, 1,NA,NA,NA,NA,NA,NA,NA
"171", 61033,21,1371,"mei","2", 1.10, 5.97,-0.18, 1.94,20, 1.41, 2.31111111, 1.60909091,"rodriguinho","Rodriguinho","Rodriguinho","Rodrigo Eduardo Costa Marinho","https://s.glbimg.com/es/sde/f/2022/02/23/da202da4fb23bc636936f60651108982_FORMATO.png","Cuiabá",NA,NA, 7,11, 9,14,21,NA, 1, 6, 65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172", 84382,21, 290,"lat","6",-1.50, 2.97,-1.66, 1.63,16,-0.80, 2.34285714, 1.07777778,"danilo-barcelos","Danilo Barcelos","D. Barcelos","Danilo Carvalho Barcelos","https://s.glbimg.com/es/sde/f/2022/04/05/07d7f2dc608c0833bf6c29c75cb93a43_FORMATO.png","Goiás", 1, 5,15,24,NA, 4, 8,NA,NA, 1,118,NA,NA, 4,NA,NA,NA,NA,NA,NA
"173", 84674,21, 280,"mei","7", 2.10, 9.77,-0.32, 3.72,18, 2.49,NA,NA,"lucas-evangelista","Lucas Evangelista","L. Evangelista","Lucas Evangelista Santana de Oliveira","https://s.glbimg.com/es/sde/f/2022/05/05/175c2911cb392a7305aef49766feb459_FORMATO.png","Bragantino", 1,NA,24,20, 2,11,34, 1, 2, 2, 78,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174", 80370,21, 373,"mei","6", 0.00, 4.25, 0.00, 2.15,17,-0.83, 2.91111111, 1.28750000,"edson","Edson ","Edson ","Edson Felipe da Cruz","https://s.glbimg.com/es/sde/f/2022/03/03/3c782944d7dbd6686b97db6c607caa2e_FORMATO.png","Atlético-GO",NA, 5,35,11, 1, 2,15,NA,NA, 1, 74, 1,NA,NA,NA,NA,NA, 1,NA,NA
"175", 80129,21, 286,"mei","7", 0.00, 7.10, 0.00, 2.42,17, 0.66, 2.61250000, 2.23333333,"jadson","Jadson","Jadson","Jadson Alves dos Santos","https://s.glbimg.com/es/sde/f/2022/03/03/f6f0935d45f36314cddff53717eee8de_FORMATO.png","Juventude",NA, 5,36,30, 2, 3,27,NA, 1, 1,114,NA,NA,NA,NA,NA, 1,NA,NA,NA
"176", 82381,21, 327,"mei","7",-0.50, 5.39,-0.62, 2.02,19, 0.07, 2.78888889, 1.31000000,"juninho","Juninho","Juninho","Adilson dos Anjos Oliveira","https://s.glbimg.com/es/sde/f/2022/02/24/fb366714954149fbf7b493465bba1d9e_FORMATO.png","América-MG", 1, 2,29, 9, 3, 4,17,NA,NA, 3,119, 1,NA,NA,NA,NA,NA, 1,NA,NA
"177", 62129,21, 266,"mei","6", 0.00, 2.46, 0.00, 0.58,11,-0.51, 0.92000000, 0.31666667,"wellington","Wellington","Wellington","Wellington Aparecido Martins","https://s.glbimg.com/es/sde/f/2022/04/20/f9f602ab78e260f4c89819ce72f7a39d_FORMATO.png","Fluminense", 1, 2, 7, 9,NA,NA, 5,NA,NA,NA, 47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178", 62114,21, 285,"mei","6", 3.00, 4.33, 0.40, 1.89,10, 2.78, 1.30000000, 2.50000000,"taison","Taison","Taison","Taison Barcellos Freda","https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png","Internacional", 1, 4, 7, 5, 3, 5,13,NA,NA, 2, 28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179", 81031,21, 354,"tec","7", 3.80, 4.50, 0.27, 3.32,10, 3.71,NA,NA,"marquinhos-santos","Marquinhos Santos","M. Santos","Marcos Vinícius dos Santos Gonçalves","https://s.glbimg.com/es/sde/f/2022/03/08/fe2e9685b644eeed11a14b51b6b6afd4_FORMATO.png","Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180", 80664,21, 354,"lat","6",-1.50, 4.81,-1.11, 3.34,13,-0.75,NA,NA,"michel","Michel","Michel","Michel Macedo Rocha Machado","https://s.glbimg.com/es/sde/f/2022/02/22/11f3d7c7d8032d9b2141440fc46e9620_FORMATO.png","Ceará", 1, 1,19,10, 2, 3,12,NA,NA,NA, 62,NA,NA, 3,NA,NA,NA,NA,NA,NA
"181", 51548,21, 264,"mei","6", 2.70, 5.25,-0.08, 1.51,17, 2.67, 1.45555556, 1.58750000,"giuliano","Giuliano","Giuliano","Giuliano Victor de Paula","https://s.glbimg.com/es/sde/f/2022/04/27/9ac23014ff9196c4c2a10d652798dcfa_FORMATO.png","Corinthians", 1, 1,14, 6, 2, 7, 7,NA,NA, 2, 45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182", 84428,21, 354,"mei","6", 3.50, 6.14, 0.37, 1.59,11, 3.38, 0.45000000, 2.22857143,"fernando-sobral","Fernando Sobral","F. Sobral","Fernando Pereira do Nascimento","https://s.glbimg.com/es/sde/f/2022/02/22/d34e2d5762bbaacd3bc3b1940e28f7dd_FORMATO.png","Ceará",NA, 1, 7, 3, 3, 4, 9, 1,NA,NA, 34,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183", 82407,21, 286,"mei","6", 0.20, 5.86,-0.18, 2.45,17, 0.62, 1.66250000, 3.16666667,"chico","Chico","Chico","Francisco Hyun Sol Kim","https://s.glbimg.com/es/sde/f/2022/03/03/bf75c9042be591192c025ebc1a87b001_FORMATO.png","Juventude", 1, 2,29,28, 7, 4,37,NA,NA, 2,145,NA,NA,NA,NA,NA, 1,NA,NA,NA
"184", 84816,21, 262,"lat","6", 0.00, 8.00, 0.00, 0.00, 0,-1.94,NA,NA,"varela","Varela","Varela","Guillermo Varela Olivera","https://s.glbimg.com/es/sde/f/2022/08/05/72c41821f15186e555f78bc61651ee27_FORMATO.jpeg","Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185", 82453,21, 290,"gol","7", 3.00, 8.16,-0.70, 4.32,21, 3.03,NA,NA,"tadeu","Tadeu","Tadeu","Tadeu Antônio Ferreira","https://s.glbimg.com/es/sde/f/2022/03/10/f9b7377addfcfa29bfa11ee96aecbdc5_FORMATO.png","Goiás",NA,NA, 1,NA,NA,NA, 9,NA,NA,NA,NA,NA,NA, 5,81,28,NA,NA,NA, 1
"186", 80583,21, 356,"mei","6", 0.00, 3.28,-0.09, 1.95,14, 0.23, 1.62857143, 2.27142857,"lucas-lima","Lucas Lima","L. Lima","Lucas Rafael Araújo Lima","https://s.glbimg.com/es/sde/f/2022/05/12/84bb3dd96bdb6d9a87233dfc22d19bef_FORMATO.png","Fortaleza", 2, 2,14,14, 5, 4,19,NA,NA, 3,117,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187", 85083,21, 275,"gol","6", 0.00, 4.00, 0.00, 0.00, 0, 4.88,NA,NA,"vinicius-silvestre","Vinicius Silvestre","V. Silvestre","Vinicius Silvestre da Costa","https://s.glbimg.com/es/sde/f/2022/02/21/6b18b6e2028293647615790cb3edf11f_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188", 84817,21, 356,"ata","7",11.80, 8.05, 0.52, 3.92,15,10.16,NA,NA,"robson","Robson","Robson","Robson dos Santos Fernandes","https://s.glbimg.com/es/sde/f/2022/02/25/6d625807fa7a6d37492ec7d37c654dc8_FORMATO.png","Fortaleza", 1, 3, 8,24, 6, 9,18, 1, 4, 7, 42, 1,NA,NA,NA,NA,NA,NA,NA,NA
"189", 84993,21, 356,"mei","6", 0.00, 2.96,-0.28, 0.70, 3, 0.35,NA,NA,"fabricio-baiano","Fabrício Baiano","F. Baiano","Fabrício Santos de Jesus","https://s.glbimg.com/es/sde/f/2022/07/16/89176758f659f2237119a0bced3a49fb_FORMATO.png","Fortaleza",NA,NA, 2, 1,NA,NA, 1,NA,NA,NA,  5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190", 85004,21, 266,"gol","6", 0.00, 7.00, 0.00, 0.00, 0, 8.24,NA,NA,"marcos-felipe","Marcos Felipe","M. Felipe","Marcos Felipe de Freitas Monteiro","https://s.glbimg.com/es/sde/f/2022/04/20/ab25269795dde58cb608244ba84cb88d_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191", 82463,21, 282,"mei","7", 0.00, 3.87, 0.00, 1.62,16, 0.50, 1.81250000, 1.43750000,"otavio","Otávio ","Otávio ","Otávio Henrique Passos Santos","https://s.glbimg.com/es/sde/f/2022/07/15/2b6c169672a8205f14e8ac4bb25388c6_FORMATO.png","Atlético-MG",NA, 1,27,16, 1,NA, 3,NA,NA,NA, 33,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192", 82455,21, 275,"mei","7",-1.20,12.92,-1.33, 5.44,19, 0.18,NA,NA,"ze-rafael","Zé Rafael","Z. Rafael","José Rafael Vivian","https://s.glbimg.com/es/sde/f/2022/02/21/a9bb4a6cb2ff8e2f533bf41f37dd93dc_FORMATO.png","Palmeiras", 1, 3,43,24, 3,12,37, 3, 3,NA, 75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193", 85423,21,1371,"mei","7", 0.80, 5.61,-0.06, 2.58,18, 1.03,NA,NA,"valdivia","Valdívia","Valdívia","Wanderson Ferreira de Oliveira","https://s.glbimg.com/es/sde/f/2022/02/23/ec8d7f67b026fc679f8ac3b10514eefd_FORMATO.png","Cuiabá",NA, 2,15,11, 6, 8,21, 1, 2, 2, 93,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194", 85315,21, 264,"mei","6", 0.60, 5.38,-0.35, 2.38,14, 0.97, 2.72000000, 2.20000000,"cantillo","Cantillo","Cantillo","Víctor Danilo Cantillo Jiménez","https://s.glbimg.com/es/sde/f/2022/04/27/c87878b94e3c0c01f4d753ca9ee6fa0c_FORMATO.png","Corinthians",NA,NA,26, 8,NA, 1,19,NA,NA,NA, 57,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195", 82764,21, 286,"zag","6", 0.00, 5.05, 0.00, 2.79,16, 1.44, 2.67500000, 2.91250000,"rafael-forster","Rafael Forster","R. Forster","Rafael Forster","https://s.glbimg.com/es/sde/f/2022/03/03/1a3eff81c014dfeadd31543510923abd_FORMATO.png","Juventude",NA, 1,27,10, 4, 2,12,NA,NA,NA,111,NA,NA, 3,NA,NA,NA,NA,NA,NA
"196", 85931,21, 280,"mei","7", 1.10, 7.32,-0.56, 4.85,12, 1.46,NA,NA,"hyoran","Hyoran","Hyoran","Hyoran Kaue Dalmoro","https://s.glbimg.com/es/sde/f/2022/05/05/d656de14270c212a9409e2e8138e3b20_FORMATO.png","Bragantino", 2, 1,12,11, 8,12, 5,NA, 3,NA, 76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197", 82540,21, 286,"gol","7", 2.00, 4.61,-0.39, 2.00, 1, 2.08,NA,NA,"pegorari","Pegorari","Pegorari","José Guilherme Guidolin Pegorari","https://s.glbimg.com/es/sde/f/2022/08/05/519f094ee4ceaabd76b534c7a1728c63_FORMATO.png","Juventude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 3, 1,NA,NA,NA,NA
"198", 82634,21, 314,"mei","6", 0.00, 2.71, 0.00, 0.43, 3, 2.43,NA,NA,"matheus-galdezani","Matheus Galdezani","M. Galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2022/04/29/b9fda8f5bfa19e70a34683a735a20171_FORMATO.png","Avaí",NA, 2, 5, 6,NA, 1,NA,NA,NA,NA, 17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199", 85626,21, 276,"zag","7", 0.60, 4.51, 0.11, 1.30,16, 0.85, 2.91250000,-0.30000000,"leo","Léo","Léo","Leonardo Pinheiro da Conceição","https://s.glbimg.com/es/sde/f/2022/03/01/7be60e39236cf34421178ed1ea9b2145_FORMATO.png","São Paulo",NA, 3,12,14,NA, 3, 8,NA,NA,NA, 77,NA,NA, 3,NA,NA,NA,NA,NA,NA
"200", 82628,21, 356,"lat","6", 0.00, 3.90, 0.00, 2.37, 4, 2.87,NA,NA,"tinga","Tinga","Tinga","Guilherme de Jesus da Silva","https://s.glbimg.com/es/sde/f/2022/02/25/5625a3af4c995f2795c36c880eaf1e9d_FORMATO.png","Fortaleza",NA,NA,10, 4, 1,NA, 5,NA,NA,NA, 50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201", 85465,21, 293,"mei","7", 9.90, 7.89, 1.89, 9.90, 1, 5.03,NA,NA,"alex-santana","Alex Santana","A. Santana","Alex Paulo Menezes Santana","https://s.glbimg.com/es/sde/f/2022/07/29/9bcc147b812ef5698e82fee8e3a18b98_FORMATO.png","Athlético-PR",NA,NA, 8, 1,NA,NA, 2,NA,NA,NA,  4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202", 82647,21, 294,"mei","7", 0.00, 3.06, 0.00, 0.73,12, 0.34, 0.95000000, 0.51666667,"regis","Régis","Régis","Régis Augusto Salmazzo","https://s.glbimg.com/es/sde/f/2022/02/23/c47fcbc612efa64ebc997eda805f11e5_FORMATO.png","Coritiba",NA,NA, 6,11, 2, 4, 6,NA,NA,NA, 37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203", 85425,21, 277,"gol","7",-1.00,12.65,-0.75, 4.44,19, 0.33,NA,NA,"joao-paulo","João Paulo","J. Paulo","João Paulo Silva Martins","https://s.glbimg.com/es/sde/f/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png","Santos",NA, 4, 1,NA,NA,NA, 4,NA,NA,NA,NA,NA,NA, 6,73,18,NA,NA,NA,NA
"204", 94067,21, 293,"mei","6", 0.00, 4.03, 0.00, 1.80,10, 3.25,NA,NA,"matheus-fernandes","Matheus Fernandes","M. Fernandes","Matheus Fernandes Siqueira","https://s.glbimg.com/es/sde/f/2022/02/21/fff1205202cd53cd50d841891d140360_FORMATO.png","Athlético-PR",NA, 2,16,10, 3, 1, 3,NA,NA,NA, 22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205", 86264,21, 314,"lat","7", 0.00, 6.80, 0.00, 8.20, 2, 2.66,NA,NA,"natanael","Natanael","Natanael","Natanael Batista Pimenta","https://s.glbimg.com/es/sde/f/2022/07/18/04d6865853a44f1a0a32d6f5ce32e9fe_FORMATO.png","Avaí", 2,NA, 3,NA, 2, 1, 1,NA,NA,NA,  9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206", 86029,21, 354,"mei","5", 0.00, 2.63, 0.00, 1.45, 2, 1.92, 1.60000000, 1.30000000,"diego","Diego","Diego","Diego Rigonato Rodrigues","https://s.glbimg.com/es/sde/f/2022/06/23/a9b4d32f7d6d9e4fc96279399e6ab904_FORMATO.png","Ceará",NA,NA,NA, 1, 2,NA, 3,NA,NA,NA,  7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207", 82730,21, 290,"gol","6", 0.00, 4.00, 0.00, 0.00, 0, 4.88,NA,NA,"marcelo-rangel","Marcelo Rangel","M. Rangel","Marcelo Rangel da Rosa","https://s.glbimg.com/es/sde/f/2022/03/10/abd077c51bd538d3a6f8863cb5aaf035_FORMATO.jpeg","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208", 85993,21, 263,"ata","6", 0.00, 4.35, 0.00, 1.40, 5, 1.81, 1.75000000, 1.16666667,"gustavo-sauer","Gustavo Sauer","G. Sauer","Gustavo Affonso Sauerbeck","https://s.glbimg.com/es/sde/f/2022/04/13/ece78d4e91579f63c336f5010cbf9053_FORMATO.png","Botafogo",NA,NA, 5, 2, 2,NA, 2,NA,NA,NA, 18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209", 86143,21, 373,"zag","7",-0.10, 2.15, 0.04, 0.66,12, 0.07, 1.50000000,-0.18333333,"wanderson","Wanderson","Wanderson","Wanderson Santos Pereira","https://s.glbimg.com/es/sde/f/2022/03/03/e4318c57015f1d5169d4e83fc7af4813_FORMATO.png","Atlético-GO",NA,NA, 5,11,NA, 2, 3,NA,NA,NA, 29,NA,NA, 1,NA,NA,NA,NA,NA,NA
"210", 86388,21, 327,"mei","6", 0.00, 8.46, 0.00, 3.69,12, 3.56,NA,NA,"ale","Alê","Alê","Alexandre Egea","https://s.glbimg.com/es/sde/f/2022/02/24/4b65fc3f258e926df6bf12c3abbfa9a0_FORMATO.png","América-MG", 1,NA,24,25, 2, 5,27,NA, 1,NA, 70,NA,NA,NA,NA,NA, 1,NA,NA,NA
"211", 82766,21, 373,"mei","7", 9.20,11.95, 0.09, 5.33,20, 8.30,NA,NA,"wellington-rato","Wellington Rato","W. Rato","Wellington Soares da Silva","https://s.glbimg.com/es/sde/f/2022/03/03/f1c021275405991e817f4277af535a6a_FORMATO.png","Atlético-GO", 1, 1,19,18,16,25,29, 2, 5, 4,142,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212", 86227,21, 314,"ata","6", 0.00,10.49, 0.00, 3.18,14, 6.53,NA,NA,"morato","Morato","Morato","Andrew Erik Feitosa","https://s.glbimg.com/es/sde/f/2022/02/24/ee2dbbc844a7911e1c875b38e698c974_FORMATO.png","Avaí", 1,NA,12,17, 5, 7,19,NA, 2, 3, 36,NA,NA,NA,NA,NA, 1,NA,NA,NA
"213", 89226,21, 327,"zag","7", 4.50, 7.20, 0.72, 3.15,11, 4.16,NA,NA,"iago-maidana","Iago Maidana","I. Maidana","Iago Justen Maidana Martins","https://s.glbimg.com/es/sde/f/2022/02/24/ac60436f13f7ce52c62ccb9b8d4ac384_FORMATO.png","América-MG",NA, 2, 6,14,NA, 1,NA,NA, 3,NA, 31,NA,NA, 3,NA,NA, 1,NA,NA,NA
"214", 89224,21, 263,"mei","6", 0.00, 2.59, 0.00, 2.40, 2, 3.64,NA,NA,"barreto","Barreto","Barreto","Gustavo Bonatto Barreto","https://s.glbimg.com/es/sde/f/2022/02/21/4f55cd58dba618d9c58695edc5507fcc_FORMATO.png","Botafogo",NA,NA, 4, 1,NA,NA, 1,NA,NA,NA,  2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215", 86410,21, 354,"lat","7", 2.90, 5.25, 0.17, 2.08,12, 2.77, 2.40000000, 1.76666667,"victor-luis","Victor Luis","V. Luis","Victor Luis Chuab Zamblauskas","https://s.glbimg.com/es/sde/f/2022/02/22/451062f55ce1f1bb899af8a090cd1bb5_FORMATO.png","Ceará",NA,NA,10, 9, 2, 4,11,NA,NA,NA, 54,NA,NA, 2,NA,NA,NA,NA,NA,NA
"216", 81881,21, 354,"gol","7", 2.00, 5.60,-0.13, 3.27,17, 2.01, 1.50000000, 4.52000000,"joao-ricardo","João Ricardo","J. Ricardo","João Ricardo Riedi","https://s.glbimg.com/es/sde/f/2022/02/22/adaab64e1f87d21062e8d3820e969b1c_FORMATO.png","Ceará",NA, 3, 1,NA,NA,NA, 1,NA,NA,NA,NA,NA,NA, 3,56,21,NA,NA,NA, 1
"217", 89285,21, 290,"mei","7", 1.40, 3.34, 0.25, 1.32,17, 1.33, 1.22500000, 1.41111111,"matheus-sales","Matheus Sales","M. Sales","Matheus de Sales Cabral","https://s.glbimg.com/es/sde/f/2022/04/13/4c8702a05eb20f2e973e719c61d29092_FORMATO.png","Goiás",NA, 5,22,16, 2, 5, 9,NA,NA,NA, 40,NA,NA,NA,NA,NA,NA, 1,NA,NA
"218", 86485,21, 282,"ata","6", 1.80, 6.84,-0.26, 2.96,12, 2.10, 4.20000000, 1.24000000,"keno","Keno","Keno","Marcos da Silva França","https://s.glbimg.com/es/sde/f/2022/07/15/820234c0ffc99499256049457624d710_FORMATO.png","Atlético-MG", 1, 1,11, 6, 5, 9,11,NA, 1, 3, 62,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219", 81091,21, 282,"mei","6", 2.40, 8.00,-0.52, 4.23,17, 2.61, 3.58000000, 5.15714286,"jair","Jair","Jair","Jair Rodrigues Júnior","https://s.glbimg.com/es/sde/f/2022/07/15/832828dc0097aee4c7a9587b825ee4bc_FORMATO.png","Atlético-MG", 2, 3,40,20, 5, 8,17,NA, 1,NA, 50,NA,NA,NA,NA,NA,NA, 1,NA,NA
"220", 89493,21, 282,"zag","6",16.40, 7.50, 2.25, 6.65, 7,13.62,NA,NA,"igor-rabello","Igor Rabello","I. Rabello","Igor Rabello da Costa","https://s.glbimg.com/es/sde/f/2022/07/15/2609f439079631b8b5b1affd471b8813_FORMATO.png","Atlético-MG", 1, 1,20, 7, 1, 2, 3,NA, 1,NA, 16,NA,NA, 2,NA,NA,NA,NA,NA,NA
"221", 89435,21, 277,"ata","6", 7.90, 4.91, 1.32, 2.67,12, 6.61,NA,NA,"bryan-angulo","Bryan Angulo","B. Angulo","Brayan Dennis Angulo Tenorio","https://s.glbimg.com/es/sde/f/2022/04/02/e926d395a2b2a6225aa44474e5fa8e26_FORMATO.png","Santos", 1,NA, 4, 1, 2, 2, 4, 1, 2, 2, 23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222", 89637,21, 262,"mei","7", 2.30, 4.64, 0.37, 1.72,15, 2.19, 1.46250000, 2.02857143,"thiago-maia","Thiago Maia","T. Maia","Thiago Maia Alencar","https://s.glbimg.com/es/sde/f/2022/04/25/5ffefa1d5a1967debcc7f42bdaacdd9e_FORMATO.png","Flamengo",NA, 2,25,14, 3, 2, 2,NA,NA,NA, 41,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223", 81150,21, 275,"lat","6",20.10, 8.37, 3.39, 4.45,12,16.56,NA,NA,"mayke","Mayke","Mayke","Mayke Rocha de Oliveira","https://s.glbimg.com/es/sde/f/2022/02/21/7d200ca2902c8ec5643bc8975b770faf_FORMATO.png","Palmeiras",NA, 1,19, 7, 2,NA, 3, 1, 1,NA, 62,NA,NA, 5,NA,NA,NA,NA,NA,NA
"224", 86508,21, 276,"gol","5", 0.00, 6.86, 0.00, 2.85,17, 1.28, 3.25000000, 2.50000000,"jandrei","Jandrei","Jandrei","Jandrei Chitolina Carniel","https://s.glbimg.com/es/sde/f/2022/03/01/aea40f3f23e91096dde97a5b7a877640_FORMATO.png","São Paulo",NA,NA,NA,NA,NA,NA, 3,NA,NA,NA,NA,NA,NA, 4,44,17,NA,NA,NA,NA
"225", 89668,21, 266,"lat","6", 9.40, 9.96, 0.50, 5.63, 6, 8.45, 6.90000000, 3.10000000,"cris-silva","Cris Silva","C. Silva","Cristiano da Silva Leite ","https://s.glbimg.com/es/sde/f/2022/02/24/8fb43cd4c4ebb6cd5ac890a7feafc838_FORMATO.png","Fluminense", 1,NA,11, 4, 3, 1, 3,NA,NA,NA, 41,NA,NA, 3,NA,NA,NA,NA,NA,NA
"226", 89695,21, 354,"ata","7", 0.00, 2.14, 0.00, 2.45, 8, 1.38,NA,NA,"iury-castilho","Iury Castilho","I. Castilho","Iury Lirio Freitas de Castilho","https://s.glbimg.com/es/sde/f/2022/02/22/86c0d4d6ac47c43279f6f3574192781d_FORMATO.png","Ceará", 1, 3, 7,10, 3, 1,17,NA,NA, 5, 22, 1,NA,NA,NA,NA,NA,NA,NA,NA
"227", 86536,21, 354,"mei","7", 0.00, 2.50, 0.00, 1.95,14,-2.77, 1.72857143, 2.15714286,"richardson","Richardson","Richardson","Richardson Fernandes dos Santos","https://s.glbimg.com/es/sde/f/2022/02/22/6e7e2815732004f3d9c34e0dae8ce6f7_FORMATO.png","Ceará",NA, 5,33,33,NA, 3,16,NA,NA,NA, 39,NA,NA,NA,NA,NA, 1, 1,NA,NA
