"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","PI","SG","PC","DE","GS","FT","G","I","PP","CV","GC","PS","DP"
"185",93646,11,314,"mei","6",0,4.07,0,1.8,2,NA,"vinicius-leite","Vinícius Leite","V. Leite","Vinícius Leite Silva","https://s.glbimg.com/es/sde/f/2022/02/24/66cd59f9bbf0f80e5f8c20bf587e3daf_FORMATO.png","Avaí",NA,NA,3,NA,1,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",99430,11,263,"gol","6",0,2.06,0,0.5,2,NA,"diego-loureiro","Diego Loureiro","D. Loureiro","Diego Terra Loureiro","https://s.glbimg.com/es/sde/f/2022/02/21/8d8bf0e2d048df5b25e486bdf7c64eec_FORMATO.png","Botafogo",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"187",84674,11,280,"mei","2",1.7,9.19,0.05,2.92,8,NA,"lucas-evangelista","Lucas Evangelista","L. Evangelista","Lucas Evangelista Santana de Oliveira","https://s.glbimg.com/es/sde/f/2022/05/05/175c2911cb392a7305aef49766feb459_FORMATO.png","Bragantino",1,NA,12,8,1,2,12,23,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"188",91688,11,314,"mei","3",1.3,4.49,0.27,2.2,11,NA,"eduardo","Eduardo","Eduardo","Eduardo Jacinto de Biasi","https://s.glbimg.com/es/sde/f/2022/02/23/858c6708a8a4e0b1858d4429bdf68d77_FORMATO.png","Avaí",1,3,12,18,4,6,16,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",86227,11,314,"ata","2",-0.4,10.52,-0.7,4.07,10,NA,"morato","Morato","Morato","Andrew Erik Feitosa","https://s.glbimg.com/es/sde/f/2022/02/24/ee2dbbc844a7911e1c875b38e698c974_FORMATO.png","Avaí",1,NA,10,16,4,6,18,29,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA
"190",91702,11,280,"ata","5",0,4,0,0,0,NA,"leandrinho","Leandrinho","Leandrinho","Leandro Henrique do Nascimento","https://s.glbimg.com/es/sde/f/2022/05/05/8786b0a78d3342d952c64f2f47eb33c5_FORMATO.png","Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",95556,11,314,"mei","3",1.1,8.97,0.08,3.45,11,NA,"raniele","Raniele","Raniele","Raniele Almeida Melo","https://s.glbimg.com/es/sde/f/2022/02/24/141b440d404a99f92d79a5e2f9d83c83_FORMATO.png","Avaí",NA,3,21,15,2,2,29,73,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"192",93414,11,263,"zag","6",0,5,0,0,0,NA,"joel-carli","Joel Carli","J. Carli","Mauro Joel Carli","https://s.glbimg.com/es/sde/f/2022/02/21/58080d39478afd3809fb90b0aa3d3f8e_FORMATO.png","Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",38133,11,280,"gol","6",0,5,0,0,0,NA,"julio-cesar","Júlio César","J. César","Júlio César de Souza Santos","https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png","Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",102597,11,263,"lat","6",0,2.38,0,0.6,1,NA,"jonathan-silva","Jonathan Silva","J. Silva","Jonathan Silva Vieira","https://s.glbimg.com/es/sde/f/2022/02/21/6e4a3c5ef09ca42e9212c2aabf9392ed_FORMATO.png","Botafogo",NA,NA,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",104660,11,263,"ata","7",2.1,3.24,0.18,1.76,7,NA,"vinicius-lopes","Vinícius Lopes","V. Lopes","Vinícius Lopes da Silva","https://s.glbimg.com/es/sde/f/2022/02/21/e057d0f0bf956c78607ac32d4d8597e4_FORMATO.png","Botafogo",NA,2,8,5,NA,2,13,18,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"196",93637,11,280,"ata","6",0,4.61,0,2.2,7,NA,"bruno-tubarao","Bruno Tubarão","B. Tubarão","Bruno Nunes de Barros","https://s.glbimg.com/es/sde/f/2022/05/05/e9713e0b9fafec30c6da5d70fb34ca8a_FORMATO.png","Bragantino",NA,NA,8,2,4,5,3,38,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"197",104926,11,263,"mei","6",7,10.85,1.06,3.54,9,NA,"chay","Chay","Chay","Chayene Medeiros Oliveira","https://s.glbimg.com/es/sde/f/2022/02/21/77dcd57801fc7bf714629cf2a521ad76_FORMATO.png","Botafogo",NA,2,18,6,4,6,16,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",105200,11,280,"ata","6",0,2,0,0,0,NA,"gonzalo","Gonzalo","Gonzalo","Gonzalo Schnorr Fornari","https://s.glbimg.com/es/sde/f/2021/10/08/df7aef94332d05cd281a5628fd21eebc_FORMATO.png","Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",106083,11,263,"mei","6",0,4,0,0,0,NA,"breno","Breno","Breno","Breno Washington Rodrigues da Silva","https://s.glbimg.com/es/sde/f/2022/02/21/596fd08d478ed48cf966b741b09f289e_FORMATO.png","Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",102598,11,280,"ata","3",3.3,4.85,0.27,1.79,9,NA,"helinho","Helinho","Helinho","Hélio Júnio Nunes de Castro","https://s.glbimg.com/es/sde/f/2022/05/05/d0de5e463c8123423e2713cdde571faf_FORMATO.png","Bragantino",1,3,7,13,3,7,6,56,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"201",105301,11,280,"ata","2",0,3.14,-0.15,0.62,5,NA,"jan-hurtado","Jan Hurtado","J. Hurtado","Jan Carlos Hurtado Anchico","https://s.glbimg.com/es/sde/f/2022/05/05/1bdc33333f950ae556b0e097e5493b5c_FORMATO.png","Bragantino",NA,NA,3,11,2,NA,2,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"202",100848,11,280,"lat","7",0,9.14,0,6.07,6,NA,"luan-candido","Luan Cândido","L. Cândido","Luan Cândido de Almeida","https://s.glbimg.com/es/sde/f/2022/05/05/a09132195a9936adeadb1a61d65dad2e_FORMATO.png","Bragantino",NA,1,12,7,5,5,4,49,2,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA
"203",92496,11,280,"mei","7",1.4,6,-0.09,2.1,5,NA,"raul","Raul","Raul","Raul Lô Gonçalves","https://s.glbimg.com/es/sde/f/2022/05/05/278a2f0c3cd97ace8138ffbe2f23d81d_FORMATO.png","Bragantino",NA,NA,11,8,NA,NA,5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",105612,11,280,"mei","6",0,7.14,0,3.52,4,NA,"miguel","Miguel","Miguel","Miguel Silveira dos Santos","https://s.glbimg.com/es/sde/f/2022/05/05/3853dd9ef852c207b562c78641692c50_FORMATO.png","Bragantino",NA,1,3,1,NA,NA,4,12,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"205",103295,11,280,"mei","2",4.6,4.83,0.73,1.54,8,NA,"eric-ramires","Eric Ramires","E. Ramires","Eric dos Santos Rodrigues","https://s.glbimg.com/es/sde/f/2022/05/05/68b240d886c54c37133d42e6dd5f8e41_FORMATO.png","Bragantino",NA,1,12,9,1,4,5,13,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
