"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FF","FS","PI","SG","I","CV","FD","FT","PC","G","PP","GC","DE","GS","PS","DP"
"13",71684,16,275,"zag","7",0,14.79,0,7.67,10,NA,"gustavo-gomez","Gustavo Gómez","G. Gómez","Gustavo Raúl Gómez Portillo","https://s.glbimg.com/es/sde/f/2022/02/21/f210b8623194d0722dd0d76585950fb1_FORMATO.png","Palmeiras",NA,3,13,11,5,6,50,3,2,NA,3,NA,1,6,NA,NA,NA,NA,NA,NA
"14",90285,16,262,"ata","5",0,14.9,0,5.88,8,NA,"bruno-henrique","Bruno Henrique","B. Henrique","Bruno Henrique Pinto","https://s.glbimg.com/es/sde/f/2022/04/25/b3a232f9392817871f70ab3b32069e30_FORMATO.png","Flamengo",2,3,13,11,4,20,41,NA,8,NA,7,1,NA,1,NA,NA,NA,NA,NA,NA
"15",71071,16,282,"tec","7",5.91,12.8,0.13,5.42,15,NA,"antonio-mohamed","Antonio Mohamed","A. Mohamed","Ricardo Antonio Mohamed Matijevich","https://s.glbimg.com/es/sde/f/2022/03/08/9f29bd3b01ad7f8b22ead88e86930382_FORMATO.png","Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",98484,16,263,"zag","6",0,5.01,0,2.71,13,NA,"kanu","Kanu","Kanu","Victor Hugo Soares dos Santos","https://s.glbimg.com/es/sde/f/2022/02/21/b1d2b6ae7d7c80be4768237f4820792b_FORMATO.png","Botafogo",NA,3,18,9,4,9,45,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",89226,16,327,"zag","6",-0.1,6.63,-1.03,3.76,7,NA,"iago-maidana","Iago Maidana","I. Maidana","Iago Justen Maidana Martins","https://s.glbimg.com/es/sde/f/2022/02/24/ac60436f13f7ce52c62ccb9b8d4ac384_FORMATO.png","América-MG",NA,1,4,9,1,NA,16,1,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"18",97867,16,280,"zag","7",5.1,11.12,0.43,4.89,9,NA,"leo-ortiz","Léo Ortiz","L. Ortiz","Leonardo Rech Ortiz","https://s.glbimg.com/es/sde/f/2022/05/05/460445523b5ae74d45009ede8f2a5e89_FORMATO.png","Bragantino",NA,2,18,7,1,4,54,4,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"19",95638,16,356,"zag","7",7.7,7.8,0.68,3.55,14,NA,"marcelo-benevenuto","Marcelo Benevenuto","M. Benevenuto","Marcelo da Conceição Benevenuto Malaquias","https://s.glbimg.com/es/sde/f/2022/05/12/5021e3ea5f8c3db816a9537e53808b5a_FORMATO.png","Fortaleza",NA,1,24,11,2,14,47,3,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA
"20",90444,16,285,"lat","7",15.2,7.82,1.72,5.68,6,NA,"moises","Moisés","Moisés","Moisés Roberto Barbosa","https://s.glbimg.com/es/sde/f/2022/04/02/bc9c2d703de12aa0ab9a2ebf1a477872_FORMATO.png","Internacional",1,4,11,8,1,5,43,1,1,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA
"21",110506,16,275,"tec","7",5.02,12.97,0.12,6.21,15,NA,"abel-ferreira","Abel Ferreira","A. Ferreira","Abel Fernando Moreira Ferreira","https://s.glbimg.com/es/sde/f/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",104257,16,1371,"lat","7",16.5,8.77,2.79,3.97,13,NA,"joao-lucas","João Lucas","J. Lucas","João Lucas de Almeida Carvalho","https://s.glbimg.com/es/sde/f/2022/02/23/9aab91f181711232b92dd27558ae246d_FORMATO.png","Cuiabá",NA,4,41,17,2,16,143,4,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA
"23",80692,16,275,"zag","6",4.5,7.33,0.51,4.17,7,NA,"luan","Luan","Luan","Luan Garcia Teixeira","https://s.glbimg.com/es/sde/f/2022/02/21/c6c7b2c98c560509a3d86811257b9a72_FORMATO.png","Palmeiras",1,1,8,14,3,6,25,4,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
