,atletas.status_id,atletas.minimo_para_valorizar,atletas.nome,atletas.clube.id.full.name,atletas.rodada_id,atletas.jogos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.apelido,atletas.preco_num,atletas.slug,atletas.foto,atletas.atleta_id,atletas.pontos_num,atletas.clube_id,atletas.variacao_num,atletas.media_num,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PC,PI,SG,PP,DE,GS,DP,GC,PS
15,5,3.08,Matheus Ferraz Pereira,Fluminense,26,0,M. Ferraz,3,Matheus Ferraz,3.0,matheus-ferraz,https://s.glbimg.com/es/sde/f/2022/04/20/0cf7c39e0e85080dc2234671994e19d9_FORMATO.png,38632,0.0,266,0.0,0.0,,,,,,,,,,,,,,,,,,,,
16,7,7.42,Filipe Luís Kasmirski,Flamengo,26,6,F. Luís,2,Filipe Luís,6.68,filipe-luis,https://s.glbimg.com/es/sde/f/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png,38750,0.0,262,0.0,3.1,,1.0,,11.0,4.0,,2.0,6.0,,,,,20.0,1.0,,,,,,
17,6,7.18,Mariano Ferreira Filho,Atlético-MG,26,16,Mariano,2,Mariano,9.02,mariano,https://s.glbimg.com/es/sde/f/2022/07/15/c04eede8e289c2e2a9d0b82097512fdc_FORMATO.png,38877,0.0,282,0.0,4.85,1.0,5.0,,42.0,14.0,,1.0,9.0,,,,,139.0,8.0,,,,,,
18,6,2.12,Diego Ribas da Cunha,Flamengo,26,14,Diego,4,Diego,3.81,diego,https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png,38909,0.0,262,0.0,1.97,,1.0,,16.0,12.0,1.0,2.0,13.0,,1.0,,,42.0,,,,,,,
19,2,16.05,Givanildo Vieira de Souza,Atlético-MG,26,21,Hulk,5,Hulk,21.11,hulk,https://s.sde.globo.com/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,39148,0.0,282,0.0,6.59,2.0,5.0,,10.0,31.0,13.0,30.0,49.0,3.0,9.0,14.0,,130.0,,,,,,,
20,6,2.97,José Renato da Silva Júnior,Avaí,26,10,Renato,4,Renato,3.88,renato,https://s.glbimg.com/es/sde/f/2022/02/24/c65bdd88b41fe9f8ddb3c5be562e45a9_FORMATO.png,39572,3.1,314,-0.08,2.25,,1.0,,11.0,7.0,3.0,5.0,20.0,,,2.0,,50.0,,,,,,,
21,7,4.61,Vagner Carmo Mancini,América-MG,26,25,V. Mancini,6,Vagner Mancini,8.17,vagner-mancini,https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,39850,4.45,327,-0.47,4.05,,,,,,,,,,,,,,,,,,,,
22,7,4.36,Dorival Silvestre Júnior,Flamengo,26,25,D. Júnior,6,Dorival Júnior,9.53,dorival-junior,https://s.glbimg.com/es/sde/f/2022/03/28/d28c444ff6eaf5f7b58d9f2ef2bd5075_FORMATO.png,40990,3.76,262,0.02,5.01,,,,,,,,,,,,,,,,,,,,
23,6,2.44,Willian Gomes de Siqueira,Fluminense,26,22,Willian,5,Willian,4.31,willian,https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png,42116,2.4,266,0.44,1.77,1.0,2.0,,8.0,7.0,4.0,,3.0,,3.0,2.0,,18.0,,,,,,,
24,6,4.57,Egídio de Araújo Pereira Júnior,Coritiba,26,16,Egídio,2,Egídio,12.66,egidio,https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png,42145,0.0,294,0.0,4.4,2.0,1.0,1.0,31.0,12.0,7.0,3.0,17.0,,1.0,2.0,1.0,154.0,4.0,,,,,,
25,7,2.17,Cássio Roberto Ramos,Corinthians,26,22,Cássio,1,Cássio,11.32,cassio,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,42234,1.0,264,0.17,4.81,,,,1.0,,,,1.0,,,,,,10.0,,71.0,17.0,,,
26,7,7.85,Alexi Stival,Atlético-MG,26,6,Cuca,6,Cuca,11.79,cuca,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,42411,0.0,282,0.0,5.21,,,,,,,,,,,,,,,,,,,,
27,7,1.7,Fagner Conserva Lemos,Corinthians,26,8,Fagner,2,Fagner,8.75,fagner,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png,42500,0.8,264,0.08,3.21,1.0,1.0,,10.0,4.0,,,2.0,,,,,51.0,3.0,,,,,,
28,7,2.95,Luiz Felipe Scolari,Athlético-PR,26,21,L. Scolari,6,Luiz Felipe Scolari,9.4,luiz-felipe-scolari,https://s.glbimg.com/es/sde/f/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_FORMATO.png,43618,2.15,293,-0.71,4.57,,,,,,,,,,,,,,,,,,,,
