,atletas.status_id,atletas.minimo_para_valorizar,atletas.nome,atletas.clube.id.full.name,atletas.rodada_id,atletas.jogos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.apelido,atletas.preco_num,atletas.slug,atletas.foto,atletas.atleta_id,atletas.pontos_num,atletas.clube_id,atletas.variacao_num,atletas.media_num,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PC,PI,SG,PP,DE,GS,DP,GC,PS
186,6,1.33,Rómulo Otero Vásquez,Fortaleza,26,2,Otero,4,Otero,4.88,otero,https://s.glbimg.com/es/sde/f/2022/07/16/c5f5df2eead162d7dc6248c825aa23b0_FORMATO.png,83004,0.0,356,0.0,0.75,,,,1.0,,,,2.0,,,,,7.0,,,,,,,
187,7,6.13,Gabriel Barbosa Almeida,Flamengo,26,22,Gabriel,5,Gabriel,10.68,gabriel,https://s.sde.globo.com/media/person_role/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png,83257,0.0,262,0.0,3.48,1.0,6.0,1.0,5.0,10.0,12.0,13.0,14.0,1.0,7.0,14.0,,76.0,,1.0,,,,,
188,6,2.03,Marcos Guilherme de Almeida Santos Matos,São Paulo,26,7,M. Guilherme,5,Marcos Guilherme,4.37,marcos-guilherme,https://s.glbimg.com/es/sde/f/2022/06/28/beaa874f9953e86894fb3ff1e44fd934_FORMATO.png,83266,0.0,276,0.0,1.27,,,,4.0,1.0,2.0,3.0,2.0,,,1.0,,13.0,,,,,,,
189,6,3.79,Patrick Bezerra do Nascimento,São Paulo,26,20,Patrick,4,Patrick,9.17,patrick,https://s.glbimg.com/es/sde/f/2022/03/01/6ebefc2dde70dd404af0145a962b55d4_FORMATO.png,83433,3.4,276,0.09,4.26,1.0,4.0,,39.0,20.0,2.0,7.0,24.0,,4.0,2.0,,85.0,,,,,,,
190,7,6.44,Guilherme Parede Pinheiro,Juventude,26,13,G. Parede,5,Guilherme Parede,3.37,guilherme-parede,https://s.glbimg.com/es/sde/f/2022/03/03/fc970f8486208ea64d2857c89a9ea781_FORMATO.png,83438,7.6,286,1.32,1.27,1.0,2.0,,3.0,7.0,3.0,3.0,6.0,,1.0,1.0,,49.0,,,,,,,
191,7,1.57,Leonardo Pereira,Flamengo,26,8,L. Pereira,3,Léo Pereira,3.2,leo-pereira,https://s.glbimg.com/es/sde/f/2022/03/04/f8401115c5ce6574f1f6fb8e8cfccee6_FORMATO.png,83528,1.5,262,-0.2,2.5,,2.0,,8.0,10.0,1.0,1.0,6.0,,,,,46.0,3.0,,,,,,
192,6,4.19,Neilton Meira Mestzk,Coritiba,26,3,Neilton,5,Neilton,3.68,neilton,https://s.glbimg.com/es/sde/f/2022/03/14/cb2e543c7dc405836f0fe7262ffe1ec4_FORMATO.png,83772,0.0,294,0.0,0.74,,1.0,,2.0,1.0,1.0,,1.0,,,,,6.0,,,,,,,
193,7,3.1,Francisco das Chagas Soares dos Santos Meireles,Botafogo,26,2,T. Soares,5,Tiquinho Soares,8.01,tiquinho-soares,https://s.glbimg.com/es/sde/f/2022/08/16/f47b785622d8aa181e13a5adc40ecb4b_FORMATO.png,84042,5.1,263,0.02,6.15,,,,2.0,4.0,4.0,5.0,8.0,,,1.0,,16.0,,,,,,,
194,6,5.08,Jemerson de Jesus Nascimento,Atlético-MG,26,1,Jemerson,3,Jemerson,6.29,jemerson,https://s.glbimg.com/es/sde/f/2022/07/04/27bdac865fa3643b7bb816915def4a64_FORMATO.png,84263,0.0,282,0.0,5.0,,,,,,,,,,,,,,1.0,,,,,,
195,6,2.76,Max Walef Araújo da Silva,Fortaleza,26,5,M. Walef,1,Max Walef,2.88,max-walef,https://s.glbimg.com/es/sde/f/2022/02/23/0784484c9e35ebc5b014f365b5cbb5cc_FORMATO.png,84338,0.0,356,0.0,1.4,,,,,,,,,,,,,,,,13.0,6.0,,,
196,6,6.15,Bruno Ferreira Melo,Corinthians,26,5,B. Melo,2,Bruno Melo,4.89,bruno-melo,https://s.glbimg.com/es/sde/f/2022/04/27/35be6fa24036e64091a63cca0ac892d9_FORMATO.png,84339,0.0,264,0.0,3.26,,1.0,,2.0,6.0,1.0,2.0,3.0,,,2.0,,24.0,3.0,,,,,,
197,6,0.37,Danilo Carvalho Barcelos,Goiás,26,17,D. Barcelos,2,Danilo Barcelos,3.04,danilo-barcelos,https://s.glbimg.com/es/sde/f/2022/04/05/07d7f2dc608c0833bf6c29c75cb93a43_FORMATO.png,84382,0.0,290,0.0,1.52,1.0,5.0,,15.0,24.0,,4.0,8.0,,,1.0,,120.0,4.0,,,,,,
198,6,2.55,Fernando Pereira do Nascimento,Ceará,26,13,F. Sobral,4,Fernando Sobral,5.83,fernando-sobral,https://s.glbimg.com/es/sde/f/2022/02/22/d34e2d5762bbaacd3bc3b1940e28f7dd_FORMATO.png,84428,2.2,354,0.31,1.51,,1.0,,9.0,5.0,3.0,4.0,10.0,1.0,,,,36.0,,,,,,,
199,6,1.77,José Romário Silva de Souza,Fortaleza,26,16,Romarinho,5,Romarinho,3.59,romarinho,https://s.glbimg.com/es/sde/f/2022/05/12/ccaf4552cbd0363c0a3fceefa2bf00bf_FORMATO.png,84523,1.8,356,0.11,2.65,1.0,2.0,1.0,10.0,9.0,2.0,12.0,23.0,,2.0,2.0,,63.0,,,,,,,
200,7,2.73,Lucas Evangelista Santana de Oliveira,Bragantino,26,22,L. Evangelista,4,Lucas Evangelista,9.57,lucas-evangelista,https://s.glbimg.com/es/sde/f/2022/05/05/175c2911cb392a7305aef49766feb459_FORMATO.png,84674,0.0,280,0.0,3.46,1.0,1.0,,30.0,27.0,6.0,16.0,39.0,1.0,2.0,2.0,,100.0,,1.0,,,,,
201,6,2.14,Guillermo Varela Olivera,Flamengo,26,1,Varela,2,Varela,6.39,varela,https://s.sde.globo.com/media/person_role/2022/09/16/photo_FORMATO_NRQp1lu.png,84816,0.0,262,0.0,1.4,,,,1.0,,,,1.0,,,,,3.0,,,,,,,
202,7,3.12,Robson dos Santos Fernandes,Fortaleza,26,20,Robson,5,Robson,7.03,robson,https://s.glbimg.com/es/sde/f/2022/05/12/b000ff4ab3334924aefc7d073b85809e_FORMATO.png,84817,2.5,356,0.82,3.88,3.0,5.0,,14.0,33.0,10.0,13.0,28.0,1.0,4.0,14.0,,63.0,,1.0,,,,,1.0
203,6,1.1,Fabrício Santos de Jesus,Fortaleza,26,4,F. Baiano,4,Fabrício Baiano,2.78,fabricio-baiano,https://s.glbimg.com/es/sde/f/2022/07/16/89176758f659f2237119a0bced3a49fb_FORMATO.png,84993,0.0,356,0.0,0.47,,,,2.0,1.0,,,1.0,,,,,7.0,,,,,,,
204,6,6.71,Marcos Felipe de Freitas Monteiro,Fluminense,26,0,M. Felipe,1,Marcos Felipe,7.0,marcos-felipe,https://s.glbimg.com/es/sde/f/2022/04/20/ab25269795dde58cb608244ba84cb88d_FORMATO.png,85004,0.0,266,0.0,0.0,,,,,,,,,,,,,,,,,,,,
205,6,3.99,Vinicius Silvestre da Costa,Palmeiras,26,0,V. Silvestre,1,Vinicius Silvestre,4.0,vinicius-silvestre,https://s.glbimg.com/es/sde/f/2022/02/21/6b18b6e2028293647615790cb3edf11f_FORMATO.png,85083,0.0,275,0.0,0.0,,,,,,,,,,,,,,,,,,,,
206,6,-0.25,Víctor Danilo Cantillo Jiménez,Corinthians,26,16,Cantillo,4,Cantillo,4.87,cantillo,https://s.glbimg.com/es/sde/f/2022/04/27/c87878b94e3c0c01f4d753ca9ee6fa0c_FORMATO.png,85315,0.0,264,0.0,1.98,,1.0,,26.0,10.0,,1.0,20.0,,,,,62.0,,,,,,,
207,7,1.78,Wanderson Ferreira de Oliveira,Cuiabá,26,22,Valdívia,4,Valdívia,5.68,valdivia,https://s.glbimg.com/es/sde/f/2022/02/23/ec8d7f67b026fc679f8ac3b10514eefd_FORMATO.png,85423,1.4,1371,-0.2,2.43,,3.0,,20.0,15.0,6.0,11.0,26.0,1.0,2.0,2.0,,110.0,,,,,,,
208,7,1.52,João Paulo Silva Martins,Santos,26,24,J. Paulo,1,João Paulo,13.05,joao-paulo,https://s.glbimg.com/es/sde/f/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png,85425,0.0,277,-0.18,4.63,,4.0,,1.0,,,,5.0,,,,,,8.0,,94.0,23.0,,,
209,7,3.81,Alex Paulo Menezes Santana,Athlético-PR,26,4,A. Santana,4,Alex Santana,6.61,alex-santana,https://s.glbimg.com/es/sde/f/2022/07/29/9bcc147b812ef5698e82fee8e3a18b98_FORMATO.png,85465,2.8,293,-0.36,3.87,,2.0,,11.0,5.0,1.0,3.0,7.0,,,,,13.0,,,,,,,
210,6,4.15,Leonardo Pinheiro da Conceição,São Paulo,26,18,Léo,3,Léo,5.24,leo,https://s.glbimg.com/es/sde/f/2022/03/01/7be60e39236cf34421178ed1ea9b2145_FORMATO.png,85626,0.0,276,0.0,1.73,,3.0,,17.0,16.0,,4.0,9.0,,,,,90.0,4.0,,,,,,
211,7,2.75,Hyoran Kaue Dalmoro,Bragantino,26,16,Hyoran,4,Hyoran,7.36,hyoran,https://s.glbimg.com/es/sde/f/2022/05/05/d656de14270c212a9409e2e8138e3b20_FORMATO.png,85931,0.0,280,0.0,4.0,2.0,1.0,,15.0,11.0,9.0,14.0,8.0,,3.0,,,96.0,,,,,,,
212,6,2.4,Gustavo Affonso Sauerbeck,Botafogo,26,5,G. Sauer,5,Gustavo Sauer,4.35,gustavo-sauer,https://s.glbimg.com/es/sde/f/2022/04/13/ece78d4e91579f63c336f5010cbf9053_FORMATO.png,85993,0.0,263,0.0,1.4,,,,5.0,2.0,2.0,,2.0,,,,,18.0,,,,,,,
213,6,2.46,Diego Rigonato Rodrigues,Ceará,26,2,Diego,4,Diego,2.63,diego,https://s.glbimg.com/es/sde/f/2022/06/23/a9b4d32f7d6d9e4fc96279399e6ab904_FORMATO.png,86029,0.0,354,0.0,1.45,,,,,1.0,2.0,,3.0,,,,,7.0,,,,,,,
214,6,0.17,Wanderson Santos Pereira,Atlético-GO,26,17,Wanderson,3,Wanderson,2.21,wanderson,https://s.glbimg.com/es/sde/f/2022/03/03/e4318c57015f1d5169d4e83fc7af4813_FORMATO.png,86143,-0.1,373,-0.27,0.75,,1.0,,6.0,13.0,,3.0,4.0,,,,,40.0,2.0,,,,,,
215,2,5.07,Natanael Batista Pimenta,Avaí,26,6,Natanael,2,Natanael,7.09,natanael,https://s.glbimg.com/es/sde/f/2022/07/18/04d6865853a44f1a0a32d6f5ce32e9fe_FORMATO.png,86264,5.6,314,0.01,5.22,3.0,,,7.0,5.0,4.0,5.0,5.0,1.0,,2.0,,47.0,,,,,,,
216,7,0.73,Alexandre Egea,América-MG,26,16,Alê,4,Alê,7.62,ale,https://s.glbimg.com/es/sde/f/2022/02/24/4b65fc3f258e926df6bf12c3abbfa9a0_FORMATO.png,86388,-0.2,327,-0.35,2.87,1.0,,1.0,25.0,26.0,2.0,5.0,29.0,,1.0,,,74.0,,,,,,,
217,6,1.73,Victor Luis Chuab Zamblauskas,Ceará,26,13,V. Luis,2,Victor Luis,4.86,victor-luis,https://s.glbimg.com/es/sde/f/2022/02/22/451062f55ce1f1bb899af8a090cd1bb5_FORMATO.png,86410,0.0,354,0.0,1.97,,,,11.0,9.0,2.0,4.0,11.0,,,,,60.0,2.0,,,,,,
218,6,1.9,Pablo Dyego da Silva Rosa,Avaí,26,1,P. Dyego,5,Pablo Dyego,3.08,pablo-dyego,https://s.glbimg.com/es/sde/f/2022/08/16/aa71716a1e7b6d5f4f466762f82871f8_FORMATO.png,86444,0.0,314,0.0,0.2,,,,,2.0,,,2.0,,,,,2.0,,,,,,,
219,7,11.51,Marcos da Silva França,Atlético-MG,26,16,Keno,5,Keno,8.83,keno,https://s.glbimg.com/es/sde/f/2022/07/15/820234c0ffc99499256049457624d710_FORMATO.png,86485,0.0,282,0.0,3.59,1.0,2.0,,20.0,9.0,6.0,15.0,15.0,,2.0,3.0,,92.0,,,,,,,
220,6,0.38,Jandrei Chitolina Carniel,São Paulo,26,19,Jandrei,1,Jandrei,6.39,jandrei,https://s.glbimg.com/es/sde/f/2022/03/01/aea40f3f23e91096dde97a5b7a877640_FORMATO.png,86508,0.0,276,0.0,2.6,,,,,,,,3.0,,,,,,4.0,,47.0,19.0,,,
221,7,0.53,Richardson Fernandes dos Santos,Ceará,26,19,Richardson,4,Richardson,3.21,richardson,https://s.glbimg.com/es/sde/f/2022/02/22/6e7e2815732004f3d9c34e0dae8ce6f7_FORMATO.png,86536,0.2,354,-0.52,1.91,,7.0,1.0,43.0,41.0,,3.0,21.0,,,,1.0,50.0,,,,,,,
222,7,1.98,Arthur Henrique Peixoto Santos,Atlético-GO,26,15,A. Henrique,2,Arthur Henrique,3.27,arthur-henrique,https://s.glbimg.com/es/sde/f/2022/03/03/ac8a8dbf454accfda9793bed640e7799_FORMATO.png,86629,0.0,373,0.0,1.38,,,1.0,19.0,7.0,,,6.0,,,,,51.0,1.0,,,,,,
223,7,1.45,Rodrigo Alves Soares,Juventude,26,22,R. Soares,2,Rodrigo Soares,2.86,rodrigo-soares,https://s.glbimg.com/es/sde/f/2022/03/03/9c3587675488eeeb0991d8754b8cee2b_FORMATO.png,86675,1.4,286,-0.21,2.14,1.0,3.0,,27.0,20.0,2.0,4.0,3.0,,1.0,,,163.0,4.0,,,,,,
224,7,3.56,Danilo das Neves Pinheiro,Botafogo,26,18,T. Tchê,4,Tchê Tchê,4.56,tche-tche,https://s.glbimg.com/es/sde/f/2022/04/14/0837ace715e5ba9dc6b7efa8744ddb15_FORMATO.png,86686,3.8,263,0.31,1.62,,1.0,,20.0,27.0,3.0,6.0,27.0,,,,,75.0,,,,,,,
225,7,1.98,Richard Cândido Coelho,Ceará,26,20,R. Coelho,4,Richard Coelho,4.98,richard-coelho,https://s.glbimg.com/es/sde/f/2022/02/22/a9032c07d987ecaec7516f2037a7de70_FORMATO.png,86711,1.7,354,-0.51,2.13,1.0,7.0,1.0,40.0,39.0,5.0,4.0,23.0,,,2.0,,91.0,,,,,,,
226,6,3.23,Everton Sousa Soares,Flamengo,26,9,Everton,5,Everton,11.57,everton,https://s.glbimg.com/es/sde/f/2022/07/15/353ea5b8887c0e119da1d3a27bff35d6_FORMATO.png,86757,2.0,262,-0.81,3.41,1.0,,,9.0,7.0,7.0,9.0,9.0,1.0,,,,61.0,,,,,,,
227,6,1.58,Luan Guilherme de Jesus Vieira,Santos,26,3,Luan,4,Luan,4.8,luan,https://s.glbimg.com/es/sde/f/2022/08/05/844f17537a7b2cdc6437bb662770240a_FORMATO.png,86759,1.3,277,-1.25,3.53,1.0,,,1.0,,,3.0,5.0,,,,,5.0,,,,,,,
228,7,0.3,Sidcley Ferreira Pereira,Cuiabá,26,4,Sidcley,2,Sidcley,4.17,sidcley,https://s.glbimg.com/es/sde/f/2022/08/04/f1b96cd2e1a5c62c2aec694945991675_FORMATO.png,86764,-0.8,1371,-0.6,1.92,,,,3.0,,,1.0,1.0,,,,,22.0,1.0,,,,,,
229,6,0.51,Danilo Barbosa da Silva,Botafogo,26,2,D. Barbosa,4,Danilo Barbosa,4.33,danilo-barbosa,https://s.glbimg.com/es/sde/f/2022/08/12/7d590ab4c6d70f44e3ca55f066cacbb7_FORMATO.png,86777,0.0,263,0.0,0.65,,1.0,,1.0,2.0,1.0,,2.0,,,,,5.0,,,,,,,
230,6,2.57,Gabriel Boschilia,Coritiba,26,5,Boschilia,4,Boschilia,4.0,boschilia,https://s.glbimg.com/es/sde/f/2022/08/12/8bbade4dbabca44eb3eda2767deda745_FORMATO.png,86841,0.0,294,0.0,1.96,1.0,1.0,,4.0,3.0,,2.0,3.0,,,,,12.0,,,,,,,
231,7,4.95,José Welison da Silva,Fortaleza,26,16,J. Welison,4,José Welison,5.65,jose-welison,https://s.glbimg.com/es/sde/f/2022/05/12/32f4ef48713e5687dbe666e42316e4ad_FORMATO.png,86859,5.4,356,0.91,2.91,,2.0,,33.0,21.0,2.0,11.0,9.0,,1.0,,,85.0,,,,,,,
232,7,6.53,Marlon Matheus Lopes do Nascimento,América-MG,26,19,Marlon,2,Marlon,6.33,marlon,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/02/25/d945a3ac1fe38c28ea612a9d62b68a37_FORMATO.png,86864,7.3,327,-0.38,4.64,1.0,5.0,1.0,50.0,28.0,4.0,13.0,20.0,,,,,156.0,6.0,,,,,,
233,7,2.8,Eduardo Gabriel dos Santos Bauermann,Santos,26,22,E. Bauermann,3,Eduardo Bauermann,9.46,eduardo-bauermann,https://s.glbimg.com/es/sde/f/2022/03/03/c89e866fa7fb43aaf3b818e5578644d5_FORMATO.png,86970,2.1,277,-0.09,3.8,1.0,5.0,,25.0,8.0,2.0,4.0,16.0,1.0,,1.0,,69.0,9.0,,,,,,1.0
234,6,3.99,Emerson Raymundo Santos,Atlético-GO,26,0,E. Santos,3,Emerson Santos,4.0,emerson-santos,https://s.glbimg.com/es/sde/f/2022/07/28/5ddfe529ef61fe54a0aa6410f1a57699_FORMATO.png,86972,0.0,373,0.0,0.0,,,,,,,,,,,,,,,,,,,,
235,6,3.53,Nathan Allan de Souza,Fluminense,26,14,Nathan,4,Nathan,4.9,nathan,https://s.glbimg.com/es/sde/f/2022/04/20/2662f106e29e9ae55a0ef2dd5992e969_FORMATO.png,87009,0.0,266,0.0,2.27,1.0,1.0,,10.0,8.0,5.0,9.0,8.0,,1.0,1.0,,68.0,,,,,,,
236,5,2.38,Matheus Vieira Campos Peixoto,Ceará,26,11,M. Peixoto,5,Matheus Peixoto,5.51,matheus-peixoto,https://s.glbimg.com/es/sde/f/2022/03/14/2eb9eaecb0ea8315d3d9f2e457dac7c4_FORMATO.png,87098,0.0,354,0.0,1.48,1.0,,,5.0,6.0,4.0,3.0,6.0,,,3.0,,28.0,,,,,,,
237,7,1.08,Eduardo Augusto Baptista Miguel,Atlético-GO,26,14,E. Baptista,6,Eduardo Baptista,6.13,eduardo-baptista,https://s.glbimg.com/es/sde/f/2022/03/08/7e94aeb464052c259e6a403d822724af_FORMATO.png,87211,1.3,373,-0.21,2.9,,,,,,,,,,,,,,,,,,,,
238,7,1.43,Pedro Henrique Ribeiro Gonçalves,Athlético-PR,26,20,P. Henrique,3,Pedro Henrique,7.75,pedro-henrique,https://s.glbimg.com/es/sde/f/2021/05/02/f5dd1bb01acb5eb9e0601cc31c8020f5_FORMATO.png,87225,0.7,293,-0.89,4.22,,5.0,,46.0,16.0,4.0,1.0,20.0,,,,,114.0,7.0,,,,,,
239,5,6.18,Guilherme Antonio Arana Lopes,Atlético-MG,26,18,G. Arana,2,Guilherme Arana,12.12,guilherme-arana,https://s.sde.globo.com/media/person_role/2022/07/15/15c5ec9f4de048f57500c0cfa19f5568_FORMATO.png,87228,0.0,282,0.0,4.23,2.0,4.0,,22.0,25.0,4.0,16.0,13.0,1.0,,1.0,1.0,147.0,8.0,,,,,,
240,6,3.63,Guillermo Gabriel de los Santos Viana - Daniel,Coritiba,26,11,G. Santos,3,Guillermo Santos,5.95,guillermo-santos,https://s.glbimg.com/es/sde/f/2022/02/23/e40fd20b4f4e43234a7d5ac7d2107fc6_FORMATO.png,87238,0.0,294,0.0,3.98,1.0,2.0,,21.0,4.0,3.0,1.0,6.0,,,,,56.0,3.0,,,,,,
241,7,-0.09,Carlos María de Pena Bonino,Internacional,26,22,C. Pena,5,Carlos de Pena,5.77,carlos-de-pena,https://s.glbimg.com/es/sde/f/2022/04/02/d2010e9182e074fe4a26c1c6d39304dc_FORMATO.png,87242,0.0,285,0.0,3.82,5.0,6.0,,32.0,19.0,12.0,18.0,11.0,1.0,3.0,,,250.0,,1.0,,,,,
242,7,1.96,Yeferson Julio Soteldo Martínez,Santos,26,4,Soteldo,5,Soteldo,9.46,soteldo,https://s.glbimg.com/es/sde/f/2020/02/28/1ad66e771f5acc6f55ab13d6cdc8b6f4_FORMATO.png,87258,1.1,277,-0.63,2.65,1.0,,,,1.0,3.0,3.0,8.0,,,,,41.0,,,,,,,
243,7,1.23,Willian Marlon Ferreira Moraes,Atlético-GO,26,11,W. Maranhão,4,Willian Maranhão,3.56,willian-maranhao,https://s.glbimg.com/es/sde/f/2022/07/22/3d441c6c216df311f638855e5ae9f952_FORMATO.png,87262,1.0,373,-0.17,1.18,,4.0,,15.0,12.0,,4.0,5.0,,,1.0,,30.0,,,,,,,
244,7,0.23,Messias Rodrigues da Silva Júnior,Ceará,26,20,Messias,3,Messias,3.77,messias,https://s.glbimg.com/es/sde/f/2022/02/22/871ec7ac3407b7d4cb4080a3fce62515_FORMATO.png,87402,-0.3,354,-0.09,1.64,,4.0,,11.0,17.0,2.0,4.0,7.0,1.0,,,1.0,73.0,5.0,,,,,,
245,6,2.85,Vitor Frezarin Bueno,Athlético-PR,26,15,V. Bueno,4,Vitor Bueno,4.51,vitor-bueno,https://s.glbimg.com/es/sde/f/2022/02/21/2a32e3c3943071802ba1b4023aaab2a0_FORMATO.png,87552,0.0,293,0.0,3.14,1.0,2.0,,11.0,9.0,2.0,10.0,13.0,,3.0,1.0,,73.0,,,,,,,
246,5,2.43,Anderson Leite Moraes,Juventude,26,2,A. Leite,4,Anderson Leite,3.71,anderson-leite,https://s.glbimg.com/es/sde/f/2022/07/29/30173d69a7048132aa419f0efded3f32_FORMATO.png,87691,0.0,286,0.0,1.95,,,,4.0,3.0,,,1.0,,,,,5.0,,,,,,,
247,2,1.65,Yago Felipe da Costa Rocha,Fluminense,26,12,Y. Felipe,4,Yago Felipe,5.16,yago-felipe,https://s.glbimg.com/es/sde/f/2022/04/20/ab8a626607a5cce566a4090db8ae4c19_FORMATO.png,87747,1.3,266,-0.24,1.62,,2.0,,13.0,11.0,2.0,4.0,21.0,,,1.0,,68.0,,,,,,,
248,6,1.26,Philipe Sampaio Azevedo,Botafogo,26,13,P. Sampaio,3,Philipe Sampaio,2.33,philipe-sampaio,https://s.glbimg.com/es/sde/f/2022/03/10/0b9c95c7f9a5612681798da7797e3cec_FORMATO.png,87808,0.0,263,0.0,1.16,,2.0,2.0,12.0,17.0,,1.0,7.0,,,1.0,1.0,44.0,3.0,,,,,,
249,6,4.45,Mario Alberto Pineida Martínez,Fluminense,26,7,Pineida,2,Pineida,4.72,pineida,https://s.glbimg.com/es/sde/f/2022/02/24/276aa6ed48cc157820cbf56e845f043f_FORMATO.png,87838,0.0,266,0.0,2.74,,,,,6.0,,1.0,6.0,,,,,28.0,4.0,,,,,,
250,7,3.22,Giorgian Daniel de Arrascaeta Benedetti,Flamengo,26,19,Arrascaeta,4,Arrascaeta,16.91,arrascaeta,https://s.sde.globo.com/media/person_role/2022/04/25/cc92618f5866aefc097fc6f6ad12eef6_FORMATO.png,87863,1.5,262,0.02,6.11,7.0,,,31.0,7.0,7.0,16.0,36.0,2.0,2.0,2.0,,160.0,,,,,,,1.0
251,7,5.46,Fabián Cornelio Balbuena González,Corinthians,26,7,Balbuena,3,Balbuena,10.23,balbuena,https://s.glbimg.com/es/sde/f/2018/03/19/8391694cbff5bcefdd87bc85cc615423_FORMATO.png,87887,4.7,264,-0.61,5.2,,1.0,,13.0,5.0,,2.0,3.0,,2.0,,1.0,48.0,2.0,,,,,,
252,6,0.37,Matheus de Vargas,Fortaleza,26,11,M. Vargas,4,Matheus Vargas,3.19,matheus-vargas,https://s.glbimg.com/es/sde/f/2022/05/12/8d527aee11a3ca28fe1dab544e70733d_FORMATO.png,87929,0.0,356,0.0,1.01,,2.0,,4.0,11.0,4.0,7.0,11.0,,,3.0,,40.0,,,,,,,
253,7,7.76,Gustavo Henrique Furtado Scarpa,Palmeiras,26,23,G. Scarpa,4,Gustavo Scarpa,12.79,gustavo-scarpa,https://s.sde.globo.com/media/person_role/2022/02/21/7f4f870f8251e4f95ab6d372a22919c1_FORMATO.png,87999,7.9,275,1.16,6.43,9.0,,,15.0,8.0,23.0,31.0,51.0,2.0,4.0,8.0,,278.0,,,,,,,
254,7,2.79,Alan Pereira Empereur,Cuiabá,26,16,A. Empereur,3,Alan Empereur,4.99,alan-empereur,https://s.glbimg.com/es/sde/f/2022/07/20/5db43ec8756f6951151160f78ec748cb_FORMATO.png,88033,2.7,1371,0.69,1.39,,4.0,1.0,11.0,14.0,,,15.0,,,,,71.0,4.0,,,,,,
255,7,5.29,Luís Manuel Ribeiro de Castro,Botafogo,26,26,L. Castro,6,Luís Castro,9.43,luis-castro,https://s.glbimg.com/es/sde/f/2022/02/21/3d4eb55c672851b1407085b09c4dfbb4_FORMATO.png,88037,5.22,263,-0.22,4.02,,,,,,,,,,,,,,,,,,,,
256,6,3.66,Jorge Marco de Oliveira Moraes,Palmeiras,26,7,Jorge,2,Jorge,3.46,jorge,https://s.glbimg.com/es/sde/f/2022/02/21/93adceb828cf61a7789b7674fbd4e929_FORMATO.png,88065,0.0,275,0.0,3.93,,1.0,,9.0,4.0,,2.0,9.0,,,,,42.0,4.0,,,,,1.0,
257,5,2.14,Ramon Menezes Roma,Atlético-GO,26,14,R. Menezes,3,Ramon Menezes,3.94,ramon-menezes,https://s.glbimg.com/es/sde/f/2022/03/03/addba459fcb5f0a6de801f763b1f8375_FORMATO.png,88087,0.0,373,0.0,1.48,,2.0,,9.0,10.0,3.0,2.0,,1.0,,,,33.0,2.0,,,,,,
258,2,3.68,Daniel Guedes da Silva,Cuiabá,26,8,D. Guedes,2,Daniel Guedes ,3.36,daniel-guedes,https://s.glbimg.com/es/sde/f/2022/04/21/eb1d1f53750f2ecb8c48b5caa3985a22_FORMATO.png,88225,0.0,1371,0.0,2.88,2.0,3.0,,11.0,9.0,,2.0,2.0,,,3.0,,67.0,2.0,,,,,,
259,7,0.84,Junior Osmar Ignacio Alonso Mujica,Atlético-MG,26,21,J. Alonso,3,Junior Alonso,11.2,junior-alonso,https://s.glbimg.com/es/sde/f/2022/07/15/18f148a4c0e6304c4e127291f1935424_FORMATO.png,88312,0.0,282,0.0,3.44,2.0,3.0,,21.0,10.0,,5.0,4.0,1.0,,,1.0,101.0,9.0,,,,,,
260,3,3.2,Ayrton Lucas Dantas de Medeiros,Flamengo,26,21,A. Lucas,2,Ayrton Lucas,8.19,ayrton-lucas,https://s.glbimg.com/es/sde/f/2022/04/14/36837bfe151af329a80e71d5dc2bc8e0_FORMATO.png,88393,2.6,262,0.18,5.3,3.0,3.0,,42.0,33.0,4.0,3.0,35.0,,2.0,,,170.0,7.0,,,,,,
261,7,6.23,Aderlan de Lima Silva,Bragantino,26,20,Aderlan,2,Aderlan,8.55,aderlan,https://s.glbimg.com/es/sde/f/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png,88423,0.0,280,0.0,3.33,2.0,5.0,,47.0,48.0,,6.0,10.0,,,2.0,,200.0,6.0,,,,,,
262,6,2.03,Marlon Adriano Prezotti,Juventude,26,9,Marlon,4,Marlon,2.83,marlon,https://s.glbimg.com/es/sde/f/2022/03/27/52ccdcb0c3400c65e20b83b56e0a5800_FORMATO.png,88427,0.0,286,0.0,0.84,,1.0,,10.0,13.0,,,6.0,,,,,25.0,,,,,,,
263,6,2.04,Auro Álvaro da Cruz Júnior,Santos,26,4,Auro,2,Auro,3.05,auro,https://s.glbimg.com/es/sde/f/2022/03/14/540966ca01d0e0b65fec115d8e24488b_FORMATO.png,88540,0.0,277,0.0,1.73,,2.0,,5.0,6.0,,1.0,1.0,,,,,16.0,1.0,,,,,,
264,6,2.18,Marcos Ytalo Benício da Silva,Ceará,26,0,Buiú,2,Buiú,2.0,buiu,https://s.glbimg.com/es/sde/f/2022/02/22/ba7e99bec918671e0921368e6c04d2d8_FORMATO.png,88544,0.0,354,0.0,0.0,,,,,,,,,,,,,,,,,,,,
