"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","FT","G","I","PI","PP","PS","SG","CV","DE","GS","GC","PC","DP"
"17",94509,18,275,"mei","7",1.2,13.87,-0.19,4.28,12,NA,"raphael-veiga","Raphael Veiga","R. Veiga","Raphael Cavalcante Veiga","https://s.glbimg.com/es/sde/f/2022/02/21/edbc22b64b00c1cd70870abf8d429ffd_FORMATO.png","Palmeiras",3,NA,13,12,5,11,20,1,1,1,72,1,NA,NA,NA,NA,NA,NA,NA,NA
"18",83257,18,262,"ata","7",7.7,10.94,0.89,3.93,15,NA,"gabriel","Gabriel","Gabriel","Gabriel Barbosa Almeida","https://s.glbimg.com/es/sde/f/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png","Flamengo",1,6,5,8,8,11,12,1,5,12,58,1,NA,NA,NA,NA,NA,NA,NA,NA
"19",42234,18,264,"gol","7",2,11.46,-1.18,5.48,15,NA,"cassio","Cássio","Cássio","Cássio Roberto Ramos","https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png","Corinthians",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,52,11,NA,NA,NA
"20",102130,18,275,"lat","7",0,8.93,0,6.4,11,NA,"piquerez","Piquerez","Piquerez","Joaquín Piquerez Moreira","https://s.glbimg.com/es/sde/f/2022/02/21/82bd262ef647de7255e8df06fdd8e3f2_FORMATO.png","Palmeiras",1,2,29,8,3,6,12,NA,NA,NA,84,NA,NA,6,NA,NA,NA,NA,1,NA
"21",93882,18,280,"gol","3",0,9.12,-1.44,3.64,17,NA,"cleiton","Cleiton","Cleiton","Cleiton Schwengber","https://s.glbimg.com/es/sde/f/2022/05/05/ec4a7cb649121dc08c2869bdcf6ef984_FORMATO.png","Bragantino",NA,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,5,NA,58,20,NA,1,NA
"22",96468,18,285,"gol","7",-2,7.13,-1.9,3.85,16,NA,"daniel","Daniel","Daniel","Daniel de Sousa Brito","https://s.glbimg.com/es/sde/f/2022/04/02/9ce578918b5a7d98112629368b0a657d_FORMATO.png","Internacional",NA,2,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,NA,53,17,NA,NA,NA
"23",37656,18,266,"gol","7",1,10.21,0.21,4.06,18,NA,"fabio","Fábio","Fábio","Fábio Deivson Lopes Maciel","https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png","Fluminense",NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,7,NA,57,19,NA,NA,NA
"24",38144,18,276,"lat","6",4.6,9.13,0.47,3.33,16,NA,"rafinha","Rafinha","Rafinha","Márcio Rafael Ferreira de Souza","https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png","São Paulo",3,4,24,19,NA,1,14,NA,NA,NA,87,NA,NA,4,NA,NA,NA,NA,NA,NA
"25",85425,18,277,"gol","7",15.5,14.97,2.27,4.67,16,NA,"joao-paulo","João Paulo","J. Paulo","João Paulo Silva Martins","https://s.glbimg.com/es/sde/f/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png","Santos",NA,3,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,NA,65,15,NA,NA,NA
"26",74061,18,263,"gol","7",3.5,6.84,0.11,3.33,15,NA,"gatito-fernandez","Gatito Fernández","G. Fernández","Roberto Junior Fernández Torres","https://s.glbimg.com/es/sde/f/2022/02/21/26f8f1373737a7203417427043ada896_FORMATO.png","Botafogo",NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,55,21,NA,NA,NA
