"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.gato_mestre.media_pontos_mandante","atletas.gato_mestre.media_pontos_visitante","atletas.gato_mestre.media_minutos_jogados","atletas.gato_mestre.minutos_jogados","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DE","DP","DS","FS","GS","SG","CA","PC","A","FC","FD","FF","PI","FT","G","I","PS","PP","CV","GC"
"13", 87863,23, 262,"mei","6", 1.80,17.35,-0.34, 6.73,17, 3.66,  8.27500000,  5.35555556, 69.00000000, 19.00000000,"arrascaeta","Arrascaeta","Arrascaeta","Giorgian Daniel de Arrascaeta Benedetti","https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/04/25/cc92618f5866aefc097fc6f6ad12eef6_220x220.png","Flamengo",NA,NA,30,34,NA,NA,NA,NA, 7, 7, 7,16,155, 2, 2, 2, 1,NA,NA,NA
"14", 94509,23, 275,"mei","7",13.90,16.22, 1.94, 5.03,17,12.96,  7.16000000,  2.02857143, 70.00000000, 91.00000000,"raphael-veiga","Raphael Veiga","R. Veiga","Raphael Cavalcante Veiga","https://s.glbimg.com/es/sde/f/2022/02/21/edbc22b64b00c1cd70870abf8d429ffd_FORMATO.png","Palmeiras",NA,NA,21,28,NA,NA,NA,NA, 3,14, 9,13, 80, 1, 3, 4,NA, 1,NA,NA
"15", 74061,23, 263,"gol","7", 1.50, 7.09,-0.73, 3.67,20, 2.05,  3.60000000,  3.75000000, 99.00000000, 98.00000000,"gatito-fernandez","Gatito Fernández","G. Fernández","Roberto Junior Fernández Torres","https://s.glbimg.com/es/sde/f/2022/02/21/26f8f1373737a7203417427043ada896_FORMATO.png","Botafogo",72,NA,NA, 5,25, 5, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16", 89840,23, 276,"ata","7", 1.50,22.59,-0.82, 5.89,22, 3.74,  8.20000000,  3.59090909, 84.00000000, 35.00000000,"calleri","Calleri","Calleri","Jonathan Calleri","https://s.glbimg.com/es/sde/f/2022/03/01/3abaa943f1546750dd057d6cb3559ce5_FORMATO.png","São Paulo",NA,NA,13,36,NA,NA, 3,NA, 1,29,13,20,111,NA,11,17,NA, 1,NA,NA
"17",101708,23, 277,"lat","2", 7.30, 5.85, 0.73, 2.96,13, 6.52,  3.94000000,  2.35000000, 82.00000000,102.00000000,"felipe-jonatan","Felipe Jonatan","F. Jonatan","Felipe Jonatan Rocha Andrade","https://s.glbimg.com/es/sde/f/2022/03/03/e7109f32d289e269f43592da6566c2e5_FORMATO.png","Santos",NA,NA,16, 9,NA, 5, 2,NA,NA,11, 3, 2,100,NA,NA, 1,NA,NA,NA,NA
"18", 83257,23, 262,"ata","6",-0.20, 9.84, 0.00, 3.58,20, 1.13,  5.12500000,  2.56666667, 69.00000000, 19.00000000,"gabriel","Gabriel","Gabriel","Gabriel Barbosa Almeida","https://s.glbimg.com/es/sde/f/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png","Flamengo",NA,NA, 5,13,NA,NA, 6,NA, 1, 8,11,13, 66, 1, 6,13,NA, 1,NA,NA
"19", 93882,23, 280,"gol","7", 1.00, 9.21, 0.47, 3.40,21, 1.76,  4.04545455,  2.70000000, 97.00000000,108.00000000,"cleiton","Cleiton","Cleiton","Cleiton Schwengber","https://s.glbimg.com/es/sde/f/2022/05/05/ec4a7cb649121dc08c2869bdcf6ef984_FORMATO.png","Bragantino",68,NA,NA, 7,26, 6, 3, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20", 42500,23, 264,"lat","7", 0.00, 8.85, 0.00, 3.76, 5, 1.63,  3.27500000,  5.70000000, 46.00000000, 35.00000000,"fagner","Fagner","Fagner","Fagner Conserva Lemos","https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png","Corinthians",NA,NA, 6, 2,NA, 2, 1,NA, 1, 3,NA,NA, 25,NA,NA,NA,NA,NA,NA,NA
"21", 88423,23, 280,"lat","7", 0.60, 7.62, 0.11, 3.21,18, 1.34,  3.92222222,  2.48888889, 91.00000000,108.00000000,"aderlan","Aderlan","Aderlan","Aderlan de Lima Silva","https://s.glbimg.com/es/sde/f/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png","Bragantino",NA,NA,41, 8,NA, 6, 4,NA, 1,43,NA, 5,174,NA,NA, 2,NA,NA,NA,NA
"22", 90061,23, 354,"lat","6", 2.90, 8.72, 0.57, 3.92,17, 3.24,  3.36250000,  4.01111111, 83.00000000,108.00000000,"bruno-pacheco","Bruno Pacheco","B. Pacheco","Bruno de Jesus Pacheco","https://s.glbimg.com/es/sde/f/2022/02/22/557432fa07207d8e3aa6630ee0483cf0_FORMATO.png","Ceará",NA,NA,40,28,NA, 2, 4, 1, 1,16, 3, 3,144, 1, 1, 2,NA,NA, 1,NA
"23", 91607,23, 275,"ata","7", 1.40,10.81,-0.42, 5.22,18, 2.52,  4.11000000,  6.65000000, 75.00000000, 79.00000000,"rony","Rony","Rony","Ronielson da Silva Barbosa","https://s.glbimg.com/es/sde/f/2022/02/21/a09a417ce482ea35a6c54e89437850d4_FORMATO.png","Palmeiras",NA,NA,12,19,NA,NA, 1,NA,NA,19,10,21, 63,NA, 7,14,NA,NA,NA,NA
"24",106823,23, 293,"zag","6", 0.00, 1.86, 0.00,-0.90, 1, 1.34,NA,NA,NA,NA,"lucas-fasson","Lucas Fasson","L. Fasson","Lucas Fasson dos Santos","https://s.glbimg.com/es/sde/f/2021/08/16/b28f3118f886b751eccec717db71b3ab_FORMATO.png","Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9,NA,NA,NA,NA,NA,NA,NA
"25", 90309,23, 285,"ata","6", 0.00, 4.81, 0.00, 1.75,16, 0.39,  2.01428571,  1.54444444, 50.00000000, 48.00000000,"david","David","David","David Correa da Fonseca","https://s.glbimg.com/es/sde/f/2022/02/22/2bd5fca2e1d0dc67b0755602e00a7e66_FORMATO.png","Internacional",NA,NA,11,16,NA,NA, 1,NA, 2,20, 4, 6, 53, 1,NA, 5,NA,NA, 1,NA
"26", 68808,23, 354,"lat","7", 0.00, 5.73, 0.00, 2.20,18, 1.39,  1.97000000,  2.50000000, 63.00000000,108.00000000,"nino-paraiba","Nino Paraíba","N. Paraíba","Severino do Ramo Clementino da Silva","https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png","Ceará",NA,NA,25,14,NA, 4, 6,NA,NA,18,NA, 2,154,NA, 1, 1,NA,NA,NA,NA
"27", 86864,23, 327,"lat","6", 4.30, 5.42,-1.24, 4.21,16, 4.47,  5.18571429,  3.45555556, 84.00000000, 96.00000000,"marlon","Marlon ","Marlon ","Marlon Matheus Lopes do Nascimento","https://s.glbimg.com/es/sde/f/2022/02/25/d945a3ac1fe38c28ea612a9d62b68a37_FORMATO.png","América-MG",NA,NA,39,17,NA, 4, 3,NA, 1,21, 3,11,130,NA,NA,NA,NA,NA, 1,NA
"28", 90285,23, 262,"ata","5", 0.00,14.90, 0.00, 5.88, 8,10.11,NA,NA, 82.00000000, 25.00000000,"bruno-henrique","Bruno Henrique","B. Henrique","Bruno Henrique Pinto","https://s.glbimg.com/es/sde/f/2022/04/25/b3a232f9392817871f70ab3b32069e30_FORMATO.png","Flamengo",NA,NA,13,20,NA,NA, 3,NA, 2,11, 7, 4, 41, 1, 1, 8,NA,NA,NA,NA
"29", 68920,23, 275,"ata","7", 9.70,13.19, 1.73, 4.93,22, 9.36,  5.48333333,  4.27000000, 76.00000000, 91.00000000,"dudu","Dudu","Dudu","Eduardo Pereira Rodrigues","https://s.glbimg.com/es/sde/f/2022/02/21/f77c90a60a3c8354d3235d1b61be9208_FORMATO.png","Palmeiras",NA,NA,18,42,NA,NA, 1,NA, 4, 8,12,12,153, 3, 4, 4,NA,NA,NA,NA
"30", 87228,23, 282,"lat","7", 0.70,11.31,-0.84, 4.23,16, 2.22,  2.67500000,  5.77500000, 92.00000000, 98.00000000,"guilherme-arana","Guilherme Arana","G. Arana","Guilherme Antonio Arana Lopes","https://s.glbimg.com/es/sde/f/2022/07/15/15c5ec9f4de048f57500c0cfa19f5568_FORMATO.png","Atlético-MG",NA,NA,19,11,NA, 7, 4, 1, 2,24, 4,15,133, 1,NA,NA,NA,NA,NA,NA
"31", 38144,23, 276,"lat","6", 0.70, 8.59,-0.61, 3.18,20, 1.52,  4.00000000,  2.33000000, 84.00000000,102.00000000,"rafinha","Rafinha","Rafinha","Márcio Rafael Ferreira de Souza","https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png","São Paulo",NA,NA,35,16,NA, 4, 5,NA, 3,21,NA, 1,112,NA,NA,NA,NA,NA,NA,NA
"32", 42116,23, 266,"ata","6",14.70, 6.15, 2.42, 1.96,19,12.53,  2.29090909,  1.50000000, 22.00000000, 15.00000000,"willian","Willian","Willian","Willian Gomes de Siqueira","https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png","Fluminense",NA,NA, 7, 3,NA,NA, 2,NA, 1, 5, 3,NA, 16,NA, 3, 2,NA,NA,NA,NA
"33",104257,23,1371,"lat","7", 0.50, 6.30,-0.73, 3.09,19, 1.22,  4.24444444,  2.05000000, 87.00000000, 50.00000000,"joao-lucas","João Lucas","J. Lucas","João Lucas de Almeida Carvalho","https://s.glbimg.com/es/sde/f/2022/02/23/9aab91f181711232b92dd27558ae246d_FORMATO.png","Cuiabá",NA,NA,50,20,NA, 5, 6, 2,NA,26, 1, 4,219,NA,NA,NA,NA,NA, 1,NA
"34", 69012,23, 262,"gol","7", 2.50, 9.47,-0.70, 5.11,10, 3.03,  5.80000000,  4.40000000, 96.00000000, 98.00000000,"santos","Santos","Santos","Aderbar Melo dos Santos Neto","https://s.glbimg.com/es/sde/f/2022/04/14/cdf250518797f30f9cb6045061ee01ab_FORMATO.png","Flamengo",30,NA,NA, 2, 5, 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35", 91573,23, 276,"zag","5", 0.00, 5.93, 0.00, 2.71, 8, 3.26,NA,NA,100.00000000,102.00000000,"arboleda","Arboleda","Arboleda","Robert Abel Arboleda Escobar","https://s.glbimg.com/es/sde/f/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png","São Paulo",NA,NA,16, 3,NA,NA, 1,NA,NA, 9, 2, 3, 31, 1,NA,NA,NA,NA,NA,NA
"36", 69034,23, 264,"mei","5", 0.00,10.81, 0.00, 2.93, 3,10.10,NA,NA, 57.00000000, 28.00000000,"paulinho","Paulinho","Paulinho","José Paulo Bezerra Maciel Júnior","https://s.glbimg.com/es/sde/f/2022/04/27/1d79a755ea006081f316b2fad1097216_FORMATO.png","Corinthians",NA,NA, 1, 1,NA,NA,NA,NA,NA, 2,NA,NA,  3,NA, 1,NA,NA,NA,NA,NA
"37", 90768,23, 262,"zag","7", 0.00, 8.97, 0.00, 5.50, 5,19.72, 12.25000000,  1.00000000, 97.00000000, 94.00000000,"fabricio-bruno","Fabrício Bruno","F. Bruno","Fabrício Bruno Soares de Faria","https://s.glbimg.com/es/sde/f/2022/04/25/06fca89445e5f7bb29a42734c5fbb2e0_FORMATO.png","Flamengo",NA,NA, 4, 2,NA, 2, 2,NA,NA, 4,NA,NA, 11,NA, 2,NA,NA,NA,NA,NA
