,atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.minimo_para_valorizar,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PI,PP,PS,SG
187,Otero,Otero,83004,Fortaleza,356,https://s.glbimg.com/es/sde/f/2022/07/16/c5f5df2eead162d7dc6248c825aa23b0_FORMATO.png,1,1.2,3.95,Rómulo Otero Vásquez,0.0,4,5.48,24,otero,6,0.0,,,,,,1.0,,,,,,,,,,,,,,
188,Gabriel,Gabriel,83257,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png,21,3.39,0.39,Gabriel Barbosa Almeida,-0.4,5,9.67,24,gabriel,6,-0.17,1.0,6.0,,,,5.0,8.0,11.0,13.0,13.0,1.0,6.0,,,14.0,,69.0,1.0,,
189,Marcos Guilherme,M. Guilherme,83266,São Paulo,276,https://s.glbimg.com/es/sde/f/2022/06/28/beaa874f9953e86894fb3ff1e44fd934_FORMATO.png,6,1.28,1.05,Marcos Guilherme de Almeida Santos Matos,0.0,5,4.2,24,marcos-guilherme,6,0.0,,,,,,4.0,1.0,2.0,2.0,1.0,,,,,1.0,,12.0,,,
190,Patrick,Patrick,83433,São Paulo,276,https://s.glbimg.com/es/sde/f/2022/03/01/6ebefc2dde70dd404af0145a962b55d4_FORMATO.png,18,4.39,2.4,Patrick Bezerra do Nascimento,2.2,4,8.93,24,patrick,2,0.07,1.0,4.0,,,,35.0,20.0,2.0,7.0,21.0,,4.0,,,2.0,,82.0,,,
191,Guilherme Parede,G. Parede,83438,Juventude,286,https://s.glbimg.com/es/sde/f/2022/03/03/fc970f8486208ea64d2857c89a9ea781_FORMATO.png,11,0.83,-0.13,Guilherme Parede Pinheiro,-0.4,5,2.03,24,guilherme-parede,6,-0.39,1.0,1.0,,,,3.0,4.0,2.0,3.0,4.0,,,,,1.0,,40.0,,,
192,Léo Pereira,L. Pereira,83528,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/03/04/f8401115c5ce6574f1f6fb8e8cfccee6_FORMATO.png,6,2.6,2.92,Leonardo Pereira,0.0,3,3.34,24,leo-pereira,7,0.0,,2.0,,,,6.0,10.0,,1.0,2.0,,,,,,,34.0,,,3.0
193,Neilton,Neilton,83772,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/03/14/cb2e543c7dc405836f0fe7262ffe1ec4_FORMATO.png,3,0.74,4.6,Neilton Meira Mestzk,0.0,5,3.68,24,neilton,6,0.0,,1.0,,,,2.0,1.0,1.0,,1.0,,,,,,,6.0,,,
194,Tiquinho Soares,T. Soares,84042,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/08/16/f47b785622d8aa181e13a5adc40ecb4b_FORMATO.png,0,0.0,9.74,Francisco das Chagas Soares dos Santos Meireles,0.0,5,8.0,24,tiquinho-soares,2,0.0,,,,,,,,,,,,,,,,,,,,
195,Jemerson,Jemerson,84263,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/04/27bdac865fa3643b7bb816915def4a64_FORMATO.png,0,0.0,8.49,Jemerson de Jesus Nascimento,0.0,3,7.0,24,jemerson,2,0.0,,,,,,,,,,,,,,,,,,,,
196,Max Walef,M. Walef,84338,Fortaleza,356,https://s.glbimg.com/es/sde/f/2022/02/23/0784484c9e35ebc5b014f365b5cbb5cc_FORMATO.png,5,1.4,2.62,Max Walef Araújo da Silva,0.0,1,2.88,24,max-walef,6,0.0,,,,13.0,,,,,,,,,,6.0,,,,,,
197,Bruno Melo,B. Melo,84339,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/04/27/35be6fa24036e64091a63cca0ac892d9_FORMATO.png,5,3.26,5.82,Bruno Ferreira Melo,0.0,2,4.89,24,bruno-melo,6,0.0,,1.0,,,,2.0,6.0,1.0,2.0,3.0,,,,,2.0,,24.0,,,3.0
198,Danilo Barcelos,D. Barcelos,84382,Goiás,290,https://s.glbimg.com/es/sde/f/2022/04/05/07d7f2dc608c0833bf6c29c75cb93a43_FORMATO.png,17,1.52,0.07,Danilo Carvalho Barcelos,-0.2,2,3.04,24,danilo-barcelos,6,0.07,1.0,5.0,,,,15.0,24.0,,4.0,8.0,,,,,1.0,,120.0,,,4.0
199,Fernando Sobral,F. Sobral,84428,Ceará,354,https://s.glbimg.com/es/sde/f/2022/02/22/d34e2d5762bbaacd3bc3b1940e28f7dd_FORMATO.png,11,1.59,4.05,Fernando Pereira do Nascimento,0.0,4,6.14,24,fernando-sobral,6,0.0,,1.0,,,,7.0,3.0,3.0,4.0,9.0,1.0,,,,,,34.0,,,
200,Romarinho,Romarinho,84523,Fortaleza,356,https://s.glbimg.com/es/sde/f/2022/05/12/ccaf4552cbd0363c0a3fceefa2bf00bf_FORMATO.png,14,2.82,1.08,José Romário Silva de Souza,1.0,5,3.43,24,romarinho,6,-0.07,1.0,2.0,1.0,,,9.0,9.0,2.0,10.0,22.0,,2.0,,,2.0,,59.0,,,
201,Lucas Evangelista,L. Evangelista,84674,Bragantino,280,https://s.glbimg.com/es/sde/f/2022/05/05/175c2911cb392a7305aef49766feb459_FORMATO.png,21,3.6,1.09,Lucas Evangelista Santana de Oliveira,0.5,4,9.53,24,lucas-evangelista,7,-0.53,1.0,,,,,28.0,24.0,6.0,16.0,38.0,1.0,2.0,,,2.0,,96.0,1.0,,
202,Varela,Varela,84816,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/08/05/72c41821f15186e555f78bc61651ee27_FORMATO.jpeg,0,0.0,9.74,Guillermo Varela Olivera,0.0,2,8.0,24,varela,6,0.0,,,,,,,,,,,,,,,,,,,,
203,Robson,Robson,84817,Fortaleza,356,https://s.glbimg.com/es/sde/f/2022/05/12/b000ff4ab3334924aefc7d073b85809e_FORMATO.png,18,4.35,2.34,Robson dos Santos Fernandes,2.3,5,7.11,24,robson,7,-0.75,3.0,4.0,,,,12.0,25.0,8.0,13.0,23.0,1.0,4.0,,,11.0,,59.0,,1.0,
204,Fabrício Baiano,F. Baiano,84993,Fortaleza,356,https://s.glbimg.com/es/sde/f/2022/07/16/89176758f659f2237119a0bced3a49fb_FORMATO.png,4,0.47,0.92,Fabrício Santos de Jesus,0.0,4,2.78,24,fabricio-baiano,6,0.0,,,,,,2.0,1.0,,,1.0,,,,,,,7.0,,,
205,Marcos Felipe,M. Felipe,85004,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/04/20/ab25269795dde58cb608244ba84cb88d_FORMATO.png,0,0.0,8.49,Marcos Felipe de Freitas Monteiro,0.0,1,7.0,24,marcos-felipe,6,0.0,,,,,,,,,,,,,,,,,,,,
206,Vinicius Silvestre,V. Silvestre,85083,Palmeiras,275,https://s.glbimg.com/es/sde/f/2022/02/21/6b18b6e2028293647615790cb3edf11f_FORMATO.png,0,0.0,4.74,Vinicius Silvestre da Costa,0.0,1,4.0,24,vinicius-silvestre,6,0.0,,,,,,,,,,,,,,,,,,,,
207,Cantillo,Cantillo,85315,Corinthians,264,https://s.glbimg.com/es/sde/f/2022/04/27/c87878b94e3c0c01f4d753ca9ee6fa0c_FORMATO.png,15,2.22,0.4,Víctor Danilo Cantillo Jiménez,0.0,4,5.15,24,cantillo,2,-0.23,,,,,,26.0,8.0,,1.0,19.0,,,,,,,57.0,,,
208,Valdívia,Valdívia,85423,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2022/02/23/ec8d7f67b026fc679f8ac3b10514eefd_FORMATO.png,20,2.48,2.33,Wanderson Ferreira de Oliveira,0.0,4,5.72,24,valdivia,7,0.0,,3.0,,,,18.0,13.0,6.0,9.0,24.0,1.0,2.0,,,2.0,,105.0,,,
209,João Paulo,J. Paulo,85425,Santos,277,https://s.glbimg.com/es/sde/f/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png,22,5.05,11.21,João Paulo Silva Martins,12.5,1,15.02,24,joao-paulo,7,0.41,,4.0,,90.0,,1.0,,,,5.0,,,,19.0,,,,,,8.0
210,Alex Santana,A. Santana,85465,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2022/07/29/9bcc147b812ef5698e82fee8e3a18b98_FORMATO.png,3,4.23,7.96,Alex Paulo Menezes Santana,0.0,4,6.97,24,alex-santana,6,0.0,,1.0,,,,9.0,5.0,1.0,2.0,5.0,,,,,,,9.0,,,
211,Léo,Léo,85626,São Paulo,276,https://s.glbimg.com/es/sde/f/2022/03/01/7be60e39236cf34421178ed1ea9b2145_FORMATO.png,18,1.73,3.75,Leonardo Pinheiro da Conceição,4.1,3,5.24,24,leo,7,-0.21,,3.0,,,,17.0,16.0,,4.0,9.0,,,,,,,90.0,,,4.0
212,Hyoran,Hyoran,85931,Bragantino,280,https://s.glbimg.com/es/sde/f/2022/05/05/d656de14270c212a9409e2e8138e3b20_FORMATO.png,15,4.17,2.77,Hyoran Kaue Dalmoro,2.8,4,7.49,24,hyoran,7,0.12,2.0,1.0,,,,14.0,11.0,9.0,14.0,7.0,,3.0,,,,,94.0,,,
213,Gustavo Sauer,G. Sauer,85993,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/04/13/ece78d4e91579f63c336f5010cbf9053_FORMATO.png,5,1.4,2.41,Gustavo Affonso Sauerbeck,0.0,5,4.35,24,gustavo-sauer,6,0.0,,,,,,5.0,2.0,2.0,,2.0,,,,,,,18.0,,,
214,Diego,Diego,86029,Ceará,354,https://s.glbimg.com/es/sde/f/2022/06/23/a9b4d32f7d6d9e4fc96279399e6ab904_FORMATO.png,2,1.45,2.09,Diego Rigonato Rodrigues,0.0,4,2.63,24,diego,5,0.0,,,,,,,1.0,2.0,,3.0,,,,,,,7.0,,,
215,Wanderson,Wanderson,86143,Atlético-GO,373,https://s.glbimg.com/es/sde/f/2022/03/03/e4318c57015f1d5169d4e83fc7af4813_FORMATO.png,15,0.75,-1.12,Wanderson Santos Pereira,-1.6,3,1.98,24,wanderson,6,-0.31,,1.0,,,,5.0,13.0,,2.0,4.0,,,,,,,34.0,,,2.0
216,Natanael,Natanael,86264,Avaí,314,https://s.glbimg.com/es/sde/f/2022/07/18/04d6865853a44f1a0a32d6f5ce32e9fe_FORMATO.png,4,4.67,2.02,Natanael Batista Pimenta,1.9,2,5.94,24,natanael,7,0.07,2.0,,,,,4.0,1.0,3.0,2.0,1.0,,,,,,,15.0,,,
217,Alê,Alê,86388,América-MG,327,https://s.glbimg.com/es/sde/f/2022/02/24/4b65fc3f258e926df6bf12c3abbfa9a0_FORMATO.png,14,3.19,1.37,Alexandre Egea,0.0,4,7.81,24,ale,6,0.0,1.0,,1.0,,,24.0,25.0,2.0,5.0,28.0,,1.0,,,,,72.0,,,
218,Victor Luis,V. Luis,86410,Ceará,354,https://s.glbimg.com/es/sde/f/2022/02/22/451062f55ce1f1bb899af8a090cd1bb5_FORMATO.png,13,1.97,1.72,Victor Luis Chuab Zamblauskas,0.0,2,4.86,24,victor-luis,6,0.0,,,,,,11.0,9.0,2.0,4.0,11.0,,,,,,,60.0,,,2.0
219,Pablo Dyego,P. Dyego,86444,Avaí,314,https://s.glbimg.com/es/sde/f/2022/08/16/aa71716a1e7b6d5f4f466762f82871f8_FORMATO.png,1,0.2,2.61,Pablo Dyego da Silva Rosa,0.0,5,3.08,24,pablo-dyego,6,0.0,,,,,,,2.0,,,2.0,,,,,,,2.0,,,
220,Keno,Keno,86485,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/820234c0ffc99499256049457624d710_FORMATO.png,15,3.02,1.85,Marcos da Silva França,1.6,5,6.92,24,keno,7,-0.46,1.0,2.0,,,,17.0,9.0,6.0,14.0,14.0,,1.0,,,3.0,,85.0,,,
221,Jandrei,Jandrei,86508,São Paulo,276,https://s.glbimg.com/es/sde/f/2022/03/01/aea40f3f23e91096dde97a5b7a877640_FORMATO.png,19,2.6,-0.3,Jandrei Chitolina Carniel,-1.0,1,6.39,24,jandrei,7,-0.56,,,,47.0,,,,,,3.0,,,,19.0,,,,,,4.0
222,Richardson,Richardson,86536,Ceará,354,https://s.glbimg.com/es/sde/f/2022/02/22/6e7e2815732004f3d9c34e0dae8ce6f7_FORMATO.png,17,1.92,1.67,Richardson Fernandes dos Santos,1.8,4,3.37,24,richardson,7,0.34,,6.0,1.0,,,39.0,39.0,,3.0,19.0,,,,,,1.0,45.0,,,
223,Arthur Henrique,A. Henrique,86629,Atlético-GO,373,https://s.glbimg.com/es/sde/f/2022/03/03/ac8a8dbf454accfda9793bed640e7799_FORMATO.png,14,1.36,3.77,Arthur Henrique Peixoto Santos,4.3,2,3.6,24,arthur-henrique,2,0.08,,,1.0,,,17.0,6.0,,,6.0,,,,,,,46.0,,,1.0
224,Rodrigo Soares,R. Soares,86675,Juventude,286,https://s.glbimg.com/es/sde/f/2022/03/03/9c3587675488eeeb0991d8754b8cee2b_FORMATO.png,21,2.18,2.63,Rodrigo Alves Soares,3.0,2,3.07,24,rodrigo-soares,6,-0.06,1.0,3.0,,,,25.0,18.0,2.0,4.0,3.0,,1.0,,,,,159.0,,,4.0
225,Tchê Tchê,T. Tchê,86686,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/04/14/0837ace715e5ba9dc6b7efa8744ddb15_FORMATO.png,16,1.46,1.82,Danilo das Neves Pinheiro,1.8,4,4.16,24,tche-tche,7,-0.36,,1.0,,,,14.0,22.0,3.0,6.0,25.0,,,,,,,66.0,,,
226,Richard Coelho,R. Coelho,86711,Ceará,354,https://s.glbimg.com/es/sde/f/2022/02/22/a9032c07d987ecaec7516f2037a7de70_FORMATO.png,18,1.99,1.96,Richard Cândido Coelho,2.0,4,4.88,24,richard-coelho,7,0.21,1.0,5.0,1.0,,,33.0,34.0,4.0,4.0,19.0,,,,,2.0,,78.0,,,
227,Everton,Everton,86757,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/07/15/353ea5b8887c0e119da1d3a27bff35d6_FORMATO.png,7,3.16,1.28,Everton Sousa Soares,0.5,5,11.24,24,everton,7,-0.29,1.0,,,,,7.0,5.0,5.0,6.0,7.0,,,,,,,41.0,,,
228,Luan,Luan,86759,Santos,277,https://s.glbimg.com/es/sde/f/2022/08/05/844f17537a7b2cdc6437bb662770240a_FORMATO.png,1,-0.3,0.43,Luan Guilherme de Jesus Vieira,0.0,4,4.38,24,luan,2,0.0,,,,,,,,,,,,,,,,,3.0,,,
229,Sidcley,Sidcley,86764,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2022/08/04/f1b96cd2e1a5c62c2aec694945991675_FORMATO.png,2,3.4,5.11,Sidcley Ferreira Pereira,6.1,2,5.26,24,sidcley,6,1.31,,,,,,1.0,,,1.0,1.0,,,,,,,7.0,,,1.0
230,Danilo Barbosa,D. Barbosa,86777,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/08/12/7d590ab4c6d70f44e3ca55f066cacbb7_FORMATO.png,2,0.65,-0.42,Danilo Barbosa da Silva,-1.2,4,4.33,24,danilo-barbosa,6,-1.03,,1.0,,,,1.0,2.0,1.0,,2.0,,,,,,,5.0,,,
231,Boschilia,Boschilia,86841,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/08/12/8bbade4dbabca44eb3eda2767deda745_FORMATO.png,5,1.96,2.49,Gabriel Boschilia,0.0,4,4.0,24,boschilia,5,0.0,1.0,1.0,,,,4.0,3.0,,2.0,3.0,,,,,,,12.0,,,
232,José Welison,J. Welison,86859,Fortaleza,356,https://s.glbimg.com/es/sde/f/2022/05/12/32f4ef48713e5687dbe666e42316e4ad_FORMATO.png,14,2.96,2.7,José Welison da Silva,2.9,4,5.2,24,jose-welison,7,0.41,,2.0,,,,29.0,20.0,2.0,9.0,9.0,,1.0,,,,,75.0,,,
233,Marlon ,Marlon ,86864,América-MG,327,https://s.glbimg.com/es/sde/f/2022/02/25/d945a3ac1fe38c28ea612a9d62b68a37_FORMATO.png,17,4.12,2.57,Marlon Matheus Lopes do Nascimento,2.7,2,5.21,24,marlon,2,-0.21,1.0,3.0,1.0,,,42.0,23.0,3.0,11.0,18.0,,,,,,,138.0,,,4.0
234,Eduardo Bauermann,E. Bauermann,86970,Santos,277,https://s.glbimg.com/es/sde/f/2022/03/03/c89e866fa7fb43aaf3b818e5578644d5_FORMATO.png,20,3.96,4.77,Eduardo Gabriel dos Santos Bauermann,5.0,3,9.87,24,eduardo-bauermann,7,-0.28,1.0,4.0,,,,22.0,7.0,1.0,4.0,13.0,1.0,,,,1.0,,62.0,,1.0,9.0
235,Emerson Santos,E. Santos,86972,Atlético-GO,373,https://s.glbimg.com/es/sde/f/2022/07/28/5ddfe529ef61fe54a0aa6410f1a57699_FORMATO.png,0,0.0,4.74,Emerson Raymundo Santos,0.0,3,4.0,24,emerson-santos,6,0.0,,,,,,,,,,,,,,,,,,,,
236,Nathan,Nathan,87009,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/04/20/2662f106e29e9ae55a0ef2dd5992e969_FORMATO.png,13,2.18,3.31,Nathan Allan de Souza,3.5,4,4.78,24,nathan,6,-0.74,1.0,1.0,,,,7.0,8.0,5.0,8.0,8.0,,1.0,,,1.0,,59.0,,,
237,Matheus Peixoto,M. Peixoto,87098,Ceará,354,https://s.glbimg.com/es/sde/f/2022/03/14/2eb9eaecb0ea8315d3d9f2e457dac7c4_FORMATO.png,11,1.48,1.75,Matheus Vieira Campos Peixoto,1.6,5,5.51,24,matheus-peixoto,6,0.03,1.0,,,,,5.0,6.0,4.0,3.0,6.0,,,,,3.0,,28.0,,,
238,Eduardo Baptista,E. Baptista,87211,Atlético-GO,373,https://s.glbimg.com/es/sde/f/2022/03/08/7e94aeb464052c259e6a403d822724af_FORMATO.png,12,3.07,2.43,Eduardo Augusto Baptista Miguel,0.0,6,6.74,24,eduardo-baptista,7,0.0,,,,,,,,,,,,,,,,,,,,
239,Pedro Henrique,P. Henrique,87225,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2021/05/02/f5dd1bb01acb5eb9e0601cc31c8020f5_FORMATO.png,18,4.31,3.69,Pedro Henrique Ribeiro Gonçalves,0.0,3,8.02,24,pedro-henrique,7,0.0,,5.0,,,,44.0,15.0,4.0,1.0,18.0,,,,,,,102.0,,,6.0
240,Guilherme Arana,G. Arana,87228,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/15c5ec9f4de048f57500c0cfa19f5568_FORMATO.png,17,4.16,3.38,Guilherme Antonio Arana Lopes,3.1,2,11.59,24,guilherme-arana,7,0.28,2.0,4.0,,,,21.0,25.0,4.0,16.0,13.0,1.0,,,,,1.0,141.0,,,7.0
241,Guillermo Santos,G. Santos,87238,Coritiba,294,https://s.glbimg.com/es/sde/f/2022/02/23/e40fd20b4f4e43234a7d5ac7d2107fc6_FORMATO.png,11,3.98,3.3,Guillermo Gabriel de los Santos Viana - Daniel,0.0,3,5.95,24,guillermo-santos,6,0.0,1.0,2.0,,,,21.0,4.0,3.0,1.0,6.0,,,,,,,56.0,,,3.0
242,Carlos de Pena,C. Pena,87242,Internacional,285,https://s.glbimg.com/es/sde/f/2022/04/02/d2010e9182e074fe4a26c1c6d39304dc_FORMATO.png,21,4.07,4.75,Carlos María de Pena Bonino,5.4,5,6.78,24,carlos-de-pena,7,0.51,5.0,5.0,,,,32.0,18.0,12.0,17.0,11.0,1.0,3.0,,,,,241.0,1.0,,
243,Soteldo,Soteldo,87258,Santos,277,https://s.glbimg.com/es/sde/f/2020/02/28/1ad66e771f5acc6f55ab13d6cdc8b6f4_FORMATO.png,2,3.05,1.15,Yeferson Julio Soteldo Martínez,0.2,5,9.65,24,soteldo,7,-1.39,1.0,,,,,,1.0,,1.0,3.0,,,,,,,9.0,,,
244,Willian Maranhão,W. Maranhão,87262,Atlético-GO,373,https://s.glbimg.com/es/sde/f/2022/07/22/3d441c6c216df311f638855e5ae9f952_FORMATO.png,9,1.11,-0.43,Willian Marlon Ferreira Moraes,0.0,4,3.24,24,willian-maranhao,6,0.0,,3.0,,,,13.0,10.0,,1.0,3.0,,,,,1.0,,18.0,,,
245,Messias,Messias,87402,Ceará,354,https://s.glbimg.com/es/sde/f/2022/02/22/871ec7ac3407b7d4cb4080a3fce62515_FORMATO.png,18,1.84,4.27,Messias Rodrigues da Silva Júnior,4.9,3,4.58,24,messias,7,0.64,,4.0,,,,11.0,17.0,2.0,4.0,7.0,1.0,,,,,1.0,69.0,,,5.0
246,Vitor Bueno,V. Bueno,87552,Athlético-PR,293,https://s.glbimg.com/es/sde/f/2022/02/21/2a32e3c3943071802ba1b4023aaab2a0_FORMATO.png,14,3.18,3.6,Vitor Frezarin Bueno,4.1,4,4.64,24,vitor-bueno,2,0.55,1.0,2.0,,,,9.0,8.0,1.0,10.0,13.0,,3.0,,,,,67.0,,,
247,Anderson Leite,A. Leite,87691,Juventude,286,https://s.glbimg.com/es/sde/f/2022/07/29/30173d69a7048132aa419f0efded3f32_FORMATO.png,2,1.95,1.58,Anderson Leite Moraes,0.0,4,3.71,24,anderson-leite,5,0.0,,,,,,4.0,3.0,,,1.0,,,,,,,5.0,,,
248,Yago Felipe,Y. Felipe,87747,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/04/20/ab8a626607a5cce566a4090db8ae4c19_FORMATO.png,10,1.55,4.83,Yago Felipe da Costa Rocha,0.0,4,5.71,24,yago-felipe,2,0.0,,2.0,,,,10.0,8.0,2.0,4.0,16.0,,,,,1.0,,56.0,,,
249,Philipe Sampaio,P. Sampaio,87808,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/03/10/0b9c95c7f9a5612681798da7797e3cec_FORMATO.png,13,1.16,1.29,Philipe Sampaio Azevedo,0.0,3,2.33,24,philipe-sampaio,2,0.0,,2.0,2.0,,,12.0,17.0,,1.0,7.0,,,,,1.0,1.0,44.0,,,3.0
250,Pineida,Pineida,87838,Fluminense,266,https://s.glbimg.com/es/sde/f/2022/02/24/276aa6ed48cc157820cbf56e845f043f_FORMATO.png,7,2.74,5.27,Mario Alberto Pineida Martínez,0.0,2,4.72,24,pineida,6,0.0,,,,,,,6.0,,1.0,6.0,,,,,,,28.0,,,4.0
251,Arrascaeta,Arrascaeta,87863,Flamengo,262,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/04/25/cc92618f5866aefc097fc6f6ad12eef6_FORMATO.png,18,6.37,1.41,Giorgian Daniel de Arrascaeta Benedetti,0.2,4,16.89,24,arrascaeta,6,-0.46,7.0,,,,,30.0,7.0,7.0,16.0,35.0,2.0,2.0,,,2.0,,158.0,,1.0,
252,Balbuena,Balbuena,87887,Corinthians,264,https://s.glbimg.com/es/sde/f/2018/03/19/8391694cbff5bcefdd87bc85cc615423_FORMATO.png,5,4.44,4.62,Fabián Cornelio Balbuena González,5.1,3,9.67,24,balbuena,7,0.63,,,,,,7.0,3.0,,,2.0,,1.0,,,,1.0,33.0,,,2.0
253,Matheus Vargas,M. Vargas,87929,Fortaleza,356,https://s.glbimg.com/es/sde/f/2022/05/12/8d527aee11a3ca28fe1dab544e70733d_FORMATO.png,11,1.01,-0.14,Matheus de Vargas,-0.5,4,3.19,24,matheus-vargas,6,-0.02,,2.0,,,,4.0,11.0,4.0,7.0,11.0,,,,,3.0,,40.0,,,
254,Gustavo Scarpa,G. Scarpa,87999,Palmeiras,275,https://s.glbimg.com/es/sde/f/2022/02/21/7f4f870f8251e4f95ab6d372a22919c1_FORMATO.png,21,6.65,6.15,Gustavo Henrique Furtado Scarpa,6.7,4,12.52,24,gustavo-scarpa,7,0.99,8.0,,,,,14.0,8.0,21.0,30.0,45.0,2.0,4.0,,,8.0,,236.0,,,
255,Alan Empereur,A. Empereur,88033,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2022/07/20/5db43ec8756f6951151160f78ec748cb_FORMATO.png,14,1.53,3.21,Alan Pereira Empereur,0.0,3,5.09,24,alan-empereur,2,0.0,,3.0,1.0,,,9.0,11.0,,,13.0,,,,,,,64.0,,,4.0
256,Luís Castro,L. Castro,88037,Botafogo,263,https://s.glbimg.com/es/sde/f/2022/02/21/3d4eb55c672851b1407085b09c4dfbb4_FORMATO.png,24,3.85,2.37,Luís Manuel Ribeiro de Castro,2.2,6,8.75,24,luis-castro,7,-0.49,,,,,,,,,,,,,,,,,,,,
257,Jorge,Jorge,88065,Palmeiras,275,https://s.glbimg.com/es/sde/f/2022/02/21/93adceb828cf61a7789b7674fbd4e929_FORMATO.png,7,3.93,3.98,Jorge Marco de Oliveira Moraes,0.0,2,3.46,24,jorge,6,0.0,,1.0,,,,9.0,4.0,,2.0,9.0,,,1.0,,,,42.0,,,4.0
258,Ramon Menezes,R. Menezes,88087,Atlético-GO,373,https://s.glbimg.com/es/sde/f/2022/03/03/addba459fcb5f0a6de801f763b1f8375_FORMATO.png,14,1.48,2.14,Ramon Menezes Roma,0.0,3,3.94,24,ramon-menezes,5,0.0,,2.0,,,,9.0,10.0,3.0,2.0,,1.0,,,,,,33.0,,,2.0
259,Daniel Guedes ,D. Guedes,88225,Cuiabá,1371,https://s.glbimg.com/es/sde/f/2022/04/21/eb1d1f53750f2ecb8c48b5caa3985a22_FORMATO.png,8,2.88,3.8,Daniel Guedes da Silva,0.0,2,3.36,24,daniel-guedes,2,0.0,2.0,3.0,,,,11.0,9.0,,2.0,2.0,,,,,3.0,,67.0,,,2.0
260,Junior Alonso,J. Alonso,88312,Atlético-MG,282,https://s.glbimg.com/es/sde/f/2022/07/15/18f148a4c0e6304c4e127291f1935424_FORMATO.png,21,3.44,-0.53,Junior Osmar Ignacio Alonso Mujica,-1.7,3,11.2,24,junior-alonso,3,-0.47,2.0,3.0,,,,21.0,10.0,,5.0,4.0,1.0,,,,,1.0,101.0,,,9.0
261,Ayrton Lucas,A. Lucas,88393,Flamengo,262,https://s.glbimg.com/es/sde/f/2022/04/14/36837bfe151af329a80e71d5dc2bc8e0_FORMATO.png,19,5.66,4.8,Ayrton Lucas Dantas de Medeiros,5.3,2,8.57,24,ayrton-lucas,7,-0.06,3.0,1.0,,,,37.0,27.0,3.0,3.0,32.0,,2.0,,,,,158.0,,,7.0
262,Aderlan,Aderlan,88423,Bragantino,280,https://s.glbimg.com/es/sde/f/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png,19,3.2,3.05,Aderlan de Lima Silva,3.1,2,7.97,24,aderlan,7,0.35,1.0,4.0,,,,45.0,44.0,,5.0,8.0,,,,,2.0,,188.0,,,6.0
263,Marlon,Marlon,88427,Juventude,286,https://s.glbimg.com/es/sde/f/2022/03/27/52ccdcb0c3400c65e20b83b56e0a5800_FORMATO.png,9,0.84,1.89,Marlon Adriano Prezotti,0.0,4,2.83,24,marlon,6,0.0,,1.0,,,,10.0,13.0,,,6.0,,,,,,,25.0,,,
264,Auro,Auro,88540,Santos,277,https://s.glbimg.com/es/sde/f/2022/03/14/540966ca01d0e0b65fec115d8e24488b_FORMATO.png,4,1.73,2.05,Auro Álvaro da Cruz Júnior,0.0,2,3.05,24,auro,6,0.0,,2.0,,,,5.0,6.0,,1.0,1.0,,,,,,,16.0,,,1.0
265,Buiú,Buiú,88544,Ceará,354,https://s.glbimg.com/es/sde/f/2022/02/22/ba7e99bec918671e0921368e6c04d2d8_FORMATO.png,0,0.0,2.24,Marcos Ytalo Benício da Silva,0.0,2,2.0,24,buiu,6,0.0,,,,,,,,,,,,,,,,,,,,
