"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DS","FC","FD","FF","FS","PI","CA","FT","G","I","SG","A","PC","DE","GS","CV","PS","DP","GC","PP"
"112",101254,7,294,"ata","3",-0.3,7.92,-0.5,2.38,7,NA,"alef-manga","Alef Manga","A. Manga","Alef Mangueira Severino Pereira","https://s.glbimg.com/es/sde/f/2022/02/23/2f591fe9297201b345f8815815be56ef_FORMATO.png","Coritiba",8,10,2,7,3,39,3,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",50301,7,1371,"mei","7",0,10.5,0,3.78,5,NA,"everton","Everton","Everton","Everton Cardoso da Silva","https://s.glbimg.com/es/sde/f/2022/02/23/c60eafc88d521475a07c8848255be68a_FORMATO.png","Cuiabá",9,9,NA,3,11,30,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",113687,7,264,"mei","7",4.8,5.47,0.34,2.89,7,NA,"du-queiroz","Du Queiroz","D. Queiroz","Eduardo Santos Queiroz","https://s.glbimg.com/es/sde/f/2022/04/27/0fe4496bd189cafbfb576979be860e8a_FORMATO.png","Corinthians",16,18,2,1,3,23,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"115",89285,7,290,"mei","7",1.7,3.44,0.03,1.6,5,NA,"matheus-sales","Matheus Sales","M. Sales","Matheus de Sales Cabral","https://s.glbimg.com/es/sde/f/2022/04/13/4c8702a05eb20f2e973e719c61d29092_FORMATO.png","Goiás",7,8,1,1,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",110193,7,262,"mei","6",-0.1,4.21,-0.59,2.05,6,NA,"lazaro","Lázaro","Lázaro","Lázaro Vinicius Marques","https://s.glbimg.com/es/sde/f/2022/03/04/611390db130106197502612466f42273_FORMATO.png","Flamengo",3,5,3,1,5,17,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"117",78856,7,1371,"mei","7",0.6,2.69,-0.11,1.07,7,NA,"marcao-silva","Marcão Silva","M. Silva","Marcos Antônio Almeida Silva","https://s.glbimg.com/es/sde/f/2022/02/23/1137efd5de0473f1c88c49348353a899_FORMATO.png","Cuiabá",6,8,2,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",111690,7,262,"gol","6",0,2,0,0,0,NA,"matheus-cunha","Matheus Cunha","M. Cunha","Matheus Cunha Queiroz","https://s.glbimg.com/es/sde/f/2022/03/04/fe08cea4d131b5eef265a908bb05548b_FORMATO.png","Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",53865,7,294,"ata","7",2.8,14.23,-0.26,7.02,6,NA,"leo-gamalho","Léo Gamalho","L. Gamalho","Leonardo Gamalho de Souza","https://s.glbimg.com/es/sde/f/2022/02/23/4b8edf6d0d6b8c3a3c39de67b5bd75e1_FORMATO.png","Coritiba",2,6,4,3,6,16,NA,NA,4,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"120",85423,7,1371,"mei","7",14.3,7.96,2.97,4.77,6,NA,"valdivia","Valdívia","Valdívia","Wanderson Ferreira de Oliveira","https://s.glbimg.com/es/sde/f/2022/02/23/ec8d7f67b026fc679f8ac3b10514eefd_FORMATO.png","Cuiabá",8,4,5,3,9,37,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",91639,7,1371,"lat","6",0,5.04,0,1.73,3,NA,"igor-carius","Igor Cariús","I. Cariús","Igor Aquino da Silva","https://s.glbimg.com/es/sde/f/2022/02/23/fa3ebd08b3835164b2532b908f71ccfe_FORMATO.png","Cuiabá",3,5,NA,NA,2,19,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",78867,7,1371,"mei","3",-3,2.74,-0.98,0.3,3,NA,"rafael-gava","Rafael Gava","R. Gava","Rafael Gustavo Meneghel Gava","https://s.glbimg.com/es/sde/f/2022/02/23/16687c4ddc3ae72291f2729ad61ed092_FORMATO.png","Cuiabá",4,2,NA,1,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"123",88033,7,1371,"zag","7",-0.4,5.72,-0.95,2.55,6,NA,"alan-empereur","Alan Empereur","A. Empereur","Alan Pereira Empereur","https://s.glbimg.com/es/sde/f/2022/02/22/a78f168b55aeb8d74c3b965a7b4f75d2_FORMATO.png","Cuiabá",6,5,NA,NA,7,19,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",101484,7,294,"mei","6",0,2.43,0,0.1,2,NA,"thonny-anderson","Thonny Anderson","T. Anderson","Thonny Anderson da Silva Carvalho","https://s.glbimg.com/es/sde/f/2022/02/23/aeb4c66a481ba3a88847f5c30bbf5d53_FORMATO.png","Coritiba",NA,3,NA,1,3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",63172,7,1371,"zag","6",0,5.55,0,2.47,4,NA,"paulao","Paulão","Paulão","Paulo Marcos de Jesus Ribeiro","https://s.glbimg.com/es/sde/f/2022/02/23/962044a3dba4ade297a566c4d7f73d40_FORMATO.png","Cuiabá",3,NA,NA,NA,NA,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA
"126",61033,7,1371,"mei","6",2,6.66,0.1,2.7,7,NA,"rodriguinho","Rodriguinho","Rodriguinho","Rodrigo Eduardo Costa Marinho","https://s.glbimg.com/es/sde/f/2022/02/23/da202da4fb23bc636936f60651108982_FORMATO.png","Cuiabá",1,1,3,5,8,14,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",108539,7,264,"gol","6",0,2,0,0,0,NA,"guilherme","Guilherme","Guilherme","Guilherme Vicentini Castellani","https://s.glbimg.com/es/sde/f/2022/04/27/d5ba0de6f8281e3ab0325007342997b6_FORMATO.png","Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",97321,7,1371,"ata","7",1.6,5.34,-0.72,3.97,6,NA,"alesson","Alesson","Alesson","Alesson dos Santos Batista","https://s.glbimg.com/es/sde/f/2022/02/23/712ddec1e1d5a64377efd6d330d2a984_FORMATO.png","Cuiabá",10,6,1,5,3,21,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",92146,7,1371,"ata","6",-0.1,2.93,-0.06,0.58,4,NA,"andre-luis","André Luís","A. Luís","Andre Luis da Costa Alfredo","https://s.glbimg.com/es/sde/f/2022/02/23/4ba86feb09facb90b3a01b1712c3c8f5_FORMATO.png","Cuiabá",2,4,NA,NA,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",62129,7,266,"mei","7",-0.2,3.48,-0.91,2.15,4,NA,"wellington","Wellington","Wellington","Wellington Aparecido Martins","https://s.glbimg.com/es/sde/f/2022/04/20/f9f602ab78e260f4c89819ce72f7a39d_FORMATO.png","Fluminense",5,4,NA,NA,4,22,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"131",115100,7,262,"mei","5",0,1.76,0,-0.7,1,NA,"matheus-franca","Matheus França","M. França","Matheus França de Oliveira","https://s.glbimg.com/es/sde/f/2022/04/25/52035534eea583575956f43e6e6dc166_FORMATO.png","Flamengo",NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",70666,7,1371,"zag","7",1.3,6.87,0.03,3.83,6,NA,"marllon","Marllon","Marllon","Marllon Gonçalves Jerônimo Borges","https://s.glbimg.com/es/sde/f/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png","Cuiabá",12,4,1,3,2,18,2,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA
"133",71505,7,1371,"ata","7",1.3,4.7,-1.03,3.8,3,NA,"jenison","Jenison","Jenison","Jenison de Jesus Brito e Brito","https://s.glbimg.com/es/sde/f/2022/05/21/96cce19edbae5595a19e4f443735196a_FORMATO.png","Cuiabá",2,5,NA,3,3,13,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
