"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","CA","DE","FS","GS","PC","SG","A","DS","FC","FD","FF","FT","G","I","PI","PP","CV","GC","PS","DP"
"17",42500,17,264,"lat","5",0,9.81,0,5.3,2,NA,"fagner","Fagner","Fagner","Fagner Conserva Lemos","https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png","Corinthians",1,NA,1,NA,NA,2,NA,2,1,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA
"18",101708,17,277,"lat","7",0.8,4.18,-0.49,1.37,7,NA,"felipe-jonatan","Felipe Jonatan","F. Jonatan","Felipe Jonatan Rocha Andrade","https://s.glbimg.com/es/sde/f/2022/03/03/e7109f32d289e269f43592da6566c2e5_FORMATO.png","Santos",1,NA,4,NA,NA,2,NA,3,5,NA,1,NA,NA,1,42,NA,NA,NA,NA,NA
"19",72372,17,286,"gol","6",0,7,0,0,0,NA,"felipe-alves","Felipe Alves","F. Alves","Felipe Alves Raymundo","https://s.glbimg.com/es/sde/f/2022/03/03/4d0134ca36fbe16f9ac38c3ba359e6ac_FORMATO.png","Juventude",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",90285,17,262,"ata","5",0,14.9,0,5.88,8,NA,"bruno-henrique","Bruno Henrique","B. Henrique","Bruno Henrique Pinto","https://s.glbimg.com/es/sde/f/2022/04/25/b3a232f9392817871f70ab3b32069e30_FORMATO.png","Flamengo",3,NA,20,NA,NA,NA,2,13,11,7,4,1,1,8,41,NA,NA,NA,NA,NA
"21",90061,17,354,"lat","6",12.3,10.18,1.74,4.48,13,NA,"bruno-pacheco","Bruno Pacheco","B. Pacheco","Bruno de Jesus Pacheco","https://s.glbimg.com/es/sde/f/2022/02/22/557432fa07207d8e3aa6630ee0483cf0_FORMATO.png","Ceará",3,NA,22,NA,1,2,1,33,12,3,1,1,1,2,120,NA,1,NA,NA,NA
"22",82453,17,290,"gol","7",7.5,8.43,0.93,4.22,17,NA,"tadeu","Tadeu","Tadeu","Tadeu Antônio Ferreira","https://s.glbimg.com/es/sde/f/2022/03/10/f9b7377addfcfa29bfa11ee96aecbdc5_FORMATO.png","Goiás",NA,65,9,19,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",87228,17,282,"lat","7",8.9,12.42,0.94,4.34,11,NA,"guilherme-arana","Guilherme Arana","G. Arana","Guilherme Antonio Arana Lopes","https://s.glbimg.com/es/sde/f/2022/07/15/15c5ec9f4de048f57500c0cfa19f5568_FORMATO.png","Atlético-MG",4,NA,7,NA,1,6,1,15,19,1,11,NA,NA,NA,81,NA,NA,NA,NA,NA
"24",87999,17,275,"mei","7",1.1,11.43,-0.11,7.19,15,NA,"gustavo-scarpa","Gustavo Scarpa","G. Scarpa","Gustavo Henrique Furtado Scarpa","https://s.glbimg.com/es/sde/f/2022/02/21/7f4f870f8251e4f95ab6d372a22919c1_FORMATO.png","Palmeiras",NA,NA,32,NA,NA,NA,7,9,6,15,24,1,3,4,160,NA,NA,NA,NA,NA
"25",63289,17,285,"mei","7",1.3,10.35,-0.14,3.89,13,NA,"edenilson","Edenílson","Edenílson","Edenílson Andrade dos Santos","https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png","Internacional",3,NA,11,NA,NA,NA,1,17,10,4,9,2,2,1,82,NA,NA,NA,NA,NA
"26",71162,17,354,"mei","6",12.8,6.02,1.43,2.8,12,NA,"vina","Vina","Vina","Vinícius Goes Barbosa de Souza","https://s.glbimg.com/es/sde/f/2022/02/22/7c8dc91a507c2956dc61efbd45bda613_FORMATO.png","Ceará",1,NA,16,NA,NA,NA,1,5,5,6,12,2,1,4,104,NA,1,NA,NA,NA
"27",86864,17,327,"lat","7",0.8,4.12,-0.12,3.04,13,NA,"marlon","Marlon ","Marlon ","Marlon Matheus Lopes do Nascimento","https://s.glbimg.com/es/sde/f/2022/02/25/d945a3ac1fe38c28ea612a9d62b68a37_FORMATO.png","América-MG",2,NA,16,NA,NA,2,NA,26,13,2,9,NA,NA,NA,103,NA,1,NA,NA,NA
"28",68952,17,262,"ata","6",3.8,6.61,0.4,3.44,9,NA,"marinho","Marinho","Marinho","Mário Sérgio Santos Costa","https://s.glbimg.com/es/sde/f/2022/04/25/b4786e494c8f4852f2ae91d6e0c57b2e_FORMATO.png","Flamengo",4,NA,19,NA,NA,NA,1,8,8,1,8,NA,1,NA,34,NA,NA,NA,NA,NA
"29",91708,17,266,"zag","7",0,12.19,0,5.03,12,NA,"nino","Nino","Nino","Marcílio Florêncio Mota Filho","https://s.glbimg.com/es/sde/f/2021/08/19/015b905d655d90af1c6161f318175dee_FORMATO.png","Fluminense",1,NA,20,NA,NA,7,NA,16,7,1,2,NA,NA,1,35,NA,NA,NA,NA,NA
"30",95799,17,280,"ata","7",7.1,8.83,-0.28,6.27,12,NA,"artur","Artur","Artur","Artur Victor Guimarães","https://s.glbimg.com/es/sde/f/2022/05/05/5c98a0d6cc76edfef83280072bbd3832_FORMATO.png","Bragantino",NA,NA,16,NA,NA,NA,3,17,5,6,12,1,3,2,103,NA,NA,NA,NA,NA
"31",38398,17,264,"mei","6",0,7.07,0,2.78,11,NA,"renato-augusto","Renato Augusto","R. Augusto","Renato Soares de Oliveira Augusto","https://s.glbimg.com/es/sde/f/2022/04/27/df30c3d9066a2e16c6625e3aa0a64436_FORMATO.png","Corinthians",NA,NA,11,NA,NA,NA,NA,18,9,3,2,NA,1,1,69,NA,NA,NA,NA,NA
"32",62114,17,285,"mei","5",0,3.93,0,1.77,9,NA,"taison","Taison","Taison","Taison Barcellos Freda","https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png","Internacional",4,NA,12,NA,NA,NA,1,7,5,2,3,NA,NA,2,25,NA,NA,NA,NA,NA
"33",100079,17,282,"mei","7",17.7,14.8,2.82,6.77,7,NA,"zaracho","Zaracho","Zaracho","Federico Matías Javier Zaracho","https://s.glbimg.com/es/sde/f/2022/07/15/2298d241c4ec2d5e60d0b370bba36921_FORMATO.png","Atlético-MG",NA,NA,10,NA,NA,NA,1,15,11,3,4,1,2,NA,31,NA,NA,NA,NA,NA
"34",93790,17,373,"mei","7",3.6,7.79,-0.85,4.2,16,NA,"marlon-freitas","Marlon Freitas","M. Freitas","Marlon Rodrigues Freitas","https://s.glbimg.com/es/sde/f/2022/03/03/85a5271ee9f81358e6e4009139db31e5_FORMATO.png","Atlético-GO",1,NA,1,NA,NA,NA,3,38,11,5,7,1,2,2,128,1,NA,1,NA,NA
"35",87863,17,262,"mei","7",0.4,17.24,-0.57,7.42,12,NA,"arrascaeta","Arrascaeta","Arrascaeta","Giorgian Daniel de Arrascaeta Benedetti","https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/04/25/cc92618f5866aefc097fc6f6ad12eef6_220x220.png","Flamengo",NA,NA,32,NA,NA,NA,4,26,4,4,10,2,2,2,125,NA,NA,NA,1,NA
"36",50879,17,293,"mei","6",0,4.03,0,0.58,4,NA,"marlos","Marlos","Marlos","Marlos Romero Bonfim","https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png","Athlético-PR",NA,NA,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,11,NA,NA,NA,NA,NA
"37",69705,17,276,"mei","6",0,7.17,0,3.22,4,NA,"nikao","Nikão","Nikão","Maycon Vinícius Ferreira da Cruz","https://s.glbimg.com/es/sde/f/2022/03/01/6a7ca5b138f4ff481ca19603933a7507_FORMATO.png","São Paulo",NA,NA,6,NA,NA,NA,NA,1,1,2,1,NA,1,NA,22,NA,NA,NA,NA,NA
"38",102878,17,293,"mei","7",2.8,9.57,-0.74,4.8,15,NA,"terans","Terans","Terans","Miguel David Terans Pérez  ","https://s.glbimg.com/es/sde/f/2021/06/22/9afbb795a2e1b8ea2d0c84725bf26e2b_FORMATO.png","Athlético-PR",1,NA,7,NA,NA,NA,1,8,12,6,17,1,6,2,93,1,NA,NA,NA,NA
"39",90031,17,354,"ata","6",0.7,12.25,-0.12,6.63,13,NA,"mendoza","Mendoza","Mendoza","John Stiven Mendoza Valencia","https://s.glbimg.com/es/sde/f/2022/02/22/348289b85a309419d827269486e667c9_FORMATO.png","Ceará",3,NA,27,NA,NA,NA,NA,6,13,12,12,NA,7,6,71,NA,NA,NA,NA,NA
"40",89226,17,327,"zag","6",0,6.63,0,3.76,7,NA,"iago-maidana","Iago Maidana","I. Maidana","Iago Justen Maidana Martins","https://s.glbimg.com/es/sde/f/2022/02/24/ac60436f13f7ce52c62ccb9b8d4ac384_FORMATO.png","América-MG",1,NA,NA,NA,NA,1,NA,4,9,NA,1,NA,3,NA,16,NA,1,NA,NA,NA
"41",98484,17,263,"zag","7",1.4,4.09,-0.92,2.62,14,NA,"kanu","Kanu","Kanu","Victor Hugo Soares dos Santos","https://s.glbimg.com/es/sde/f/2022/02/21/b1d2b6ae7d7c80be4768237f4820792b_FORMATO.png","Botafogo",3,NA,11,NA,NA,3,NA,19,11,1,4,NA,NA,NA,47,NA,NA,NA,NA,NA
"42",80196,17,356,"mei","6",0,10.41,0,5.05,13,NA,"yago-pikachu","Yago Pikachu","Y. Pikachu","Glaybson Yago Souza Lisboa","https://s.glbimg.com/es/sde/f/2022/02/25/7edada6b72e8fcbde3456ae981abd02f_FORMATO.png","Fortaleza",2,NA,27,NA,NA,NA,NA,15,8,6,13,1,4,3,97,1,NA,NA,NA,NA
"43",71071,17,282,"tec","7",6.95,13.09,0.29,5.52,16,NA,"antonio-mohamed","Antonio Mohamed","A. Mohamed","Ricardo Antonio Mohamed Matijevich","https://s.glbimg.com/es/sde/f/2022/03/08/9f29bd3b01ad7f8b22ead88e86930382_FORMATO.png","Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",71684,17,275,"zag","7",6.6,15.51,0.72,7.57,11,NA,"gustavo-gomez","Gustavo Gómez","G. Gómez","Gustavo Raúl Gómez Portillo","https://s.glbimg.com/es/sde/f/2022/02/21/f210b8623194d0722dd0d76585950fb1_FORMATO.png","Palmeiras",4,NA,6,NA,1,4,NA,16,13,3,5,NA,6,3,53,NA,NA,NA,NA,NA
"45",97867,17,280,"zag","7",5.5,11.28,0.16,4.95,10,NA,"leo-ortiz","Léo Ortiz","L. Ortiz","Leonardo Rech Ortiz","https://s.glbimg.com/es/sde/f/2022/05/05/460445523b5ae74d45009ede8f2a5e89_FORMATO.png","Bragantino",2,NA,4,NA,NA,5,NA,19,8,1,1,NA,1,1,58,NA,NA,NA,NA,NA
"46",95638,17,356,"zag","7",5.9,7.72,-0.08,3.71,15,NA,"marcelo-benevenuto","Marcelo Benevenuto","M. Benevenuto","Marcelo da Conceição Benevenuto Malaquias","https://s.glbimg.com/es/sde/f/2022/05/12/5021e3ea5f8c3db816a9537e53808b5a_FORMATO.png","Fortaleza",1,NA,14,NA,1,4,NA,25,11,6,2,NA,NA,NA,50,NA,NA,NA,NA,NA
"47",110506,17,275,"tec","7",5.87,13.19,0.22,6.19,16,NA,"abel-ferreira","Abel Ferreira","A. Ferreira","Abel Fernando Moreira Ferreira","https://s.glbimg.com/es/sde/f/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",80692,17,275,"zag","6",0,7.33,0,4.17,7,NA,"luan","Luan","Luan","Luan Garcia Teixeira","https://s.glbimg.com/es/sde/f/2022/02/21/c6c7b2c98c560509a3d86811257b9a72_FORMATO.png","Palmeiras",1,NA,6,NA,NA,4,1,8,14,NA,3,NA,NA,1,25,NA,NA,1,NA,NA
"49",42116,17,266,"ata","6",1.2,3.57,0.12,0.96,14,NA,"willian","Willian","Willian","Willian Gomes de Siqueira","https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png","Fluminense",1,NA,3,NA,NA,NA,1,6,4,3,NA,NA,NA,2,14,NA,NA,NA,NA,NA
"50",89898,17,264,"ata","7",8.5,14.73,1.01,4.55,14,NA,"roger-guedes","Róger Guedes","R. Guedes","Róger Krug Guedes","https://s.glbimg.com/es/sde/f/2022/04/27/3af9c1a520b0f11a9c40163e925db245_FORMATO.png","Corinthians",3,NA,24,NA,NA,NA,1,1,7,8,10,NA,5,5,64,NA,NA,NA,NA,NA
"51",53148,17,280,"ata","5",0,7.48,0,3.31,10,NA,"ytalo","Ytalo","Ytalo","Ytalo José Oliveira dos Santos","https://s.glbimg.com/es/sde/f/2022/05/05/c2e17a280e19cf13328cce44f755ed84_FORMATO.png","Bragantino",NA,NA,6,NA,NA,NA,NA,7,NA,2,2,1,2,NA,13,NA,NA,NA,NA,NA
"52",95794,17,282,"zag","7",4.5,9.04,-0.24,4.22,9,NA,"nathan-silva","Nathan Silva","N. Silva","Nathanael Ananias da Silva","https://s.glbimg.com/es/sde/f/2022/07/15/d0236fbab3979985ac474c82ddc56fe1_FORMATO.png","Atlético-MG",5,NA,2,NA,NA,7,NA,9,16,1,2,NA,NA,NA,18,NA,NA,NA,NA,NA
"53",68808,17,354,"lat","6",2.3,6,0.44,2.46,14,NA,"nino-paraiba","Nino Paraíba","N. Paraíba","Severino do Ramo Clementino da Silva","https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png","Ceará",5,NA,13,NA,NA,4,NA,17,14,NA,1,NA,1,1,120,NA,NA,NA,NA,NA
"54",86485,17,282,"ata","6",1,6.41,-0.52,2.35,8,NA,"keno","Keno","Keno","Marcos da Silva França","https://s.glbimg.com/es/sde/f/2022/07/15/820234c0ffc99499256049457624d710_FORMATO.png","Atlético-MG",1,NA,9,NA,NA,NA,1,6,3,2,7,NA,NA,3,37,NA,NA,NA,NA,NA
"55",38144,17,276,"lat","6",1.4,8.66,-0.6,3.24,15,NA,"rafinha","Rafinha","Rafinha","Márcio Rafael Ferreira de Souza","https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png","São Paulo",3,NA,14,NA,NA,4,2,23,17,NA,1,NA,NA,NA,87,NA,NA,NA,NA,NA
"56",91573,17,276,"zag","5",0,5.93,0,2.71,8,NA,"arboleda","Arboleda","Arboleda","Robert Abel Arboleda Escobar","https://s.glbimg.com/es/sde/f/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png","São Paulo",1,NA,3,NA,NA,NA,NA,16,9,2,3,1,NA,NA,31,NA,NA,NA,NA,NA
"57",85931,17,280,"mei","5",0,7.88,0,5.19,11,NA,"hyoran","Hyoran","Hyoran","Hyoran Kaue Dalmoro","https://s.glbimg.com/es/sde/f/2022/05/05/d656de14270c212a9409e2e8138e3b20_FORMATO.png","Bragantino",1,NA,5,NA,NA,NA,2,11,11,8,12,NA,3,NA,75,NA,NA,NA,NA,NA
"58",90444,17,285,"lat","7",9,7.27,-0.55,6.15,7,NA,"moises","Moisés","Moisés","Moisés Roberto Barbosa","https://s.glbimg.com/es/sde/f/2022/04/02/bc9c2d703de12aa0ab9a2ebf1a477872_FORMATO.png","Internacional",4,NA,7,NA,NA,2,1,13,8,2,2,NA,2,1,45,NA,NA,NA,NA,NA
"59",42135,17,264,"mei","6",0,14.45,0,4.61,11,NA,"willian","Willian","Willian","Willian Borges da Silva","https://s.glbimg.com/es/sde/f/2022/04/27/d71030cb82eac8c28c465bac03535385_FORMATO.png","Corinthians",1,NA,27,NA,NA,NA,2,21,4,5,5,NA,NA,2,57,NA,NA,NA,NA,NA
"60",90768,17,262,"zag","6",0,5.06,0,-0.4,1,NA,"fabricio-bruno","Fabrício Bruno","F. Bruno","Fabrício Bruno Soares de Faria","https://s.glbimg.com/es/sde/f/2022/04/25/06fca89445e5f7bb29a42734c5fbb2e0_FORMATO.png","Flamengo",1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"61",99815,17,266,"mei","7",0.5,5.98,-0.52,3.71,12,NA,"arias","Arias","Arias","Jhon Adolfo Arias Andrade","https://s.glbimg.com/es/sde/f/2022/04/20/d97a4c4cc239d983ba72d755e77a671d_FORMATO.png","Fluminense",3,NA,19,NA,NA,NA,3,17,22,3,8,NA,1,1,87,NA,NA,NA,NA,NA
"62",73384,17,266,"lat","7",2.6,8.46,0.04,6.08,13,NA,"samuel-xavier","Samuel Xavier","S. Xavier","Samuel Xavier Brito","https://s.glbimg.com/es/sde/f/2022/04/20/ad95f595cd71bcb7d7b91177716e1d33_FORMATO.png","Fluminense",1,NA,19,NA,NA,5,2,21,7,1,5,3,1,2,96,NA,NA,NA,NA,NA
"63",72524,17,290,"ata","7",-0.5,4.3,-2.61,2.92,10,NA,"nicolas","Nicolas","Nicolas","Nicolas Godinho Johann","https://s.glbimg.com/es/sde/f/2022/03/10/28a598dad4f678bae3aec06052037f1c_FORMATO.png","Goiás",NA,NA,12,NA,NA,NA,1,3,9,3,3,NA,2,4,43,NA,NA,NA,NA,NA
"64",97341,17,276,"tec","7",3.24,11.59,-0.49,4.17,17,NA,"rogerio-ceni","Rogério Ceni","R. Ceni","Rogério Ceni","https://s.glbimg.com/es/sde/f/2022/03/01/e6fac1f227854170a80b2cf3234bfa1d_FORMATO.png","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",38750,17,262,"lat","7",0,6.19,0,2.18,5,NA,"filipe-luis","Filipe Luís","F. Luís","Filipe Luís Kasmirski","https://s.glbimg.com/es/sde/f/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png","Flamengo",1,NA,5,NA,NA,NA,NA,9,4,NA,2,NA,NA,NA,18,NA,NA,NA,NA,NA
"66",69034,17,264,"mei","5",0,10.81,0,2.93,3,NA,"paulinho","Paulinho","Paulinho","José Paulo Bezerra Maciel Júnior","https://s.glbimg.com/es/sde/f/2022/04/27/1d79a755ea006081f316b2fad1097216_FORMATO.png","Corinthians",NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA
"67",104276,17,266,"lat","6",0,9.74,0,4.22,4,NA,"calegari","Calegari","Calegari","Lucas Felipe Calegari","https://s.glbimg.com/es/sde/f/2022/04/20/af7df060c7d357b2bbd0f6602c974e33_FORMATO.png","Fluminense",1,NA,4,NA,NA,2,NA,8,2,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA
"68",42145,17,294,"lat","7",3.2,12.89,0.61,4.96,9,NA,"egidio","Egídio","Egídio","Egídio de Araújo Pereira Júnior","https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png","Coritiba",NA,NA,8,NA,1,2,2,20,5,5,3,NA,NA,NA,92,NA,NA,NA,NA,NA
"69",81091,17,282,"mei","6",2.8,7.79,0.02,4.26,13,NA,"jair","Jair","Jair","Jair Rodrigues Júnior","https://s.glbimg.com/es/sde/f/2022/07/15/832828dc0097aee4c7a9587b825ee4bc_FORMATO.png","Atlético-MG",3,NA,11,NA,1,NA,2,29,15,4,6,NA,1,NA,40,NA,NA,NA,NA,NA
"70",89840,17,276,"ata","3",-1.3,22.8,-0.6,6.25,17,NA,"calleri","Calleri","Calleri","Jonathan Calleri","https://s.glbimg.com/es/sde/f/2022/03/01/3abaa943f1546750dd057d6cb3559ce5_FORMATO.png","São Paulo",3,NA,28,NA,NA,NA,1,11,26,11,17,NA,9,16,82,1,NA,NA,NA,NA
"71",91607,17,275,"ata","5",0,11.51,0,5.91,15,NA,"rony","Rony","Rony","Ronielson da Silva Barbosa","https://s.glbimg.com/es/sde/f/2022/02/21/a09a417ce482ea35a6c54e89437850d4_FORMATO.png","Palmeiras",1,NA,16,NA,NA,NA,NA,12,16,7,18,NA,7,11,55,NA,NA,NA,NA,NA
