"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DE","SG","GS","CA","FD","FF","FS","G","I","PI","DS","FC","A","CV","FT","PP","GC","PS","PC"
"172",115678,2,294,"lat","6",0,2,0,0,0,NA,"diego","Diego","Diego","Diego Porfirio da Silva","https://s.glbimg.com/es/sde/f/2022/04/04/a1f3583beb3a0b68c126affa095666ee_FORMATO.png","Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",93886,2,327,"mei","3",0,0.66,0,-5.4,1,NA,"matheusinho","Matheusinho","Matheusinho","Matheus Leonardo Sales Cardoso","https://s.glbimg.com/es/sde/f/2022/02/24/d160f8f8c1464cbcc27b4195e6255175_FORMATO.png","América-MG",NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,3,NA,1,NA,NA,NA,NA,NA
"174",91203,2,327,"zag","7",-1,2.32,-1.68,-1,1,NA,"eder","Éder","Éder","Éder Ferreira Graminho","https://s.glbimg.com/es/sde/f/2022/02/24/e0b5f4c6647fe1b42922ddb4458dade0_FORMATO.png","América-MG",NA,NA,NA,1,NA,NA,NA,NA,NA,3,1,3,NA,NA,NA,NA,NA,NA,NA
"175",108528,2,294,"mei","6",0,5,0,0,0,NA,"galarza","Galarza","Galarza","Matías Galarza Fonda","https://s.glbimg.com/es/sde/f/2022/04/05/aa0e8e944c857702c77135690cfe04d8_FORMATO.png","Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",104420,2,293,"ata","6",0,3,0,0,0,NA,"reinaldo","Reinaldo","Reinaldo","Reinaldo Nascimento Satorno","https://s.glbimg.com/es/sde/f/2020/03/03/12600160dfe6fed9a606921db8b0a862_FORMATO.png","Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",95662,2,327,"mei","6",0,2.77,0,-0.8,1,NA,"lucas-kal","Lucas Kal","L. Kal","Lucas Kal Schenfeld Progioli","https://s.glbimg.com/es/sde/f/2022/02/24/38a9d99d34c06f3714df211deaf2bd0f_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA
"178",103261,2,314,"zag","6",0,2,0,0,0,NA,"rodrigo-freitas","Rodrigo Freitas","R. Freitas","Rodrigo dos Santos de Freitas","https://s.glbimg.com/es/sde/f/2022/04/08/d5bcf8daa04da76c1372d8a8a834cf98_FORMATO.png","Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",94263,2,290,"ata","7",0.7,3.69,-1.31,0.7,1,NA,"dada-belmonte","Dadá Belmonte","D. Belmonte","Adaílson Freire Pereira da Silva","https://s.glbimg.com/es/sde/f/2022/04/05/1d2bfbce4ad49ab2c5fb59c91a1f4e44_FORMATO.png","Goiás",NA,NA,NA,1,NA,NA,4,NA,NA,3,1,4,NA,NA,NA,NA,NA,NA,NA
"180",108741,2,290,"ata","6",1.2,0.68,0.02,0.1,2,NA,"renato-junior","Renato Junior","R. Junior","Renato Barbosa dos Santos Junior","https://s.glbimg.com/es/sde/f/2022/04/05/aaad5989249282ee07375a4f7b9bf1da_FORMATO.png","Goiás",NA,NA,NA,1,1,NA,NA,NA,1,5,1,2,NA,NA,NA,NA,NA,NA,NA
"181",110994,2,266,"ata","6",0,3,0,0,0,NA,"samuel-granada","Samuel Granada","S. Granada","Samuel Salustiano de Jesus Silva","https://s.glbimg.com/es/sde/f/2022/04/05/020e09ce97d6353b30b115f5779603f3_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",115806,2,314,"ata","6",1.6,0.97,0.31,0.55,2,NA,"dentinho","Dentinho","Dentinho","Lucas Batista Félix","https://s.glbimg.com/es/sde/f/2022/04/06/6387892e2b5f72962c08bb7ea920a712_FORMATO.png","Avaí",NA,NA,NA,1,NA,NA,1,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA
"183",106681,2,373,"ata","7",1,5.1,-0.18,2.5,2,NA,"leo-pereira","Léo Pereira","L. Pereira","Leonardo Augusto dos Santos Pereira","https://s.glbimg.com/es/sde/f/2022/03/03/b6e2734629454f1ee92d354283343741_FORMATO.png","Atlético-GO",NA,NA,NA,1,NA,NA,3,NA,NA,9,3,4,NA,NA,1,NA,NA,NA,NA
"184",96055,2,327,"mei","6",0,3,0,0,0,NA,"yan-sasse","Yan Sasse","Y. Sasse","Yan Medeiros Sasse","https://s.glbimg.com/es/sde/f/2022/02/24/27f4c1866d9855b11dbd3ddc22505487_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",97062,2,327,"mei","6",0.4,4.93,-2.07,0.4,1,NA,"juan-ramirez","Juan Ramírez","J. Ramírez","Juan Pablo Ramírez Velásquez","https://s.glbimg.com/es/sde/f/2022/02/24/2e0263bb5e40212a4b61690039d26668_FORMATO.png","América-MG",NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"186",97317,2,327,"mei","7",-0.4,1.98,-0.73,0.35,2,NA,"ze-ricardo","Zé Ricardo","Z. Ricardo","José Ricardo Barbosa Ribeiro Drumond","https://s.glbimg.com/es/sde/f/2022/02/24/55526a7acacc680703923482c9c2fd9d_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,3,NA,NA,11,1,3,NA,NA,NA,NA,NA,NA,NA
"187",108659,2,1371,"mei","6",0,3,0,0,0,NA,"rivas","Rivas","Rivas","Cristhian Yonaiker Rivas Vielma - Cristian","https://s.glbimg.com/es/sde/f/2022/02/23/1f9a18c6a38ce7b0c86a89f400ac4bb8_FORMATO.png","Cuiabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",114892,2,1371,"lat","6",0,1,0,0,0,NA,"caio-hila","Caio Hila","C. Hila","Caio César Amorim Hila","https://s.glbimg.com/es/sde/f/2022/02/23/23b11c9392056eda52cf2816d37b89a0_FORMATO.png","Cuiabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",104095,2,327,"lat","6",0,1,0,0,0,NA,"vitor-hugo","Vitor Hugo","V. Hugo","Vitor Hugo de Andrade Oliveira","https://s.glbimg.com/es/sde/f/2021/06/04/e9cf2ae071e26c5218c971210de0a112_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",115998,2,327,"ata","6",0,1,0,0,0,NA,"adyson","Adyson","Adyson","Adyson do Nascimento Soares","https://s.glbimg.com/es/sde/f/2022/02/25/816e31c3a9501bc4cafc2ef28de0e625_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",99878,2,327,"ata","6",0,2,0,0,0,NA,"leo-passos","Léo Passos","L. Passos","Leonardo da Silva Passos","https://s.glbimg.com/es/sde/f/2021/06/04/82d858358a606b9c2acfa4fead4b349c_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",107251,2,290,"zag","6",1.1,0.68,0.02,0.1,2,NA,"da-silva","Da Silva","D. Silva","João Vitor Vallony da Silva","https://s.glbimg.com/es/sde/f/2022/04/14/725c74c1640e2114b3f019ae16a79a79_FORMATO.png","Goiás",NA,NA,NA,1,NA,1,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA
"193",111173,2,327,"lat","6",0,1,0,0,0,NA,"carlos-junio","Carlos Junio","C. Junio","Carlos Junio Rodrigues do Carmo","https://s.glbimg.com/es/sde/f/2022/02/25/c4829e0c9e8fc25760e95add75c4a14e_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",115562,2,327,"lat","6",0,1,0,0,0,NA,"arthur","Arthur","Arthur","Arthur Augusto de Matos Soares","https://s.glbimg.com/es/sde/f/2022/02/25/c6817b08df85a9bc6e6454cad217aaf5_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",106704,2,327,"ata","6",0,2.11,0,0.2,1,NA,"carlos-alberto","Carlos Alberto","C. Alberto","Carlos Alberto Gomes da Silva Filho","https://s.glbimg.com/es/sde/f/2022/02/25/c051db5190893370b401c6f37c4c427d_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",100943,2,327,"zag","6",0.7,1.89,-0.82,-0.1,2,NA,"conti","Conti","Conti","Germán Andrés Conti","https://s.glbimg.com/es/sde/f/2022/02/24/965b3ae2f778e96277a5b6c093927bc2_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,2,NA,NA,NA,NA,NA,NA,NA
"197",109246,2,327,"ata","6",0,1,0,0,0,NA,"kawe","Kawê","Kawê","Kawê Ferreira Godoy Viana","https://s.glbimg.com/es/sde/f/2022/02/25/efdddc1fdc3efbb2f4b53cd0d9db2f60_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",91888,2,314,"lat","7",1.4,4.38,0.15,2.4,2,NA,"kevin","Kevin ","Kevin ","Kevin Peterson dos Santos Silva","https://s.glbimg.com/es/sde/f/2022/04/07/32ffdd8867e2421dccfe5b1574d47bd4_FORMATO.png","Avaí",NA,1,NA,NA,NA,1,NA,NA,1,24,2,3,NA,NA,NA,NA,NA,NA,NA
"199",105608,2,327,"mei","6",0,2,0,0,0,NA,"flavio","Flávio","Flávio","Luiz Flávio Silvério Silva","https://s.glbimg.com/es/sde/f/2022/02/24/6731a6bf57665f93f078e83ce29b0d02_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",98289,2,373,"ata","6",2.1,4.34,-0.09,1.9,2,NA,"churin","Churín","Churín","Diego Churín Puyo","https://s.glbimg.com/es/sde/f/2022/04/07/9a194b1a94b42ab9128ae5de58f877b1_FORMATO.png","Atlético-GO",NA,NA,NA,NA,1,NA,2,NA,NA,5,2,1,NA,NA,NA,NA,NA,NA,NA
"201",78580,2,1371,"ata","6",0,4,0,0,0,NA,"jonathan-cafu","Jonathan Cafu","J. Cafu","Jonathan Renato Barbosa","https://s.glbimg.com/es/sde/f/2021/05/28/3c667df8f70bf19082f021fa20403c6c_FORMATO.png","Cuiabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",97900,2,285,"zag","6",0,5,0,0,0,NA,"vitao","Vitão","Vitão","Vitor Eduardo da Silva Matos","https://s.glbimg.com/es/sde/f/2022/04/07/01775b31d2f7befdabaf91e9ab272edd_FORMATO.png","Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",115272,2,373,"mei","6",0,1,0,0,0,NA,"isaac","Isaac","Isaac","Isaac Souza Valença","https://s.glbimg.com/es/sde/f/2022/03/03/6f52ecb0f50d779aa6d3a2dedf8c2332_FORMATO.png","Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",107261,2,290,"mei","6",0,1,0,0,0,NA,"nathan","Nathan","Nathan","Nathan Melo Silva","https://s.glbimg.com/es/sde/f/2022/03/10/50411ee026dcc53c8cc70aefd1df156d_FORMATO.png","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",108201,2,327,"mei","6",0,3,0,0,0,NA,"gustavo","Gustavo","Gustavo","Gustavo César Mendonça Gravino","https://s.glbimg.com/es/sde/f/2022/02/25/0386b196bc9d7576552344192f41a032_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",115061,2,285,"lat","6",0,1,0,0,0,NA,"thauan-lara","Thauan Lara","T. Lara","Thauan Lara dos Santos","https://s.glbimg.com/es/sde/f/2022/04/02/5d726b8f94648d84abb8f41592046ce6_FORMATO.png","Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",117849,2,264,"ata","6",1.6,1.76,0.5,1.25,2,NA,"giovane","Giovane","Giovane","Giovane Santana do Nascimento","https://s.glbimg.com/es/sde/f/2022/04/10/9eb2577dedd89c266c2eeaf15cdf800a_FORMATO.png","Corinthians",NA,NA,NA,NA,1,1,1,NA,NA,3,1,3,NA,NA,NA,NA,NA,NA,NA
"208",107255,2,290,"mei","6",0,1,0,0,0,NA,"lincon","Lincon","Lincon","Harley D'Lincon Ribeiro da Rocha","https://s.glbimg.com/es/sde/f/2022/03/02/1f4801e8181121bafd820a42498a1f47_FORMATO.png","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",115269,2,373,"ata","6",0,1,0,0,0,NA,"jean","Jean","Jean","Jean Carlos Albino Bonora","https://s.glbimg.com/es/sde/f/2022/03/03/3b51db8f65383d2dcdd685c69f8c82a1_FORMATO.png","Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",106831,2,276,"ata","6",0,1,0,0,0,NA,"juan","Juan","Juan","Juan Santos da Silva","https://s.glbimg.com/es/sde/f/2022/03/01/b64f8d56aad317fef852cca695190f34_FORMATO.png","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",69138,2,293,"ata","6",-0.6,4.52,-2.48,-0.6,1,NA,"pablo","Pablo","Pablo","Pablo Felipe Teixeira","https://s.glbimg.com/es/sde/f/2022/02/21/b4c4b5449cfdf72e5e5d92886e70852f_FORMATO.png","Athlético-PR",NA,NA,NA,1,1,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA
"212",108787,2,314,"zag","6",0,1,0,0,0,NA,"felipe-camargo","Felipe Camargo","F. Camargo","Felipe Camargo de Souza","https://s.glbimg.com/es/sde/f/2022/02/21/38fe45f041124b759f8d967ad5af48df_FORMATO.png","Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",111412,2,314,"zag","7",2.1,4.13,0.89,3,2,NA,"arthur-chaves","Arthur Chaves","A. Chaves","Arthur Largura Chaves","https://s.glbimg.com/es/sde/f/2022/02/21/6102697e6547301f26bd68d36caacf40_FORMATO.png","Avaí",NA,1,NA,NA,NA,NA,NA,NA,NA,8,2,2,NA,NA,NA,NA,NA,NA,NA
"214",70986,2,293,"mei","5",0,4.09,-1.91,0,1,NA,"leo-cittadini","Léo Cittadini","L. Cittadini","Leonardo Cittadini","https://s.glbimg.com/es/sde/f/2021/05/02/a520539e5df2a4364ad4c1b0050888cc_FORMATO.png","Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",90302,2,293,"ata","6",0,3.9,0,-0.1,1,NA,"pedro-rocha","Pedro Rocha","P. Rocha","Pedro Rocha Neves","https://s.glbimg.com/es/sde/f/2022/02/21/bca4738ad3069733d0bb2f1c649401a9_FORMATO.png","Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",38877,2,282,"lat","7",7.2,7.71,0.71,7.2,1,NA,"mariano","Mariano","Mariano","Mariano Ferreira Filho","https://s.glbimg.com/es/sde/f/2021/05/02/cefb911612e5a3e04586a326c9c8647b_FORMATO.png","Atlético-MG",NA,1,NA,NA,NA,NA,NA,NA,NA,11,3,1,NA,NA,NA,NA,NA,NA,NA
"217",87225,2,293,"zag","7",2.4,4.33,-0.23,1.65,2,NA,"pedro-henrique","Pedro Henrique","P. Henrique","Pedro Henrique Ribeiro Gonçalves","https://s.glbimg.com/es/sde/f/2021/05/02/f5dd1bb01acb5eb9e0601cc31c8020f5_FORMATO.png","Athlético-PR",NA,NA,NA,1,NA,NA,2,NA,NA,6,4,3,NA,NA,NA,NA,NA,NA,NA
"218",106830,2,276,"mei","6",0,3.77,0,3.7,1,NA,"talles","Talles","Talles","Talles Macedo Toledo Costa","https://s.glbimg.com/es/sde/f/2022/03/01/46c4e9fd9a32a9e894bd6edc746e403d_FORMATO.png","São Paulo",NA,NA,NA,NA,NA,NA,1,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA
"219",52253,2,282,"zag","6",0,6,0,0,0,NA,"rever","Réver","Réver","Réver Humberto Alves Araújo","https://s.glbimg.com/es/sde/f/2021/05/02/ce66257bddbcdd7f769730be5ed1b018_FORMATO.png","Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",87552,2,293,"mei","6",0,3.9,0,-0.1,1,NA,"vitor-bueno","Vitor Bueno","V. Bueno","Vitor Frezarin Bueno","https://s.glbimg.com/es/sde/f/2022/02/21/2a32e3c3943071802ba1b4023aaab2a0_FORMATO.png","Athlético-PR",NA,NA,NA,1,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"221",107972,2,263,"mei","6",1.2,1.68,0.09,0.8,2,NA,"romildo","Romildo","Romildo","Romildo Del Piage de Souza","https://s.glbimg.com/es/sde/f/2022/02/21/a34959446ac5b131b7047f846855f309_FORMATO.png","Botafogo",NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,3,NA,NA,NA,NA,NA,1,NA
"222",107959,2,314,"ata","6",0,1,0,0,0,NA,"vinicius-jau","Vinícius Jaú","V. Jaú","Vinícius de Lima Ferreira","https://s.glbimg.com/es/sde/f/2022/02/24/d2f16d173d2ea95a320b574ce1cba648_FORMATO.png","Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",94067,2,293,"mei","5",0,4,0,0,0,NA,"matheus-fernandes","Matheus Fernandes","M. Fernandes","Matheus Fernandes Siqueira","https://s.glbimg.com/es/sde/f/2022/02/21/fff1205202cd53cd50d841891d140360_FORMATO.png","Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",107187,2,293,"zag","6",0,0.66,0,-0.1,1,NA,"joao-vialle","João Vialle","J. Vialle","João Victor Dall'Stella Vialle","https://s.glbimg.com/es/sde/f/2021/04/14/53318535704d9cdcce1de36f70caa614_FORMATO.png","Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",90917,2,280,"ata","6",-0.6,4.89,-1.05,1.7,2,NA,"carlos-eduardo","Carlos Eduardo","C. Eduardo","Carlos Eduardo Ferreira de Souza","https://s.glbimg.com/es/sde/f/2022/03/23/a8388dc7dd66d2d3906dd404ca7a5b8e_FORMATO.png","Bragantino",NA,NA,NA,NA,NA,NA,4,NA,1,3,2,2,NA,NA,NA,NA,NA,NA,NA
"226",68727,2,282,"lat","5",0,6,0,0,0,NA,"dodo","Dodô","Dodô","José Rodolfo Pires Ribeiro","https://s.glbimg.com/es/sde/f/2021/04/23/e76071f6487eb601bf29be36a09f8cd9_FORMATO.png","Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",91866,2,293,"zag","6",0,5,0,0,0,NA,"ze-ivaldo","Zé Ivaldo","Z. Ivaldo","José Ivaldo Almeida Silva","https://s.glbimg.com/es/sde/f/2021/05/02/08540895ccd662f502ed02a60a7d8172_FORMATO.png","Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",68928,2,282,"gol","6",0,5,0,0,0,NA,"rafael","Rafael","Rafael","Rafael Pires Monteiro","https://s.glbimg.com/es/sde/f/2021/05/02/7acdbbf5d8b2e088001e85a8071c3249_FORMATO.png","Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",102310,2,293,"zag","7",-0.3,0.68,-0.32,-0.3,1,NA,"matheus-felipe","Matheus Felipe","M. Felipe","Matheus Felipe Santos Nascimento","https://s.glbimg.com/es/sde/f/2022/04/10/aad9afaa6b7f202657ca00027f3d0ddb_FORMATO.png","Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"230",69299,2,282,"zag","6",0,7,0,0,0,NA,"godin","Godín","Godín","Diego Roberto Godín Leal","https://s.glbimg.com/es/sde/f/2022/02/25/a45f50f93003bc1521e45df9041a0c2a_FORMATO.png","Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",86686,2,263,"mei","6",0,6,0,0,0,NA,"tche-tche","Tchê Tchê","T. Tchê","Danilo das Neves Pinheiro","https://s.glbimg.com/es/sde/f/2022/04/14/0837ace715e5ba9dc6b7efa8744ddb15_FORMATO.png","Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",89493,2,282,"zag","6",0,5,0,0,0,NA,"igor-rabello","Igor Rabello","I. Rabello","Igor Rabello da Costa","https://s.glbimg.com/es/sde/f/2021/05/02/a3c5d8522641cc6e0c6c72d9dbcc14fd_FORMATO.png","Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",39850,2,327,"tec","7",6.46,5.33,1.39,6.46,1,NA,"vagner-mancini","Vagner Mancini","V. Mancini","Vagner Carmo Mancini","https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",94444,2,293,"ata","6",0,5,0,0,0,NA,"matheus-babi","Matheus Babi","M. Babi","Matheus Barcelos da Silva","https://s.glbimg.com/es/sde/f/2021/04/13/e9ee464f547f7e719b4c1eab498a8478_FORMATO.png","Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",98022,2,293,"mei","5",0,6,0,0,0,NA,"erick","Erick","Erick","Erick Luis Conrado de Carvalho","https://s.glbimg.com/es/sde/f/2021/05/02/f7ba547da42ad1121a2eba90fd53c8d1_FORMATO.png","Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",101314,2,282,"ata","2",5.6,12.13,0.64,6.5,2,NA,"ademir","Ademir","Ademir","Ademir da Silva Santos Júnior","https://s.glbimg.com/es/sde/f/2022/02/27/c71d07a4846b5840e9811ed9add0a53c_FORMATO.png","Atlético-MG",NA,NA,NA,1,NA,1,7,NA,NA,7,3,4,1,NA,1,NA,NA,NA,NA
"237",100762,2,314,"ata","6",2.7,1.96,0.18,0.7,2,NA,"bissoli","Bissoli","Bissoli","Guilherme Bissoli Campos","https://s.glbimg.com/es/sde/f/2022/04/08/c60eb6c17dd46f0a98ac8d236bddbbd7_FORMATO.png","Avaí",NA,NA,NA,1,1,1,1,NA,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA
"238",72583,2,285,"ata","6",0,4,0,0,0,NA,"pedro-henrique","Pedro Henrique","P. Henrique","Pedro Henrique Konzen Medina da Silva","https://s.glbimg.com/es/sde/f/2022/04/12/5422d339b6546dc0505e80e10b027269_FORMATO.png","Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",96652,2,282,"mei","7",1.6,4.18,-1.04,0.75,2,NA,"allan","Allan","Allan","Allan Rodrigues de Souza","https://s.glbimg.com/es/sde/f/2021/05/02/171f1af3a958ad9639f2d72e0825ec35_FORMATO.png","Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,18,4,5,NA,NA,NA,NA,NA,NA,NA
"240",106803,2,276,"mei","6",-0.4,3.24,-1.76,-0.4,1,NA,"andre-anderson","André Anderson","A. Anderson","André Anderson Pomilio Lima","https://s.glbimg.com/es/sde/f/2022/04/12/147e9b9fa6d6b253f5f20e62622066ac_FORMATO.png","São Paulo",NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"241",95657,2,314,"mei","6",0,2,0,0,0,NA,"kazu","Kazu","Kazu","Gabriel Kazu Rossato Yanagu","https://s.glbimg.com/es/sde/f/2022/02/23/9a05ad0ed16ef1ae939f3f919cfcece7_FORMATO.png","Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",100641,2,282,"ata","6",0,5,0,0,0,NA,"fabio-gomes","Fábio Gomes","F. Gomes","Fábio Roberto Gomes Netto","https://s.glbimg.com/es/sde/f/2022/02/27/c2f4553f87886d8d57cd268c4a14338b_FORMATO.png","Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243",107186,2,293,"lat","6",0,1,0,0,0,NA,"vinicius-kaue","Vinicius Kauê","V. Kauê","Vinicius Kauê Ribeiro Ferreira","https://s.glbimg.com/es/sde/f/2021/04/16/0367fa0859b4ea67ba8191afd67f560e_FORMATO.png","Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",101594,2,293,"mei","7",8.8,7.2,2.91,5.65,2,NA,"hugo-moura","Hugo Moura","H. Moura","Hugo Moura Arruda da Silva","https://s.glbimg.com/es/sde/f/2022/02/21/267f14bd41575e2b58bcb3d6ba014a46_FORMATO.png","Athlético-PR",NA,NA,NA,1,NA,2,4,NA,NA,12,9,3,NA,NA,NA,NA,NA,NA,NA
"245",105807,2,266,"zag","6",0,1,0,0,0,NA,"luan","Luan","Luan","Luan de Freitas Molarinho Chagas","https://s.glbimg.com/es/sde/f/2021/08/19/6754fbd8abbc942fd55c39ac7376295c_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
