,atletas.apelido,atletas.apelido_abreviado,atletas.slug,atletas.jogos_num,atletas.posicao_id,atletas.preco_num,atletas.clube_id,atletas.foto,atletas.status_id,atletas.nome,atletas.media_num,atletas.variacao_num,atletas.rodada_id,atletas.atleta_id,atletas.clube.id.full.name,atletas.pontos_num,atletas.minimo_para_valorizar,CA,DS,FC,PI,SG,CV,FF,FS,G,I,A,FD,PC,FT,PS,DE,GS,GC,PP,DP
0,Celso Roth,C. Roth,celso-roth,4,6,5.75,286,https://s.sde.globo.com/media/person_role/2022/10/28/photo_FORMATO.png,7,Celso Juarez Roth,2.54,-0.11,38,36856,Juventude,2.62,4.81,,,,,,,,,,,,,,,,,,,,
1,Guto Ferreira,G. Ferreira,guto-ferreira,15,6,10.74,294,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,7,Augusto Sérgio Ferreira,4.21,0.08,38,37245,Coritiba,3.63,3.84,,,,,,,,,,,,,,,,,,,,
2,Mano Menezes,M. Menezes,mano-menezes,34,6,10.78,285,https://s.glbimg.com/es/sde/f/2022/04/20/e2710d5e2f652b8154c927ba13d68369_FORMATO.png,7,Luis Antônio Venker de Menezes,5.19,0.05,38,37281,Internacional,8.39,7.72,,,,,,,,,,,,,,,,,,,,
3,Fábio,Fábio,fabio,37,1,11.21,266,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,7,Fábio Deivson Lopes Maciel,3.64,0.63,38,37656,Fluminense,9.5,6.37,2.0,,,,13.0,,,5.0,,,,,,,,110.0,41.0,,,
4,Marcelo Boeck,M. Boeck,marcelo-boeck,12,1,4.64,356,https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png,6,Marcelo Boeck,2.87,0.0,38,37788,Fortaleza,0.0,5.58,2.0,,,,3.0,,,3.0,,,,,1.0,,,38.0,17.0,,,
5,Júlio César,J. César,julio-cesar,0,1,5.0,280,https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png,6,Júlio César de Souza Santos,0.0,0.0,38,38133,Bragantino,0.0,3.88,,,,,,,,,,,,,,,,,,,,
6,Jô,Jô,jo,15,5,4.62,354,https://s.glbimg.com/es/sde/f/2022/08/11/f19c59d4d6626b101ff291f3e852072d_FORMATO.png,6,João Alves de Assis Silva,2.21,0.0,38,38138,Ceará,0.0,1.47,2.0,5.0,18.0,56.0,,1.0,7.0,15.0,3.0,8.0,,9.0,,,,,,,1.0,
7,Miranda,Miranda,miranda,15,3,6.85,276,https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png,6,João Miranda de Souza Filho,3.43,0.0,38,38141,São Paulo,0.0,6.46,4.0,24.0,14.0,36.0,5.0,,3.0,9.0,,,,2.0,,,,,,,,
8,Rafinha,Rafinha,rafinha,30,2,8.74,276,https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,7,Márcio Rafael Ferreira de Souza,2.74,0.7,38,38144,São Paulo,5.7,1.55,6.0,51.0,29.0,185.0,6.0,1.0,2.0,20.0,,,3.0,,,,,,,,,
9,Muriqui,Muriqui,muriqui,25,5,8.36,314,https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png,6,Luiz Guilherme da Conceição Silva,2.92,0.0,38,38225,Avaí,0.0,1.06,2.0,19.0,14.0,80.0,,,11.0,28.0,4.0,6.0,1.0,1.0,,1.0,1.0,,,,,
10,Fábio Santos,F. Santos,fabio-santos,20,2,7.01,264,https://s.sde.globo.com/media/person_role/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png,7,Fábio Santos Romeu,4.58,-0.81,38,38229,Corinthians,2.1,6.56,3.0,33.0,11.0,135.0,8.0,,1.0,14.0,3.0,,,,,,,,,,,
11,Wellington Paulista,W. Paulista,wellington-paulista,19,5,4.02,327,https://s.glbimg.com/es/sde/f/2022/02/25/12f12e3c03d86cbfec605b70666faaf3_FORMATO.png,6,Wellington Pereira do Nascimento,1.19,0.02,38,38279,América-MG,0.2,0.44,1.0,1.0,12.0,35.0,,,5.0,7.0,2.0,4.0,,3.0,,1.0,,,,,,
12,Thiago Heleno,T. Heleno,thiago-heleno,13,3,6.44,293,https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png,7,Thiago Heleno Henrique Ferreira,1.92,0.93,38,38394,Athlético-PR,5.9,0.12,4.0,16.0,10.0,73.0,4.0,1.0,5.0,4.0,,,,1.0,,,,,,,1.0,
13,Renato Augusto,R. Augusto,renato-augusto,23,4,7.1,264,https://s.sde.globo.com/media/person_role/2022/04/27/df30c3d9066a2e16c6625e3aa0a64436_FORMATO.png,6,Renato Soares de Oliveira Augusto,3.35,-0.2,38,38398,Corinthians,3.7,4.81,,34.0,15.0,146.0,,,11.0,22.0,1.0,2.0,3.0,8.0,,1.0,,,,,,
14,Diego Alves,D. Alves,diego-alves,3,1,6.31,262,https://s.glbimg.com/es/sde/f/2022/03/03/ebf5983aad74aded51b2bdca5bed278f_FORMATO.png,6,Diego Alves Carreira,1.0,0.0,38,38509,Flamengo,0.0,2.5,,,,,1.0,,,,,,,,,,,3.0,5.0,,,
15,Felipe Melo,F. Melo,felipe-melo,24,3,6.31,266,https://s.glbimg.com/es/sde/f/2022/02/24/ae51c505f4d9ceba09c22ba954cca2bf_FORMATO.png,6,Felipe Melo de Carvalho,1.83,0.01,38,38545,Fluminense,4.7,5.01,6.0,10.0,15.0,53.0,8.0,,1.0,14.0,,,,,,,,,,,,
16,Matheus Ferraz,M. Ferraz,matheus-ferraz,0,3,3.0,266,https://s.glbimg.com/es/sde/f/2022/04/20/0cf7c39e0e85080dc2234671994e19d9_FORMATO.png,5,Matheus Ferraz Pereira,0.0,0.0,38,38632,Fluminense,0.0,2.34,,,,,,,,,,,,,,,,,,,,
17,Filipe Luís,F. Luís,filipe-luis,9,2,6.48,262,https://s.sde.globo.com/media/person_role/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png,6,Filipe Luís Kasmirski,3.37,0.0,38,38750,Flamengo,0.0,6.04,1.0,17.0,4.0,35.0,2.0,,2.0,8.0,,,,,,,,,,,,
18,Mariano,Mariano,mariano,24,2,8.58,282,https://s.glbimg.com/es/sde/f/2022/07/15/c04eede8e289c2e2a9d0b82097512fdc_FORMATO.png,7,Mariano Ferreira Filho,4.4,0.13,38,38877,Atlético-MG,5.4,5.08,5.0,52.0,18.0,200.0,11.0,,3.0,13.0,,1.0,2.0,,,,,,,,,
19,Diego,Diego,diego,18,4,3.36,262,https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png,6,Diego Ribas da Cunha,1.65,0.0,38,38909,Flamengo,0.0,0.65,3.0,20.0,18.0,50.0,,,2.0,19.0,1.0,1.0,,1.0,1.0,,,,,,,
20,Hulk,Hulk,hulk,25,5,18.99,282,https://s.sde.globo.com/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,5,Givanildo Vieira de Souza,7.0,0.0,38,39148,Atlético-MG,0.0,5.19,5.0,11.0,35.0,169.0,,,35.0,59.0,12.0,15.0,2.0,17.0,,4.0,,,,,,
21,Renato,Renato,renato,15,4,3.33,314,https://s.glbimg.com/es/sde/f/2022/02/24/c65bdd88b41fe9f8ddb3c5be562e45a9_FORMATO.png,6,José Renato da Silva Júnior,1.96,0.0,38,39572,Avaí,0.0,0.31,2.0,13.0,10.0,94.0,,,9.0,25.0,,4.0,,5.0,,1.0,,,,,,
22,Vagner Mancini,V. Mancini,vagner-mancini,37,6,8.44,327,https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,7,Vagner Carmo Mancini,4.16,0.17,38,39850,América-MG,3.56,3.19,,,,,,,,,,,,,,,,,,,,
23,Dorival Júnior,D. Júnior,dorival-junior,35,6,9.66,262,https://s.glbimg.com/es/sde/f/2022/03/28/d28c444ff6eaf5f7b58d9f2ef2bd5075_FORMATO.png,6,Dorival Silvestre Júnior,4.78,0.0,38,40990,Flamengo,0.0,4.46,,,,,,,,,,,,,,,,,,,,
24,Willian,Willian,willian,28,5,4.11,266,https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png,6,Willian Gomes de Siqueira,1.64,0.0,38,42116,Fluminense,0.0,1.57,2.0,13.0,8.0,21.0,,,1.0,3.0,3.0,2.0,1.0,5.0,,,,,,,,
25,Egídio,Egídio,egidio,20,2,11.32,294,https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png,6,Egídio de Araújo Pereira Júnior,4.06,0.0,38,42145,Coritiba,0.0,1.42,1.0,32.0,12.0,166.0,6.0,1.0,4.0,17.0,1.0,2.0,2.0,7.0,1.0,,,,,,,
26,Cássio,Cássio,cassio,31,1,11.82,264,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,7,Cássio Roberto Ramos,4.8,0.76,38,42234,Corinthians,5.0,1.37,2.0,1.0,,,13.0,,,5.0,,,,,,,,107.0,25.0,,,
27,Cuca,Cuca,cuca,18,6,11.55,282,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,7,Alexi Stival,4.66,-0.24,38,42411,Atlético-MG,5.83,8.22,,,,,,,,,,,,,,,,,,,,
28,Fagner,Fagner,fagner,15,2,8.69,264,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png,7,Fagner Conserva Lemos,3.31,-1.05,38,42500,Corinthians,2.1,8.02,3.0,25.0,13.0,132.0,5.0,,,10.0,,2.0,2.0,,,,,,,,,
29,Luiz Felipe Scolari,L. Scolari,luiz-felipe-scolari,32,6,10.32,293,https://s.glbimg.com/es/sde/f/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_FORMATO.png,7,Luiz Felipe Scolari,4.34,0.88,38,43618,Athlético-PR,8.01,3.49,,,,,,,,,,,,,,,,,,,,
30,David Braz,D. Braz,david-braz,12,3,5.39,266,https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,6,David Braz de Oliveira Filho,2.43,-1.14,38,50317,Fluminense,4.9,11.52,2.0,12.0,11.0,44.0,4.0,3.0,4.0,2.0,1.0,,,1.0,,,,,,,,
31,Alan Kardec,A. Kardec,alan-kardec,12,5,6.61,282,https://s.glbimg.com/es/sde/f/2022/07/15/7596fc0c82f0af26689bc225bb5d8716_FORMATO.png,5,Alan Kardec de Sousa Pereira Júnior,2.25,0.0,38,50347,Atlético-MG,0.0,1.13,,2.0,6.0,11.0,,,5.0,4.0,2.0,,,2.0,,1.0,,,,,,
32,Titi,Titi,titi,33,3,6.5,356,https://s.glbimg.com/es/sde/f/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png,7,Christian Chagas Tarouco,3.17,0.08,38,50353,Fortaleza,5.0,4.91,5.0,41.0,51.0,137.0,15.0,,3.0,25.0,,2.0,,,,,,,,,,
33,Eduardo,Eduardo,eduardo,0,2,4.0,327,https://s.glbimg.com/es/sde/f/2022/08/16/763e722867751c09a3568b9a8117bb29_FORMATO.jpeg,6,Carlos Eduardo Santos Oliveira,0.0,0.0,38,50645,América-MG,0.0,3.11,,,,,,,,,,,,,,,,,,,,
34,Henrique,Henrique,henrique,17,3,4.31,294,https://s.glbimg.com/es/sde/f/2022/02/23/cb5893cb9455c5aab2d21fd3f512ece2_FORMATO.png,7,Henrique Adriano Buss,1.64,-0.76,38,50856,Coritiba,0.2,2.77,4.0,18.0,13.0,66.0,3.0,1.0,6.0,5.0,,1.0,,3.0,2.0,1.0,,,,1.0,,
35,Marlos,Marlos,marlos,6,4,3.15,293,https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png,6,Marlos Romero Bonfim,0.48,0.0,38,50879,Athlético-PR,0.0,0.35,,2.0,1.0,14.0,,,,2.0,,,,1.0,,,,,,,,
36,Apodi,Apodi,apodi,17,4,4.87,290,https://s.glbimg.com/es/sde/f/2022/03/02/2c74555af9089b55a230b00443763cf4_FORMATO.jpeg,6,Luiz Diallison de Souza Alves,1.89,0.0,38,51042,Goiás,0.0,-0.18,3.0,13.0,22.0,37.0,,,6.0,15.0,1.0,2.0,1.0,3.0,,,1.0,,,,,
37,Walter,Walter,walter,28,1,11.22,1371,https://s.glbimg.com/es/sde/f/2021/05/28/50f29a94dff6b578111f33d689953f3c_FORMATO.png,7,Walter Leandro Capeloza Artune,4.44,-0.21,38,51413,Cuiabá,0.0,2.33,,3.0,,,8.0,,,3.0,,,,,,,,105.0,26.0,,,
38,Giuliano,Giuliano,giuliano,29,4,4.72,264,https://s.sde.globo.com/media/person_role/2022/04/27/9ac23014ff9196c4c2a10d652798dcfa_FORMATO.png,6,Giuliano Victor de Paula,1.44,0.0,38,51548,Corinthians,0.0,1.22,2.0,23.0,15.0,84.0,,,9.0,14.0,,2.0,2.0,2.0,,1.0,,,,,,
39,Everton Ribeiro,E. Ribeiro,everton-ribeiro,28,4,8.29,262,https://s.sde.globo.com/media/person_role/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png,6,Everton Augusto de Barros Ribeiro,3.93,0.0,38,51772,Flamengo,0.0,1.43,,41.0,27.0,172.0,,,5.0,56.0,2.0,1.0,4.0,10.0,,2.0,,,,,,
40,Réver,Réver,rever,15,3,5.19,282,https://s.glbimg.com/es/sde/f/2022/07/15/b06d278a85eebe19ce060b1d34ef2b64_FORMATO.png,7,Réver Humberto Alves Araújo,2.64,0.25,38,52253,Atlético-MG,6.7,5.33,2.0,11.0,8.0,57.0,5.0,,2.0,6.0,1.0,,,,1.0,,,,,,,
41,David Luiz,D. Luiz,david-luiz,16,3,4.83,262,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,6,David Luiz Moreira Marinho,1.41,0.0,38,52827,Flamengo,0.0,4.18,4.0,12.0,23.0,61.0,3.0,,3.0,4.0,,2.0,,5.0,,,,,,,,
42,Léo Gamalho,L. Gamalho,leo-gamalho,27,5,12.99,294,https://s.glbimg.com/es/sde/f/2022/02/23/4b8edf6d0d6b8c3a3c39de67b5bd75e1_FORMATO.png,6,Leonardo Gamalho de Souza,3.79,1.41,38,53865,Coritiba,9.4,2.13,2.0,9.0,21.0,66.0,,,13.0,32.0,8.0,6.0,,8.0,,2.0,1.0,,,,,
43,Renan,Renan,renan,16,1,5.03,373,https://s.glbimg.com/es/sde/f/2022/03/03/78210d6f3d7ee04d9e4cfdfdc910c757_FORMATO.png,7,Renan dos Santos,3.72,1.03,38,60795,Atlético-GO,7.0,0.58,2.0,,,,2.0,,,3.0,,,,,,,,73.0,23.0,,,
44,Felipe Azevedo,F. Azevedo,felipe-azevedo,36,5,6.86,327,https://s.glbimg.com/es/sde/f/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,7,Felipe Azevedo dos Santos,2.7,0.22,38,60825,América-MG,5.1,4.17,1.0,36.0,34.0,205.0,,1.0,22.0,32.0,4.0,3.0,1.0,15.0,,,,,,,,
45,Uendel,Uendel,uendel,15,2,4.29,1371,https://s.glbimg.com/es/sde/f/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,5,Uendel Pereira Gonçalves,1.76,0.0,38,60852,Cuiabá,0.0,2.87,,14.0,10.0,152.0,3.0,,4.0,7.0,,,1.0,1.0,,,,,,,,
46,Patric,Patric,patric,30,2,5.42,327,https://s.glbimg.com/es/sde/f/2022/02/25/7625d982588386e96390538eb699b2a2_FORMATO.png,6,Patric Cabral Lalau,1.77,-0.33,38,60969,América-MG,-0.4,2.06,6.0,35.0,28.0,244.0,6.0,,5.0,21.0,,4.0,,5.0,,,,,,,,
