,atletas.apelido,atletas.apelido_abreviado,atletas.slug,atletas.jogos_num,atletas.posicao_id,atletas.preco_num,atletas.clube_id,atletas.foto,atletas.status_id,atletas.nome,atletas.media_num,atletas.variacao_num,atletas.rodada_id,atletas.atleta_id,atletas.clube.id.full.name,atletas.pontos_num,atletas.minimo_para_valorizar,CA,DS,FC,PI,SG,CV,FF,FS,G,I,A,FD,PC,FT,PS,DE,GS,GC,PP,DP
47,Rodriguinho,Rodriguinho,rodriguinho,33,4,5.93,1371,https://s.glbimg.com/es/sde/f/2022/02/23/da202da4fb23bc636936f60651108982_FORMATO.png,6,Rodrigo Eduardo Costa Marinho,2.18,0.03,38,61033,Cuiabá,0.4,0.74,,12.0,15.0,94.0,,,16.0,24.0,3.0,6.0,2.0,11.0,,,,,,,,
48,Robinho,Robinho,robinho,19,4,2.82,294,https://s.glbimg.com/es/sde/f/2022/02/23/252fa0c71255ea5a7be0a2efc493fe21_FORMATO.png,6,Róbson Michael Signorini,1.21,-0.08,38,62104,Coritiba,0.5,0.71,2.0,18.0,13.0,142.0,,,3.0,14.0,,2.0,2.0,1.0,,,,,,,,
49,Taison,Taison,taison,18,4,3.81,285,https://s.glbimg.com/es/sde/f/2021/05/14/e379ea8aa45369444909326de75a3863_FORMATO.png,7,Taison Barcellos Freda,1.38,0.14,38,62114,Internacional,1.8,0.86,6.0,12.0,7.0,42.0,,,5.0,19.0,,3.0,1.0,4.0,,,,,,,,
50,Wellington,Wellington,wellington,11,4,2.11,266,https://s.glbimg.com/es/sde/f/2022/04/20/f9f602ab78e260f4c89819ce72f7a39d_FORMATO.png,3,Wellington Aparecido Martins,0.49,0.0,38,62129,Fluminense,0.0,0.06,3.0,7.0,9.0,47.0,,,,5.0,,,1.0,,,,,,,,,
51,William Matheus,W. Matheus,william-matheus,13,2,1.69,286,https://s.glbimg.com/es/sde/f/2022/03/03/88174fca01439ff40caf28ad081a8fa6_FORMATO.png,6,William Matheus da Silva,0.8,0.0,38,62130,Juventude,0.0,0.3,4.0,9.0,10.0,80.0,2.0,1.0,4.0,6.0,,,,2.0,2.0,,,,,,,
52,Alan,Alan,alan,3,5,5.95,266,https://s.glbimg.com/es/sde/f/2022/06/23/187dc58be092ec53908581d6f65fb635_FORMATO.png,6,Alan Douglas Borges de Carvalho,2.8,-1.14,38,62969,Fluminense,0.4,7.66,,,,1.0,,,,1.0,1.0,,,,,,,,,,,
53,Ganso,Ganso,ganso,32,4,6.89,266,https://s.sde.globo.com/media/person_role/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,3,Paulo Henrique Chagas de Lima,3.31,0.0,38,62977,Fluminense,0.0,1.0,6.0,33.0,29.0,216.0,,,6.0,42.0,5.0,,5.0,4.0,,2.0,1.0,,,,,
54,Marcos Rocha,M. Rocha,marcos-rocha,26,2,10.28,275,https://s.glbimg.com/es/sde/f/2022/02/21/b5c3422a508001c1776995c43b20fdff_FORMATO.png,6,Marcos Luis Rocha Aquino,5.94,0.0,38,63013,Palmeiras,0.0,4.67,3.0,73.0,24.0,304.0,14.0,,2.0,17.0,,,5.0,,,,2.0,,,,,
55,Willian Farias,W. Farias,willian-farias,20,4,6.16,294,https://s.glbimg.com/es/sde/f/2022/02/23/3b24fb4ac7b26a6349acb31a2578de4c_FORMATO.png,6,Willian Roberto Farias,2.45,-0.44,38,63058,Coritiba,-0.1,2.31,7.0,44.0,12.0,80.0,,,4.0,23.0,,,,,,,,,,,,
56,Paulão,Paulão,paulao,13,3,4.11,1371,https://s.glbimg.com/es/sde/f/2022/02/23/962044a3dba4ade297a566c4d7f73d40_FORMATO.png,6,Paulo Marcos de Jesus Ribeiro,1.37,0.0,38,63172,Cuiabá,0.0,1.37,,5.0,6.0,34.0,4.0,1.0,3.0,1.0,,,,1.0,1.0,,,,,1.0,,
57,Carlinhos,Carlinhos,carlinhos,0,2,5.0,263,https://s.glbimg.com/es/sde/f/2022/02/21/800bc92dcc8691cf1bb118132ac62fbc_FORMATO.png,6,Carlos Emiliano Pereira,0.0,0.0,38,63194,Botafogo,0.0,3.88,,,,,,,,,,,,,,,,,,,,
58,Edenílson,Edenílson,edenilson,30,4,10.27,285,https://s.glbimg.com/es/sde/f/2022/04/02/97f5d4131e53423d654abddad3cbc9ee_FORMATO.png,6,Edenílson Andrade dos Santos,3.53,0.0,38,63289,Internacional,0.0,1.62,3.0,32.0,17.0,154.0,,,14.0,22.0,5.0,1.0,3.0,6.0,,2.0,1.0,,,,,
59,Rodrigo Moledo,R. Moledo,rodrigo-moledo,18,3,6.73,285,https://s.glbimg.com/es/sde/f/2022/04/02/a672a123ec8d7b626a7c7aad1211dc94_FORMATO.png,3,Rodrigo Modesto da Silva Moledo,4.03,0.0,38,63354,Internacional,0.0,5.14,2.0,23.0,6.0,26.0,7.0,,6.0,9.0,,1.0,,5.0,,,1.0,,,,,
60,Alan Patrick,A. Patrick,alan-patrick,25,4,8.97,285,https://s.glbimg.com/es/sde/f/2022/04/12/d0f45ab083d12ecd860e02a9bf048379_FORMATO.png,3,Alan Patrick Lourenço,4.49,0.0,38,68685,Internacional,0.0,8.01,2.0,13.0,19.0,126.0,,,15.0,41.0,6.0,1.0,4.0,17.0,,,,,,,1.0,
61,Bruno Silva,B. Silva,bruno-silva,30,4,7.58,314,https://s.glbimg.com/es/sde/f/2022/02/23/7c8012647193d72e2db7ad4e887df99f_FORMATO.png,6,Bruno César Pereira da Silva,3.42,0.0,38,68698,Avaí,0.0,2.74,11.0,99.0,71.0,171.0,,1.0,8.0,36.0,,1.0,1.0,3.0,,1.0,,,,,,
62,Eduardo,Eduardo,eduardo,14,4,9.85,263,https://s.glbimg.com/es/sde/f/2022/07/12/defe5a5f9596bc80eb9f86efab5f5bcd_FORMATO.png,6,Carlos Eduardo de Oliveira Alves,4.95,0.0,38,68708,Botafogo,0.0,8.68,3.0,21.0,21.0,64.0,,,12.0,28.0,3.0,,1.0,1.0,,2.0,,,,,,
63,Dodô,Dodô,dodo,13,2,6.27,282,https://s.glbimg.com/es/sde/f/2022/07/15/609e318b14a5b18020808dc34efd5bfa_FORMATO.png,7,José Rodolfo Pires Ribeiro,4.6,0.38,38,68727,Atlético-MG,7.2,5.24,1.0,21.0,10.0,72.0,6.0,,4.0,7.0,1.0,1.0,,1.0,,,,,,,,
64,Camacho,Camacho,camacho,25,4,4.27,277,https://s.glbimg.com/es/sde/f/2022/03/03/44a5a0d1669b56e3bc607727595c4751_FORMATO.png,7,Guilherme de Aguiar Camacho,2.13,0.31,38,68770,Santos,3.2,1.56,7.0,51.0,36.0,74.0,,,3.0,6.0,1.0,,,3.0,,,,,,,,
65,Henrique Almeida,H. Almeida,henrique-almeida,28,5,5.37,327,https://s.glbimg.com/es/sde/f/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,7,Henrique Almeida Caixeta Nascentes,3.0,1.5,38,68773,América-MG,9.9,1.03,8.0,15.0,35.0,67.0,,,21.0,12.0,6.0,13.0,,18.0,,1.0,1.0,,,,1.0,
66,Nino Paraíba,N. Paraíba,nino-paraiba,30,2,5.89,354,https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png,6,Severino do Ramo Clementino da Silva,2.68,0.0,38,68808,Ceará,0.0,0.62,11.0,48.0,31.0,283.0,6.0,,7.0,42.0,1.0,1.0,1.0,1.0,,,1.0,,,,,
67,Paulo Miranda,P. Miranda,paulo-miranda,18,3,1.78,286,https://s.glbimg.com/es/sde/f/2022/03/03/84da02cce1e593cb658cfcf2deef669d_FORMATO.png,6,Jonathan Doin,0.47,0.0,38,68817,Juventude,0.0,-0.67,5.0,13.0,13.0,62.0,1.0,,2.0,7.0,,,,3.0,3.0,,,,,1.0,,
68,Renato Chaves,R. Chaves,renato-chaves,2,3,3.2,286,https://s.glbimg.com/es/sde/f/2022/08/04/0bc83ac31c543274a27ef12ac1aae92c_FORMATO.png,5,Renato de Araújo Chaves Júnior,1.45,0.0,38,68827,Juventude,0.0,1.46,,1.0,1.0,4.0,,,,,,,,2.0,,,,,,,,
69,Marcelo Lomba,M. Lomba,marcelo-lomba,3,1,7.77,275,https://s.glbimg.com/es/sde/f/2022/02/21/bd515cd514deb5197bb2faa8a721c8f7_FORMATO.png,6,Marcelo Lomba do Nascimento,8.83,0.0,38,68872,Palmeiras,0.0,7.94,1.0,,,,3.0,,,1.0,,,,,,,,12.0,,,,
70,Vinicius,Vinicius,vinicius,24,5,5.04,290,https://s.glbimg.com/es/sde/f/2022/03/10/4b5dcfbcabc53f525f565f57f8050ed7_FORMATO.png,7,Vinicius Santos Silva,2.94,0.22,38,68917,Goiás,3.0,1.48,1.0,25.0,17.0,168.0,,,13.0,19.0,2.0,6.0,4.0,7.0,,,,,,,,
71,Dudu,Dudu,dudu,36,5,12.5,275,https://storage.googleapis.com/bkt-gglobo-sde-hdg-prd-sdeadmin_prod/media/person_role/2022/02/21/f77c90a60a3c8354d3235d1b61be9208_FORMATO.png,7,Eduardo Pereira Rodrigues,5.13,-0.05,38,68920,Palmeiras,3.1,4.38,2.0,28.0,13.0,239.0,,,25.0,62.0,7.0,4.0,8.0,16.0,,5.0,,,,,,
72,Gil,Gil,gil,22,3,7.3,264,https://s.glbimg.com/es/sde/f/2022/04/27/14ec5e5e1aa438191eb6e95781e175fb_FORMATO.png,7,Carlos Gilberto do Nascimento Silva,3.86,-0.71,38,68923,Corinthians,1.8,5.87,2.0,30.0,7.0,79.0,9.0,,4.0,6.0,,2.0,1.0,5.0,1.0,,,,,,,
73,Rafael,Rafael,rafael,1,1,4.95,282,https://s.glbimg.com/es/sde/f/2022/07/15/5f41e2711750955ef1b92db4d8efe3ae_FORMATO.png,6,Rafael Pires Monteiro,7.0,0.0,38,68928,Atlético-MG,0.0,6.3,,,,,1.0,,,,,,,,,,,2.0,,,,
74,Luciano Castán,L. Castán,luciano-castan,33,3,5.63,294,https://s.glbimg.com/es/sde/f/2022/02/23/26b6a7aa27f2be0fabc25b57132d892c_FORMATO.png,7,Luciano Castán da Silva,2.47,-0.17,38,68942,Coritiba,-1.3,0.3,7.0,39.0,27.0,168.0,8.0,1.0,7.0,19.0,2.0,1.0,,,1.0,,,,,,,
75,Marinho,Marinho,marinho,22,5,7.68,262,https://s.glbimg.com/es/sde/f/2022/04/25/b4786e494c8f4852f2ae91d6e0c57b2e_FORMATO.png,6,Mário Sérgio Santos Costa,5.08,0.0,38,68952,Flamengo,0.0,2.81,5.0,19.0,20.0,107.0,,1.0,21.0,63.0,3.0,5.0,5.0,9.0,,1.0,2.0,,,,,
76,Marquinhos Gabriel,M. Gabriel,marquinhos-gabriel,12,4,6.6,290,https://s.glbimg.com/es/sde/f/2022/08/16/2fed32d21211f94e86843a534478ff9b_FORMATO.png,7,Marcos Gabriel do Nascimento,3.11,0.01,38,68954,Goiás,0.5,0.7,1.0,10.0,6.0,40.0,,,3.0,17.0,1.0,3.0,2.0,3.0,,,,,,,,
77,Lucas Sasha,L. Sasha,lucas-sasha,19,4,6.27,356,https://s.glbimg.com/es/sde/f/2022/07/16/d91654c9e126e6f3f17fd09b816eedf5_FORMATO.png,6,Lucas Pacheco Affini,4.64,-0.33,38,68991,Fortaleza,-0.4,1.44,2.0,65.0,21.0,71.0,,,6.0,16.0,1.0,1.0,,4.0,,,,,,,,
