"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DS","PI","SG","CA","DE","FS","GS","PC","A","FC","FD","FF","G","I","FT","PP","CV","PS","DP","GC"
"32",99878,13,327,"ata","6",0,2,0,0,0,2.76,"leo-passos","Léo Passos","L. Passos","Leonardo da Silva Passos","https://s.glbimg.com/es/sde/f/2021/06/04/82d858358a606b9c2acfa4fead4b349c_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",50645,13,327,"lat","5",0,4,0,0,0,5.54,"eduardo","Eduardo","Eduardo","Carlos Eduardo Santos Oliveira","https://s.glbimg.com/es/sde/f/2022/02/25/a1ed845c0cda1af45df260be95a58b34_FORMATO.png","América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",87225,13,293,"zag","7",10.1,8.86,1.65,4.51,12,7.85,"pedro-henrique","Pedro Henrique","P. Henrique","Pedro Henrique Ribeiro Gonçalves","https://s.glbimg.com/es/sde/f/2021/05/02/f5dd1bb01acb5eb9e0601cc31c8020f5_FORMATO.png","Athlético-PR",31,74,4,4,NA,13,NA,NA,NA,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",95799,13,280,"ata","7",9.5,8.57,-0.35,6.47,8,7.42,"artur","Artur","Artur","Artur Victor Guimarães","https://s.glbimg.com/es/sde/f/2022/05/05/5c98a0d6cc76edfef83280072bbd3832_FORMATO.png","Bragantino",12,62,NA,NA,NA,12,NA,NA,2,4,NA,6,3,NA,NA,NA,NA,NA,NA,NA
"36",86485,13,282,"ata","7",2.6,6.93,0.56,2.54,7,2.37,"keno","Keno","Keno","Marcos da Silva França","https://s.glbimg.com/es/sde/f/2021/05/02/cc190959ce99d1236ff0a230132fb245_FORMATO.png","Atlético-MG",5,36,NA,1,NA,9,NA,NA,1,3,2,7,NA,2,NA,NA,NA,NA,NA,NA
"37",109282,13,266,"ata","7",8.5,10.53,0.51,6.52,13,6.79,"luiz-henrique","Luiz Henrique","L. Henrique","Luiz Henrique André Rosa da Silva","https://s.glbimg.com/es/sde/f/2021/08/19/131f19bc697057f38a3c8ec99c785a97_FORMATO.png","Fluminense",30,75,NA,NA,NA,19,NA,NA,3,14,3,17,2,2,1,NA,NA,NA,NA,NA
"38",85425,13,277,"gol","3",2,12.92,-0.15,3.85,12,2.36,"joao-paulo","João Paulo","J. Paulo","João Paulo Silva Martins","https://s.glbimg.com/es/sde/f/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png","Santos",1,NA,3,3,44,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",106704,13,327,"ata","6",0,2.01,0,1.43,3,2.54,"carlos-alberto","Carlos Alberto","C. Alberto","Carlos Alberto Gomes da Silva Filho","https://s.glbimg.com/es/sde/f/2022/02/25/c051db5190893370b401c6f37c4c427d_FORMATO.png","América-MG",1,9,NA,1,NA,1,NA,NA,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA
"40",68952,13,262,"ata","6",0.8,5.83,-0.16,3.02,5,1.01,"marinho","Marinho","Marinho","Mário Sérgio Santos Costa","https://s.glbimg.com/es/sde/f/2022/04/25/b4786e494c8f4852f2ae91d6e0c57b2e_FORMATO.png","Flamengo",6,19,NA,4,NA,12,NA,NA,1,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"41",88916,13,373,"gol","6",0,5.03,0,2.25,2,5.89,"luan-polli","Luan Polli","L. Polli","Luan Polli Gomes","https://s.glbimg.com/es/sde/f/2022/03/03/2e38d3f9f2daa6056eed8d12909a007a_FORMATO.png","Atlético-GO",NA,NA,NA,NA,9,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",109497,13,277,"ata","7",10.7,13.73,-0.86,7.6,10,8.65,"marcos-leonardo","Marcos Leonardo","M. Leonardo","Marcos Leonardo Santos Almeida","https://s.glbimg.com/es/sde/f/2022/03/03/70c0680cfe4346861b4db5ebeba1fdbd_FORMATO.png","Santos",6,25,NA,3,NA,29,NA,NA,1,18,8,14,5,6,NA,NA,NA,NA,NA,NA
"43",53148,13,280,"ata","7",0,7.48,0,3.31,10,1.42,"ytalo","Ytalo","Ytalo","Ytalo José Oliveira dos Santos","https://s.glbimg.com/es/sde/f/2022/05/05/c2e17a280e19cf13328cce44f755ed84_FORMATO.png","Bragantino",7,13,NA,NA,NA,6,NA,NA,NA,NA,2,2,2,NA,1,NA,NA,NA,NA,NA
"44",108201,13,327,"mei","6",0,2.67,0,1.82,6,0.91,"gustavo","Gustavo","Gustavo","Gustavo César Mendonça Gravino","https://s.glbimg.com/es/sde/f/2022/02/25/0386b196bc9d7576552344192f41a032_FORMATO.png","América-MG",9,29,NA,2,NA,9,NA,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"45",69102,13,282,"ata","7",-1.3,6.71,-0.53,3.13,6,-0.44,"vargas","Vargas","Vargas","Eduardo Jesús Vargas Rojas","https://s.glbimg.com/es/sde/f/2021/04/23/d29b68b56d66316606b2224987ab6846_FORMATO.png","Atlético-MG",3,12,NA,1,NA,4,NA,NA,NA,3,3,6,1,1,NA,NA,NA,NA,NA,NA
"46",70986,13,293,"mei","6",-1.4,4,-0.55,2.28,9,-0.73,"leo-cittadini","Léo Cittadini","L. Cittadini","Leonardo Cittadini","https://s.glbimg.com/es/sde/f/2021/05/02/a520539e5df2a4364ad4c1b0050888cc_FORMATO.png","Athlético-PR",10,14,NA,1,NA,9,NA,NA,1,10,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"47",82792,13,280,"tec","7",4.81,10.81,-0.2,4.46,12,4.21,"mauricio-barbieri","Maurício Barbieri","M. Barbieri","Maurício Nogueira Barbieri","https://s.glbimg.com/es/sde/f/2021/04/27/1cc4a56a4aefc5902e503c4834666651_FORMATO.png","Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",89898,13,264,"ata","3",2.4,14.27,-1.38,4.81,11,2.76,"roger-guedes","Róger Guedes","R. Guedes","Róger Krug Guedes","https://s.glbimg.com/es/sde/f/2022/04/27/3af9c1a520b0f11a9c40163e925db245_FORMATO.png","Corinthians",1,48,NA,3,NA,19,NA,NA,1,6,8,7,4,4,NA,NA,NA,NA,NA,NA
"49",104754,13,356,"tec","7",6.3,7.76,0.63,3.38,12,5.06,"juan-vojvoda","Juan Vojvoda","J. Vojvoda","Juan Pablo Vojvoda Rizzo","https://s.glbimg.com/es/sde/f/2021/05/04/b1ac9362e20bba2d6dc699906e1420cc_FORMATO.png","Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",69012,13,262,"gol","6",0,11,0,0,0,15.27,"santos","Santos","Santos","Aderbar Melo dos Santos Neto","https://s.glbimg.com/es/sde/f/2022/04/14/cdf250518797f30f9cb6045061ee01ab_FORMATO.png","Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",82453,13,290,"gol","7",1,7.05,-0.82,3.98,13,1.19,"tadeu","Tadeu","Tadeu","Tadeu Antônio Ferreira","https://s.glbimg.com/es/sde/f/2022/03/10/f9b7377addfcfa29bfa11ee96aecbdc5_FORMATO.png","Goiás",1,NA,2,NA,54,7,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",90061,13,354,"lat","7",9.1,9.33,1.4,3.85,10,7.2,"bruno-pacheco","Bruno Pacheco","B. Pacheco","Bruno de Jesus Pacheco","https://s.glbimg.com/es/sde/f/2022/02/22/557432fa07207d8e3aa6630ee0483cf0_FORMATO.png","Ceará",23,91,2,3,NA,18,NA,1,1,10,2,1,NA,2,1,NA,1,NA,NA,NA
"53",71631,13,275,"gol","7",1,10.58,0.17,4.6,10,1.46,"weverton","Weverton","Weverton","Weverton Pereira da Silva","https://s.glbimg.com/es/sde/f/2022/02/21/b9adc602abc451c8b30c8554a18970f2_FORMATO.png","Palmeiras",NA,NA,5,NA,29,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",97341,13,276,"tec","7",3.05,11.46,0.16,4.09,13,2.99,"rogerio-ceni","Rogério Ceni","R. Ceni","Rogério Ceni","https://s.glbimg.com/es/sde/f/2022/03/01/e6fac1f227854170a80b2cf3234bfa1d_FORMATO.png","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",88423,13,280,"lat","7",4.2,7.87,0.02,3.64,8,3.58,"aderlan","Aderlan","Aderlan","Aderlan de Lima Silva","https://s.glbimg.com/es/sde/f/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png","Bragantino",22,74,3,3,NA,5,NA,NA,NA,22,NA,3,NA,2,NA,NA,NA,NA,NA,NA
"56",104257,13,1371,"lat","7",8.3,7.12,0.98,3.36,10,6.46,"joao-lucas","João Lucas","J. Lucas","João Lucas de Almeida Carvalho","https://s.glbimg.com/es/sde/f/2022/02/23/9aab91f181711232b92dd27558ae246d_FORMATO.png","Cuiabá",28,110,3,3,NA,12,NA,2,NA,12,NA,2,NA,NA,NA,NA,1,NA,NA,NA
"57",99815,13,266,"mei","7",7.2,6.5,1,3.5,8,5.63,"arias","Arias","Arias","Jhon Adolfo Arias Andrade","https://s.glbimg.com/es/sde/f/2022/04/20/d97a4c4cc239d983ba72d755e77a671d_FORMATO.png","Fluminense",12,42,NA,3,NA,12,NA,NA,1,11,1,5,1,1,NA,NA,NA,NA,NA,NA
"58",89840,13,276,"ata","7",2,24.63,-0.04,7.92,13,3.17,"calleri","Calleri","Calleri","Jonathan Calleri","https://s.glbimg.com/es/sde/f/2022/03/01/3abaa943f1546750dd057d6cb3559ce5_FORMATO.png","São Paulo",9,72,NA,1,NA,22,NA,NA,1,22,11,14,9,13,NA,1,NA,NA,NA,NA
"59",90285,13,262,"ata","5",0,14.9,0,5.88,8,5.58,"bruno-henrique","Bruno Henrique","B. Henrique","Bruno Henrique Pinto","https://s.glbimg.com/es/sde/f/2022/04/25/b3a232f9392817871f70ab3b32069e30_FORMATO.png","Flamengo",13,41,NA,3,NA,20,NA,NA,2,11,7,4,1,8,1,NA,NA,NA,NA,NA
"60",73384,13,266,"lat","7",15.9,9.57,2.21,5.92,9,12.07,"samuel-xavier","Samuel Xavier","S. Xavier","Samuel Xavier Brito","https://s.glbimg.com/es/sde/f/2022/04/20/ad95f595cd71bcb7d7b91177716e1d33_FORMATO.png","Fluminense",15,63,3,1,NA,13,NA,NA,1,5,NA,1,1,2,3,NA,NA,NA,NA,NA
"61",86864,13,327,"lat","7",8.1,4.86,0.56,3.2,9,6.16,"marlon","Marlon ","Marlon ","Marlon Matheus Lopes do Nascimento","https://s.glbimg.com/es/sde/f/2022/02/25/d945a3ac1fe38c28ea612a9d62b68a37_FORMATO.png","América-MG",22,75,1,2,NA,12,NA,NA,NA,11,2,6,NA,NA,NA,NA,1,NA,NA,NA
"62",90444,13,285,"lat","6",-1.1,4.85,-1.89,3.1,4,-0.41,"moises","Moisés","Moisés","Moisés Roberto Barbosa","https://s.glbimg.com/es/sde/f/2022/04/02/bc9c2d703de12aa0ab9a2ebf1a477872_FORMATO.png","Internacional",9,28,NA,3,NA,2,NA,NA,1,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"63",91607,13,275,"ata","7",-0.3,10.79,-0.66,5.96,12,0.51,"rony","Rony","Rony","Ronielson da Silva Barbosa","https://s.glbimg.com/es/sde/f/2022/02/21/a09a417ce482ea35a6c54e89437850d4_FORMATO.png","Palmeiras",6,42,NA,NA,NA,13,NA,NA,NA,14,6,15,6,10,NA,NA,NA,NA,NA,NA
"64",90031,13,354,"ata","5",0,12.99,0,7.7,11,3.02,"mendoza","Mendoza","Mendoza","John Stiven Mendoza Valencia","https://s.glbimg.com/es/sde/f/2022/02/22/348289b85a309419d827269486e667c9_FORMATO.png","Ceará",6,58,NA,3,NA,25,NA,NA,NA,11,12,9,7,5,NA,NA,NA,NA,NA,NA
"65",38750,13,262,"lat","6",0,6.19,0,2.18,5,3.39,"filipe-luis","Filipe Luís","F. Luís","Filipe Luís Kasmirski","https://s.glbimg.com/es/sde/f/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png","Flamengo",9,18,NA,1,NA,5,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"66",68808,13,354,"lat","7",3.5,6.5,-0.33,3.04,11,2.97,"nino-paraiba","Nino Paraíba","N. Paraíba","Severino do Ramo Clementino da Silva","https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png","Ceará",12,78,4,4,NA,9,NA,NA,NA,8,NA,1,1,1,NA,NA,NA,NA,NA,NA
"67",38144,13,276,"lat","2",0.3,8.36,-0.19,2.9,12,0.81,"rafinha","Rafinha","Rafinha","Márcio Rafael Ferreira de Souza","https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png","São Paulo",18,66,2,3,NA,12,NA,NA,2,13,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"68",60825,13,327,"ata","7",1.4,5.97,-0.06,2.5,12,1.42,"felipe-azevedo","Felipe Azevedo","F. Azevedo","Felipe Azevedo dos Santos","https://s.glbimg.com/es/sde/f/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png","América-MG",10,67,NA,1,NA,10,NA,NA,NA,16,5,8,2,NA,NA,NA,1,NA,NA,NA
"69",68920,13,275,"ata","7",0.1,11.43,-0.43,4.91,12,0.87,"dudu","Dudu","Dudu","Eduardo Pereira Rodrigues","https://s.glbimg.com/es/sde/f/2022/02/21/f77c90a60a3c8354d3235d1b61be9208_FORMATO.png","Palmeiras",9,85,NA,1,NA,18,NA,NA,1,4,6,6,3,2,3,NA,NA,NA,NA,NA
"70",72524,13,290,"ata","6",0,4.2,0,1.7,7,2.09,"nicolas","Nicolas","Nicolas","Nicolas Godinho Johann","https://s.glbimg.com/es/sde/f/2022/03/10/28a598dad4f678bae3aec06052037f1c_FORMATO.png","Goiás",1,32,NA,NA,NA,9,NA,NA,NA,8,2,2,1,2,NA,NA,NA,NA,NA,NA
"71",90309,13,285,"ata","6",-2,4.85,-1.46,1.95,11,-1.08,"david","David","David","David Correa da Fonseca","https://s.glbimg.com/es/sde/f/2022/02/22/2bd5fca2e1d0dc67b0755602e00a7e66_FORMATO.png","Internacional",8,44,NA,1,NA,12,NA,NA,2,17,3,4,NA,5,1,NA,1,NA,NA,NA
"72",91573,13,276,"zag","7",0.9,5.93,-0.48,2.71,8,1.08,"arboleda","Arboleda","Arboleda","Robert Abel Arboleda Escobar","https://s.glbimg.com/es/sde/f/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png","São Paulo",16,31,NA,1,NA,3,NA,NA,NA,9,2,3,NA,NA,1,NA,NA,NA,NA,NA
