"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","DS","FC","FD","FF","FS","FT","G","I","PI","PP","CA","DE","GS","SG","PC","CV","GC","PS","DP"
"15",69012,12,262,"gol","6",0,11,0,0,0,NA,"santos","Santos","Santos","Aderbar Melo dos Santos Neto","https://s.glbimg.com/es/sde/f/2022/04/14/cdf250518797f30f9cb6045061ee01ab_FORMATO.png","Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",38144,12,276,"lat","7",0.9,8.55,-0.9,3.14,11,NA,"rafinha","Rafinha","Rafinha","Márcio Rafael Ferreira de Souza","https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png","São Paulo",2,18,13,NA,1,11,NA,NA,NA,64,NA,3,NA,NA,2,NA,NA,NA,NA,NA
"17",68808,12,354,"lat","7",6.7,6.83,0.02,2.99,10,NA,"nino-paraiba","Nino Paraíba","N. Paraíba","Severino do Ramo Clementino da Silva","https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png","Ceará",NA,12,7,NA,1,9,NA,1,NA,77,NA,3,NA,NA,3,NA,NA,NA,NA,NA
"18",104257,12,1371,"lat","7",3.8,6.14,-0.72,2.81,9,NA,"joao-lucas","João Lucas","J. Lucas","João Lucas de Almeida Carvalho","https://s.glbimg.com/es/sde/f/2022/02/23/9aab91f181711232b92dd27558ae246d_FORMATO.png","Cuiabá",NA,25,11,NA,1,11,NA,NA,NA,97,NA,3,NA,NA,2,2,1,NA,NA,NA
"19",87228,12,282,"lat","7",6.8,12.19,0.9,4.38,7,NA,"guilherme-arana","Guilherme Arana","G. Arana","Guilherme Antonio Arana Lopes","https://s.glbimg.com/es/sde/f/2021/05/02/282a160d63e94aaad12311a7c3bbf3f0_FORMATO.png","Atlético-MG",1,8,12,1,6,7,NA,NA,NA,48,NA,4,NA,NA,4,1,NA,NA,NA,NA
"20",88916,12,373,"gol","6",0,5.03,0,2.25,2,NA,"luan-polli","Luan Polli","L. Polli","Luan Polli Gomes","https://s.glbimg.com/es/sde/f/2022/03/03/2e38d3f9f2daa6056eed8d12909a007a_FORMATO.png","Atlético-GO",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,9,5,NA,NA,NA,NA,NA,NA
"21",91573,12,276,"zag","7",4.1,6.41,0.17,2.97,7,NA,"arboleda","Arboleda","Arboleda","Robert Abel Arboleda Escobar","https://s.glbimg.com/es/sde/f/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png","São Paulo",NA,15,9,2,3,3,1,NA,NA,28,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"22",90444,12,285,"lat","7",11.7,6.74,1.49,4.5,3,NA,"moises","Moisés","Moisés","Moisés Roberto Barbosa","https://s.glbimg.com/es/sde/f/2022/04/02/bc9c2d703de12aa0ab9a2ebf1a477872_FORMATO.png","Internacional",1,9,4,2,NA,1,NA,NA,NA,20,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"23",71631,12,275,"gol","7",-1,10.41,-1.72,5,9,NA,"weverton","Weverton","Weverton","Weverton Pereira da Silva","https://s.glbimg.com/es/sde/f/2022/02/21/b9adc602abc451c8b30c8554a18970f2_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,7,5,NA,NA,NA,NA,NA
"24",82453,12,290,"gol","7",6.7,7.87,0.51,4.23,12,NA,"tadeu","Tadeu","Tadeu","Tadeu Antônio Ferreira","https://s.glbimg.com/es/sde/f/2022/03/10/f9b7377addfcfa29bfa11ee96aecbdc5_FORMATO.png","Goiás",NA,1,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,52,16,2,NA,NA,NA,NA,NA
