"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","DS","FC","FD","FF","FS","I","PI","DE","GS","SG","CA","G","FT","PC","CV","PP","GC","PS"
"14",85425,4,277,"gol","7",0,14.36,-1.77,5.75,4,NA,"joao-paulo","João Paulo","J. Paulo","João Paulo Silva Martins","https://s.glbimg.com/es/sde/f/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png","Santos",NA,NA,NA,NA,NA,NA,NA,NA,16,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"15",42500,4,264,"lat","7",0,12,0,0,0,NA,"fagner","Fagner","Fagner","Fagner Conserva Lemos","https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png","Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",90061,4,354,"lat","7",3.3,8.38,-0.34,3.7,3,NA,"bruno-pacheco","Bruno Pacheco","B. Pacheco","Bruno de Jesus Pacheco","https://s.glbimg.com/es/sde/f/2022/02/22/557432fa07207d8e3aa6630ee0483cf0_FORMATO.png","Ceará",NA,9,2,1,1,7,NA,36,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"17",68808,4,354,"lat","7",-0.8,4.85,-1.29,0.67,3,NA,"nino-paraiba","Nino Paraíba","N. Paraíba","Severino do Ramo Clementino da Silva","https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png","Ceará",NA,3,2,NA,NA,6,NA,30,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"18",38144,4,276,"lat","7",-1.2,8.57,-1,2.98,4,NA,"rafinha","Rafinha","Rafinha","Márcio Rafael Ferreira de Souza","https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png","São Paulo",1,6,9,NA,NA,4,NA,26,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"19",90285,4,262,"ata","7",0,17.97,0,11.2,1,NA,"bruno-henrique","Bruno Henrique","B. Henrique","Bruno Henrique Pinto","https://s.glbimg.com/es/sde/f/2022/04/25/b3a232f9392817871f70ab3b32069e30_FORMATO.png","Flamengo",NA,1,1,2,1,NA,1,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"20",90444,4,285,"lat","6",0,7,0,0,0,NA,"moises","Moisés","Moisés","Moisés Roberto Barbosa","https://s.glbimg.com/es/sde/f/2022/04/02/bc9c2d703de12aa0ab9a2ebf1a477872_FORMATO.png","Internacional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",104257,4,1371,"lat","3",0.4,6.27,-1.02,2.97,4,NA,"joao-lucas","João Lucas","J. Lucas","João Lucas de Almeida Carvalho","https://s.glbimg.com/es/sde/f/2022/02/23/9aab91f181711232b92dd27558ae246d_FORMATO.png","Cuiabá",NA,7,7,NA,NA,7,NA,39,NA,NA,2,3,NA,NA,1,NA,NA,NA,NA
"22",37656,4,266,"gol","7",2,9.97,-0.36,4.25,4,NA,"fabio","Fábio","Fábio","Fábio Deivson Lopes Maciel","https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png","Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,11,4,2,NA,NA,NA,NA,NA,NA,NA,NA
"23",91573,4,276,"zag","7",2,5.68,0.06,1.15,2,NA,"arboleda","Arboleda","Arboleda","Robert Abel Arboleda Escobar","https://s.glbimg.com/es/sde/f/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png","São Paulo",NA,2,3,NA,1,2,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
