,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.apelido,atletas.media_num,atletas.foto,atletas.atleta_id,atletas.pontos_num,atletas.variacao_num,atletas.jogos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.preco_num,atletas.status_id,atletas.slug,atletas.nome,atletas.clube.id.full.name,atletas.clube_id,DE,DS,FS,GS,SG,A,CA,FC,FF,GC,I,PI,FD,FT,G,DP,PC,CV,PP,PS
17,32,2.08,Mariano,4.41,https://s.glbimg.com/es/sde/f/2022/07/15/c04eede8e289c2e2a9d0b82097512fdc_FORMATO.png,38877,1.2,-0.97,20,Mariano,2,8.02,6,mariano,Mariano Ferreira Filho,Atlético-MG,282,,47.0,12.0,,9.0,1.0,5.0,15.0,1.0,,,155.0,,,,,,,,
18,32,0.13,Diego,1.65,https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png,38909,0.0,0.0,16,Diego,4,3.26,7,diego,Diego Ribas da Cunha,Flamengo,262,,17.0,15.0,,,,3.0,16.0,2.0,,1.0,43.0,1.0,,1.0,,,,,
19,32,4.11,Hulk,7.0,https://s.sde.globo.com/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,39148,1.8,-1.28,25,Hulk,5,18.99,7,hulk,Givanildo Vieira de Souza,Atlético-MG,282,,11.0,59.0,,,2.0,5.0,35.0,35.0,,15.0,169.0,17.0,4.0,12.0,,,,,
20,32,2.32,Renato,2.15,https://s.glbimg.com/es/sde/f/2022/02/24/c65bdd88b41fe9f8ddb3c5be562e45a9_FORMATO.png,39572,2.1,0.15,12,Renato,4,3.69,6,renato,José Renato da Silva Júnior,Avaí,314,,13.0,23.0,,,,2.0,9.0,8.0,,3.0,75.0,4.0,,,,,,,
21,32,4.41,Vagner Mancini,4.16,https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,39850,3.85,-0.55,31,V. Mancini,6,8.38,7,vagner-mancini,Vagner Carmo Mancini,América-MG,327,,,,,,,,,,,,,,,,,,,,
22,32,6.85,Dorival Júnior,4.99,https://s.glbimg.com/es/sde/f/2022/03/28/d28c444ff6eaf5f7b58d9f2ef2bd5075_FORMATO.png,40990,6.42,0.41,31,D. Júnior,6,10.2,7,dorival-junior,Dorival Silvestre Júnior,Flamengo,262,,,,,,,,,,,,,,,,,,,,
23,32,1.52,Willian,1.64,https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png,42116,1.2,-0.27,28,Willian,5,4.11,6,willian,Willian Gomes de Siqueira,Fluminense,266,,13.0,3.0,,,1.0,2.0,8.0,1.0,,2.0,21.0,5.0,,3.0,,,,,
24,32,1.53,Egídio,4.09,https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png,42145,0.0,0.0,17,Egídio,2,11.75,6,egidio,Egídio de Araújo Pereira Júnior,Coritiba,294,,31.0,17.0,,4.0,2.0,1.0,12.0,3.0,,2.0,162.0,7.0,,1.0,,1.0,1.0,,
25,32,9.43,Cássio,4.94,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,42234,0.0,0.0,25,Cássio,1,12.61,7,cassio,Cássio Roberto Ramos,Corinthians,264,85.0,1.0,2.0,19.0,11.0,,,,,,,,,,,,,,,
26,32,4.16,Cuca,4.46,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,42411,3.17,-0.14,12,Cuca,6,10.96,7,cuca,Alexi Stival,Atlético-MG,282,,,,,,,,,,,,,,,,,,,,
27,32,6.12,Fagner,3.78,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png,42500,0.0,0.0,11,Fagner,2,9.58,7,fagner,Fagner Conserva Lemos,Corinthians,264,,18.0,4.0,,4.0,2.0,1.0,5.0,,,1.0,94.0,,,,,,,,
28,32,5.86,Luiz Felipe Scolari,4.39,https://s.glbimg.com/es/sde/f/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_FORMATO.png,43618,5.29,0.45,27,L. Scolari,6,9.98,7,luiz-felipe-scolari,Luiz Felipe Scolari,Athlético-PR,293,,,,,,,,,,,,,,,,,,,,
29,32,11.7,David Braz,2.21,https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,50317,13.0,1.85,11,D. Braz,3,6.53,2,david-braz,David Braz de Oliveira Filho,Fluminense,266,,12.0,2.0,,3.0,,2.0,11.0,4.0,,,43.0,1.0,,1.0,,,3.0,,
30,32,1.97,Alan Kardec,2.53,https://s.glbimg.com/es/sde/f/2022/07/15/7596fc0c82f0af26689bc225bb5d8716_FORMATO.png,50347,1.2,0.14,10,A. Kardec,5,6.93,6,alan-kardec,Alan Kardec de Sousa Pereira Júnior,Atlético-MG,282,,1.0,3.0,,,,,6.0,5.0,,,10.0,2.0,1.0,2.0,,,,,
31,32,1.49,Titi,3.35,https://s.glbimg.com/es/sde/f/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png,50353,0.7,-1.03,28,Titi,3,5.95,7,titi,Christian Chagas Tarouco,Fortaleza,356,,36.0,24.0,,12.0,,2.0,34.0,3.0,,2.0,112.0,,,,,,,,
32,32,0.25,Dentinho,0.36,https://s.glbimg.com/es/sde/f/2022/03/11/e3b360fda749e06fb7f50ec9ccbb74d7_FORMATO.png,50428,0.0,0.0,5,Dentinho,5,3.31,6,dentinho,Bruno Ferreira Bonfim,Ceará,354,,3.0,,,,,,5.0,,,1.0,2.0,,,,,,,,
33,32,3.11,Eduardo,0.0,https://s.glbimg.com/es/sde/f/2022/08/16/763e722867751c09a3568b9a8117bb29_FORMATO.jpeg,50645,0.0,0.0,0,Eduardo,2,4.0,6,eduardo,Carlos Eduardo Santos Oliveira,América-MG,327,,,,,,,,,,,,,,,,,,,,
34,32,2.57,Henrique,1.73,https://s.glbimg.com/es/sde/f/2022/02/23/cb5893cb9455c5aab2d21fd3f512ece2_FORMATO.png,50856,0.0,0.0,16,Henrique,3,5.07,6,henrique,Henrique Adriano Buss,Coritiba,294,,18.0,4.0,,3.0,,4.0,12.0,6.0,1.0,1.0,66.0,3.0,1.0,,,2.0,1.0,,
35,32,0.06,Marlos,0.48,https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png,50879,0.0,0.0,6,Marlos,4,3.15,6,marlos,Marlos Romero Bonfim,Athlético-PR,293,,2.0,2.0,,,,,1.0,,,,14.0,1.0,,,,,,,
36,32,2.21,Apodi,2.35,https://s.glbimg.com/es/sde/f/2022/03/02/2c74555af9089b55a230b00443763cf4_FORMATO.jpeg,51042,0.0,0.0,14,Apodi,4,5.58,6,apodi,Luiz Diallison de Souza Alves,Goiás,290,,13.0,14.0,,,1.0,2.0,18.0,4.0,,1.0,30.0,3.0,,1.0,,,,,1.0
37,32,3.3,Walter,3.92,https://s.glbimg.com/es/sde/f/2021/05/28/50f29a94dff6b578111f33d689953f3c_FORMATO.png,51413,0.0,0.0,23,Walter,1,11.76,2,walter,Walter Leandro Capeloza Artune,Cuiabá,1371,76.0,3.0,3.0,21.0,6.0,,,,,,,,,,,,,,,
38,32,0.5,Giuliano,1.48,https://s.sde.globo.com/media/person_role/2022/04/27/9ac23014ff9196c4c2a10d652798dcfa_FORMATO.png,51548,0.0,0.0,24,Giuliano,4,4.7,6,giuliano,Giuliano Victor de Paula,Corinthians,264,,19.0,12.0,,,2.0,2.0,13.0,9.0,,2.0,68.0,2.0,,,,,,,
