,atletas.status_id,atletas.apelido_abreviado,atletas.posicao_id,atletas.clube_id,atletas.atleta_id,atletas.preco_num,atletas.apelido,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.foto,atletas.nome,atletas.jogos_num,atletas.slug,atletas.media_num,atletas.clube.id.full.name,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,I,PI,PS,SG,FT,PP,CV,PC,DE,DP,GS,GC
17,5,Mariano,2,282,38877,8.99,Mariano,31,,0.0,https://s.glbimg.com/es/sde/f/2022/07/15/c04eede8e289c2e2a9d0b82097512fdc_FORMATO.png,Mariano Ferreira Filho,19,mariano,4.58,Atlético-MG,0.0,1.0,5.0,46.0,15.0,,1.0,11.0,,,150.0,,9.0,,,,,,,,
18,3,Diego,4,262,38909,3.26,Diego,31,,0.04,https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png,Diego Ribas da Cunha,16,diego,1.65,Flamengo,-0.3,,3.0,17.0,16.0,1.0,2.0,15.0,1.0,1.0,43.0,,,,,,,,,,
19,5,Hulk,5,282,39148,20.27,Hulk,31,,0.0,https://s.sde.globo.com/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,Givanildo Vieira de Souza,24,hulk,7.22,Atlético-MG,0.0,2.0,5.0,11.0,34.0,16.0,34.0,57.0,12.0,15.0,160.0,,,4.0,,,,,,,
20,6,Renato,4,314,39572,3.54,Renato,31,,-0.34,https://s.glbimg.com/es/sde/f/2022/02/24/c65bdd88b41fe9f8ddb3c5be562e45a9_FORMATO.png,José Renato da Silva Júnior,11,renato,2.15,Avaí,1.2,,1.0,13.0,8.0,3.0,5.0,21.0,,2.0,64.0,,,,,,,,,,
21,7,V. Mancini,6,327,39850,8.93,Vagner Mancini,31,,0.81,https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,Vagner Carmo Mancini,30,vagner-mancini,4.17,América-MG,7.72,,,,,,,,,,,,,,,,,,,,
22,7,D. Júnior,6,262,40990,9.79,Dorival Júnior,31,,-0.12,https://s.glbimg.com/es/sde/f/2022/03/28/d28c444ff6eaf5f7b58d9f2ef2bd5075_FORMATO.png,Dorival Silvestre Júnior,30,dorival-junior,4.94,Flamengo,4.12,,,,,,,,,,,,,,,,,,,,
23,6,Willian,5,266,42116,4.38,Willian,31,,0.11,https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png,Willian Gomes de Siqueira,27,willian,1.66,Fluminense,3.0,1.0,2.0,12.0,8.0,5.0,1.0,3.0,3.0,2.0,21.0,,,,,,,,,,
24,6,Egídio,2,294,42145,11.75,Egídio,31,,0.0,https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png,Egídio de Araújo Pereira Júnior,17,egidio,4.09,Coritiba,0.0,2.0,1.0,31.0,12.0,7.0,3.0,17.0,1.0,2.0,162.0,,4.0,,,1.0,1.0,,,,
25,6,Cássio,1,264,42234,12.61,Cássio,31,,0.0,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,Cássio Roberto Ramos,25,cassio,4.94,Corinthians,0.0,,,1.0,,,,2.0,,,,,11.0,,,,,85.0,,19.0,
26,7,Cuca,6,282,42411,11.1,Cuca,31,,0.03,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,Alexi Stival,11,cuca,4.58,Atlético-MG,3.93,,,,,,,,,,,,,,,,,,,,
27,6,Fagner,2,264,42500,9.58,Fagner,31,,-0.19,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png,Fagner Conserva Lemos,11,fagner,3.78,Corinthians,6.1,2.0,1.0,18.0,5.0,,,4.0,,1.0,94.0,,4.0,,,,,,,,
28,7,L. Scolari,6,293,43618,9.53,Luiz Felipe Scolari,31,,-0.05,https://s.glbimg.com/es/sde/f/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_FORMATO.png,Luiz Felipe Scolari,26,luiz-felipe-scolari,4.36,Athlético-PR,2.58,,,,,,,,,,,,,,,,,,,,
29,7,D. Braz,3,266,50317,4.68,David Braz,31,,0.61,https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,David Braz de Oliveira Filho,10,david-braz,1.13,Fluminense,2.2,,2.0,11.0,10.0,1.0,4.0,2.0,,,34.0,,2.0,,,3.0,,,,,
30,2,A. Kardec,5,282,50347,6.79,Alan Kardec,31,,-0.06,https://s.glbimg.com/es/sde/f/2022/07/15/7596fc0c82f0af26689bc225bb5d8716_FORMATO.png,Alan Kardec de Sousa Pereira Júnior,9,alan-kardec,2.68,Atlético-MG,-0.1,,,1.0,6.0,2.0,4.0,2.0,2.0,,9.0,,,1.0,,,,,,,
31,6,Titi,3,356,50353,6.98,Titi,31,,0.87,https://s.glbimg.com/es/sde/f/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png,Christian Chagas Tarouco,27,titi,3.45,Fortaleza,7.5,,2.0,36.0,34.0,,3.0,22.0,,2.0,109.0,,12.0,,,,,,,,
32,6,Dentinho,5,354,50428,3.31,Dentinho,31,,0.0,https://s.glbimg.com/es/sde/f/2022/03/11/e3b360fda749e06fb7f50ec9ccbb74d7_FORMATO.png,Bruno Ferreira Bonfim,5,dentinho,0.36,Ceará,0.0,,,3.0,5.0,,,,,1.0,2.0,,,,,,,,,,
33,6,Eduardo,2,327,50645,4.0,Eduardo,31,,0.0,https://s.glbimg.com/es/sde/f/2022/08/16/763e722867751c09a3568b9a8117bb29_FORMATO.jpeg,Carlos Eduardo Santos Oliveira,0,eduardo,0.0,América-MG,0.0,,,,,,,,,,,,,,,,,,,,
34,6,Henrique,3,294,50856,5.07,Henrique,31,,0.0,https://s.glbimg.com/es/sde/f/2022/02/23/cb5893cb9455c5aab2d21fd3f512ece2_FORMATO.png,Henrique Adriano Buss,16,henrique,1.73,Coritiba,0.0,,4.0,18.0,12.0,3.0,6.0,4.0,,1.0,66.0,,3.0,1.0,,1.0,2.0,,,,1.0
35,6,Marlos,4,293,50879,3.15,Marlos,31,,0.0,https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png,Marlos Romero Bonfim,6,marlos,0.48,Athlético-PR,0.0,,,2.0,1.0,1.0,,2.0,,,14.0,,,,,,,,,,
36,6,Apodi,4,290,51042,5.58,Apodi,31,,0.0,https://s.glbimg.com/es/sde/f/2022/03/02/2c74555af9089b55a230b00443763cf4_FORMATO.jpeg,Luiz Diallison de Souza Alves,14,apodi,2.35,Goiás,0.0,1.0,2.0,13.0,18.0,3.0,4.0,14.0,1.0,1.0,30.0,1.0,,,,,,,,,
37,5,Walter,1,1371,51413,11.76,Walter,31,,0.0,https://s.glbimg.com/es/sde/f/2021/05/28/50f29a94dff6b578111f33d689953f3c_FORMATO.png,Walter Leandro Capeloza Artune,23,walter,3.92,Cuiabá,0.0,,,3.0,,,,3.0,,,,,6.0,,,,,76.0,,21.0,
38,7,Giuliano,4,264,51548,4.7,Giuliano,31,,-0.07,https://s.sde.globo.com/media/person_role/2022/04/27/9ac23014ff9196c4c2a10d652798dcfa_FORMATO.png,Giuliano Victor de Paula,24,giuliano,1.48,Corinthians,-0.3,2.0,2.0,19.0,13.0,2.0,9.0,12.0,,2.0,68.0,,,,,,,,,,
39,6,E. Ribeiro,4,262,51772,9.08,Everton Ribeiro,31,,0.0,https://s.sde.globo.com/media/person_role/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png,Everton Augusto de Barros Ribeiro,27,everton-ribeiro,4.07,Flamengo,0.0,4.0,,41.0,26.0,10.0,5.0,53.0,2.0,1.0,161.0,,,2.0,,,,,,,
40,6,Réver,3,282,52253,4.29,Réver,31,,0.0,https://s.glbimg.com/es/sde/f/2022/07/15/b06d278a85eebe19ce060b1d34ef2b64_FORMATO.png,Réver Humberto Alves Araújo,11,rever,2.56,Atlético-MG,0.0,,1.0,8.0,6.0,,1.0,4.0,1.0,,34.0,,3.0,,,,1.0,,,,
41,6,D. Luiz,3,262,52827,4.83,David Luiz,31,,0.0,https://s.glbimg.com/es/sde/f/2022/04/25/b04aadac11e76e4bd69df5b191e13d3c_FORMATO.png,David Luiz Moreira Marinho,16,david-luiz,1.41,Flamengo,0.0,,4.0,12.0,23.0,5.0,3.0,4.0,,2.0,61.0,,3.0,,,,,,,,
42,7,L. Gamalho,5,294,53865,12.34,Léo Gamalho,31,,0.0,https://s.glbimg.com/es/sde/f/2022/02/23/4b8edf6d0d6b8c3a3c39de67b5bd75e1_FORMATO.png,Leonardo Gamalho de Souza,20,leo-gamalho,4.35,Coritiba,0.0,,,6.0,17.0,8.0,9.0,28.0,7.0,5.0,55.0,1.0,,1.0,,,,,,,
