"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.gato_mestre.media_pontos_mandante","atletas.gato_mestre.media_pontos_visitante","atletas.gato_mestre.media_minutos_jogados","atletas.gato_mestre.minutos_jogados","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","A","CA","DS","FC","FD","FF","FS","FT","G","I","PI","DE","DP","GS","PC","SG","CV","PP","PS","GC"
"14",101708,22, 277,"lat","7", 3.90, 5.12, 0.17, 2.60,12, 3.54,NA,NA,NA,NA,"felipe-jonatan","Felipe Jonatan","F. Jonatan","Felipe Jonatan Rocha Andrade","https://s.glbimg.com/es/sde/f/2022/03/03/e7109f32d289e269f43592da6566c2e5_FORMATO.png","Santos",NA, 1,13, 9, 2, 2, 9,NA,NA, 1, 91,NA,NA,NA,NA, 4,NA,NA,NA,NA
"15", 87228,22, 282,"lat","7", 6.80,12.15,-0.02, 4.47,15, 6.50,  2.95714286,  5.77500000, 72.00000000, 95.00000000,"guilherme-arana","Guilherme Arana","G. Arana","Guilherme Antonio Arana Lopes","https://s.glbimg.com/es/sde/f/2022/07/15/15c5ec9f4de048f57500c0cfa19f5568_FORMATO.png","Atlético-MG", 2, 4,18,22, 3,15,10, 1,NA,NA,117,NA,NA,NA, 1, 7,NA,NA,NA,NA
"16",104257,22,1371,"lat","7", 5.70, 7.03, 1.22, 3.23,18, 5.02,  4.24444444,  2.22222222, 74.00000000, 37.00000000,"joao-lucas","João Lucas","J. Lucas","João Lucas de Almeida Carvalho","https://s.glbimg.com/es/sde/f/2022/02/23/9aab91f181711232b92dd27558ae246d_FORMATO.png","Cuiabá",NA, 6,49,25, 1, 4,19,NA,NA,NA,210,NA,NA,NA, 2, 5, 1,NA,NA,NA
"17", 68808,22, 354,"lat","3", 1.40, 5.73, 0.08, 2.20,18, 1.58,  1.97000000,  2.43750000, 51.00000000,106.00000000,"nino-paraiba","Nino Paraíba","N. Paraíba","Severino do Ramo Clementino da Silva","https://s.glbimg.com/es/sde/f/2022/02/22/7fc46375115ce0f0e27a2498bc10c3a2_FORMATO.png","Ceará",NA, 6,25,18,NA, 2,14,NA, 1, 1,154,NA,NA,NA,NA, 4,NA,NA,NA,NA
"18", 90768,22, 262,"zag","6",23.40, 8.97, 3.26, 5.50, 5,19.42, 12.25000000, -0.73333333, 98.00000000, 95.00000000,"fabricio-bruno","Fabrício Bruno","F. Bruno","Fabrício Bruno Soares de Faria","https://s.glbimg.com/es/sde/f/2022/04/25/06fca89445e5f7bb29a42734c5fbb2e0_FORMATO.png","Flamengo",NA, 2, 4, 4,NA,NA, 2,NA, 2,NA, 11,NA,NA,NA,NA, 2,NA,NA,NA,NA
"19", 97867,22, 280,"zag","7", 1.70,10.25, 0.13, 3.86,14, 2.16,  4.26250000,  3.33333333, 78.00000000, 94.00000000,"leo-ortiz","Léo Ortiz","L. Ortiz","Leonardo Rech Ortiz","https://s.glbimg.com/es/sde/f/2022/05/05/460445523b5ae74d45009ede8f2a5e89_FORMATO.png","Bragantino",NA, 4,21, 9, 1, 2, 6,NA, 1, 1, 81,NA,NA,NA,NA, 6,NA,NA,NA,NA
"20", 85425,22, 277,"gol","7", 3.00,13.10, 0.45, 4.37,20, 3.38,NA,NA,NA,NA,"joao-paulo","João Paulo","J. Paulo","João Paulo Silva Martins","https://s.glbimg.com/es/sde/f/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png","Santos",NA, 4, 1,NA,NA,NA, 4,NA,NA,NA,NA,77,NA,19,NA, 6,NA,NA,NA,NA
"21", 93882,22, 280,"gol","7",-2.00, 8.74,-0.65, 3.52,20,-0.95,  4.35000000,  2.60000000, 83.00000000, 94.00000000,"cleiton","Cleiton","Cleiton","Cleiton Schwengber","https://s.glbimg.com/es/sde/f/2022/05/05/ec4a7cb649121dc08c2869bdcf6ef984_FORMATO.png","Bragantino",NA, 3,NA,NA,NA,NA, 7,NA,NA,NA,NA,66,NA,25, 1, 6,NA,NA,NA,NA
"22", 69012,22, 262,"gol","7", 8.00,10.17,-0.18, 5.40, 9, 7.25,NA,NA,NA,NA,"santos","Santos","Santos","Aderbar Melo dos Santos Neto","https://s.glbimg.com/es/sde/f/2022/04/14/cdf250518797f30f9cb6045061ee01ab_FORMATO.png","Flamengo",NA,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,27,NA, 4,NA, 5,NA,NA,NA,NA
"23", 91151,22, 327,"ata","6", 2.50, 8.69,-2.23, 4.56,15, 2.86,  4.94444444,  3.98333333, 53.00000000, 67.00000000,"everaldo","Everaldo ","Everaldo ","Everaldo Silva do Nascimento","https://s.glbimg.com/es/sde/f/2022/02/25/561f3ca4238e82e1b2e1479a1a66c551_FORMATO.png","América-MG", 2, 3,20,16, 6,11,34, 1, 2, 2, 96,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24", 96468,22, 285,"gol","3", 4.00, 8.37,-0.96, 4.25,19, 3.94,  4.42000000,  4.05555556, 93.00000000, 96.00000000,"daniel","Daniel","Daniel","Daniel de Sousa Brito","https://s.glbimg.com/es/sde/f/2022/04/02/9ce578918b5a7d98112629368b0a657d_FORMATO.png","Internacional",NA, 3, 1,NA,NA,NA, 5,NA,NA,NA,NA,64,NA,19,NA, 7,NA,NA,NA,NA
