"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DS","FC","FF","FS","PI","CA","FD","SG","A","I","FT","G","DE","GS","PC","CV","PP","PS","GC","DP"
"252",109426,5,280,"lat","6",0,3.08,0,1,1,NA,"weverson","Weverson","Weverson","Weverson Moreira da Costa","https://s.glbimg.com/es/sde/f/2022/05/05/73de6346549a47db6b8bf37e5f4f06fa_FORMATO.png","Bragantino",1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",104125,5,354,"ata","6",0,2.64,0,-0.2,1,NA,"cleber","Cléber","Cléber","Cléber Bomfim de Jesus","https://s.glbimg.com/es/sde/f/2022/02/22/89740a418c814d6271ac39fa501351e3_FORMATO.png","Ceará",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",108683,5,280,"mei","5",0,4,0,0,0,NA,"emiliano-martinez","Emiliano Martínez","E. Martínez","Emiliano Martínez Toranza","https://s.glbimg.com/es/sde/f/2022/05/05/62bad876ad70013104c71097262f0fc3_FORMATO.png","Bragantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",102598,5,280,"ata","6",0,4.77,0,1.2,4,NA,"helinho","Helinho","Helinho","Hélio Júnio Nunes de Castro","https://s.glbimg.com/es/sde/f/2022/05/05/d0de5e463c8123423e2713cdde571faf_FORMATO.png","Bragantino",3,8,4,4,18,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",68923,5,264,"zag","7",10.8,8.55,1.77,8.7,2,NA,"gil","Gil","Gil","Carlos Gilberto do Nascimento Silva","https://s.glbimg.com/es/sde/f/2022/04/27/14ec5e5e1aa438191eb6e95781e175fb_FORMATO.png","Corinthians",6,1,NA,NA,7,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",78851,5,354,"gol","6",0,5,0,0,0,NA,"richard","Richard","Richard","Richard de Oliveira da Costa","https://s.glbimg.com/es/sde/f/2022/02/22/9d468ebf560bb9e0da9699ba4df38391_FORMATO.png","Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",100848,5,280,"lat","6",5.7,7.34,0.11,6.7,2,NA,"luan-candido","Luan Cândido","L. Cândido","Luan Cândido de Almeida","https://s.glbimg.com/es/sde/f/2022/05/05/a09132195a9936adeadb1a61d65dad2e_FORMATO.png","Bragantino",6,1,1,1,24,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",103695,5,280,"mei","7",0.3,5.04,-0.49,2.72,5,NA,"jadsom-silva","Jadsom Silva","J. Silva","Jadsom Meemyas de Oliveira da Silva","https://s.glbimg.com/es/sde/f/2022/05/05/9d601cb29909661ed2abc4800aab14b7_FORMATO.png","Bragantino",9,7,2,3,12,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",108176,5,354,"zag","7",3.1,3.83,0.48,1.87,3,NA,"gabriel-lacerda","Gabriel Lacerda","G. Lacerda","Gabriel Santos Cordeiro Lacerda","https://s.glbimg.com/es/sde/f/2022/02/22/6e64fcfbd8fd5ae5f3a9f615b801c4bd_FORMATO.png","Ceará",5,NA,3,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"261",88136,5,264,"gol","6",0,6,0,0,0,NA,"ivan","Ivan","Ivan","Ivan Quaresma da Silva","https://s.glbimg.com/es/sde/f/2022/02/22/34cb1f18e1366fa0c31a3d946941e5c5_FORMATO.png","Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
