,atletas.foto,atletas.clube.id.full.name,atletas.media_num,atletas.apelido,atletas.pontos_num,atletas.apelido_abreviado,atletas.atleta_id,atletas.posicao_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.clube_id,atletas.nome,atletas.slug,atletas.rodada_id,CA,DE,DS,FS,GS,SG,A,CV,FC,FD,FF,FT,G,I,PI,PP,PS,DP,PC,GC
15,https://s.glbimg.com/es/sde/f/2022/02/24/ae51c505f4d9ceba09c22ba954cca2bf_FORMATO.png,Fluminense,1.56,Felipe Melo,0.4,F. Melo,38545,3,5.68,6,-0.5,22,,266,Felipe Melo de Carvalho,felipe-melo,36,6.0,,10.0,14.0,,6.0,,,15.0,,1.0,,,,50.0,,,,,
16,https://s.glbimg.com/es/sde/f/2022/04/20/0cf7c39e0e85080dc2234671994e19d9_FORMATO.png,Fluminense,0.0,Matheus Ferraz,0.0,M. Ferraz,38632,3,3.0,5,0.0,0,,266,Matheus Ferraz Pereira,matheus-ferraz,36,,,,,,,,,,,,,,,,,,,,
17,https://s.sde.globo.com/media/person_role/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png,Flamengo,3.37,Filipe Luís,0.0,F. Luís,38750,2,6.48,6,0.0,9,,262,Filipe Luís Kasmirski,filipe-luis,36,1.0,,17.0,8.0,,2.0,,,4.0,,2.0,,,,35.0,,,,,
18,https://s.glbimg.com/es/sde/f/2022/07/15/c04eede8e289c2e2a9d0b82097512fdc_FORMATO.png,Atlético-MG,4.34,Mariano,2.5,Mariano,38877,2,8.21,6,-0.27,22,,282,Mariano Ferreira Filho,mariano,36,5.0,,50.0,12.0,,9.0,2.0,,17.0,,3.0,,,1.0,177.0,,,,,
19,https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png,Flamengo,1.65,Diego,0.4,Diego,38909,4,3.36,7,-0.39,18,,262,Diego Ribas da Cunha,diego,36,3.0,,20.0,19.0,,,,,18.0,1.0,2.0,,1.0,1.0,50.0,,,,1.0,
20,https://s.sde.globo.com/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,Atlético-MG,7.0,Hulk,0.0,Hulk,39148,5,18.99,5,0.0,25,,282,Givanildo Vieira de Souza,hulk,36,5.0,,11.0,59.0,,,2.0,,35.0,17.0,35.0,4.0,12.0,15.0,169.0,,,,,
21,https://s.glbimg.com/es/sde/f/2022/02/24/c65bdd88b41fe9f8ddb3c5be562e45a9_FORMATO.png,Avaí,1.96,Renato,0.0,Renato,39572,4,3.33,7,0.0,15,,314,José Renato da Silva Júnior,renato,36,2.0,,13.0,25.0,,,,,10.0,5.0,9.0,1.0,,4.0,94.0,,,,,
22,https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,América-MG,4.23,Vagner Mancini,5.73,V. Mancini,39850,6,8.9,7,-0.08,35,,327,Vagner Carmo Mancini,vagner-mancini,36,,,,,,,,,,,,,,,,,,,,
23,https://s.glbimg.com/es/sde/f/2022/03/28/d28c444ff6eaf5f7b58d9f2ef2bd5075_FORMATO.png,Flamengo,4.81,Dorival Júnior,1.21,D. Júnior,40990,6,9.44,7,-0.37,34,,262,Dorival Silvestre Júnior,dorival-junior,36,,,,,,,,,,,,,,,,,,,,
24,https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png,Fluminense,1.64,Willian,0.0,Willian,42116,5,4.11,6,0.0,28,,266,Willian Gomes de Siqueira,willian,36,2.0,,13.0,3.0,,,1.0,,8.0,5.0,1.0,,3.0,2.0,21.0,,,,,
25,https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png,Coritiba,4.28,Egídio,6.9,Egídio,42145,2,12.65,6,0.47,19,,294,Egídio de Araújo Pereira Júnior,egidio,36,1.0,,32.0,17.0,,6.0,2.0,1.0,12.0,7.0,4.0,,1.0,2.0,165.0,,,,1.0,
26,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,Corinthians,4.96,Cássio,9.0,Cássio,42234,1,12.68,7,1.17,29,,264,Cássio Roberto Ramos,cassio,36,1.0,98.0,1.0,5.0,22.0,13.0,,,,,,,,,,,,,,
27,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,Atlético-MG,4.37,Cuca,2.95,Cuca,42411,6,11.09,7,0.11,16,,282,Alexi Stival,cuca,36,,,,,,,,,,,,,,,,,,,,
28,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png,Corinthians,3.4,Fagner,7.8,Fagner,42500,2,9.74,3,1.32,14,,264,Fagner Conserva Lemos,fagner,36,3.0,,23.0,7.0,,5.0,2.0,,11.0,,,,,2.0,120.0,,,,,
29,https://s.glbimg.com/es/sde/f/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_FORMATO.png,Athlético-PR,4.27,Luiz Felipe Scolari,1.18,L. Scolari,43618,6,9.4,7,-0.52,30,,293,Luiz Felipe Scolari,luiz-felipe-scolari,36,,,,,,,,,,,,,,,,,,,,
30,https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,Fluminense,2.21,David Braz,0.0,D. Braz,50317,3,6.53,6,0.0,11,,266,David Braz de Oliveira Filho,david-braz,36,2.0,,12.0,2.0,,3.0,,3.0,11.0,1.0,4.0,,1.0,,43.0,,,,,
31,https://s.glbimg.com/es/sde/f/2022/07/15/7596fc0c82f0af26689bc225bb5d8716_FORMATO.png,Atlético-MG,2.25,Alan Kardec,0.0,A. Kardec,50347,5,6.61,5,0.0,12,,282,Alan Kardec de Sousa Pereira Júnior,alan-kardec,36,,,2.0,4.0,,,,,6.0,2.0,5.0,1.0,2.0,,11.0,,,,,
32,https://s.glbimg.com/es/sde/f/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png,Fortaleza,3.05,Titi,0.4,Titi,50353,3,5.82,7,0.58,31,,356,Christian Chagas Tarouco,titi,36,4.0,,38.0,24.0,,13.0,,,45.0,,3.0,,,2.0,123.0,,,,,
33,https://s.glbimg.com/es/sde/f/2022/08/16/763e722867751c09a3568b9a8117bb29_FORMATO.jpeg,América-MG,0.0,Eduardo,0.0,Eduardo,50645,2,4.0,6,0.0,0,,327,Carlos Eduardo Santos Oliveira,eduardo,36,,,,,,,,,,,,,,,,,,,,
34,https://s.glbimg.com/es/sde/f/2022/02/23/cb5893cb9455c5aab2d21fd3f512ece2_FORMATO.png,Coritiba,1.73,Henrique,0.0,Henrique,50856,3,5.07,5,0.0,16,,294,Henrique Adriano Buss,henrique,36,4.0,,18.0,4.0,,3.0,,1.0,12.0,3.0,6.0,1.0,,1.0,66.0,,,,2.0,1.0
35,https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png,Athlético-PR,0.48,Marlos,0.0,Marlos,50879,4,3.15,6,0.0,6,,293,Marlos Romero Bonfim,marlos,36,,,2.0,2.0,,,,,1.0,1.0,,,,,14.0,,,,,
36,https://s.glbimg.com/es/sde/f/2022/03/02/2c74555af9089b55a230b00443763cf4_FORMATO.jpeg,Goiás,2.07,Apodi,0.0,Apodi,51042,4,5.23,6,0.0,16,,290,Luiz Diallison de Souza Alves,apodi,36,3.0,,13.0,15.0,,,1.0,,20.0,3.0,6.0,,1.0,1.0,34.0,,1.0,,,
