"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"0.91","1.14","0.05","282","67","70","285","0.14","1.08","1.02"
"1.18","1.58","0.89","275","76","41","283","-0.55","0.63","1.09"
"0.94","1.18","0.14","265","72","78","356","0.39","1.41","0.93"
"1.18","0.82","-0.05","266","50","60","264","0.32","1.08","1.16"
"1.25","2.47","1.63","262","86","70","277","0.9","1.5","1.24"
"0.95","0.77","-0.46","315","51","68","267","0.23","1.09","1.07"
"1.07","0.9","-0.06","354","62","50","263","-0.53","0.74","0.94"
"1.63","1.34","1.12","293","88","26","314","-1.69","0.49","0.63"
"1.35","1.83","1.31","284","94","62","290","-0.29","1.29","0.63"
"1.28","0.97","0.32","276","74","43","341","-0.93","0.71","0.74"
