"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"0.91","0.61","-0.85","314","34","75","285","0.88","1.25","1.47"
"1.09","0.41","-1.16","341","30","68","282","0.54","1.25","1.16"
"1.17","1.15","0.42","277","71","67","354","0.26","1.3","0.92"
"0.99","0.93","-0.12","290","44","61","264","0.58","0.94","1.58"
"0.7","1.03","-0.48","283","44","73","276","0.72","0.93","1.77"
"0.81","1.13","-0.12","356","70","89","262","0.75","1.8","0.94"
"0.69","0.89","-0.71","267","51","71","263","0.06","0.84","1.24"
"3.09","2.13","2.71","275","90","28","315","-0.1","1.01","0.93"
"0.85","1.28","0.12","284","75","79","265","0.26","1.31","0.92"
"0.64","1.49","-0.06","266","81","89","293","0.33","1.42","0.88"
