"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"0.85","0.94","-0.32","356","66","73","284","-0.01","1.12","0.88"
"1.57","0.98","0.63","264","75","50","283","-0.39","1.09","0.7"
"1.04","1.23","0.36","265","73","66","354","0.09","1.14","0.93"
"1.01","1.55","0.65","293","49","88","275","2.3","2.15","2.29"
"1.16","1.53","0.82","282","70","60","277","0.46","1.07","1.29"
"1.62","0.92","0.58","276","68","28","314","-1.24","0.53","0.8"
"1.57","1.27","1","285","84","40","267","-0.83","0.81","0.7"
"1.1","1.83","1","262","95","71","266","-0.29","1.36","0.6"
"0.96","1.13","0.11","315","70","59","290","-0.34","0.84","0.94"
"1.18","0.85","0.01","263","67","24","341","-2.01","0.33","0.76"
