"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.32","1.06","0.48","354","57","61","285","0.66","1.26","1.25"
"1.16","1.57","0.87","293","82","49","283","-0.48","0.78","0.92"
"1.81","0.83","0.58","264","60","50","356","0.18","1.25","0.9"
"0.82","1.14","-0.09","267","48","87","275","1.59","1.71","1.76"
"1.03","0.28","-1.79","314","15","72","277","1.15","1.32","1.68"
"1.34","0.66","-0.19","263","42","76","262","1.2","1.9","1.21"
"1.82","1.25","1.18","276","82","47","266","-0.23","1.16","0.74"
"1.08","0.99","0.09","265","76","59","315","-0.61","0.95","0.69"
"0.89","1.63","0.54","282","92","72","290","-0.48","1.13","0.63"
"1.06","1.27","0.43","284","87","24","341","-2.45","0.29","0.63"
