"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.73","0.8","0.46","264","48","49","285","0.52","1.18","1.22"
"0.71","1.21","-0.23","266","75","89","282","0.45","1.54","0.89"
"0.75","1.1","-0.29","315","64","74","354","0.14","1.01","1.09"
"1.1","1.13","0.32","265","34","81","275","2.32","1.83","2.73"
"1.25","1.27","0.67","277","55","48","276","0.36","0.81","1.59"
"0.9","1.1","0","284","61","80","262","0.76","1.44","1.18"
"1","1.5","0.58","293","76","61","263","0","0.95","1.06"
"0.72","1","-0.49","283","67","48","314","-1.26","0.46","0.9"
"0.71","0.94","-0.58","267","63","80","290","0.11","1.15","0.94"
"0.82","0.74","-0.71","356","65","41","341","-1.7","0.44","0.7"
