"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"1.92","1.16","1.15","264","65","65","284","1.15","2.01","1.1"
"1.27","1.37","0.8","285","74","44","283","-0.42","0.74","1.01"
"0.86","1.07","-0.13","290","62","66","354","0.02","0.93","1.09"
"0.86","1.15","-0.02","282","59","88","275","1.25","1.83","1.3"
"0.87","1.18","0.04","356","51","68","276","0.72","0.99","1.66"
"1.04","1.47","0.61","277","76","64","267","0.11","1.07","1.01"
"0.88","0.97","-0.22","266","62","64","263","-0.15","0.9","1.01"
"1.49","2.35","1.81","262","95","40","315","-0.74","0.76","0.79"
"1.2","1.37","0.72","293","57","66","265","1.06","1.29","1.62"
"0.79","0.65","-0.98","314","55","59","341","-0.82","0.7","0.81"
