"away_defense","away_attack","away_strength","away_team_name","away_scoring_odds","home_scoring_odds","home_team_name","home_strength","home_attack","home_defense"
"0.65","0.8","-0.94","315","49","88","285","0.71","1.36","1.21"
"1.35","2.32","1.65","262","94","46","283","-0.54","0.84","0.82"
"1.28","1.46","0.9","275","83","62","356","0.03","1.23","0.83"
"1.57","1.08","0.76","265","48","49","264","0.79","1.06","1.64"
"1.07","1.53","0.71","284","78","76","277","0.64","1.53","1.02"
"1.2","1.19","0.52","293","73","54","267","-0.24","0.95","0.89"
"1.37","1.04","0.51","276","61","50","263","0.08","0.96","1.1"
"0.87","1.13","-0.03","282","72","48","314","-0.97","0.57","0.9"
"0.81","0.92","-0.43","266","76","63","290","-0.95","0.8","0.65"
"1.09","1.11","0.27","354","68","38","341","-0.99","0.52","0.97"
