"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","FC","FD","FF","FS","PE","RB","DD","DP","GS","SG","CA","FT","G","I","A","CV","PP","GC"
"11","Pedro Tonon Geromel","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png",80853,5,284,"zag","Provável",6,12.48,-0.02,5.8,"Grêmio",1,NA,2,4,8,13,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"12","Bruno Henrique Pinto","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2019/04/26/195ab3662b5fad11e635fd74d6a2f401_FORMATO.png",90285,5,262,"ata","Provável",12.1,19.82,2.27,6.06,"Flamengo",4,5,6,3,5,NA,NA,NA,NA,NA,1,NA,3,1,NA,NA,NA,NA
"13","Víctor Leandro Cuesta","victor-cuesta","Víctor Cuesta","https://s.glbimg.com/es/sde/f/2018/04/08/b6cd86f9590fd3e82cb545ac74dc8c41_FORMATO.png",79113,5,285,"zag","Provável",5,12.66,0.24,4.6,"Internacional",5,NA,NA,2,2,13,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"14","Juan Ramón Cazares Sevillano","cazares","Cazares","https://s.glbimg.com/es/sde/f/2018/05/07/2952d9583a363deaf38934dd9c4cd382_FORMATO.png",81682,5,282,"mei","Provável",8.4,10.32,-0.68,8.4,"Atlético-MG",2,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"15","Iago Amaral Borduchi","iago","Iago","https://s.glbimg.com/es/sde/f/2018/04/09/733606405d1966bcc1ea11b6d2790ec5_FORMATO.png",97868,5,285,"lat","Provável",9.9,9.8,2.26,3.25,"Internacional",3,1,NA,1,14,5,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA
"16","Severino do Ramo Clementino da Silva","nino-paraiba","Nino Paraíba","https://s.glbimg.com/es/sde/f/2019/03/29/2f29d050e2e2a4be7df0047f2e43dd7f_FORMATO.png",68808,5,265,"lat","Provável",0,11.93,0,3.67,"Bahia",6,1,2,8,12,7,NA,NA,NA,1,3,NA,NA,NA,1,NA,NA,NA
"17","Victor Leandro Bagy","victor","Victor","https://s.glbimg.com/es/sde/f/2018/05/07/d890df905bbd3bb36a77d0ebf6a7ec0e_FORMATO.png",52950,5,282,"gol","Provável",10.7,6.87,3.05,2.36,"Atlético-MG",NA,NA,NA,NA,4,NA,9,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA
"18","Réver Humberto Alves Araújo","rever","Réver","https://s.glbimg.com/es/sde/f/2019/03/29/d49f2565289d4bf121348ef17d5a2cc2_FORMATO.png",52253,5,282,"zag","Dúvida",2.7,10.82,-0.33,2.4,"Atlético-MG",1,2,NA,1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2019/03/22/27fa5cdf4f485fac2794eb67548421f6_FORMATO.png",74061,5,263,"gol","Provável",1,6.67,-1.76,3.16,"Botafogo",NA,NA,NA,2,4,NA,6,NA,5,2,1,NA,NA,NA,NA,NA,NA,NA
"20","Anderson Pedro Nunes da Silva Campos","anderson","Anderson","https://s.glbimg.com/es/sde/f/2019/03/29/bbfcc261f62ebb5c1dbea1b7e31f6dca_FORMATO.png",38001,5,265,"gol","Nulo",0,2.08,0,-1,"Bahia",NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
