,atletas.clube_id,atletas.rodada_id,atletas.jogos_num,atletas.nome,atletas.posicao_id,atletas.atleta_id,atletas.slug,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.status_id,atletas.apelido_abreviado,atletas.variacao_num,atletas.pontos_num,atletas.foto,atletas.clube.id.full.name,atletas.apelido,CA,DS,FC,FD,FF,FS,G,I,SG,A,FT,CV,PC,PP,PS,DE,GS,DP,GC,V
19,264,15,14,Cássio Roberto Ramos,1,42234,cassio,2.96,,8.48,6,Cássio,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,Corinthians,Cássio,2.0,,,,,3.0,,,3.0,,,,1.0,,,45.0,17.0,,,
20,264,15,12,Fagner Conserva Lemos,2,42500,fagner,4.43,,8.88,6,Fagner,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,Corinthians,Fagner,4.0,20.0,6.0,,3.0,19.0,,,3.0,1.0,1.0,,,,,,,,,
21,282,15,5,Luiz Felipe Scolari,6,43618,luiz-felipe-scolari,3.59,,9.29,7,L. Scolari,0.43,5.3,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,Atlético-MG,Luiz Felipe Scolari,,,,,,,,,,,,,,,,,,,,
22,276,15,2,Alexandre Rodrigues da Silva,5,49675,alexandre-pato,4.0,,5.09,6,A. Pato,1.5,8.0,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,São Paulo,Alexandre Pato,,,,,,,1.0,,,,,,,,,,,,,
23,266,15,8,David Braz de Oliveira Filho,3,50317,david-braz,2.92,,5.99,6,D. Braz,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,Fluminense,David Braz,1.0,3.0,6.0,,2.0,2.0,,,4.0,,,,,,,,,,,
24,282,15,3,Alan Kardec de Sousa Pereira Júnior,5,50347,alan-kardec,2.8,,4.68,6,A. Kardec,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,Atlético-MG,Alan Kardec,1.0,,2.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,
25,356,15,13,Christian Chagas Tarouco,3,50353,titi,5.29,,8.21,7,Titi,-0.6,2.6,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,Fortaleza,Titi,3.0,24.0,13.0,1.0,2.0,10.0,,,7.0,1.0,,,1.0,,,,,,,
26,294,15,9,Henrique Adriano Buss,3,50856,henrique,0.84,,2.56,3,Henrique,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,Coritiba,Henrique,3.0,5.0,9.0,1.0,,2.0,,,1.0,,,,,,,,,,,
27,290,15,9,Luiz Diallison de Souza Alves,2,51042,apodi,2.46,,5.29,6,Apodi,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,Goiás,Apodi,1.0,3.0,6.0,5.0,1.0,2.0,1.0,5.0,1.0,,,,,,1.0,,,,,
28,1371,15,15,Walter Leandro Capeloza Artune,1,51413,walter,3.26,,7.14,7,Walter,1.58,11.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,Cuiabá,Walter,1.0,,,,,2.0,,,4.0,,,,1.0,,,47.0,17.0,,,
29,264,15,10,Giuliano Victor de Paula,4,51548,giuliano,0.71,,2.41,6,Giuliano,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,Corinthians,Giuliano,1.0,5.0,5.0,,2.0,4.0,,,,,,,,,,,,,,
30,262,15,11,Everton Augusto de Barros Ribeiro,4,51772,everton-ribeiro,4.27,,8.73,7,E. Ribeiro,-1.28,-0.1,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,Flamengo,Everton Ribeiro,1.0,11.0,8.0,2.0,3.0,13.0,2.0,1.0,,2.0,,,,,,,,,,
31,282,15,2,Réver Humberto Alves Araújo,3,52253,rever,4.85,,4.52,6,Réver,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,Atlético-MG,Réver,1.0,,1.0,,,,,,2.0,,,,,,,,,,,
32,262,15,10,David Luiz Moreira Marinho,3,52827,david-luiz,4.35,,7.54,7,D. Luiz,0.67,5.2,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,Flamengo,David Luiz,1.0,9.0,12.0,1.0,2.0,3.0,1.0,,4.0,1.0,,,,,,,,,,
33,267,15,14,Alex Teixeira Santos,4,60793,alex-teixeira,2.7,,6.0,6,A. Teixeira,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,Vasco,Alex Teixeira,1.0,6.0,20.0,5.0,10.0,19.0,,8.0,,3.0,,,,,,,,,,
34,327,15,12,Felipe Azevedo dos Santos,5,60825,felipe-azevedo,2.45,,4.66,6,F. Azevedo,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,América-MG,Felipe Azevedo,,7.0,11.0,3.0,5.0,12.0,1.0,1.0,,,1.0,,,,,,,,,
35,1371,15,1,Uendel Pereira Gonçalves,2,60852,uendel,0.0,,2.87,6,Uendel,0.0,0.0,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,Cuiabá,Uendel,,,,,,,,,,,,,,,,,,,,
36,265,15,7,Neuciano de Jesus Gusmão,2,61106,cicinho,3.82,,3.83,7,Cicinho,-0.12,1.4,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,Bahia,Cicinho,3.0,13.0,18.0,1.0,1.0,9.0,,,2.0,,1.0,,,,,,,,,
37,283,15,14,Gilberto Oliveira Souza Júnior,5,61188,gilberto,3.81,,8.29,6,Gilberto,-0.14,0.8,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,Cruzeiro,Gilberto,2.0,5.0,12.0,5.0,18.0,8.0,3.0,4.0,,1.0,,,,,,,,,,
38,266,15,1,Alan Douglas Borges de Carvalho,5,62969,alan,8.0,,5.29,6,Alan,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_cj8zcro.png,Fluminense,Alan,,,,,,,1.0,,,,,,,,,,,,,
39,266,15,12,Paulo Henrique Chagas de Lima,4,62977,ganso,4.91,,10.47,7,Ganso,-0.75,-0.4,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,Fluminense,Ganso,2.0,9.0,7.0,2.0,1.0,20.0,3.0,1.0,,3.0,,,,,,,,,,
40,275,15,3,Marcos Luis Rocha Aquino,2,63013,marcos-rocha,4.73,,5.68,7,M. Rocha,0.56,7.6,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,Palmeiras,Marcos Rocha,,7.0,4.0,,,4.0,,,1.0,,,,,,,,,,,
41,294,15,2,Fransérgio Rodrigues Barbosa,4,63024,fransergio,2.4,,4.46,6,Fransérgio,0.1,2.5,https://s.sde.globo.com/media/person_role/2023/06/28/photo_FORMATO_Flndyd5.png,Coritiba,Fransérgio,,2.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,
42,294,15,3,Willian Roberto Farias,4,63058,willian-farias,2.43,,3.8,6,W. Farias,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,Coritiba,Willian Farias,1.0,6.0,3.0,,,4.0,,,,,,,,,,,,,,
43,282,15,14,Edenílson Andrade dos Santos,4,63289,edenilson,2.15,,5.38,7,Edenílson,0.14,3.0,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,Atlético-MG,Edenílson,,15.0,11.0,1.0,1.0,7.0,,,,2.0,,,,,,,,,,
44,285,15,7,Rodrigo Modesto da Silva Moledo,3,63354,rodrigo-moledo,1.26,,2.82,3,R. Moledo,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,Internacional,Rodrigo Moledo,3.0,4.0,2.0,1.0,,3.0,,1.0,1.0,,,,,,,,,,,
