,atletas.posicao_id,atletas.foto,atletas.nome,atletas.variacao_num,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.apelido_abreviado,atletas.pontos_num,atletas.status_id,atletas.slug,atletas.apelido,atletas.media_num,atletas.clube.id.full.name,atletas.atleta_id,CA,DS,FC,FF,FS,PC,SG,A,FD,G,I,CV,PS,FT,DE,GS,V,DP,PP,GC
44,3,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,Rodrigo Modesto da Silva Moledo,0.0,285,2.82,13,-0.51,7,R. Moledo,0.0,6,rodrigo-moledo,Rodrigo Moledo,1.26,Internacional,63354,3.0,4.0,2.0,,3.0,,1.0,,1.0,,1.0,,,,,,,,,
45,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,Alan Patrick Lourenço,-0.9,285,8.15,13,-0.69,11,A. Patrick,-1.0,3,alan-patrick,Alan Patrick,2.71,Internacional,68685,3.0,4.0,7.0,4.0,24.0,,,2.0,4.0,,,,,,,,,,,
46,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,Carlos Eduardo de Oliveira Alves,-0.18,263,12.37,13,1.69,11,Eduardo,2.7,7,eduardo,Eduardo,4.82,Botafogo,68708,3.0,8.0,16.0,1.0,28.0,,,3.0,2.0,2.0,,,,1.0,,,,,,
47,2,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qpaSZSL.png,José Rodolfo Pires Ribeiro,0.0,282,3.94,13,4.95,1,Dodô,0.0,6,dodo,Dodô,2.2,Atlético-MG,68727,,1.0,,,2.0,,,,,,,,,,,,,,,
48,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,Guilherme de Aguiar Camacho,0.0,277,1.91,13,0.18,5,Camacho,0.0,6,camacho,Camacho,1.06,Santos,68770,1.0,10.0,12.0,,2.0,,,,,,1.0,1.0,,,,,,,,
49,5,https://s.sde.globo.com/media/person_role/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,Henrique Almeida Caixeta Nascentes,0.0,327,3.37,13,0.9,3,H. Almeida,0.0,6,henrique-almeida,Henrique Almeida,1.17,América-MG,68773,,,3.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,
50,1,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,Marcelo Lomba do Nascimento,0.0,275,5.89,13,7.91,1,M. Lomba,0.0,6,marcelo-lomba,Marcelo Lomba,1.0,Palmeiras,68872,,,,,,,,,,,,,,,2.0,1.0,,,,
51,5,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,Wellington Alves da Silva,0.24,1371,3.76,13,1.53,12,W. Silva,2.4,7,wellington-silva,Wellington Silva,1.69,Cuiabá,68895,1.0,9.0,6.0,3.0,15.0,,,,2.0,,2.0,,,,,,,,,
52,5,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,Vinicius Santos Silva,0.0,290,7.3,13,2.1,6,Vinicius,0.0,6,vinicius,Vinicius,3.58,Goiás,68917,1.0,9.0,4.0,6.0,7.0,,,,4.0,,2.0,,,,,,,,,
53,5,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,Eduardo Pereira Rodrigues,0.0,275,14.65,13,1.84,12,Dudu,0.0,7,dudu,Dudu,5.85,Palmeiras,68920,,5.0,7.0,9.0,34.0,,,3.0,7.0,2.0,3.0,,,1.0,,,,,,
54,3,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,Carlos Gilberto do Nascimento Silva,-0.05,264,4.55,13,0.74,12,Gil,1.2,7,gil,Gil,2.07,Corinthians,68923,4.0,12.0,13.0,4.0,3.0,,2.0,,3.0,,,,,,,,,,,
55,1,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,Rafael Pires Monteiro,1.15,276,8.49,13,4.5,13,Rafael,7.0,7,rafael,Rafael,3.61,São Paulo,68928,,,,,2.0,,4.0,,,,,,,,39.0,13.0,,,,
56,1,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,Rafael Cabral Barbosa,-0.41,283,10.94,13,5.13,13,R. Cabral,8.0,7,rafael-cabral,Rafael Cabral,4.52,Cruzeiro,68940,1.0,1.0,,,1.0,,5.0,,,,,,,,44.0,11.0,,,,
57,3,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,Luciano Castán da Silva,0.97,283,6.35,13,3.98,12,L. Castán,6.2,7,luciano-castan,Luciano Castán,2.88,Cruzeiro,68942,3.0,11.0,10.0,1.0,11.0,,4.0,,1.0,,1.0,,,,,,,,,
58,5,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,Mário Sérgio Santos Costa,0.0,356,2.92,13,-0.24,4,Marinho,0.0,6,marinho,Marinho,0.67,Fortaleza,68952,1.0,2.0,2.0,1.0,,,,,1.0,,1.0,,,,,,,,,
59,4,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,Lucas Pacheco Affini,0.0,356,6.08,13,-1.61,7,L. Sasha,0.0,6,lucas-sasha,Lucas Sasha,3.33,Fortaleza,68991,1.0,19.0,10.0,2.0,6.0,,,,,,1.0,,,,,,,,,
60,1,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,João Carlos Heidemann,0.0,1371,3.0,13,3.96,0,J. Carlos,0.0,6,joao-carlos,João Carlos,0.0,Cuiabá,69010,,,,,,,,,,,,,,,,,,,,
61,1,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,Aderbar Melo dos Santos Neto,0.0,262,9.47,13,7.75,6,Santos,0.0,6,santos,Santos,3.25,Flamengo,69012,,,,,1.0,,2.0,,,,,,,,17.0,8.0,,,,
62,3,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,Manoel Messias Silva Carvalho,0.0,266,5.19,13,2.85,6,Manoel,0.0,3,manoel,Manoel,1.97,Fluminense,69014,1.0,3.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,
63,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,Marcelo Cirino da Silva,-0.18,293,3.38,13,-0.01,2,M. Cirino,0.0,6,marcelo-cirino,Marcelo Cirino,0.0,Athlético-PR,69022,,,,,,,,,,,,,,,,,,,,
64,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,José Paulo Bezerra Maciel Júnior,0.0,264,4.5,13,4.66,4,Paulinho,0.0,5,paulinho,Paulinho,2.1,Corinthians,69034,,6.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
65,1,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,Vladimir Orlando Cardoso de Araújo Filho,0.0,277,4.0,13,5.38,0,Vladimir,0.0,6,vladimir,Vladimir,0.0,Santos,69040,,,,,,,,,,,,,,,,,,,,
66,1,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,Danilo Fernandes Batista,0.0,265,4.64,13,5.21,1,D. Fernandes,0.0,5,danilo-fernandes,Danilo Fernandes,7.0,Bahia,69051,1.0,,,,,,,,,,,,,,7.0,,,,,
67,5,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,Eduardo Jesús Vargas Rojas,0.05,282,4.47,13,0.62,9,Vargas,1.0,6,vargas,Vargas,1.63,Atlético-MG,69102,2.0,3.0,5.0,2.0,3.0,,,,2.0,1.0,,,1.0,,,,,,,
68,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,Pablo Felipe Teixeira,0.0,293,11.51,13,3.11,8,Pablo,0.0,6,pablo,Pablo,5.0,Athlético-PR,69138,2.0,10.0,8.0,8.0,9.0,,,2.0,3.0,1.0,1.0,,,,,,,,,
69,3,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,Pablo Nascimento Castro,0.0,262,5.0,13,6.8,0,Pablo,0.0,6,pablo,Pablo,0.0,Flamengo,69165,,,,,,,,,,,,,,,,,,,,
70,3,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,Sidimar Fernando Cigolini,0.0,290,2.61,13,2.63,6,Sidimar,0.0,6,sidimar,Sidimar,1.45,Goiás,69189,1.0,3.0,4.0,2.0,5.0,,1.0,,1.0,,,,,,,,,,,1.0
71,5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,Luis Alberto Suárez Díaz,-2.04,284,14.93,13,1.89,11,L. Suárez,3.1,2,luis-suarez,Luis Suárez,8.92,Grêmio,69318,2.0,8.0,12.0,15.0,25.0,,,3.0,13.0,4.0,10.0,,,4.0,,,,,1.0,
72,4,https://s.sde.globo.com/media/person_role/2023/04/02/photo_220x220_AyFyEWO.png,Charles Mariano Aránguiz Sandoval,-2.49,285,7.51,13,1.42,1,Aránguiz,2.2,6,aranguiz,Aránguiz,2.2,Internacional,69325,,1.0,2.0,2.0,,,,,,,,,,,,,,,,
73,4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_dBcN4Gz.png,Arturo Erasmo Vidal Pardo,0.0,262,5.71,13,-1.32,6,Vidal,0.0,5,vidal,Vidal,2.32,Flamengo,69375,2.0,5.0,4.0,4.0,5.0,,,,2.0,,,,,1.0,,,,,,
74,4,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,Maycon Vinícius Ferreira da Cruz,0.0,283,3.48,13,2.49,5,Nikão,0.0,6,nikao,Nikão,0.3,Cruzeiro,69705,1.0,2.0,4.0,,3.0,,,,,,2.0,,,,,,,,,
75,4,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_2gvVYzL.png,Fellipe Ramos Ignez Bastos,0.0,290,3.3,13,4.54,1,F. Bastos,0.0,6,fellipe-bastos,Fellipe Bastos,-1.0,Goiás,70116,1.0,,,,,,,,,,,,,,,,,,,
76,2,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,Rafael Pereira da Silva,0.12,263,6.7,13,4.88,9,Rafael,7.6,5,rafael,Rafael,5.16,Botafogo,70171,2.0,22.0,12.0,,5.0,,5.0,,1.0,,,1.0,,,,,,,,
77,2,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,Fábio Pereira da Silva,0.0,284,4.63,13,2.37,4,Fábio,0.0,5,fabio,Fábio,2.75,Grêmio,70172,,4.0,2.0,1.0,2.0,,,1.0,,,,,,,,,,,,
78,3,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,Bruno Uvini,-0.28,284,3.24,13,1.14,9,B. Uvini,1.8,7,bruno-uvini,Bruno Uvini,2.06,Grêmio,70221,3.0,4.0,5.0,2.0,6.0,1.0,,,3.0,1.0,,,,1.0,,,,,,
79,5,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,Eduardo Colcenti Antunes,-0.2,280,12.63,13,6.79,13,E. Sasha,10.6,7,eduardo-sasha,Eduardo Sasha,6.35,Bragantino,70360,2.0,6.0,10.0,3.0,17.0,,,2.0,5.0,6.0,5.0,,,2.0,,,,,,
80,1,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ovYbvXA.png,Gabriel Vasconcelos Ferreira - Vasconcellos,1.89,294,5.47,13,6.46,12,Gabriel,10.0,3,gabriel,Gabriel,2.5,Coritiba,70449,3.0,,,,,,1.0,1.0,,,,,,,48.0,25.0,,,,
81,3,https://s.sde.globo.com/media/person_role/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,Marllon Gonçalves Jerônimo Borges,0.95,1371,7.71,13,4.49,12,Marllon,7.0,7,marllon,Marllon,3.6,Cuiabá,70666,3.0,13.0,8.0,3.0,7.0,1.0,3.0,1.0,,1.0,,,,,,,,,,
82,5,https://s.sde.globo.com/media/person_role/2023/06/12/photo_FORMATO_M7ylRRT.png,Enner Remberto Valencia Lastra,0.0,285,12.0,13,16.74,0,E. Valencia,0.0,6,enner-valencia,Enner Valencia,0.0,Internacional,70788,,,,,,,,,,,,,,,,,,,,
83,6,https://s.sde.globo.com/media/person_role/2023/04/17/photo_FORMATO_Fp5qEri.png,Jorge Sampaoli,0.58,262,12.31,13,5.93,12,J. Sampaoli,9.25,7,jorge-sampaoli,Jorge Sampaoli,6.37,Flamengo,70800,,,,,,,,,,,,,,,,,7.0,,,
