,atletas.jogos_num,atletas.preco_num,atletas.pontos_num,atletas.status_id,atletas.posicao_id,atletas.apelido,atletas.atleta_id,atletas.rodada_id,atletas.apelido_abreviado,atletas.foto,atletas.slug,atletas.clube_id,atletas.nome,atletas.clube.id.full.name,atletas.variacao_num,atletas.minimo_para_valorizar,atletas.media_num,DS,FC,FS,CA,FD,FF,G,I,SG,V,DE,GS,DP,A,FT,PS,GC,PC,CV,PP
20,1,6.45,0.0,6,3,David Braz,50317,3,D. Braz,https://s.sde.globo.com/media/person_role/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,david-braz,266,David Braz de Oliveira Filho,Fluminense,0.0,,5.0,,,,,,,,,1.0,,,,,,,,,,,
21,0,6.0,0.0,6,5,Alan Kardec,50347,3,A. Kardec,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,alan-kardec,282,Alan Kardec de Sousa Pereira Júnior,Atlético-MG,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
22,3,5.33,1.8,7,3,Titi,50353,3,Titi,https://s.sde.globo.com/media/person_role/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png,titi,356,Christian Chagas Tarouco,Fortaleza,-0.31,,2.97,2.0,1.0,2.0,,,1.0,,,1.0,,,,,,,,,,,
23,3,5.41,2.86,7,6,Emerson Ávila,50456,3,E. Ávila,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_dFLXQrB.png,emerson-avila,290,Emerson Rodrigues Ávila,Goiás,0.09,,3.59,,,,,,,,,,1.0,,,,,,,,,,
24,0,4.0,0.0,6,3,Henrique,50856,3,Henrique,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,henrique,294,Henrique Adriano Buss,Coritiba,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
25,2,5.87,-0.1,7,2,Apodi,51042,3,Apodi,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,apodi,290,Luiz Diallison de Souza Alves,Goiás,-1.25,,4.75,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,
26,3,4.86,2.0,7,1,Walter,51413,3,Walter,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,walter,1371,Walter Leandro Capeloza Artune,Cuiabá,0.06,,1.33,,,,,,,,,,,9.0,5.0,,,,,,,,
27,3,3.06,-1.3,7,4,Giuliano,51548,3,Giuliano,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,giuliano,264,Giuliano Victor de Paula,Corinthians,-1.0,,0.6,2.0,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
28,3,8.81,5.4,7,4,Everton Ribeiro,51772,3,E. Ribeiro,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,everton-ribeiro,262,Everton Augusto de Barros Ribeiro,Flamengo,0.6,,3.23,1.0,4.0,3.0,,2.0,1.0,,,,,,,,1.0,,,,,,
29,0,3.79,-1.0,6,3,Réver,52253,3,Réver,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,rever,282,Réver Humberto Alves Araújo,Atlético-MG,-2.21,,-1.0,,,,1.0,,,,,,,,,,,,,,,,
30,1,5.99,1.6,7,3,David Luiz,52827,3,D. Luiz,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,david-luiz,262,David Luiz Moreira Marinho,Flamengo,-2.01,,1.6,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
31,3,6.19,2.5,7,4,Alex Teixeira,60793,3,A. Teixeira,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,alex-teixeira,267,Alex Teixeira Santos,Vasco,-0.24,,3.27,2.0,6.0,3.0,,1.0,2.0,,1.0,,,,,,1.0,,,,,,
32,3,3.72,0.0,2,5,Felipe Azevedo,60825,3,F. Azevedo,https://s.sde.globo.com/media/person_role/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,felipe-azevedo,327,Felipe Azevedo dos Santos,América-MG,-0.61,,0.93,1.0,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
