,atletas.atleta_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.nome,atletas.apelido_abreviado,atletas.apelido,atletas.clube_id,atletas.jogos_num,atletas.foto,atletas.media_num,atletas.slug,atletas.clube.id.full.name,atletas.variacao_num,atletas.preco_num,atletas.posicao_id,atletas.status_id,A,DS,FC,FD,FF,FS,I,SG,DE,GS,FT,G,PP,CA,CV,DP,V,PS,GC,PC
20,50317,0.0,,4,David Braz de Oliveira Filho,D. Braz,David Braz,266,1,https://s.sde.globo.com/media/person_role/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,5.0,david-braz,Fluminense,0.0,6.45,3,6,,,,,,,,1.0,,,,,,,,,,,,
21,50347,0.0,,4,Alan Kardec de Sousa Pereira Júnior,A. Kardec,Alan Kardec,282,0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,0.0,alan-kardec,Atlético-MG,0.0,6.0,5,6,,,,,,,,,,,,,,,,,,,,
22,50353,3.3,,4,Christian Chagas Tarouco,Titi,Titi,356,4,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,3.05,titi,Fortaleza,0.41,5.74,3,7,,5.0,2.0,,1.0,2.0,,1.0,,,,,,,,,,,,
23,50456,3.43,,4,Emerson Rodrigues Ávila,E. Ávila,Emerson Ávila,290,4,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_dFLXQrB.png,3.55,emerson-avila,Goiás,0.38,5.79,6,7,,,,,,,,,,,,,,,,,1.0,,,
24,50856,2.5,,4,Henrique Adriano Buss,Henrique,Henrique,294,1,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,2.5,henrique,Coritiba,-0.52,3.48,3,6,,2.0,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,
25,51042,1.2,,4,Luiz Diallison de Souza Alves,Apodi,Apodi,290,3,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,3.57,apodi,Goiás,-0.03,5.84,2,6,,1.0,,1.0,,1.0,2.0,,,,,1.0,,,,,,,,
26,51413,2.0,,4,Walter Leandro Capeloza Artune,Walter,Walter,1371,4,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,1.5,walter,Cuiabá,0.0,4.86,1,7,,,,,,,,,12.0,6.0,,,,,,,,,,
27,51548,0.0,,4,Giuliano Victor de Paula,Giuliano,Giuliano,264,3,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,0.6,giuliano,Corinthians,0.0,3.06,4,2,,2.0,3.0,,1.0,1.0,,,,,,,,1.0,,,,,,
28,51772,5.1,,4,Everton Augusto de Barros Ribeiro,E. Ribeiro,Everton Ribeiro,262,4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,3.7,everton-ribeiro,Flamengo,0.28,9.09,4,7,1.0,4.0,4.0,2.0,1.0,6.0,,,,,,,,,,,,,,
29,52253,0.0,,4,Réver Humberto Alves Araújo,Réver,Réver,282,0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,-1.0,rever,Atlético-MG,0.0,3.79,3,6,,,,,,,,,,,,,,1.0,,,,,,
30,52827,0.0,,4,David Luiz Moreira Marinho,D. Luiz,David Luiz,262,1,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,1.6,david-luiz,Flamengo,0.0,5.99,3,6,,1.0,2.0,1.0,1.0,,,,,,,,,1.0,,,,,,
31,60793,4.9,,4,Alex Teixeira Santos,A. Teixeira,Alex Teixeira,267,4,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,3.68,alex-teixeira,Vasco,0.73,6.92,4,7,2.0,3.0,10.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,
32,60825,1.6,,4,Felipe Azevedo dos Santos,F. Azevedo,Felipe Azevedo,327,4,https://s.sde.globo.com/media/person_role/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,1.1,felipe-azevedo,América-MG,0.15,3.87,5,7,,1.0,3.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,
33,60852,0.0,,4,Uendel Pereira Gonçalves,Uendel,Uendel,1371,0,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,0.0,uendel,Cuiabá,0.0,4.0,2,6,,,,,,,,,,,,,,,,,,,,
34,61106,0.0,,4,Neuciano de Jesus Gusmão,Cicinho,Cicinho,265,0,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,0.0,cicinho,Bahia,0.0,4.0,2,2,,,,,,,,,,,,,,,,,,,,
35,61188,4.3,,4,Gilberto Oliveira Souza Júnior,Gilberto,Gilberto,283,4,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,4.47,gilberto,Cruzeiro,-0.34,8.23,5,7,,2.0,6.0,1.0,9.0,4.0,1.0,,,,,1.0,,1.0,,,,,,
36,62969,0.0,,4,Alan Douglas Borges de Carvalho,Alan,Alan,266,1,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_DUu9QkT.png,8.0,alan,Fluminense,0.0,5.29,5,6,,,,,,,,,,,,1.0,,,,,,,,
37,62977,5.1,,4,Paulo Henrique Chagas de Lima,Ganso,Ganso,266,4,https://s.sde.globo.com/media/person_role/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,5.4,ganso,Fluminense,0.24,11.16,4,7,2.0,5.0,1.0,2.0,,7.0,,,,,,,,,,,,,,
38,63013,0.0,,4,Marcos Luis Rocha Aquino,M. Rocha,Marcos Rocha,275,1,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,4.7,marcos-rocha,Palmeiras,0.0,6.26,2,5,,4.0,2.0,,,1.0,,,,,,,,,,,,,,
39,63058,2.6,,4,Willian Roberto Farias,W. Farias,Willian Farias,294,3,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,2.43,willian-farias,Coritiba,0.02,3.8,4,7,,6.0,3.0,,,4.0,,,,,,,,1.0,,,,,,
40,63289,1.2,,4,Edenílson Andrade dos Santos,Edenílson,Edenílson,282,4,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,2.77,edenilson,Atlético-MG,-0.54,5.55,4,6,1.0,4.0,3.0,1.0,,2.0,,,,,,,,,,,,,,
41,63354,-0.8,,4,Rodrigo Modesto da Silva Moledo,R. Moledo,Rodrigo Moledo,285,2,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,0.15,rodrigo-moledo,Internacional,-1.26,2.68,3,6,,2.0,2.0,,,1.0,,,,,,,,2.0,,,,,,
42,68685,1.5,,4,Alan Patrick Lourenço,A. Patrick,Alan Patrick,285,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,3.2,alan-patrick,Internacional,-0.29,9.89,4,7,1.0,2.0,3.0,1.0,2.0,9.0,,,,,,,,1.0,,,,,,
43,68708,1.2,,4,Carlos Eduardo de Oliveira Alves,Eduardo,Eduardo,263,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,5.6,eduardo,Botafogo,-1.27,13.26,4,7,2.0,2.0,6.0,,1.0,8.0,,,,,,1.0,,1.0,,,,,,
44,68727,0.0,,4,José Rodolfo Pires Ribeiro,Dodô,Dodô,282,0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qpaSZSL.png,0.0,dodo,Atlético-MG,0.0,5.0,2,6,,,,,,,,,,,,,,,,,,,,
45,68770,5.0,,4,Guilherme de Aguiar Camacho,Camacho,Camacho,277,2,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,2.15,camacho,Santos,0.46,3.23,4,7,,5.0,4.0,,,1.0,,,,,,,,1.0,,,,,,
46,68773,0.0,,4,Henrique Almeida Caixeta Nascentes,H. Almeida,Henrique Almeida,327,2,https://s.sde.globo.com/media/person_role/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,1.45,henrique-almeida,América-MG,0.0,4.23,5,6,,,3.0,,1.0,,,,,,1.0,,,,,,,,,
47,68808,-0.3,,4,Severino do Ramo Clementino da Silva,N. Paraíba,Nino Paraíba,327,4,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_LO6uOVK.png,1.2,nino-paraiba,América-MG,-0.58,3.73,2,2,,3.0,4.0,1.0,1.0,5.0,1.0,,,,,,,1.0,,,,,,1.0
48,68872,0.0,,4,Marcelo Lomba do Nascimento,M. Lomba,Marcelo Lomba,275,0,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,0.0,marcelo-lomba,Palmeiras,0.0,8.0,1,6,,,,,,,,,,,,,,,,,,,,
49,68895,0.0,,4,Wellington Alves da Silva,W. Silva,Wellington Silva,1371,3,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,0.57,wellington-silva,Cuiabá,-0.44,2.95,5,6,,1.0,,,,1.0,,,,,,,,,,,,,,
50,68911,0.0,,4,Diego Souza de Andrade,D. Souza,Diego Souza,284,0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_rWsMyzy.png,0.0,diego-souza,Grêmio,0.0,7.0,5,5,,,,,,,,,,,,,,,,,,,,
51,68917,2.2,,4,Vinicius Santos Silva,Vinicius,Vinicius,290,4,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,4.95,vinicius,Goiás,-0.42,8.79,5,7,,8.0,3.0,4.0,5.0,5.0,2.0,,,,,,,,,,,,,
52,68920,10.2,,4,Eduardo Pereira Rodrigues,Dudu,Dudu,275,4,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,7.75,dudu,Palmeiras,1.47,16.71,5,7,2.0,3.0,2.0,2.0,2.0,6.0,,,,,1.0,1.0,,,,,,,,
53,68923,0.9,,4,Carlos Gilberto do Nascimento Silva,Gil,Gil,264,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,1.1,gil,Corinthians,-0.28,4.42,3,7,,3.0,4.0,1.0,1.0,,,,,,,,,,,,,,,
54,68928,8.0,,4,Rafael Pires Monteiro,Rafael,Rafael,276,4,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,5.25,rafael,São Paulo,1.64,8.4,1,7,,,,,,,,2.0,14.0,3.0,,,,,,,,,,
55,68940,1.0,,4,Rafael Cabral Barbosa,R. Cabral,Rafael Cabral,283,4,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,6.87,rafael-cabral,Cruzeiro,-1.44,10.92,1,7,,,,,,1.0,,2.0,20.0,3.0,,,,,,,,,,
56,68942,1.6,,4,Luciano Castán da Silva,L. Castán,Luciano Castán,283,4,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,3.77,luciano-castan,Cruzeiro,-0.47,5.75,3,7,,4.0,5.0,,1.0,4.0,,2.0,,,,,,1.0,,,,,,
57,68952,0.0,,4,Mário Sérgio Santos Costa,Marinho,Marinho,262,4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_eiyBkCZ.png,0.67,marinho,Flamengo,-0.48,2.92,5,6,,2.0,2.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,
58,68991,7.8,,4,Lucas Pacheco Affini,L. Sasha,Lucas Sasha,356,4,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,3.2,lucas-sasha,Fortaleza,1.67,7.25,4,6,,11.0,7.0,,1.0,2.0,1.0,,,,,,,,,,,,,
59,69010,0.0,,4,João Carlos Heidemann,J. Carlos,João Carlos,1371,0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,0.0,joao-carlos,Cuiabá,0.0,3.0,1,6,,,,,,,,,,,,,,,,,,,,
60,69012,1.0,,4,Aderbar Melo dos Santos Neto,Santos,Santos,262,4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,2.37,santos,Flamengo,-0.44,9.04,1,2,,,,,,1.0,,1.0,11.0,7.0,,,,,,,,,,
61,69014,0.0,,4,Manoel Messias Silva Carvalho,Manoel,Manoel,266,1,https://s.sde.globo.com/media/person_role/2022/04/20/2ee72152c5a2da89ec05cb252df58e2b_FORMATO.png,1.2,manoel,Fluminense,0.0,5.86,3,6,,1.0,,,,,,,,,,,,,,,,,,
62,69022,0.0,,4,Marcelo Cirino da Silva,M. Cirino,Marcelo Cirino,293,0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,0.0,marcelo-cirino,Athlético-PR,0.0,5.0,5,5,,,,,,,,,,,,,,,,,,,,
63,69029,3.05,,4,Antônio Carlos Zago,A. Zago,Antônio Carlos Zago,294,2,https://s.sde.globo.com/media/person_role/2019/03/26/3f5495ab6f726a9618084826d55c52f8_220x220.png,4.15,antonio-carlos-zago,Coritiba,0.09,5.58,6,7,,,,,,,,,,,,,,,,,,,,
64,69034,1.2,,4,José Paulo Bezerra Maciel Júnior,Paulinho,Paulinho,264,3,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,1.53,paulinho,Corinthians,-0.11,4.39,4,6,,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
65,69040,0.0,,4,Vladimir Orlando Cardoso de Araújo Filho,Vladimir,Vladimir,277,0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,0.0,vladimir,Santos,0.0,4.0,1,6,,,,,,,,,,,,,,,,,,,,
66,69051,0.0,,4,Danilo Fernandes Batista,D. Fernandes,Danilo Fernandes,265,0,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,0.0,danilo-fernandes,Bahia,0.0,5.0,1,6,,,,,,,,,,,,,,,,,,,,
67,69102,1.2,,4,Eduardo Jesús Vargas Rojas,Vargas,Vargas,282,2,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,0.6,vargas,Atlético-MG,-0.64,4.65,5,6,,1.0,,,,,,,,,,,,,,,,,,
68,69138,2.4,,4,Pablo Felipe Teixeira,Pablo,Pablo,293,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,4.28,pablo,Athlético-PR,-0.11,11.16,5,7,2.0,6.0,6.0,,1.0,6.0,1.0,,,,,,,2.0,,,,,,
69,69165,0.0,,4,Pablo Nascimento Castro,Pablo,Pablo,262,0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,0.0,pablo,Flamengo,0.0,5.0,3,6,,,,,,,,,,,,,,,,,,,,
70,69189,-0.8,,4,Sidimar Fernando Cigolini,Sidimar,Sidimar,290,2,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,0.05,sidimar,Goiás,-0.86,1.66,3,7,,1.0,2.0,1.0,1.0,3.0,,,,,,,,1.0,,,,,1.0,
71,69318,13.3,,4,Luis Alberto Suárez Díaz,L. Suárez,Luis Suárez,284,4,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,5.63,luis-suarez,Grêmio,2.32,14.18,5,7,,3.0,1.0,6.0,3.0,8.0,4.0,,,,1.0,1.0,1.0,1.0,,,,,,
72,69325,0.0,,4,Charles Mariano Aránguiz Sandoval,Aránguiz,Aránguiz,285,0,https://s.sde.globo.com/media/person_role/2023/04/02/photo_220x220_AyFyEWO.png,0.0,aranguiz,Internacional,0.0,10.0,4,5,,,,,,,,,,,,,,,,,,,,
73,69375,0.0,,4,Arturo Erasmo Vidal Pardo,Vidal,Vidal,262,2,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_dBcN4Gz.png,4.2,vidal,Flamengo,0.0,7.23,4,2,,3.0,1.0,,2.0,3.0,,,,,1.0,,,1.0,,,,,,
74,69705,0.0,,4,Maycon Vinícius Ferreira da Cruz,Nikão,Nikão,283,3,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,0.43,nikao,Cruzeiro,0.0,4.56,4,2,,2.0,3.0,,,2.0,2.0,,,,,,,1.0,,,,,,
75,70116,0.0,,4,Fellipe Ramos Ignez Bastos,F. Bastos,Fellipe Bastos,290,0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_2gvVYzL.png,0.0,fellipe-bastos,Goiás,0.0,5.0,4,6,,,,,,,,,,,,,,,,,,,,
76,70171,0.0,,4,Rafael Pereira da Silva,Rafael,Rafael,263,3,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,2.53,rafael,Botafogo,0.0,4.45,2,7,,9.0,4.0,,,2.0,,,,,,,,,1.0,,,,,
77,70172,0.0,,4,Fábio Pereira da Silva,Fábio,Fábio,284,1,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,6.2,fabio,Grêmio,0.0,5.4,2,5,1.0,1.0,,,,,,,,,,,,,,,,,,
78,70221,1.6,,4,Bruno Uvini,B. Uvini,Bruno Uvini,284,2,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,0.8,bruno-uvini,Grêmio,0.2,2.94,3,6,,2.0,1.0,,,1.0,,,,,,,,1.0,,,,,,
79,70360,7.9,,4,Eduardo Colcenti Antunes,E. Sasha,Eduardo Sasha,280,4,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,5.85,eduardo-sasha,Bragantino,1.41,11.14,5,7,,2.0,1.0,,3.0,6.0,1.0,,,,,2.0,,,,,,,,
80,70449,0.0,,4,Gabriel Vasconcelos Ferreira - Vasconcellos,Gabriel,Gabriel,294,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ovYbvXA.png,1.75,gabriel,Coritiba,-0.56,3.83,1,7,,,,,,,,,18.0,10.0,,,,1.0,,,,,,
81,70666,-0.3,,4,Marllon Gonçalves Jerônimo Borges,Marllon,Marllon,1371,4,https://s.sde.globo.com/media/person_role/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,4.63,marllon,Cuiabá,-1.63,6.91,3,7,1.0,4.0,3.0,,2.0,2.0,,,,,,1.0,,1.0,,,,,,
82,70800,3.68,,4,Jorge Sampaoli,J. Sampaoli,Jorge Sampaoli,262,3,https://s.sde.globo.com/media/person_role/2023/04/17/photo_FORMATO_Fp5qEri.png,4.21,jorge-sampaoli,Flamengo,-0.19,9.46,6,7,,,,,,,,,,,,,,,,,,,,
83,70916,0.5,,4,Diogo Barbosa Mendanha,D. Barbosa,Diogo Barbosa,284,4,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_hD7TNLn.png,2.97,diogo-barbosa,Grêmio,-0.41,8.53,2,2,,5.0,3.0,,1.0,4.0,,1.0,,,,,,1.0,,,,,,
84,70986,0.0,,4,Leonardo Cittadini,L. Cittadini,Léo Cittadini,293,2,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_iZBbl8l.png,-0.25,leo-cittadini,Athlético-PR,0.0,2.05,4,5,,,5.0,,,2.0,,,,,,,,,,,,,,
85,71162,-0.8,,4,Vinícius Goes Barbosa de Souza,Vina,Vina,284,4,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_q8oUM9e.png,2.82,vina,Grêmio,-1.55,5.62,4,7,,1.0,2.0,1.0,,7.0,,,,,,1.0,,2.0,,,,,,
86,71227,0.0,,4,Maicon Pereira Roque,Maicon,Maicon,277,0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_NcXdUCj.png,0.0,maicon,Santos,0.0,7.0,3,6,,,,,,,,,,,,,,,,,,,,
87,71571,6.0,,4,Fernando Miguel Kaufmann,F. Miguel,Fernando Miguel,356,4,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_qLr4Pp0.png,5.25,fernando-miguel,Fortaleza,1.13,10.86,1,7,,,,,,,,1.0,20.0,4.0,,,,,,,,,,
88,71631,9.0,,4,Weverton Pereira da Silva,Weverton,Weverton,275,4,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_PN9nfV7.png,2.75,weverton,Palmeiras,1.71,9.97,1,7,,,,,,,,1.0,10.0,4.0,,,,,,,,,,
