,atletas.nome,atletas.jogos_num,atletas.foto,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.atleta_id,atletas.pontos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.status_id,atletas.preco_num,atletas.media_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.clube_id,DS,FF,FS,CA,FC,FD,DE,GS,SG,V,A,FT,I,G,GC,PS,CV,PC,PP,DP,PI
18,Fagner Conserva Lemos,23,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,,31,Corinthians,1.23,42500,9.8,Fagner,2,7,9.03,3.8,True,fagner,Fagner,264,32.0,3.0,32.0,8.0,19.0,1.0,,,7.0,,1.0,1.0,,,,,,,,,
19,Luiz Felipe Scolari,21,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,,31,Atlético-MG,-0.35,43618,6.42,L. Scolari,6,7,11.75,5.46,True,luiz-felipe-scolari,Luiz Felipe Scolari,282,,,,,,,,,,10.0,,,,,,,,,,,
20,Adenor Leonardo Bachi,4,https://s.sde.globo.com/media/person_role/2023/10/09/photo_220x220_KL4MJhP.png,,31,Flamengo,-0.64,45125,2.34,Tite,6,7,10.45,5.09,True,tite,Tite,262,,,,,,,,,,2.0,,,,,,,,,,,
21,Alexandre Rodrigues da Silva,9,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,,31,São Paulo,0.0,49675,0.0,A. Pato,5,6,3.98,1.95,False,alexandre-pato,Alexandre Pato,276,1.0,2.0,4.0,,1.0,1.0,,,,,,,2.0,2.0,,,,,1.0,,
22,David Braz de Oliveira Filho,15,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,,31,Fluminense,0.0,50317,0.0,D. Braz,3,6,5.68,2.85,False,david-braz,David Braz,266,7.0,3.0,6.0,1.0,8.0,2.0,,,6.0,,,,,,,,,,,,
23,Alan Kardec de Sousa Pereira Júnior,12,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,,31,Atlético-MG,0.0,50347,0.0,A. Kardec,5,5,3.91,0.81,False,alan-kardec,Alan Kardec,282,1.0,3.0,3.0,1.0,7.0,,,,,,,,3.0,1.0,,,,,,,
24,Christian Chagas Tarouco,23,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,,31,Fortaleza,0.0,50353,0.0,Titi,3,7,7.21,3.53,False,titi,Titi,356,35.0,3.0,21.0,9.0,26.0,1.0,,,8.0,,1.0,,1.0,,,,,3.0,,,
25,Henrique Adriano Buss,20,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_XiJG6Uj.png,,31,Coritiba,0.18,50856,1.2,Henrique,3,7,2.92,1.24,True,henrique,Henrique,294,12.0,1.0,3.0,5.0,19.0,3.0,,,3.0,,,,,,,,,,,,
26,Luiz Diallison de Souza Alves,11,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,,31,Goiás,0.01,51042,1.2,Apodi,2,6,4.54,2.12,True,apodi,Apodi,290,4.0,1.0,2.0,1.0,6.0,5.0,,,1.0,,,,5.0,1.0,,1.0,,,,,
27,Walter Leandro Capeloza Artune,28,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,,31,Cuiabá,0.0,51413,0.0,Walter,1,7,8.23,3.41,False,walter,Walter,1371,,,3.0,3.0,,,88.0,30.0,8.0,,,,,,,,,1.0,,,
