,atletas.nome,atletas.jogos_num,atletas.foto,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.atleta_id,atletas.pontos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.status_id,atletas.preco_num,atletas.media_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.clube_id,DS,FF,FS,CA,FC,FD,DE,GS,SG,V,A,FT,I,G,GC,PS,CV,PC,PP,DP,PI
191,Luan Guilherme de Jesus Vieira,4,https://s.sde.globo.com/media/person_role/2023/08/01/photo_FORMATO_wWoVCQJ.png,,31,Grêmio,0.0,86759,0.0,Luan,4,6,3.03,0.43,False,luan,Luan,284,1.0,,1.0,,,,,,,,,,,,,,,,,,
192,Danilo Barbosa da Silva,16,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_6wIsdHM.png,,31,Botafogo,-0.28,86777,0.0,D. Barbosa,4,2,4.34,1.65,True,danilo-barbosa,Danilo Barbosa,263,10.0,3.0,15.0,1.0,8.0,,,,,,,,,1.0,,,,,,,
193,Rodrigo Cunha Pereira de Pinho,10,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_vRioSFE.png,,31,Coritiba,0.0,86799,0.0,R. Pinho,5,6,3.27,1.57,False,rodrigo-pinho,Rodrigo Pinho,294,3.0,5.0,10.0,2.0,8.0,4.0,,,,,,1.0,4.0,,,,,,,,
194,Gabriel Boschilia,11,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_f9gTrC7.png,,31,Coritiba,0.0,86841,0.0,Boschilia,4,6,5.85,3.17,False,boschilia,Boschilia,294,8.0,7.0,7.0,1.0,6.0,5.0,,,,,1.0,,,1.0,,,,,,,
195,José Welison da Silva,17,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_Sq4MDcU.png,,31,Fortaleza,0.34,86859,4.2,J. Welison,4,7,4.42,3.43,True,jose-welison,José Welison,356,30.0,10.0,15.0,6.0,26.0,2.0,,,,,2.0,,1.0,1.0,,,,,,,
196,Marlon Matheus Lopes do Nascimento,19,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_hRhEq94.png,,31,América-MG,1.62,86864,10.9,Marlon,2,7,6.98,3.44,True,marlon,Marlon,327,32.0,3.0,26.0,1.0,12.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,
197,Leonardo César Jardim,30,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_2NC7Cvz.png,,31,Vasco,0.54,87008,8.0,L. Jardim,1,7,10.81,3.6,True,leo-jardim,Léo Jardim,267,,,2.0,2.0,,,114.0,42.0,6.0,,,,,,,,,,,1.0,
198,Nathan Allan de Souza,16,https://s.sde.globo.com/media/person_role/2023/04/12/photo_FORMATO_H5UIx66.png,,31,Grêmio,0.0,87009,0.0,Nathan,4,5,4.32,1.78,False,nathan,Nathan,284,12.0,5.0,12.0,2.0,12.0,4.0,,,,,1.0,,1.0,,,,,,,,
199,Pedro Henrique Ribeiro Gonçalves,11,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_Pmz9ta0.png,,31,Athlético-PR,0.0,87225,0.0,P. Henrique,3,6,8.95,3.65,False,pedro-henrique,Pedro Henrique,293,10.0,5.0,5.0,3.0,14.0,1.0,,,4.0,,,,2.0,1.0,,,,,,,
200,Guilherme Antonio Arana Lopes,21,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_6cBmo9F.png,,31,Atlético-MG,-0.6,87228,2.9,G. Arana,2,7,10.37,4.54,True,guilherme-arana,Guilherme Arana,282,29.0,12.0,19.0,1.0,14.0,4.0,,,9.0,,,,,,,,1.0,,,,
201,Carlos María de Pena Bonino,22,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_8NTSnKt.png,,31,Internacional,0.0,87242,0.0,C. Pena,4,6,6.91,2.37,False,carlos-de-pena,Carlos de Pena,285,22.0,10.0,14.0,4.0,19.0,7.0,,,,,,,,2.0,,,1.0,1.0,,,
202,Yeferson Julio Soteldo Martínez,15,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_xCE9nv8.png,,31,Santos,0.36,87258,4.8,Soteldo,5,7,8.73,4.94,True,soteldo,Soteldo,277,9.0,9.0,40.0,3.0,4.0,8.0,,,,,5.0,1.0,3.0,1.0,,1.0,2.0,,,,
203,Walter Kannemann,21,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_q2fTOjY.png,,31,Grêmio,-0.23,87342,-0.8,Kannemann,3,7,7.56,3.4,True,kannemann,Kannemann,284,43.0,2.0,21.0,12.0,35.0,3.0,,,5.0,,1.0,,,,,,1.0,,,,
204,Allano Brendon de Souza Lima,16,https://s.sde.globo.com/media/person_role/2023/08/08/photo_FORMATO_tmBtY58.png,,31,Goiás,1.24,87391,8.1,Allano,5,7,6.56,3.97,True,allano,Allano,290,23.0,8.0,31.0,4.0,21.0,9.0,,,,,,2.0,5.0,1.0,,,,,,,
205,Messias Rodrigues da Silva Júnior,21,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_XWlumea.png,,31,Santos,0.35,87402,2.1,Messias,3,7,6.38,2.48,True,messias,Messias,277,22.0,2.0,8.0,2.0,18.0,3.0,,,5.0,,,,1.0,,,,,1.0,,,
206,Thaciano Mickael da Silva,27,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_dQGg2S1.png,,31,Bahia,0.0,87470,0.0,Thaciano,4,7,11.01,4.39,False,thaciano,Thaciano,265,35.0,24.0,23.0,2.0,26.0,9.0,,,,,3.0,2.0,5.0,3.0,,,,,,,
207,Vitor Frezarin Bueno,24,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_Vn5DBCR.png,,31,Athlético-PR,-0.54,87552,3.9,V. Bueno,4,7,8.24,4.55,True,vitor-bueno,Vitor Bueno,293,12.0,21.0,28.0,7.0,15.0,15.0,,,,,4.0,2.0,4.0,4.0,,,,,,,
208,Mateus Pasinato,10,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_Zcws9I1.png,,31,América-MG,0.0,87603,0.0,M. Pasinato,1,6,3.03,2.6,False,mateus-pasinato,Mateus Pasinato,327,,,2.0,1.0,,,41.0,20.0,1.0,,,,,,,,,,,,
209,Yago Felipe da Costa Rocha,18,https://s.sde.globo.com/media/person_role/2023/03/10/photo_FORMATO.png,,31,Bahia,0.0,87747,0.0,Y. Felipe,4,7,4.74,1.71,False,yago-felipe,Yago Felipe,265,26.0,5.0,17.0,5.0,30.0,1.0,,,,,,,,,,,,,,,
210,Philipe Sampaio Azevedo,10,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_E29teNI.png,,31,Botafogo,0.0,87808,0.5,P. Sampaio,3,7,3.23,2.24,True,philipe-sampaio,Philipe Sampaio,263,6.0,2.0,5.0,2.0,6.0,,,,3.0,,,,1.0,,,,,,,,
211,Paolo Mauricio Lemos Merladett,22,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_oIj0aUq.png,,31,Atlético-MG,-1.11,87853,2.9,M. Lemos,3,7,10.21,4.64,True,mauricio-lemos,Mauricio Lemos,282,33.0,6.0,16.0,9.0,21.0,6.0,,,10.0,,,1.0,2.0,1.0,,,1.0,,,,
212,Giorgian Daniel de Arrascaeta Benedetti,20,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_CaSgg7s.png,,31,Flamengo,-0.53,87863,1.9,Arrascaeta,4,7,12.93,5.41,True,arrascaeta,Arrascaeta,262,20.0,11.0,27.0,3.0,19.0,6.0,,,,,5.0,2.0,4.0,4.0,,1.0,,,,,
213,Alan Pereira Empereur,26,https://s.sde.globo.com/media/person_role/2022/07/20/5db43ec8756f6951151160f78ec748cb_FORMATO.png,,31,Cuiabá,-0.49,88033,0.5,A. Empereur,3,7,4.77,2.47,True,alan-empereur,Alan Empereur,1371,14.0,5.0,12.0,7.0,14.0,3.0,,,7.0,,1.0,,,1.0,1.0,,,,,,
214,Jorge Marco de Oliveira Moraes,0,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_Rnoad6D.png,,31,Fluminense,0.0,88065,0.0,Jorge,2,5,4.0,0.0,False,jorge,Jorge,266,,,,,,,,,,,,,,,,,,,,,
215,Ivan Quaresma da Silva,0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_qStnmUz.png,,31,Vasco,0.0,88136,0.0,Ivan,1,6,5.0,0.0,False,ivan,Ivan,267,,,,,,,,,,,,,,,,,,,,,
216,Washington Omar Aguerre Lima,2,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_HgqxxNH.png,,31,América-MG,0.0,88237,0.0,Aguerre,1,6,1.45,-1.25,False,aguerre,Aguerre,327,,,1.0,1.0,,,2.0,4.0,,,,,,,,,,,,,
217,Ángel Rodrigo Romero Villamayor,15,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_CufTSrv.png,,31,Corinthians,-0.01,88323,1.7,Ã. Romero,5,7,3.56,2.78,True,angel-romero,Ángel Romero,264,7.0,5.0,17.0,1.0,5.0,2.0,,,,,1.0,,1.0,2.0,,,,,,,
218,Gabriel Dias de Oliveira,1,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_SmDR7cT.png,,31,Vasco,0.0,88368,0.0,G. Dias,2,6,2.89,4.0,False,gabriel-dias,Gabriel Dias,267,,,,1.0,,,,,1.0,,,,,,,,,,,,
219,Ayrton Lucas Dantas de Medeiros,27,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_P9K1v1H.png,,31,Flamengo,0.33,88393,4.7,A. Lucas,2,7,14.88,5.65,True,ayrton-lucas,Ayrton Lucas,262,41.0,5.0,38.0,6.0,35.0,5.0,,,10.0,,1.0,1.0,,4.0,,1.0,,,,,
220,Aderlan de Lima Silva,20,https://s.sde.globo.com/media/person_role/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png,,31,Bragantino,0.0,88423,0.0,Aderlan,2,7,8.29,4.39,False,aderlan,Aderlan,280,36.0,4.0,9.0,6.0,31.0,,,,9.0,,1.0,2.0,,,,,1.0,1.0,,,
221,Lucas de Figueiredo Crispim,11,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_EvxhSX5.png,,31,Fortaleza,-0.08,88597,0.0,L. Crispim,4,6,3.24,1.04,True,lucas-crispim,Lucas Crispim,356,3.0,3.0,5.0,,4.0,1.0,,,,,,1.0,1.0,,,,,,,,
222,Islam Slimani,8,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_yTHJHMX.png,,31,Coritiba,-1.04,88744,-3.1,Slimani,5,3,8.33,4.31,True,slimani,Slimani,294,2.0,7.0,10.0,,10.0,6.0,,,,,1.0,,7.0,2.0,,,1.0,,,,
223,Damián Marcelino Moreno,25,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_gNmfi9P.png,,31,Coritiba,0.12,88857,1.4,M. Moreno,4,7,6.0,3.83,True,marcelino-moreno,Marcelino Moreno,294,24.0,6.0,59.0,5.0,17.0,10.0,,,,,4.0,1.0,3.0,1.0,,1.0,,1.0,,,
224,Luan Polli Gomes,4,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_BtY3LFq.png,,31,Coritiba,0.0,88916,0.0,L. Polli,1,5,2.51,0.88,False,luan-polli,Luan Polli,294,,,1.0,2.0,,,12.0,7.0,,,,,,,,,,,,,
225,Iago Justen Maidana Martins,26,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_CEXnMRV.png,,31,América-MG,-0.3,89226,0.2,I. Maidana,3,7,2.21,1.03,True,iago-maidana,Iago Maidana,327,18.0,10.0,6.0,5.0,32.0,4.0,,,1.0,,,,1.0,,,,,1.0,,,
226,Gerson Santos da Silva,25,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_UpueHtq.png,,31,Flamengo,-0.78,89256,-1.3,Gerson,4,3,10.4,4.59,True,gerson,Gerson,262,21.0,8.0,61.0,3.0,36.0,4.0,,,,,5.0,,4.0,5.0,,1.0,1.0,1.0,,,
227,João Pedro Maturano dos Santos,25,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ux7O1sm.png,,31,Grêmio,-0.07,89273,0.0,J. Pedro,2,6,10.2,3.26,True,joao-pedro,João Pedro,284,22.0,2.0,18.0,1.0,18.0,,,,5.0,,1.0,,,3.0,1.0,,,,,,
228,Willian de Asevedo Furtado,25,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_mkEok8F.png,,31,Cruzeiro,-1.73,89275,1.6,William,2,7,10.01,5.51,True,william,William,283,48.0,10.0,36.0,5.0,31.0,3.0,,,11.0,,2.0,,1.0,,,,,,,,
229,Igor Rabello da Costa,6,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_JxE36o1.png,,31,Atlético-MG,0.0,89493,0.0,I. Rabello,3,6,4.0,3.28,False,igor-rabello,Igor Rabello,282,10.0,,1.0,1.0,6.0,,,,2.0,,,,,,,,,,,,
230,Thiago Maia Alencar,27,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_yDq9MVW.png,,31,Flamengo,-0.34,89637,1.1,T. Maia,4,7,5.86,1.72,True,thiago-maia,Thiago Maia,262,46.0,3.0,7.0,5.0,30.0,,,,,,,,,,,,,1.0,,,
231,Jonathan Calleri,18,https://s.sde.globo.com/media/person_role/2022/03/01/3abaa943f1546750dd057d6cb3559ce5_FORMATO.png,,31,São Paulo,0.0,89840,0.0,Calleri,5,5,16.64,6.47,False,calleri,Calleri,276,4.0,13.0,33.0,5.0,37.0,10.0,,,,,2.0,2.0,14.0,9.0,,2.0,,,,,
232,Franco Cristaldo,26,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Sywtl9T.png,,31,Grêmio,-1.59,89846,0.2,Cristaldo,4,7,10.78,4.93,True,cristaldo,Cristaldo,284,25.0,7.0,32.0,,8.0,12.0,,,,,4.0,,4.0,6.0,,2.0,,1.0,1.0,,
233,Douglas Moreira Fagundes,24,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_a0W192c.png,,31,Santos,-0.01,89883,0.9,Dodi,4,6,4.33,1.83,True,dodi,Dodi,277,32.0,4.0,34.0,8.0,35.0,3.0,,,,,,,,,,,,,,,
234,Everton Galdino Moreira,21,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_TtRmr2d.png,,31,Grêmio,-0.18,89918,7.7,E. Galdino,5,6,6.28,2.94,True,everton-galdino,Everton Galdino,284,9.0,11.0,9.0,2.0,9.0,7.0,,,,,2.0,,,3.0,,,,,,,
235,John Stiven Mendoza Valencia,21,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_fdX9HMF.png,,31,Santos,-1.16,90031,1.0,Mendoza,5,6,12.31,5.5,True,mendoza,Mendoza,277,15.0,16.0,48.0,4.0,19.0,7.0,,,,,2.0,1.0,2.0,6.0,,1.0,,,,,
236,Bruno de Jesus Pacheco,23,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_PYjs4Li.png,,31,Fortaleza,0.0,90061,0.0,B. Pacheco,2,7,11.33,6.35,False,bruno-pacheco,Bruno Pacheco,356,46.0,9.0,40.0,3.0,43.0,3.0,,,9.0,,3.0,,,2.0,,,,,,,
237,Eduardo Nascimento da Silva Júnior,6,https://s.sde.globo.com/media/person_role/2023/09/13/photo_FORMATO_o4zQHNu.png,,31,Coritiba,0.0,90120,0.0,Edu,5,6,4.44,2.25,False,edu,Edu,294,1.0,3.0,,,1.0,2.0,,,,,,,2.0,1.0,,,,,,,
238,Raí dos Reis Ramos,5,https://s.sde.globo.com/media/person_role/2023/04/15/photo_FORMATO_p3UWrBW.png,,31,São Paulo,0.0,90232,0.0,R. Ramos,2,6,4.51,3.16,False,rai-ramos,Raí Ramos,276,4.0,2.0,1.0,2.0,5.0,2.0,,,2.0,,,,,,,,,,,,
239,Bruno Henrique Pinto,23,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PsLr2Kh.png,,31,Flamengo,-0.36,90285,-0.5,B. Henrique,5,3,5.82,2.7,True,bruno-henrique,Bruno Henrique,262,15.0,11.0,42.0,6.0,24.0,12.0,,,,,,,8.0,2.0,,1.0,1.0,,,,
240,Jaílson Marques Siqueira,6,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_borikKg.png,,31,Palmeiras,0.0,90290,0.0,Jailson,4,6,3.99,1.47,False,jailson,Jailson,275,6.0,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,
241,Pedro Rocha Neves,1,https://s.sde.globo.com/media/person_role/2022/09/28/photo_FORMATO_wjBokpm.png,,31,Fortaleza,-1.49,90302,-1.3,P. Rocha,5,6,3.51,-1.3,True,pedro-rocha,Pedro Rocha,356,,,,1.0,1.0,,,,,,,,,,,,,,,,
242,David Correa da Fonseca,17,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_zc5jjjt.png,,31,São Paulo,0.08,90309,0.6,David,5,6,3.88,2.34,True,david,David,276,6.0,7.0,12.0,4.0,20.0,5.0,,,,,2.0,,11.0,2.0,,,,,,,
243,Júlio César Rezende de Miranda,25,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_ZCpbjlh.png,,31,Bahia,0.0,90449,0.0,Rezende,4,7,7.32,3.42,False,rezende,Rezende,265,61.0,7.0,20.0,6.0,46.0,2.0,,,,,2.0,,,1.0,,,1.0,1.0,,,
244,Diego Gonçalves,10,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_eh2bZ7u.png,,31,Goiás,0.0,90540,0.0,D. Gonçalves,5,6,1.86,0.96,False,diego-goncalves,Diego Gonçalves,290,3.0,3.0,9.0,1.0,7.0,2.0,,,,,,,1.0,,,,,,,,
245,Mateus Eduardo Claus,1,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_UPFwDzZ.png,,31,Bahia,0.0,90590,0.0,M. Claus,1,6,1.95,-1.0,False,mateus-claus,Mateus Claus,265,,,,,,,1.0,2.0,,,,,,,,,,,,,
246,Lucas da Silva Izidoro,13,https://s.sde.globo.com/media/person_role/2023/07/04/photo_220x220_AlOmB6m.png,,31,Cuiabá,0.21,90634,0.0,L. Mineiro,4,6,2.47,0.66,True,lucas-mineiro,Lucas Mineiro,1371,8.0,4.0,8.0,4.0,14.0,,,,,,,,1.0,,,,,,,,
247,Fabrício Bruno Soares de Faria,26,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_zrQ4flU.png,,31,Flamengo,-1.14,90768,1.2,F. Bruno,3,7,8.75,3.43,True,fabricio-bruno,Fabrício Bruno,262,23.0,2.0,15.0,6.0,11.0,3.0,,,10.0,,1.0,1.0,,,,,,,,,
248,Everaldo Silva do Nascimento,15,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_5VgdyWf.png,,31,América-MG,0.0,91151,0.0,Everaldo,5,6,8.75,4.01,False,everaldo,Everaldo,327,17.0,6.0,24.0,5.0,14.0,3.0,,,,,3.0,2.0,5.0,1.0,,,,,,,
249,Ítaro Patric Cardoso Calmon,12,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_kfJYHxI.png,,31,Cuiabá,-0.76,91190,0.0,PK,2,6,3.33,1.55,True,pk,PK,1371,10.0,2.0,4.0,1.0,10.0,,,,2.0,,,,,,,,1.0,,,,
250,Éder Ferreira Graminho,18,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_ELJqlLk.png,,31,América-MG,0.0,91203,0.0,Éder,3,2,2.19,0.69,False,eder,Éder,327,18.0,1.0,3.0,4.0,18.0,1.0,,,,,,,3.0,,,,1.0,,,,
251,Felipe Ignacio Carballo Ares,16,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_NYg6Ymv.png,,31,Grêmio,0.26,91254,2.4,Carballo,4,2,4.33,2.37,True,carballo,Carballo,284,19.0,6.0,6.0,1.0,11.0,3.0,,,,,,,,1.0,,,,,,,
252,Lucas Estella Perri,30,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_83wBpb6.png,,31,Botafogo,-0.28,91260,-2.0,L. Perri,1,7,11.16,5.35,True,lucas-perri,Lucas Perri,263,,,3.0,1.0,,,112.0,22.0,14.0,,,,,,,,,,,,
253,Marcelo Faria Fernandes,7,https://s.sde.globo.com/media/person_role/2021/04/27/7f50feb3c2bff8d96ced4bd8a038efad_220x220.png,,31,Santos,0.44,91274,4.88,M. Fernandes,6,7,9.49,4.64,True,marcelo-fernandes,Marcelo Fernandes,277,,,,,,,,,,4.0,,,,,,,,,,,
254,Erick Antonio Pulgar Farfán,18,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_xuM4Nls.png,,31,Flamengo,0.0,91473,0.0,E. Pulgar,4,7,3.89,2.72,False,erick-pulgar,Erick Pulgar,262,26.0,6.0,8.0,6.0,34.0,3.0,,,,,,2.0,3.0,2.0,,,,,,,
255,Robert Abel Arboleda Escobar,14,https://s.sde.globo.com/media/person_role/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png,,31,São Paulo,0.98,91573,7.4,Arboleda,3,6,9.14,4.92,True,arboleda,Arboleda,276,21.0,3.0,8.0,,3.0,3.0,,,7.0,,,1.0,4.0,,,,1.0,,,,
256,Ronielson da Silva Barbosa,26,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_eJOedW8.png,,31,Palmeiras,-0.57,91607,-2.4,Rony,5,3,8.25,2.76,True,rony,Rony,275,8.0,14.0,28.0,3.0,20.0,12.0,,,,,,1.0,23.0,4.0,,,,1.0,,,
257,Adryelson Shawann Lima Silva,29,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_3WVFnva.png,,31,Botafogo,-0.47,91664,-2.1,Adryelson,3,3,6.73,3.89,True,adryelson,Adryelson,263,24.0,2.0,15.0,5.0,17.0,4.0,,,14.0,,1.0,,,1.0,,,1.0,,,,
258,Matheus Isaías dos Santos,22,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_vMaiFUT.png,,31,Cruzeiro,-0.04,91689,4.5,M. Jussa,4,7,3.13,1.69,True,matheus-jussa,Matheus Jussa,283,27.0,6.0,7.0,7.0,39.0,6.0,,,,,,,,1.0,,,,,,,
259,Marlon Rodrigues Xavier,27,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO_vrVAWB7.png,,31,Cruzeiro,-1.72,91706,5.6,Marlon,2,7,17.41,8.14,True,marlon,Marlon,283,103.0,10.0,25.0,6.0,28.0,5.0,,,10.0,,2.0,,1.0,3.0,,,,,,,
260,Marcílio Florêncio Mota Filho,21,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_U5c1E7V.png,,31,Fluminense,0.0,91708,0.0,Nino,3,5,10.76,3.48,False,nino,Nino,266,9.0,3.0,22.0,4.0,22.0,3.0,,,8.0,,,1.0,,2.0,,,1.0,,,,
261,Matheus Alves da Silva Cardoso,0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_voSytVs.png,,31,Goiás,0.0,91712,0.0,M. Alves,1,6,2.0,0.0,False,matheus-alves,Matheus Alves,290,,,,,,,,,,,,,,,,,,,,,
262,David de Duarte Macedo,8,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_0ibQkD2.png,,31,Bahia,0.0,91772,0.0,D. Duarte,3,6,5.2,3.6,False,david-duarte,David Duarte,265,6.0,1.0,4.0,1.0,4.0,,,,2.0,,,1.0,,1.0,,,,,,,
263,Hayner Willian Monjardim Cordeiro,6,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_uNyULXz.png,,31,Coritiba,0.0,91856,0.0,Hayner,2,6,2.86,2.17,False,hayner,Hayner,294,3.0,,9.0,3.0,7.0,,,,1.0,,1.0,,,,,,,,,,
264,José Ivaldo Almeida Silva,14,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ZOxQ99E.png,,31,Athlético-PR,0.0,91866,0.0,Z. Ivaldo,3,6,4.69,2.61,False,ze-ivaldo,Zé Ivaldo,293,14.0,1.0,9.0,2.0,19.0,1.0,,,5.0,,,,1.0,,,,1.0,1.0,,,
265,Cristian David Pavón,28,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_U1jXQaU.png,,31,Atlético-MG,0.02,91908,0.5,Pavón,5,6,8.71,4.38,True,pavon,Pavón,282,33.0,21.0,24.0,7.0,19.0,13.0,,,,,5.0,1.0,10.0,3.0,,,,,,,
266,Wesley Oliveira de Carvalho,20,https://s.sde.globo.com/media/person_role/2022/05/05/21d7b4d24237a06ec8872f1ff041e713_FORMATO.png,,31,Athlético-PR,-0.03,91971,3.55,W. Carvalho,6,7,11.68,5.16,True,wesley-carvalho,Wesley Carvalho,293,,,,,,,,,,7.0,,,,,,,,,,,
267,Ramón Ángel Díaz,16,https://s.sde.globo.com/media/person_role/2023/07/15/photo_FORMATO.png,,31,Vasco,0.72,92075,7.57,R. Díaz,6,7,10.37,5.14,True,ramon-diaz,Ramón Díaz,267,,,,,,,,,,6.0,,,,,,,,,,,
268,Caíque Luiz Santos da Purificação,1,https://s.sde.globo.com/media/person_role/2023/08/04/photo_220x220_bq0AF4S.png,,31,Grêmio,0.0,92207,0.0,Caíque,1,6,4.18,8.0,False,caique,Caíque,284,,,,,,,3.0,,1.0,,,,,,,,,,,,
269,Rodrigo Ely,6,https://s.sde.globo.com/media/person_role/2023/08/03/photo_220x220_mGnJe3Z.png,,31,Grêmio,0.0,92237,0.0,R. Ely,3,6,4.6,2.43,False,rodrigo-ely,Rodrigo Ely,284,2.0,,4.0,3.0,6.0,,,,3.0,,,,,,,,,,,,
270,Raul Lô Gonçalves,2,https://s.sde.globo.com/media/person_role/2022/05/05/278a2f0c3cd97ace8138ffbe2f23d81d_FORMATO.png,,31,Bragantino,0.0,92496,0.0,Raul,4,6,3.63,-0.4,False,raul,Raul,280,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
271,Renato Kayzer de Souza,3,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_NWhDcn5.png,,31,América-MG,0.0,92696,0.0,R. Kayzer,5,5,3.23,0.87,False,renato-kayzer,Renato Kayzer,327,,2.0,1.0,,2.0,1.0,,,,,,,1.0,,,,,,,,
272,Deyverson Brum Silva Acosta,28,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_AvLd8xm.png,,31,Cuiabá,0.15,92708,5.0,Deyverson,5,7,9.21,5.49,True,deyverson,Deyverson,1371,11.0,19.0,53.0,4.0,29.0,18.0,,,,,2.0,2.0,27.0,10.0,,1.0,,,1.0,,
273,Bruno Rafael Rodrigues do Nascimento,27,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_xfgmkoy.png,,31,Cruzeiro,-1.69,92811,4.1,B. Rodrigues,5,7,12.57,5.31,True,bruno-rodrigues,Bruno Rodrigues,283,26.0,30.0,47.0,3.0,21.0,15.0,,,,,3.0,2.0,20.0,5.0,,1.0,,,1.0,,
274,Helibelton Palacios Zapata,8,https://s.sde.globo.com/media/person_role/2023/07/05/photo_FORMATO.png,,31,Cruzeiro,-0.16,92855,0.0,Palacios,2,6,3.22,1.83,True,palacios,Palacios,283,9.0,1.0,4.0,3.0,20.0,,,,2.0,,,,,,,,,,,,
