,atletas.clube_id,atletas.rodada_id,atletas.nome,atletas.media_num,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.apelido,atletas.preco_num,atletas.apelido_abreviado,atletas.slug,atletas.clube.id.full.name,atletas.status_id,atletas.variacao_num,atletas.foto,atletas.pontos_num,atletas.posicao_id,atletas.atleta_id,CA,DS,FC,FF,FS,FD,G,I,SG,A,FT,CV,DE,DP,GC,GS,PS,PC,PP,V
11,282,12,Mariano Ferreira Filho,2.64,8,3.35,Mariano,5.98,Mariano,mariano,Atlético-MG,7,0.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JIN8fSy.png,0.0,2,38877,2.0,13.0,14.0,,1.0,1.0,,,2.0,,,,,,,,,,,
12,282,12,Givanildo Vieira de Souza,8.25,11,3.73,Hulk,17.05,Hulk,hulk,Atlético-MG,7,0.06,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,5.9,5,39148,4.0,1.0,16.0,17.0,35.0,14.0,5.0,6.0,,2.0,,,,,,,1.0,,,
13,327,12,Vagner Carmo Mancini,3.69,12,1.81,Vagner Mancini,7.24,V. Mancini,vagner-mancini,América-MG,7,-0.07,https://s.sde.globo.com/media/person_role/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,2.88,6,39850,,,,,,,,,,,,,,,,,,,,2.0
14,276,12,Dorival Silvestre Júnior,5.14,11,0.92,Dorival Júnior,10.41,D. Júnior,dorival-junior,São Paulo,7,-0.49,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,1.55,6,40990,,,,,,,,,,,,,,,,,,,,5.0
15,264,12,Vanderlei Luxemburgo da Silva,4.16,9,1.55,Vanderlei Luxemburgo,7.07,V. Luxemburgo,vanderlei-luxemburgo,Corinthians,7,-0.7,https://s.sde.globo.com/media/person_role/2023/05/02/photo_FORMATO_53uYX2K.png,2.48,6,41327,,,,,,,,,,,,,,,,,,,,2.0
16,284,12,Renato Portaluppi,5.75,12,6.34,Renato Gaúcho,13.37,R. Gaúcho,renato-gaucho,Grêmio,7,0.76,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,9.9,6,41929,,,,,,,,,,,,,,,,,,,,7.0
17,293,12,Willian Gomes de Siqueira,2.8,6,-0.26,Willian,5.03,Willian,willian,Athlético-PR,6,0.0,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,0.0,5,42116,,,,1.0,,,2.0,,,,,,,,,,,,,
18,264,12,Cássio Roberto Ramos,2.29,12,2.88,Cássio,7.15,Cássio,cassio,Corinthians,7,-0.47,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,4.5,1,42234,2.0,,,,3.0,,,,2.0,,,,35.0,,,16.0,,1.0,,
19,264,12,Fagner Conserva Lemos,4.11,10,4.69,Fagner,8.54,Fagner,fagner,Corinthians,7,0.0,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,0.0,2,42500,3.0,16.0,5.0,3.0,12.0,,,,2.0,1.0,1.0,,,,,,,,,
20,282,12,Luiz Felipe Scolari,2.97,2,2.89,Luiz Felipe Scolari,8.99,L. Scolari,luiz-felipe-scolari,Atlético-MG,7,-0.57,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,2.54,6,43618,,,,,,,,,,,,,,,,,,,,
21,276,12,Alexandre Rodrigues da Silva,0.0,0,6.8,Alexandre Pato,5.0,A. Pato,alexandre-pato,São Paulo,6,0.0,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,0.0,5,49675,,,,,,,,,,,,,,,,,,,,
22,266,12,David Braz de Oliveira Filho,2.67,7,1.6,David Braz,5.64,D. Braz,david-braz,Fluminense,7,0.07,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,2.5,3,50317,1.0,3.0,5.0,2.0,2.0,,,,3.0,,,,,,,,,,,
23,282,12,Alan Kardec de Sousa Pereira Júnior,8.7,1,5.64,Alan Kardec,5.95,A. Kardec,alan-kardec,Atlético-MG,6,-0.05,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,8.7,5,50347,,,,1.0,,,1.0,1.0,,,,,,,,,,,,
24,356,12,Christian Chagas Tarouco,5.43,11,3.9,Titi,8.68,Titi,titi,Fortaleza,3,-0.15,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,6.1,3,50353,3.0,21.0,10.0,1.0,9.0,1.0,,,6.0,1.0,,,,,,,,1.0,,
25,294,12,Henrique Adriano Buss,1.13,7,4.24,Henrique,3.51,Henrique,henrique,Coritiba,7,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,0.0,3,50856,2.0,4.0,7.0,,2.0,1.0,,,1.0,,,,,,,,,,,
26,290,12,Luiz Diallison de Souza Alves,2.44,8,1.46,Apodi,5.26,Apodi,apodi,Goiás,6,-0.1,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,2.3,2,51042,1.0,3.0,4.0,,2.0,3.0,1.0,5.0,1.0,,,,,,,,1.0,,,
27,1371,12,Walter Leandro Capeloza Artune,2.42,12,0.28,Walter,5.09,Walter,walter,Cuiabá,7,0.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,0.5,1,51413,1.0,,,,2.0,,,,2.0,,,,36.0,,,16.0,,1.0,,
28,264,12,Giuliano Victor de Paula,0.79,9,2.39,Giuliano,2.97,Giuliano,giuliano,Corinthians,6,0.5,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,3.7,4,51548,1.0,5.0,5.0,2.0,4.0,,,,,,,,,,,,,,,
29,262,12,Everton Augusto de Barros Ribeiro,4.95,8,5.16,Everton Ribeiro,10.04,E. Ribeiro,everton-ribeiro,Flamengo,2,1.29,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,8.0,4,51772,,9.0,7.0,2.0,12.0,2.0,2.0,1.0,,1.0,,,,,,,,,,
30,282,12,Réver Humberto Alves Araújo,4.85,2,3.53,Réver,4.52,Réver,rever,Atlético-MG,6,0.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,0.0,3,52253,1.0,,1.0,,,,,,2.0,,,,,,,,,,,
