,atletas.posicao_id,atletas.foto,atletas.status_id,atletas.apelido_abreviado,atletas.clube_id,atletas.jogos_num,atletas.atleta_id,atletas.pontos_num,atletas.rodada_id,atletas.slug,atletas.media_num,atletas.apelido,atletas.nome,atletas.preco_num,atletas.clube.id.full.name,atletas.variacao_num,atletas.minimo_para_valorizar,A,CA,DS,FC,FD,FF,FS,FT,G,I,SG,CV,PC,PS,DE,GS,PP,DP,GC,V
19,2,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,7,Fagner,264,13,42500,6.9,16,fagner,4.62,Fagner,Fagner Conserva Lemos,8.86,Corinthians,-0.02,,1.0,4.0,21.0,7.0,,3.0,21.0,1.0,,,4.0,,,,,,,,,
20,6,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,7,L. Scolari,282,6,43618,2.25,16,luiz-felipe-scolari,3.37,Luiz Felipe Scolari,Luiz Felipe Scolari,8.84,Atlético-MG,-0.45,,,,,,,,,,,,,,,,,,,,,
21,5,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,6,A. Pato,276,2,49675,0.0,16,alexandre-pato,4.0,Alexandre Pato,Alexandre Rodrigues da Silva,5.09,São Paulo,0.0,,,,,,,,,,1.0,,,,,,,,,,,
22,3,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,6,D. Braz,266,8,50317,0.0,16,david-braz,2.92,David Braz,David Braz de Oliveira Filho,5.99,Fluminense,0.0,,,1.0,3.0,6.0,,2.0,2.0,,,,4.0,,,,,,,,,
23,5,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,6,A. Kardec,282,4,50347,0.4,16,alan-kardec,2.2,Alan Kardec,Alan Kardec de Sousa Pereira Júnior,4.49,Atlético-MG,-0.19,,,1.0,,3.0,,3.0,1.0,,1.0,2.0,,,,,,,,,,
24,3,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,7,Titi,356,14,50353,-1.0,16,titi,4.84,Titi,Christian Chagas Tarouco,7.6,Fortaleza,-0.61,,1.0,4.0,24.0,13.0,1.0,2.0,10.0,,,,7.0,,1.0,,,,,,,
25,3,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,7,Henrique,294,10,50856,6.2,16,henrique,1.38,Henrique,Henrique Adriano Buss,3.64,Coritiba,1.08,,,3.0,6.0,9.0,1.0,,2.0,,,,2.0,,,,,,,,,
26,2,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,6,Apodi,290,9,51042,0.0,16,apodi,2.46,Apodi,Luiz Diallison de Souza Alves,5.29,Goiás,0.0,,,1.0,3.0,6.0,5.0,1.0,2.0,,1.0,5.0,1.0,,,1.0,,,,,,
27,1,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,7,Walter,1371,16,51413,1.0,16,walter,3.12,Walter,Walter Leandro Capeloza Artune,5.78,Cuiabá,-1.36,,,1.0,,,,,2.0,,,,4.0,,1.0,,49.0,18.0,,,,
28,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,2,Giuliano,264,11,51548,2.4,16,giuliano,0.86,Giuliano,Giuliano Victor de Paula,2.75,Corinthians,0.34,,,1.0,7.0,5.0,,2.0,4.0,,,,,,,,,,,,,
29,4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,7,E. Ribeiro,262,12,51772,3.5,16,everton-ribeiro,4.21,Everton Ribeiro,Everton Augusto de Barros Ribeiro,9.29,Flamengo,0.56,,2.0,1.0,12.0,9.0,2.0,5.0,15.0,,2.0,1.0,,,,,,,,,,
30,3,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,6,Réver,282,2,52253,0.0,16,rever,4.85,Réver,Réver Humberto Alves Araújo,4.52,Atlético-MG,0.0,,,1.0,,1.0,,,,,,,2.0,,,,,,,,,
31,3,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,7,D. Luiz,262,11,52827,3.6,16,david-luiz,4.28,David Luiz,David Luiz Moreira Marinho,7.42,Flamengo,-0.12,,1.0,1.0,12.0,12.0,1.0,2.0,3.0,,1.0,,4.0,,,,,,,,,
32,4,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,6,A. Teixeira,267,14,60793,0.0,16,alex-teixeira,2.7,Alex Teixeira,Alex Teixeira Santos,6.0,Vasco,0.0,,3.0,1.0,6.0,20.0,5.0,10.0,19.0,,,8.0,,,,,,,,,,
33,5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,6,F. Azevedo,327,13,60825,8.0,16,felipe-azevedo,2.88,Felipe Azevedo,Felipe Azevedo dos Santos,5.75,América-MG,1.09,,,,7.0,11.0,3.0,5.0,12.0,1.0,2.0,1.0,,,,,,,,,,
34,2,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,6,Uendel,1371,1,60852,0.0,16,uendel,0.0,Uendel,Uendel Pereira Gonçalves,2.87,Cuiabá,0.0,,,,,,,,,,,,,,,,,,,,,
35,2,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,6,Cicinho,265,8,61106,6.2,16,cicinho,4.12,Cicinho,Neuciano de Jesus Gusmão,4.73,Bahia,0.9,,,3.0,13.0,18.0,2.0,1.0,9.0,1.0,,,3.0,,,,,,,,,
36,5,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,7,Gilberto,283,15,61188,2.2,16,gilberto,3.7,Gilberto,Gilberto Oliveira Souza Júnior,8.5,Cruzeiro,0.21,,1.0,3.0,6.0,13.0,5.0,19.0,11.0,,3.0,4.0,,,,,,,,,,
37,5,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_cj8zcro.png,6,Alan,266,1,62969,0.0,16,alan,8.0,Alan,Alan Douglas Borges de Carvalho,5.29,Fluminense,0.0,,,,,,,,,,1.0,,,,,,,,,,,
38,4,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,7,Ganso,266,13,62977,3.0,16,ganso,4.76,Ganso,Paulo Henrique Chagas de Lima,10.97,Fluminense,0.5,,3.0,2.0,10.0,7.0,2.0,2.0,22.0,,3.0,1.0,,,,,,,,,,
39,2,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,7,M. Rocha,275,4,63013,-0.6,16,marcos-rocha,3.4,Marcos Rocha,Marcos Luis Rocha Aquino,4.5,Palmeiras,-1.18,,,,7.0,6.0,,,6.0,,,,1.0,,1.0,,,,,,,
40,4,https://s.sde.globo.com/media/person_role/2023/06/28/photo_FORMATO_Flndyd5.png,6,Fransérgio,294,3,63024,0.5,16,fransergio,1.77,Fransérgio,Fransérgio Rodrigues Barbosa,4.07,Coritiba,-0.39,,,,2.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,
41,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,6,W. Farias,294,3,63058,0.0,16,willian-farias,2.43,Willian Farias,Willian Roberto Farias,3.8,Coritiba,0.0,,,1.0,6.0,3.0,,,4.0,,,,,,,,,,,,,
42,4,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,6,Edenílson,282,14,63289,0.0,16,edenilson,2.15,Edenílson,Edenílson Andrade dos Santos,5.38,Atlético-MG,0.0,,2.0,,15.0,11.0,1.0,1.0,7.0,,,,,,,,,,,,,
43,3,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,3,R. Moledo,285,7,63354,0.0,16,rodrigo-moledo,1.26,Rodrigo Moledo,Rodrigo Modesto da Silva Moledo,2.82,Internacional,0.0,,,3.0,4.0,2.0,1.0,,3.0,,,1.0,1.0,,,,,,,,,
44,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,7,A. Patrick,285,13,68685,0.0,16,alan-patrick,2.29,Alan Patrick,Alan Patrick Lourenço,7.9,Internacional,-0.06,,2.0,4.0,5.0,12.0,4.0,5.0,25.0,,,1.0,,,,,,,,,,
45,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,6,Eduardo,263,13,68708,0.0,16,eduardo,5.7,Eduardo,Carlos Eduardo de Oliveira Alves,14.14,Botafogo,0.0,,3.0,3.0,8.0,19.0,3.0,2.0,30.0,2.0,4.0,,,,,,,,,,,
46,2,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,7,Dodô,277,3,68727,2.9,16,dodo,2.67,Dodô,José Rodolfo Pires Ribeiro,3.84,Santos,0.1,,,,5.0,,,,4.0,,,,,,,,,,,,,
