,atletas.entrou_em_campo,atletas.minimo_para_valorizar,atletas.preco_num,atletas.pontos_num,atletas.jogos_num,atletas.clube.id.full.name,atletas.foto,atletas.atleta_id,atletas.posicao_id,atletas.media_num,atletas.status_id,atletas.variacao_num,atletas.apelido_abreviado,atletas.nome,atletas.clube_id,atletas.slug,atletas.apelido,atletas.rodada_id,CA,DS,FC,FF,FS,G,SG,A,FD,PS,I,CV,PC,FT,PP,DE,GS,GC,V,DP,PI
18,False,,8.19,0.0,17,Corinthians,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,42500,2,3.9,3,0.0,Fagner,Fagner Conserva Lemos,264,fagner,Fagner,25,6.0,23.0,13.0,3.0,24.0,,5.0,1.0,1.0,,,,,1.0,,,,,,,
19,True,,11.49,8.39,15,Atlético-MG,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,43618,6,5.29,7,0.36,L. Scolari,Luiz Felipe Scolari,282,luiz-felipe-scolari,Luiz Felipe Scolari,25,,,,,,,,,,,,,,,,,,,6.0,,
20,False,,3.98,0.0,9,São Paulo,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,49675,5,1.95,6,0.0,A. Pato,Alexandre Rodrigues da Silva,276,alexandre-pato,Alexandre Pato,25,,1.0,1.0,2.0,4.0,2.0,,,1.0,,2.0,,,,1.0,,,,,,
21,True,,5.53,1.0,13,Fluminense,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,50317,3,3.07,7,-0.98,D. Braz,David Braz de Oliveira Filho,266,david-braz,David Braz,25,1.0,6.0,8.0,3.0,5.0,,6.0,,1.0,,,,,,,,,,,,
22,False,,4.12,0.0,10,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,50347,5,1.0,6,0.0,A. Kardec,Alan Kardec de Sousa Pereira Júnior,282,alan-kardec,Alan Kardec,25,1.0,1.0,6.0,3.0,3.0,1.0,,,,,3.0,,,,,,,,,,
23,False,,7.5,0.0,21,Fortaleza,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,50353,3,3.75,6,0.0,Titi,Christian Chagas Tarouco,356,titi,Titi,25,8.0,32.0,25.0,3.0,21.0,,8.0,1.0,1.0,,,,3.0,,,,,,,,
24,True,,3.85,7.0,15,Coritiba,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_XiJG6Uj.png,50856,3,1.54,7,0.94,Henrique,Henrique Adriano Buss,294,henrique,Henrique,25,4.0,10.0,14.0,1.0,2.0,,3.0,,2.0,,,,,,,,,,,,
25,True,,4.53,0.0,10,Goiás,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,51042,2,2.21,6,-0.76,Apodi,Luiz Diallison de Souza Alves,290,apodi,Apodi,25,1.0,3.0,6.0,1.0,2.0,1.0,1.0,,5.0,1.0,5.0,,,,,,,,,,
26,True,,6.85,7.0,24,Cuiabá,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,51413,1,2.92,7,0.98,Walter,Walter Leandro Capeloza Artune,1371,walter,Walter,25,2.0,,,,2.0,,6.0,,,,,,1.0,,,70.0,28.0,,,,
27,True,,2.45,0.2,17,Corinthians,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,51548,4,0.9,7,-0.21,Giuliano,Giuliano Victor de Paula,264,giuliano,Giuliano,25,1.0,10.0,10.0,2.0,9.0,,,,1.0,,,,,,,,,,,,
28,True,,8.68,2.2,20,Flamengo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,51772,4,3.06,7,-0.2,E. Ribeiro,Everton Augusto de Barros Ribeiro,262,everton-ribeiro,Everton Ribeiro,25,2.0,15.0,13.0,5.0,31.0,2.0,,2.0,4.0,,1.0,,1.0,,,,,,,,
29,False,,4.77,0.0,6,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_AItHMX8.png,52253,3,4.2,6,0.0,Réver,Réver Humberto Alves Araújo,282,rever,Réver,25,1.0,,1.0,,1.0,,5.0,,,,,,,,,,,,,,
30,False,,6.45,0.0,14,Flamengo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,52827,3,3.41,6,0.0,D. Luiz,David Luiz Moreira Marinho,262,david-luiz,David Luiz,25,1.0,12.0,14.0,2.0,3.0,1.0,4.0,1.0,2.0,,,,,,,,,,,,
31,True,,5.79,2.2,16,Vasco,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,60793,4,2.56,6,0.09,A. Teixeira,Alex Teixeira Santos,267,alex-teixeira,Alex Teixeira,25,1.0,7.0,21.0,10.0,21.0,,,3.0,6.0,,8.0,,,,,,,,,,
32,False,,6.49,0.0,18,América-MG,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,60825,5,3.75,3,0.0,F. Azevedo,Felipe Azevedo dos Santos,327,felipe-azevedo,Felipe Azevedo,25,2.0,12.0,19.0,6.0,18.0,4.0,,1.0,6.0,,1.0,,,1.0,,,,,,,
33,True,,3.66,5.2,4,Cuiabá,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,60852,2,2.3,7,0.85,Uendel,Uendel Pereira Gonçalves,1371,uendel,Uendel,25,1.0,,1.0,,1.0,,2.0,,,,,,,,,,,,,,
