,atletas.status_id,atletas.apelido_abreviado,atletas.jogos_num,atletas.slug,atletas.entrou_em_campo,atletas.rodada_id,atletas.apelido,atletas.preco_num,atletas.posicao_id,atletas.foto,atletas.media_num,atletas.minimo_para_valorizar,atletas.clube_id,atletas.clube.id.full.name,atletas.atleta_id,atletas.pontos_num,atletas.nome,atletas.variacao_num,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,DE,GS,SG,CV,PC,PS,V,GC,DP,PI
23,7,Titi,20,titi,True,23,Titi,8.03,3,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,3.97,,356,Fortaleza,50353,2.8,Christian Chagas Tarouco,0.17,1.0,7.0,31.0,24.0,1.0,3.0,20.0,,,,,,,8.0,,2.0,,,,,
24,6,Henrique,14,henrique,False,23,Henrique,2.91,3,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_XiJG6Uj.png,1.15,,294,Coritiba,50856,0.0,Henrique Adriano Buss,0.0,,4.0,9.0,14.0,2.0,,2.0,,,,,,,2.0,,,,,,,
25,6,Apodi,9,apodi,False,23,Apodi,5.29,2,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,2.46,,290,Goiás,51042,0.0,Luiz Diallison de Souza Alves,0.0,,1.0,3.0,6.0,5.0,1.0,2.0,,1.0,5.0,,,,1.0,,,1.0,,,,
26,7,Walter,22,walter,True,23,Walter,5.57,1,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,2.82,,1371,Cuiabá,51413,-1.0,Walter Leandro Capeloza Artune,-0.55,,2.0,,,,,2.0,,,,,66.0,27.0,5.0,,1.0,,,,,
27,6,Giuliano,16,giuliano,True,23,Giuliano,2.66,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,0.94,,264,Corinthians,51548,1.4,Giuliano Victor de Paula,0.22,,1.0,10.0,9.0,1.0,2.0,8.0,,,,,,,,,,,,,,
28,2,E. Ribeiro,18,everton-ribeiro,True,23,Everton Ribeiro,8.24,4,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,3.11,,262,Flamengo,51772,-0.8,Everton Augusto de Barros Ribeiro,-0.48,2.0,2.0,14.0,13.0,3.0,5.0,25.0,,2.0,1.0,,,,,,1.0,,,,,
29,6,Réver,5,rever,True,23,Réver,4.55,3,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,3.94,,282,Atlético-MG,52253,5.0,Réver Humberto Alves Araújo,0.81,,1.0,,1.0,,,,,,,,,,4.0,,,,,,,
30,6,D. Luiz,14,david-luiz,True,23,David Luiz,6.45,3,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,3.41,,262,Flamengo,52827,-0.3,David Luiz Moreira Marinho,-0.16,1.0,1.0,12.0,14.0,2.0,2.0,3.0,,1.0,,,,,4.0,,,,,,,
31,6,A. Teixeira,15,alex-teixeira,False,23,Alex Teixeira,5.7,4,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,2.58,,267,Vasco,60793,0.0,Alex Teixeira Santos,0.0,3.0,1.0,6.0,21.0,6.0,10.0,19.0,,,8.0,,,,,,,,,,,
32,6,F. Azevedo,18,felipe-azevedo,True,23,Felipe Azevedo,6.49,5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,3.75,,327,América-MG,60825,8.1,Felipe Azevedo dos Santos,0.16,1.0,2.0,12.0,19.0,6.0,6.0,18.0,1.0,4.0,1.0,,,,,,,,,,,
33,6,Uendel,2,uendel,False,23,Uendel,3.42,2,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,2.0,,1371,Cuiabá,60852,0.0,Uendel Pereira Gonçalves,0.0,,1.0,,,,,,,,,,,,1.0,,,,,,,
34,6,Cicinho,9,cicinho,False,23,Cicinho,3.77,2,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,3.63,,265,Bahia,61106,0.0,Neuciano de Jesus Gusmão,0.0,,3.0,13.0,19.0,2.0,1.0,9.0,1.0,,,,,,3.0,,,,,,,
35,7,Gilberto,19,gilberto,True,23,Gilberto,7.66,5,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,2.85,,283,Cruzeiro,61188,0.6,Gilberto Oliveira Souza Júnior,-0.11,1.0,4.0,6.0,18.0,6.0,19.0,11.0,,3.0,4.0,,,,,,,,,,,
36,6,Ganso,17,ganso,False,23,Ganso,10.8,4,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,4.07,,266,Fluminense,62977,0.0,Paulo Henrique Chagas de Lima,0.0,3.0,2.0,14.0,10.0,2.0,3.0,27.0,,3.0,1.0,,,,,,,,,,,
37,6,J. Caiçara,2,junior-caicara,True,23,Júnior Caiçara,2.74,2,https://s.sde.globo.com/media/person_role/2023/08/30/photo_FORMATO_1gWYyfL.png,1.2,,277,Santos,63011,2.8,Uilson de Souza Paula Júnior,0.64,,1.0,3.0,2.0,,,1.0,,,1.0,,,,,,,,,,,
38,7,M. Rocha,10,marcos-rocha,True,23,Marcos Rocha,6.76,2,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,4.63,,275,Palmeiras,63013,10.3,Marcos Luis Rocha Aquino,0.34,,,18.0,11.0,,,8.0,,,,,,,5.0,,1.0,,,,,
39,6,Fransérgio,9,fransergio,True,23,Fransérgio,4.12,4,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_W0RxoOj.png,1.51,,294,Coritiba,63024,1.7,Fransérgio Rodrigues Barbosa,0.06,,,6.0,5.0,1.0,4.0,7.0,,,,,,,,,,,,,,
40,6,W. Farias,3,willian-farias,False,23,Willian Farias,3.8,4,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_n93P5Hb.png,2.43,,294,Coritiba,63058,0.0,Willian Roberto Farias,0.0,,1.0,6.0,3.0,,,4.0,,,,,,,,,,,,,,
41,7,Edenílson,18,edenilson,False,23,Edenílson,4.85,4,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,1.93,,282,Atlético-MG,63289,0.0,Edenílson Andrade dos Santos,0.0,2.0,,18.0,13.0,1.0,1.0,10.0,,,,,,,,,,,,,,
42,3,R. Moledo,7,rodrigo-moledo,False,23,Rodrigo Moledo,2.82,3,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,1.26,,285,Internacional,63354,0.0,Rodrigo Modesto da Silva Moledo,0.0,,3.0,4.0,2.0,1.0,,3.0,,,1.0,,,,1.0,,,,,,,
43,7,A. Patrick,20,alan-patrick,True,23,Alan Patrick,9.18,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,2.5,,285,Internacional,68685,8.5,Alan Patrick Lourenço,0.9,3.0,4.0,10.0,17.0,4.0,11.0,31.0,1.0,,2.0,,,,,,,,,,,
44,7,Eduardo,20,eduardo,True,23,Eduardo,12.09,4,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,4.46,,263,Botafogo,68708,0.0,Carlos Eduardo de Oliveira Alves,-0.83,4.0,4.0,11.0,25.0,6.0,6.0,35.0,2.0,4.0,,,,,,,,,,,,
45,6,Dodô,10,dodo,True,23,Dodô,3.9,2,https://s.sde.globo.com/media/person_role/2023/07/10/photo_FORMATO_V85ED0Q.png,1.57,,277,Santos,68727,3.2,José Rodolfo Pires Ribeiro,0.52,,2.0,12.0,5.0,,2.0,7.0,,,2.0,,,,,,,,,,,
46,6,Camacho,8,camacho,False,23,Camacho,1.83,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,0.65,,277,Santos,68770,0.0,Guilherme de Aguiar Camacho,0.0,,2.0,12.0,17.0,,,2.0,,,1.0,,,,,1.0,,,,,,
47,6,M. Lomba,2,marcelo-lomba,False,23,Marcelo Lomba,6.78,1,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,5.0,,275,Palmeiras,68872,0.0,Marcelo Lomba do Nascimento,0.0,,,,,,,,,,,,6.0,1.0,1.0,,,,,,,
48,7,W. Silva,20,wellington-silva,True,23,Wellington Silva,5.59,5,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,2.85,,1371,Cuiabá,68895,8.7,Wellington Alves da Silva,1.13,1.0,1.0,20.0,10.0,4.0,4.0,32.0,,1.0,2.0,,,,,,,,,,,
49,6,Vinicius,14,vinicius,True,23,Vinicius,6.59,5,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,3.03,,290,Goiás,68917,0.0,Vinicius Santos Silva,-0.44,1.0,1.0,15.0,8.0,6.0,10.0,10.0,1.0,,3.0,,,,,,,,,,,
50,5,Dudu,14,dudu,False,23,Dudu,14.16,5,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,6.04,,275,Palmeiras,68920,0.0,Eduardo Pereira Rodrigues,0.0,3.0,,7.0,9.0,7.0,11.0,40.0,1.0,3.0,3.0,,,,,,,,,,,
51,7,Gil,19,gil,True,23,Gil,5.45,3,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,3.09,,264,Corinthians,68923,1.2,Carlos Gilberto do Nascimento Silva,-0.94,,6.0,22.0,17.0,3.0,5.0,6.0,,1.0,4.0,,,,5.0,,,,,,,
52,7,Rafael,19,rafael,True,23,Rafael,7.26,1,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,3.01,,276,São Paulo,68928,1.0,Rafael Pires Monteiro,0.06,,,1.0,,,,2.0,,,,,52.0,22.0,5.0,,,,,,,
53,7,R. Cabral,22,rafael-cabral,True,23,Rafael Cabral,10.98,1,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,4.15,,283,Cruzeiro,68940,7.5,Rafael Cabral Barbosa,-0.35,,3.0,1.0,,,,4.0,,,,,67.0,20.0,9.0,,1.0,,,,,
54,3,L. Castán,22,luciano-castan,True,23,Luciano Castán,6.67,3,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,3.14,,283,Cruzeiro,68942,3.7,Luciano Castán da Silva,-0.8,,6.0,14.0,18.0,6.0,6.0,14.0,,,1.0,,,,9.0,,,,,,,
55,7,Marinho,13,marinho,True,23,Marinho,4.31,5,https://s.sde.globo.com/media/person_role/2023/06/20/photo_FORMATO.png,3.17,,356,Fortaleza,68952,5.9,Mário Sérgio Santos Costa,-0.34,1.0,4.0,7.0,16.0,6.0,8.0,35.0,,1.0,5.0,1.0,,,,,,2.0,,,,
56,6,L. Sasha,11,lucas-sasha,False,23,Lucas Sasha,6.31,4,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_xTyetz3.png,3.03,,356,Fortaleza,68991,0.0,Lucas Pacheco Affini,0.0,,2.0,28.0,17.0,,3.0,9.0,,,1.0,,,,,,,,,,,
57,6,J. Carlos,0,joao-carlos,False,23,João Carlos,3.0,1,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,0.0,,1371,Cuiabá,69010,0.0,João Carlos Heidemann,0.0,,,,,,,,,,,,,,,,,,,,,
58,6,Santos,6,santos,False,23,Santos,9.47,1,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,3.25,,262,Flamengo,69012,0.0,Aderbar Melo dos Santos Neto,0.0,,,,,,,1.0,,,,,17.0,8.0,2.0,,,,,,,
59,3,Manoel,6,manoel,False,23,Manoel,5.19,3,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_epjDNmT.png,1.97,,266,Fluminense,69014,0.0,Manoel Messias Silva Carvalho,0.0,,1.0,3.0,1.0,,,1.0,,,,,,,2.0,,1.0,,,,,
60,6,M. Cirino,4,marcelo-cirino,False,23,Marcelo Cirino,3.44,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,0.6,,293,Athlético-PR,69022,0.0,Marcelo Cirino da Silva,0.0,,1.0,2.0,2.0,,1.0,2.0,,,2.0,,,,,,,,,,,
61,5,Paulinho,4,paulinho,False,23,Paulinho,4.5,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,2.1,,264,Corinthians,69034,0.0,José Paulo Bezerra Maciel Júnior,0.0,,,6.0,2.0,,1.0,2.0,,,,,,,,,,,,,,
62,6,Vladimir,2,vladimir,False,23,Vladimir,3.05,1,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,1.5,,277,Santos,69040,0.0,Vladimir Orlando Cardoso de Araújo Filho,0.0,,,,,,,,,,,,9.0,6.0,,1.0,,,,,,
63,6,D. Fernandes,1,danilo-fernandes,False,23,Danilo Fernandes,4.64,1,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,7.0,,265,Bahia,69051,0.0,Danilo Fernandes Batista,0.0,,1.0,,,,,,,,,,7.0,,,,,,,,,
64,6,J. Rodríguez,3,james-rodriguez,False,23,James Rodríguez,10.72,4,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,1.6,,276,São Paulo,69063,0.0,James David Rodríguez Rubio,0.0,,,3.0,2.0,,1.0,2.0,,,,,,,,,,,,,,
65,6,Vargas,12,vargas,False,23,Vargas,4.1,5,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_bAmWcZL.png,1.24,,282,Atlético-MG,69102,0.0,Eduardo Jesús Vargas Rojas,0.0,,3.0,4.0,7.0,2.0,2.0,4.0,,1.0,,,,,,,,1.0,,,,
66,6,Pablo,16,pablo,True,23,Pablo,10.5,5,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,4.33,,293,Athlético-PR,69138,2.3,Pablo Felipe Teixeira,0.24,2.0,2.0,13.0,12.0,5.0,11.0,15.0,1.0,3.0,1.0,,,,,,,,,,,
67,6,Pablo,3,pablo,False,23,Pablo,3.62,3,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,1.43,,262,Flamengo,69165,0.0,Pablo Nascimento Castro,0.0,,,,4.0,,,1.0,,,,,,,1.0,,,,,,,
68,6,Sidimar,10,sidimar,True,23,Sidimar,2.5,3,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,2.06,,290,Goiás,69189,1.3,Sidimar Fernando Cigolini,-0.49,,1.0,5.0,7.0,1.0,2.0,6.0,,,1.0,,,,3.0,,,,,1.0,,
69,7,L. Suárez,18,luis-suarez,True,23,Luis Suárez,15.37,5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,8.45,,284,Grêmio,69318,3.1,Luis Alberto Suárez Díaz,-1.73,5.0,4.0,10.0,15.0,21.0,23.0,45.0,5.0,6.0,19.0,1.0,,,,,,,,,,
70,7,Aránguiz,10,aranguiz,False,23,Aránguiz,6.82,4,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,1.11,,285,Internacional,69325,0.0,Charles Mariano Aránguiz Sandoval,0.0,,1.0,5.0,8.0,,5.0,9.0,,,,,,,,,,,,,,
71,7,Medel,7,medel,False,23,Medel,4.35,4,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,1.23,,267,Vasco,69355,0.0,Gary Alexis Medel Soto,0.0,,3.0,11.0,7.0,,,1.0,,,,,,,,,,,,,,
72,5,Vidal,12,vidal,False,23,Vidal,5.23,4,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,2.21,,293,Athlético-PR,69375,0.0,Arturo Erasmo Vidal Pardo,0.0,,5.0,16.0,13.0,2.0,6.0,12.0,1.0,,,,,,,,,,,,,
73,7,J. Galvão,5,joao-pedro-galvao,True,23,João Pedro Galvão,4.51,5,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_Vrax1Kc.png,0.7,,284,Grêmio,69686,-0.6,João Pedro Geraldino dos Santos Galvão,-0.59,,,3.0,12.0,,2.0,4.0,,,1.0,,,,,,,,,,,
74,6,Nikão,10,nikao,True,23,Nikão,5.35,4,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,1.97,,283,Cruzeiro,69705,14.2,Maycon Vinícius Ferreira da Cruz,2.42,1.0,1.0,6.0,4.0,,,4.0,,1.0,3.0,,,,,,,,,,,
75,7,L. Moura,5,lucas-moura,True,23,Lucas Moura,12.24,5,https://s.sde.globo.com/media/person_role/2023/08/02/photo_FORMATO_qMfh0Wo.png,5.44,,276,São Paulo,70164,2.7,Lucas Rodrigues Moura da Silva,-0.79,,,6.0,3.0,1.0,4.0,13.0,1.0,1.0,,,,,,,1.0,,,,,
76,5,Rafael,9,rafael,False,23,Rafael,6.7,2,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,5.16,,263,Botafogo,70171,0.0,Rafael Pereira da Silva,0.0,,2.0,22.0,12.0,1.0,,5.0,,,,,,,5.0,1.0,,,,,,
77,6,Fábio,7,fabio,False,23,Fábio,3.79,2,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,2.49,,284,Grêmio,70172,0.0,Fábio Pereira da Silva,0.0,2.0,3.0,8.0,5.0,,1.0,3.0,,,,,,,,,,,,,,
78,6,B. Uvini,13,bruno-uvini,False,23,Bruno Uvini,2.97,3,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,1.86,,284,Grêmio,70221,0.0,Bruno Uvini,0.0,,4.0,5.0,9.0,3.0,4.0,6.0,1.0,1.0,,,,,1.0,,1.0,,,,,
79,6,D. Costa,4,diego-costa,True,23,Diego Costa,9.24,5,https://s.sde.globo.com/media/person_role/2023/08/12/photo_FORMATO_RCzvL0a.png,5.0,,263,Botafogo,70316,0.8,Diego da Silva Costa,-0.57,,1.0,4.0,5.0,,1.0,2.0,,2.0,1.0,,,,,,,,,,,
80,6,E. Sasha,19,eduardo-sasha,True,23,Eduardo Sasha,10.41,5,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,4.92,,280,Bragantino,70360,-0.3,Eduardo Colcenti Antunes,-0.68,2.0,3.0,8.0,15.0,5.0,10.0,28.0,2.0,6.0,6.0,,,,,,,,,,,
81,7,Gabriel,19,gabriel,False,23,Gabriel,4.47,1,https://s.sde.globo.com/media/person_role/2023/09/14/photo_FORMATO_mJVxu6R.png,2.44,,294,Coritiba,70449,0.0,Gabriel Vasconcelos Ferreira - Vasconcellos,0.0,1.0,3.0,,,,,1.0,,,,,68.0,39.0,3.0,,,,,,,
