,atletas.apelido,atletas.variacao_num,atletas.clube_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.preco_num,atletas.posicao_id,atletas.media_num,atletas.atleta_id,atletas.clube.id.full.name,atletas.slug,atletas.apelido_abreviado,atletas.foto,atletas.rodada_id,atletas.nome,atletas.status_id
116,William Pottker,0,294,0,2.93,0,5,5,0,77809,Coritiba,william-pottker,W. Pottker,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_yjb57GF.png,1,William de Oliveira Pottker,7
117,Madson,0,293,0,3.52,0,6,2,0,78077,Athlético-PR,madson,Madson,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_UA5MZDv.png,1,Madson Ferreira dos Santos,6
118,Everaldo,0,265,0,4.11,0,7,5,0,78117,Bahia,everaldo,Everaldo,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_8pHdjST.png,1,Everaldo Stum,7
119,Renê,0,285,0,4.11,0,7,2,0,78445,Internacional,rene,Renê,https://s.sde.globo.com/media/person_role/2022/04/12/89131124e240b53f50f1fe351ceb880d_FORMATO.png,1,Renê Rodrigues Martins,7
120,Jonathan Cafu,0,1371,0,2.35,0,4,5,0,78580,Cuiabá,jonathan-cafu,J. Cafu,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_7bHRcHm.png,1,Jonathan Renato Barbosa,7
121,Gabriel,0,285,0,3.52,0,6,4,0,78605,Internacional,gabriel,Gabriel,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_GUlE7bV.png,1,Gabriel Girotto Franco,5
122,Ramiro,0,283,0,2.93,0,5,4,0,78715,Cruzeiro,ramiro,Ramiro,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_Yl1MU4D.png,1,Ramiro Moschen Benetti,7
123,Reinaldo,0,284,0,5.28,0,9,2,0,78850,Grêmio,reinaldo,Reinaldo,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_YOXKUlg.png,1,Reinaldo Manoel da Silva,5
124,Thiago Santos,0,266,0,2.93,0,5,4,0,78855,Fluminense,thiago-santos,T. Santos,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_GtPn70k.png,1,Thiago dos Santos,6
125,Rafael Gava,0,1371,0,2.35,0,4,4,0,78867,Cuiabá,rafael-gava,R. Gava,https://s.sde.globo.com/media/person_role/2022/02/23/16687c4ddc3ae72291f2729ad61ed092_FORMATO.png,1,Rafael Gustavo Meneghel Gava,6
126,Douglas Borges,0,263,0,1.76,0,3,1,0,78893,Botafogo,douglas-borges,D. Borges,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_33D9G2h.png,1,Douglas Borges,6
127,Luiz Felipe,0,277,0,1.76,0,3,3,0,79035,Santos,luiz-felipe,L. Felipe,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_aiqNBl6.png,1,Luiz Felipe do Nascimento dos Santos,6
128,Víctor Cuesta,0,263,0,4.69,0,8,3,0,79113,Botafogo,victor-cuesta,V. Cuesta,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_iLUMfpx.png,1,Víctor Leandro Cuesta,7
129,Silvio Romero,0,356,0,2.93,0,5,5,0,79188,Fortaleza,silvio-romero,S. Romero,https://s.sde.globo.com/media/person_role/2022/05/12/c5b6ac96aea31d2271156591230c8f4c_FORMATO.png,1,Silvio Ezequiel Romero,5
130,Filipe Augusto,0,1371,0,1.17,0,2,4,0,79268,Cuiabá,filipe-augusto,F. Augusto,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_S95pz8G.png,1,Filipe Augusto Carvalho Souza,7
131,Ricardo Silva,0,327,0,2.35,0,4,3,0,79334,América-MG,ricardo-silva,R. Silva,https://s.sde.globo.com/media/person_role/2021/06/04/a95541b4ee84849f6e060a780b86704d_FORMATO.png,1,Ricardo César Dantas da Silva,2
132,Cano,0,266,0,12.9,0,22,5,0,79631,Fluminense,cano,Cano,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_zQfRwuQ.png,1,Germán Ezequiel Cano,7
133,Lucas Silva,0,284,0,2.93,0,5,4,0,79701,Grêmio,lucas-silva,L. Silva,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_22BJorG.png,1,Lucas Silva Borges,6
134,Zé Roberto,0,294,0,,0,5,5,0,80076,Coritiba,ze-roberto,Z. Roberto,https://s.sde.globo.com/media/person_role/2023/04/10/photo_220x220_Mzobxer.png,1,José Roberto Assunção de Araújo Filho,6
135,Yago Pikachu,0,356,0,5.28,0,9,4,0,80196,Fortaleza,yago-pikachu,Y. Pikachu,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_ve69BvY.png,1,Glaybson Yago Souza Lisboa,6
136,Luciano,0,276,0,7.62,0,13,5,0,80287,São Paulo,luciano,Luciano,https://s.sde.globo.com/media/person_role/2022/03/01/aeb1926a6ddb270206f4ceffcf701d4b_FORMATO.png,1,Luciano da Rocha Neves,2
137,Lucas Lima,0,277,0,3.52,0,6,4,0,80583,Santos,lucas-lima,L. Lima,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_l0JerUa.png,1,Lucas Rafael Araújo Lima,7
138,Luan,0,275,0,4.11,0,7,3,0,80692,Palmeiras,luan,Luan,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_cnIvHfj.png,1,Luan Garcia Teixeira,6
139,Pedro Geromel,0,284,0,4.11,0,7,3,0,80853,Grêmio,pedro-geromel,P. Geromel,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_2mIyND1.png,1,Pedro Tonon Geromel,6
140,Jair,0,267,0,5.28,0,9,4,0,81091,Vasco,jair,Jair,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,1,Jair Rodrigues Júnior,7
141,Lucas Mugni,0,265,0,2.93,0,5,4,0,81121,Bahia,lucas-mugni,L. Mugni,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_t30cY72.png,1,Lucas Andrés Mugni,6
142,Mayke,0,275,0,4.11,0,7,2,0,81150,Palmeiras,mayke,Mayke,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_VrbLrFd.png,1,Mayke Rocha de Oliveira,5
143,Alisson,0,276,0,2.93,0,5,4,0,81845,São Paulo,alisson,Alisson,https://s.sde.globo.com/media/person_role/2022/03/01/14ebdbca4e280cd9dfdb9b7e2148afe0_FORMATO.png,1,Alisson Euler de Freitas Castro,6
144,João Ricardo,0,356,0,4.11,0,7,1,0,81881,Fortaleza,joao-ricardo,J. Ricardo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_jfXmbiI.png,1,João Ricardo Riedi,5
145,Willian Oliveira,0,290,0,2.35,0,4,4,0,81952,Goiás,willian-oliveira,W. Oliveira,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_9raWzET.png,1,Willian Osmar de Oliveira Silva,7
146,Juninho,0,327,0,4.69,0,8,4,0,82381,América-MG,juninho,Juninho,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ek7YW7J.png,1,Adilson dos Anjos Oliveira,7
147,Tadeu,0,290,0,7.04,0,12,1,0,82453,Goiás,tadeu,Tadeu,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_jSvkpAL.png,1,Tadeu Antônio Ferreira,7
148,Zé Rafael,0,275,0,7.04,0,12,4,0,82455,Palmeiras,ze-rafael,Z. Rafael,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_XlK02hD.png,1,José Rafael Vivian,7
149,Otávio,0,282,0,3.52,0,6,4,0,82463,Atlético-MG,otavio,Otávio,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,1,Otávio Henrique Passos Santos,7
150,Tinga,0,356,0,3.52,0,6,2,0,82628,Fortaleza,tinga,Tinga,https://s.sde.globo.com/media/person_role/2022/05/12/98abba841d176135f9ec02a557177a7f_FORMATO.png,1,Guilherme de Jesus da Silva,7
151,Régis,0,294,0,2.93,0,5,4,0,82647,Coritiba,regis,Régis,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_dJgxnPE.png,1,Régis Augusto Salmazzo,6
152,Marcelo Rangel,0,290,0,2.35,0,4,1,0,82730,Goiás,marcelo-rangel,M. Rangel,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_jsdA8Zf.png,1,Marcelo Rangel da Rosa,6
153,Paulo Turra,0,293,0,2.93,0,5,6,0,82747,Athlético-PR,paulo-turra,P. Turra,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_L21KedQ.png,1,Paulo César Turra,7
154,Wellington Rato,0,276,0,4.69,0,8,4,0,82766,São Paulo,wellington-rato,W. Rato,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_bPEXkEO.png,1,Wellington Soares da Silva,7
155,Maurício Barbieri,0,267,0,4.69,0,8,6,0,82792,Vasco,mauricio-barbieri,M. Barbieri,https://s.sde.globo.com/media/person_role/2021/04/27/1cc4a56a4aefc5902e503c4834666651_FORMATO.png,1,Maurício Nogueira Barbieri,7
156,Gabriel,0,262,0,11.73,0,20,5,0,83257,Flamengo,gabriel,Gabriel,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_mbchRWW.png,1,Gabriel Barbosa Almeida,7
157,Patrick,0,282,0,5.86,0,10,4,0,83433,Atlético-MG,patrick,Patrick,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_TvGvJD9.png,1,Patrick Bezerra do Nascimento,6
158,Léo Pereira,0,262,0,4.11,0,7,3,0,83528,Flamengo,leo-pereira,L. Pereira,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_Wclql1X.png,1,Leonardo Pereira,2
159,Neris,0,283,0,1.76,0,3,3,0,83786,Cruzeiro,neris,Neris,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_U329TT2.png,1,Hueglo Neris dos Santos,6
160,Tiquinho Soares,0,263,0,7.04,0,12,5,0,84042,Botafogo,tiquinho-soares,T. Soares,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_TbDAa67.png,1,Francisco das Chagas Soares dos Santos Meireles,7
161,Jemerson,0,282,0,3.52,0,6,3,0,84263,Atlético-MG,jemerson,Jemerson,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_LiuUOj2.png,1,Jemerson de Jesus Nascimento,7
162,Bruno Melo,0,290,0,3.52,0,6,3,0,84339,Goiás,bruno-melo,B. Melo,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_FEUiEbp.png,1,Bruno Ferreira Melo,7
163,Fernando Sobral,0,1371,0,3.52,0,6,4,0,84428,Cuiabá,fernando-sobral,F. Sobral,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_DOXZ9Xn.png,1,Fernando Pereira do Nascimento,6
164,Romarinho,0,356,0,2.93,0,5,5,0,84523,Fortaleza,romarinho,Romarinho,https://s.sde.globo.com/media/person_role/2022/05/12/ccaf4552cbd0363c0a3fceefa2bf00bf_FORMATO.png,1,José Romário Silva de Souza,6
165,Lucas Evangelista,0,280,0,3.52,0,6,4,0,84674,Bragantino,lucas-evangelista,L. Evangelista,https://s.sde.globo.com/media/person_role/2022/05/05/175c2911cb392a7305aef49766feb459_FORMATO.png,1,Lucas Evangelista Santana de Oliveira,6
166,Varela,0,262,0,2.93,0,5,2,0,84816,Flamengo,varela,Varela,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_M1z2XK5.png,1,Guillermo Varela Olivera,7
167,Robson,0,294,0,4.11,0,7,5,0,84817,Coritiba,robson,Robson,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_wdF92Dr.png,1,Robson dos Santos Fernandes,6
168,Marcos Felipe,0,265,0,3.52,0,6,1,0,85004,Bahia,marcos-felipe,M. Felipe,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_kJmHr1X.png,1,Marcos Felipe de Freitas Monteiro,7
169,Vinicius Silvestre,0,275,0,1.76,0,3,1,0,85083,Palmeiras,vinicius-silvestre,V. Silvestre,https://s.sde.globo.com/media/person_role/2022/02/21/6b18b6e2028293647615790cb3edf11f_FORMATO.png,1,Vinicius Silvestre da Costa,6
170,Cantillo,0,264,0,2.35,0,4,4,0,85315,Corinthians,cantillo,Cantillo,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_XLtLBFc.png,1,Víctor Danilo Cantillo Jiménez,2
171,João Paulo,0,277,0,8.21,0,14,1,0,85425,Santos,joao-paulo,J. Paulo,https://s.sde.globo.com/media/person_role/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png,1,João Paulo Silva Martins,7
172,Alex Santana,0,293,0,4.11,0,7,4,0,85465,Athlético-PR,alex-santana,A. Santana,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_9oyYdIt.png,1,Alex Paulo Menezes Santana,6
173,Léo,0,267,0,4.69,0,8,3,0,85626,Vasco,leo,Léo,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_upcZmtB.png,1,Leonardo Pinheiro da Conceição,7
174,Hyoran,0,282,0,4.11,0,7,4,0,85931,Atlético-MG,hyoran,Hyoran,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_we4xNWc.png,1,Hyoran Kaue Dalmoro,6
175,Gustavo Sauer,0,263,0,2.35,0,4,5,0,85993,Botafogo,gustavo-sauer,G. Sauer,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_plrV8jg.png,1,Gustavo Affonso Sauerbeck,2
176,Wanderson,0,327,0,2.35,0,4,3,0,86143,América-MG,wanderson,Wanderson,https://s.sde.globo.com/media/person_role/2023/03/10/photo_FORMATO_b5qzoWm.png,1,Wanderson Santos Pereira,6
177,Alê,0,327,0,3.52,0,6,4,0,86388,América-MG,ale,Alê,https://s.sde.globo.com/media/person_role/2022/02/24/4b65fc3f258e926df6bf12c3abbfa9a0_FORMATO.png,1,Alexandre Egea,7
178,Sander,0,290,0,4.11,0,7,2,0,86391,Goiás,sander,Sander,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_klsEyT2.png,1,Sander Henrique Bortolotto,7
179,Victor Luis,0,294,0,2.35,0,4,2,0,86410,Coritiba,victor-luis,V. Luis,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_cjqZYOH.png,1,Victor Luis Chuab Zamblauskas,7
180,Keno,0,266,0,5.28,0,9,5,0,86485,Fluminense,keno,Keno,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_0olNy9W.png,1,Marcos da Silva França,7
181,Jandrei,0,276,0,2.93,0,5,1,0,86508,São Paulo,jandrei,Jandrei,https://s.sde.globo.com/media/person_role/2022/03/01/aea40f3f23e91096dde97a5b7a877640_FORMATO.png,1,Jandrei Chitolina Carniel,6
182,Tchê Tchê,0,263,0,3.52,0,6,4,0,86686,Botafogo,tche-tche,T. Tchê,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_FytIYxJ.png,1,Danilo das Neves Pinheiro,7
183,Richard Coelho,0,283,0,2.93,0,5,4,0,86711,Cruzeiro,richard-coelho,R. Coelho,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_hWLUIMn.png,1,Richard Cândido Coelho,6
184,Everton,0,262,0,5.28,0,9,5,0,86757,Flamengo,everton,Everton,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_EcaScZP.png,1,Everton Sousa Soares,2
185,Danilo Barbosa,0,263,0,1.76,0,3,4,0,86777,Botafogo,danilo-barbosa,D. Barbosa,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_6wIsdHM.png,1,Danilo Barbosa da Silva,6
186,Rodrigo Pinho,0,294,0,2.35,0,4,5,0,86799,Coritiba,rodrigo-pinho,R. Pinho,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_28kb8HP.png,1,Rodrigo Cunha Pereira de Pinho,7
187,Boschilia,0,294,0,2.93,0,5,4,0,86841,Coritiba,boschilia,Boschilia,https://s.sde.globo.com/media/person_role/2022/08/12/8bbade4dbabca44eb3eda2767deda745_FORMATO.png,1,Gabriel Boschilia,6
188,José Welison,0,356,0,2.93,0,5,4,0,86859,Fortaleza,jose-welison,J. Welison,https://s.sde.globo.com/media/person_role/2022/05/12/32f4ef48713e5687dbe666e42316e4ad_FORMATO.png,1,José Welison da Silva,6
189,Marlon,0,327,0,2.93,0,5,2,0,86864,América-MG,marlon,Marlon,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_9jhAK26.png,1,Marlon Matheus Lopes do Nascimento,6
190,Eduardo Bauermann,0,277,0,3.52,0,6,3,0,86970,Santos,eduardo-bauermann,E. Bauermann,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_GWoHgvv.png,1,Eduardo Gabriel dos Santos Bauermann,7
191,Léo Jardim,0,267,0,5.86,0,10,1,0,87008,Vasco,leo-jardim,L. Jardim,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_2NC7Cvz.png,1,Leonardo César Jardim,7
192,Nathan,0,284,0,4.69,0,8,4,0,87009,Grêmio,nathan,Nathan,https://s.sde.globo.com/media/person_role/2023/04/12/photo_FORMATO_H5UIx66.png,1,Nathan Allan de Souza,6
193,Matheus Peixoto,0,290,0,3.52,0,6,5,0,87098,Goiás,matheus-peixoto,M. Peixoto,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_FC0h7Wp.png,1,Matheus Vieira Campos Peixoto,6
194,Pedro Henrique,0,293,0,2.93,0,5,3,0,87225,Athlético-PR,pedro-henrique,P. Henrique,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_Pmz9ta0.png,1,Pedro Henrique Ribeiro Gonçalves,6
195,Guilherme Arana,0,282,0,7.62,0,13,2,0,87228,Atlético-MG,guilherme-arana,G. Arana,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_6cBmo9F.png,1,Guilherme Antonio Arana Lopes,5
196,Carlos de Pena,0,285,0,8.21,0,14,4,0,87242,Internacional,carlos-de-pena,C. Pena,https://s.sde.globo.com/media/person_role/2022/04/02/d2010e9182e074fe4a26c1c6d39304dc_FORMATO.png,1,Carlos María de Pena Bonino,7
197,Soteldo,0,277,0,7.04,0,12,5,0,87258,Santos,soteldo,Soteldo,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_xCE9nv8.png,1,Yeferson Julio Soteldo Martínez,6
198,Kannemann,0,284,0,4.11,0,7,3,0,87342,Grêmio,kannemann,Kannemann,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_q2fTOjY.png,1,Walter Kannemann,7
199,Messias,0,277,0,2.93,0,5,3,0,87402,Santos,messias,Messias,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_XWlumea.png,1,Messias Rodrigues da Silva Júnior,7
200,Thaciano,0,265,0,2.93,0,5,4,0,87470,Bahia,thaciano,Thaciano,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_dQGg2S1.png,1,Thaciano Mickael da Silva,6
201,Vitor Bueno,0,293,0,2.93,0,5,4,0,87552,Athlético-PR,vitor-bueno,V. Bueno,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_Vn5DBCR.png,1,Vitor Frezarin Bueno,7
202,Neto Moura,0,283,0,2.35,0,4,4,0,87742,Cruzeiro,neto-moura,N. Moura,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_MSIx6c6.png,1,Antônio Francisco Moura Neto,6
203,Yago Felipe,0,265,0,4.11,0,7,4,0,87747,Bahia,yago-felipe,Y. Felipe,https://s.sde.globo.com/media/person_role/2023/03/10/photo_FORMATO.png,1,Yago Felipe da Costa Rocha,2
204,Philipe Sampaio,0,263,0,2.35,0,4,3,0,87808,Botafogo,philipe-sampaio,P. Sampaio,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_E29teNI.png,1,Philipe Sampaio Azevedo,6
205,Mauricio Lemos,0,282,0,3.52,0,6,3,0,87853,Atlético-MG,mauricio-lemos,M. Lemos,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_oIj0aUq.png,1,Paolo Mauricio Lemos Merladett,7
206,Arrascaeta,0,262,0,11.14,0,19,4,0,87863,Flamengo,arrascaeta,Arrascaeta,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_CaSgg7s.png,1,Giorgian Daniel de Arrascaeta Benedetti,5
207,Balbuena,0,264,0,3.52,0,6,3,0,87887,Corinthians,balbuena,Balbuena,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_a0U2siY.png,1,Fabián Cornelio Balbuena González,6
208,Alan Empereur,0,1371,0,2.93,0,5,3,0,88033,Cuiabá,alan-empereur,A. Empereur,https://s.sde.globo.com/media/person_role/2022/07/20/5db43ec8756f6951151160f78ec748cb_FORMATO.png,1,Alan Pereira Empereur,5
209,Luís Castro,0,263,0,4.69,0,8,6,0,88037,Botafogo,luis-castro,L. Castro,https://s.sde.globo.com/media/person_role/2022/02/21/3d4eb55c672851b1407085b09c4dfbb4_FORMATO.png,1,Luís Manuel Ribeiro de Castro,7
210,Jorge,0,266,0,2.35,0,4,2,0,88065,Fluminense,jorge,Jorge,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_UTM0WJt.png,1,Jorge Marco de Oliveira Moraes,5
211,Ivan,0,267,0,2.93,0,5,1,0,88136,Vasco,ivan,Ivan,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_qStnmUz.png,1,Ivan Quaresma da Silva,6
212,Ángel Romero,0,264,0,2.93,0,5,5,0,88323,Corinthians,angel-romero,Ã. Romero,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_CufTSrv.png,1,Ángel Rodrigo Romero Villamayor,6
213,Gabriel Dias,0,267,0,1.76,0,3,2,0,88368,Vasco,gabriel-dias,G. Dias,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_SmDR7cT.png,1,Gabriel Dias de Oliveira,5
214,Ayrton Lucas,0,262,0,6.45,0,11,2,0,88393,Flamengo,ayrton-lucas,A. Lucas,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_P9K1v1H.png,1,Ayrton Lucas Dantas de Medeiros,7
215,Aderlan,0,280,0,3.52,0,6,2,0,88423,Bragantino,aderlan,Aderlan,https://s.sde.globo.com/media/person_role/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png,1,Aderlan de Lima Silva,7
216,Lucas Crispim,0,356,0,3.52,0,6,4,0,88597,Fortaleza,lucas-crispim,L. Crispim,https://s.sde.globo.com/media/person_role/2022/05/12/043b82cd8bbcab2108944aa3cf34372e_FORMATO.png,1,Lucas de Figueiredo Crispim,6
217,Marcelino Moreno,0,294,0,2.35,0,4,4,0,88857,Coritiba,marcelino-moreno,M. Moreno,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_S4cMFFx.png,1,Damián Marcelino Moreno,6
218,Luan Polli,0,294,0,2.35,0,4,1,0,88916,Coritiba,luan-polli,L. Polli,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_gZl1v6O.png,1,Luan Polli Gomes,6
219,Iago Maidana,0,327,0,3.52,0,6,3,0,89226,América-MG,iago-maidana,I. Maidana,https://s.sde.globo.com/media/person_role/2022/02/24/ac60436f13f7ce52c62ccb9b8d4ac384_FORMATO.png,1,Iago Justen Maidana Martins,7
220,Gerson,0,262,0,5.86,0,10,4,0,89256,Flamengo,gerson,Gerson,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_UpueHtq.png,1,Gerson Santos da Silva,7
221,João Pedro,0,284,0,2.35,0,4,2,0,89273,Grêmio,joao-pedro,J. Pedro,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ux7O1sm.png,1,João Pedro Maturano dos Santos,7
222,William,0,283,0,3.52,0,6,2,0,89275,Cruzeiro,william,William,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_mkEok8F.png,1,Willian de Asevedo Furtado,7
223,Igor Rabello,0,282,0,2.93,0,5,3,0,89493,Atlético-MG,igor-rabello,I. Rabello,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_JxE36o1.png,1,Igor Rabello da Costa,5
224,Thiago Maia,0,262,0,4.11,0,7,4,0,89637,Flamengo,thiago-maia,T. Maia,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_yDq9MVW.png,1,Thiago Maia Alencar,7
225,Iury Castilho,0,1371,0,2.35,0,4,5,0,89695,Cuiabá,iury-castilho,I. Castilho,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_WoJbpFR.png,1,Iury Lirio Freitas de Castilho,6
226,Calleri,0,276,0,8.8,0,15,5,0,89840,São Paulo,calleri,Calleri,https://s.sde.globo.com/media/person_role/2022/03/01/3abaa943f1546750dd057d6cb3559ce5_FORMATO.png,1,Jonathan Calleri,7
227,Cristaldo,0,284,0,4.69,0,8,4,0,89846,Grêmio,cristaldo,Cristaldo,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Sywtl9T.png,1,Franco Cristaldo,7
228,Dodi,0,277,0,3.52,0,6,4,0,89883,Santos,dodi,Dodi,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_a0W192c.png,1,Douglas Moreira Fagundes,7
229,Róger Guedes,0,264,0,8.8,0,15,5,0,89898,Corinthians,roger-guedes,R. Guedes,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_39SGFR6.png,1,Róger Krug Guedes,7
230,Everton Galdino,0,284,0,1.76,0,3,5,0,89918,Grêmio,everton-galdino,E. Galdino,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_TtRmr2d.png,1,Everton Galdino Moreira,6
231,Mendoza,0,277,0,7.04,0,12,5,0,90031,Santos,mendoza,Mendoza,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_fdX9HMF.png,1,John Stiven Mendoza Valencia,6
232,Bruno Pacheco,0,356,0,4.11,0,7,2,0,90061,Fortaleza,bruno-pacheco,B. Pacheco,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_b7qHVNZ.png,1,Bruno de Jesus Pacheco,7
233,Raí Ramos,0,276,0,2.93,0,5,2,0,90232,São Paulo,rai-ramos,R. Ramos,https://s.sde.globo.com/media/person_role/2019/04/16/f5be15dd86e6b186b1dfae47f529eafa_220x220.jpeg,1,Raí dos Reis Ramos,2
234,Bruno Henrique,0,262,0,7.62,0,13,5,0,90285,Flamengo,bruno-henrique,B. Henrique,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PsLr2Kh.png,1,Bruno Henrique Pinto,6
235,Jailson,0,275,0,3.52,0,6,4,0,90290,Palmeiras,jailson,Jailson,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_borikKg.png,1,Jaílson Marques Siqueira,6
236,Pedro Rocha,0,356,0,2.93,0,5,5,0,90302,Fortaleza,pedro-rocha,P. Rocha,https://s.sde.globo.com/media/person_role/2022/09/28/photo_FORMATO_wjBokpm.png,1,Pedro Rocha Neves,5
237,David,0,276,0,3.52,0,6,5,0,90309,São Paulo,david,David,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_zc5jjjt.png,1,David Correa da Fonseca,2
