,atletas.atleta_id,atletas.apelido,atletas.minimo_para_valorizar,atletas.status_id,atletas.apelido_abreviado,atletas.jogos_num,atletas.slug,atletas.pontos_num,atletas.clube.id.full.name,atletas.rodada_id,atletas.posicao_id,atletas.clube_id,atletas.preco_num,atletas.nome,atletas.variacao_num,atletas.media_num,atletas.foto,FF,G,CA,DS,FC,FD,FS,I,SG,DE,DP,GS,PC,CV,FT,A,PS,V,PP
61,69014,Manoel,,6,Manoel,0,manoel,0.0,Fluminense,2,3,266,8.0,Manoel Messias Silva Carvalho,0.0,0.0,https://s.sde.globo.com/media/person_role/2022/04/20/2ee72152c5a2da89ec05cb252df58e2b_FORMATO.png,,,,,,,,,,,,,,,,,,,
62,69022,Marcelo Cirino,,5,M. Cirino,0,marcelo-cirino,0.0,Athlético-PR,2,5,293,5.0,Marcelo Cirino da Silva,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,,,,,,,,,,,,,,,,,,,
63,69029,Antônio Carlos Zago,,7,A. Zago,0,antonio-carlos-zago,0.0,Coritiba,2,6,294,4.87,Antônio Carlos Zago,0.0,0.0,https://s.sde.globo.com/media/person_role/2019/03/26/3f5495ab6f726a9618084826d55c52f8_220x220.png,,,,,,,,,,,,,,,,,,,
64,69034,Paulinho,,6,Paulinho,1,paulinho,2.4,Corinthians,2,4,264,4.92,José Paulo Bezerra Maciel Júnior,-1.08,2.4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,,,,2.0,,,,,,,,,,,,,,,
65,69040,Vladimir,,6,Vladimir,0,vladimir,0.0,Santos,2,1,277,4.0,Vladimir Orlando Cardoso de Araújo Filho,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,,,,,,,,,,,,,,,,,,,
66,69051,Danilo Fernandes,,6,D. Fernandes,0,danilo-fernandes,0.0,Bahia,2,1,265,5.0,Danilo Fernandes Batista,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,,,,,,,,,,,,,,,,,,,
67,69102,Vargas,,6,Vargas,1,vargas,0.0,Atlético-MG,2,5,282,5.29,Eduardo Jesús Vargas Rojas,-2.71,0.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,,,,,,,,,,,,,,,,,,,
68,69138,Pablo,,6,Pablo,2,pablo,2.2,Athlético-PR,2,5,293,12.51,Pablo Felipe Teixeira,-0.07,7.35,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,1.0,,2.0,4.0,6.0,,6.0,1.0,,,,,,,,2.0,,,
69,69165,Pablo,,6,Pablo,0,pablo,0.0,Flamengo,2,3,262,5.0,Pablo Nascimento Castro,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,,,,,,,,,,,,,,,,,,,
70,69189,Sidimar,,6,Sidimar,1,sidimar,0.0,Goiás,2,3,290,2.52,Sidimar Fernando Cigolini,0.0,0.9,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,
71,69318,Luis Suárez,,7,L. Suárez,2,luis-suarez,2.6,Grêmio,2,5,284,11.89,Luis Alberto Suárez Díaz,-3.92,2.05,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,2.0,,1.0,,,4.0,6.0,3.0,,,,,,,,,,,1.0
72,69325,Aránguiz,,5,Aránguiz,0,aranguiz,0.0,Internacional,2,4,285,10.0,Charles Mariano Aránguiz Sandoval,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/04/02/photo_220x220_AyFyEWO.png,,,,,,,,,,,,,,,,,,,
73,69375,Vidal,,2,Vidal,1,vidal,4.7,Flamengo,2,4,262,7.16,Arturo Erasmo Vidal Pardo,-0.84,4.7,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_dBcN4Gz.png,1.0,,,2.0,,,3.0,,,,,,,,,,,,
74,69705,Nikão,,7,Nikão,2,nikao,0.9,Cruzeiro,2,4,283,4.93,Maycon Vinícius Ferreira da Cruz,-2.3,0.05,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,
75,70116,Fellipe Bastos,,6,F. Bastos,0,fellipe-bastos,0.0,Goiás,2,4,290,5.0,Fellipe Ramos Ignez Bastos,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_2gvVYzL.png,,,,,,,,,,,,,,,,,,,
76,70171,Rafael,,7,Rafael,2,rafael,7.4,Botafogo,2,2,263,5.49,Rafael Pereira da Silva,1.88,4.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,,,,7.0,3.0,,1.0,,,,,,,,,,,,
77,70172,Fábio,,5,Fábio,0,fabio,0.0,Grêmio,2,2,284,5.0,Fábio Pereira da Silva,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,,,,,,,,,,,,,,,,,,,
78,70221,Bruno Uvini,,6,B. Uvini,0,bruno-uvini,0.0,Grêmio,2,3,284,4.0,Bruno Uvini,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,,,,,,,,,,,,,,,,,,,
79,70360,Eduardo Sasha,,7,E. Sasha,2,eduardo-sasha,4.5,Bragantino,2,5,280,10.28,Eduardo Colcenti Antunes,1.12,6.85,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,2.0,1.0,,2.0,1.0,,4.0,,,,,,,,,,,,
80,70449,Gabriel,,7,Gabriel,2,gabriel,3.0,Coritiba,2,1,294,4.02,Gabriel Vasconcelos Ferreira - Vasconcellos,0.15,2.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ovYbvXA.png,,,,,,,,,,10.0,,6.0,,,,,,,
81,70666,Marllon,,7,Marllon,2,marllon,5.0,Cuiabá,2,3,1371,5.64,Marllon Gonçalves Jerônimo Borges,0.99,3.6,https://s.sde.globo.com/media/person_role/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,2.0,,1.0,1.0,2.0,,2.0,,,,,,,,,1.0,,,
82,70800,Jorge Sampaoli,,7,J. Sampaoli,1,jorge-sampaoli,3.64,Flamengo,2,6,262,9.35,Jorge Sampaoli,-2.6,3.64,https://s.sde.globo.com/media/person_role/2023/04/17/photo_FORMATO_Fp5qEri.png,,,,,,,,,,,,,,,,,,,
83,70916,Diogo Barbosa,,7,D. Barbosa,2,diogo-barbosa,1.4,Grêmio,2,2,284,10.16,Diogo Barbosa Mendanha,-0.03,6.1,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_hD7TNLn.png,1.0,,,5.0,2.0,,2.0,,1.0,,,,,,,,,,
84,70986,Léo Cittadini,,5,L. Cittadini,2,leo-cittadini,-0.9,Athlético-PR,2,4,293,2.05,Leonardo Cittadini,-1.43,-0.25,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_iZBbl8l.png,,,,,5.0,,2.0,,,,,,,,,,,,
85,71162,Vina,,7,Vina,2,vina,2.7,Grêmio,2,4,284,4.92,Vinícius Goes Barbosa de Souza,-0.89,1.35,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_q8oUM9e.png,,,1.0,,,1.0,5.0,,,,,,,,,,,,
86,71227,Maicon,,6,Maicon,0,maicon,0.0,Santos,2,3,277,7.0,Maicon Pereira Roque,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_NcXdUCj.png,,,,,,,,,,,,,,,,,,,
87,71571,Fernando Miguel,,7,F. Miguel,2,fernando-miguel,12.0,Fortaleza,2,1,356,11.8,Fernando Miguel Kaufmann,2.77,8.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_LYpf6Gz.png,,,,,,,,,1.0,12.0,,1.0,,,,,,,
88,71631,Weverton,,7,Weverton,2,weverton,-1.0,Palmeiras,2,1,275,9.1,Weverton Pereira da Silva,-4.45,0.5,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_PN9nfV7.png,,,,,,,,,,4.0,,3.0,,,,,,,
89,71684,Gustavo Gómez,,7,G. Gómez,2,gustavo-gomez,2.6,Palmeiras,2,3,275,9.55,Gustavo Raúl Gómez Portillo,-2.84,1.9,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_WsvPa3o.png,,,,3.0,1.0,,1.0,,,,,,,,,,,,
90,71829,Júnior Urso,,6,J. Urso,2,junior-urso,0.5,Coritiba,2,4,294,4.96,Ocimar de Almeida Júnior,-0.72,2.15,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7ft8zu4.png,,,1.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,
91,71844,Thiago Galhardo,,5,T. Galhardo,1,thiago-galhardo,0.0,Fortaleza,2,5,356,7.1,Thiago Galhardo do Nascimento Rocha,0.0,0.0,https://s.sde.globo.com/media/person_role/2022/07/16/27deb38ffaefdd66a10d7f246dcc678f_FORMATO.png,,,,,,,,,,,,,,,,,,,
