,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.nome,atletas.slug,atletas.preco_num,atletas.apelido,atletas.status_id,atletas.posicao_id,atletas.media_num,atletas.variacao_num,atletas.clube_id,atletas.atleta_id,atletas.foto,CA,DS,FC,FD,FF,FS,G,I,FT,SG,CV,PS,DE,GS,DP,A,PC,PP,V,GC
82,Grêmio,4.15,0.0,4,D. Barbosa,6,Diogo Barbosa Mendanha,diogo-barbosa,8.53,Diogo Barbosa,6,2,2.97,0.0,284,70916,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_hD7TNLn.png,1.0,5.0,3.0,,1.0,4.0,,,,1.0,,,,,,,,,,
83,Athlético-PR,-0.64,0.0,2,L. Cittadini,6,Leonardo Cittadini,leo-cittadini,2.05,Léo Cittadini,6,4,-0.25,0.0,293,70986,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_iZBbl8l.png,,,5.0,,,2.0,,,,,,,,,,,,,,
84,Grêmio,2.07,3.4,6,Vina,6,Vinícius Goes Barbosa de Souza,vina,5.79,Vina,7,4,2.45,0.51,284,71162,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_q8oUM9e.png,2.0,2.0,2.0,2.0,,9.0,1.0,,,,,,,,,,,,,
85,Santos,7.91,0.0,0,Maicon,6,Maicon Pereira Roque,maicon,7.0,Maicon,6,3,0.0,0.0,277,71227,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_NcXdUCj.png,,,,,,,,,,,,,,,,,,,,
86,Fortaleza,8.01,0.0,4,F. Miguel,6,Fernando Miguel Kaufmann,fernando-miguel,10.86,Fernando Miguel,5,1,5.25,0.0,356,71571,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_qLr4Pp0.png,,,,,,,,,,1.0,,,20.0,4.0,,,,,,
87,Palmeiras,1.26,1.5,6,Weverton,6,Weverton Pereira da Silva,weverton,8.12,Weverton,7,1,2.08,-0.11,275,71631,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_PN9nfV7.png,,,,,,1.0,,,,1.0,,,13.0,6.0,,,,,,
88,Palmeiras,4.69,7.9,6,G. Gómez,6,Gustavo Raúl Gómez Portillo,gustavo-gomez,9.76,Gustavo Gómez,7,3,3.58,0.94,275,71684,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_WsvPa3o.png,2.0,9.0,6.0,1.0,1.0,5.0,,,,1.0,,,,,,1.0,,,,
89,Coritiba,2.03,0.0,2,J. Urso,6,Ocimar de Almeida Júnior,junior-urso,4.96,Júnior Urso,6,4,2.15,0.0,294,71829,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7ft8zu4.png,1.0,2.0,1.0,1.0,,4.0,,,,,,,,,,,,,,
90,Fortaleza,2.38,0.0,4,T. Galhardo,6,Thiago Galhardo do Nascimento Rocha,thiago-galhardo,6.09,Thiago Galhardo,6,5,2.55,0.0,356,71844,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_LaKDS7J.png,,,,1.0,,2.0,1.0,,,,,,,,,,,,,
91,Botafogo,2.07,0.0,2,G. Pires,6,Gabriel Appelt Pires,gabriel-pires,5.81,Gabriel Pires,6,4,5.6,0.0,263,71898,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_wzlbP45.png,,9.0,3.0,,1.0,1.0,,,,,,,,,,,,,,
92,América-MG,2.24,0.0,3,D. Avelar,6,Danilo Fernando Avelar,danilo-avelar,3.62,Danilo Avelar,6,3,1.93,0.0,327,72142,https://s.sde.globo.com/media/person_role/2022/04/12/2a7b85e6015605e0770fe393faf72a9a_FORMATO.png,,2.0,2.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,
93,Atlético-MG,4.99,9.0,6,Everson,6,Everson Felipe Marques Pires,everson,6.18,Everson,7,1,4.08,1.16,282,72294,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_XhJDp6n.png,1.0,,,,,1.0,,,,3.0,,,15.0,5.0,,,,,,
94,São Paulo,6.78,0.0,0,F. Alves,6,Felipe Alves Raymundo,felipe-alves,6.0,Felipe Alves,6,1,0.0,0.0,276,72372,https://s.sde.globo.com/media/person_role/2022/08/16/19b70a0ace7230f7a5033ad9270abf7e_FORMATO.png,,,,,,,,,,,,,,,,,,,,
95,Fluminense,4.94,8.03,6,F. Diniz,6,Fernando Diniz Silva,fernando-diniz,15.05,Fernando Diniz,7,6,7.14,0.18,266,72391,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_dcBENR5.png,,,,,,,,,,,,,,,,,,,4.0,
96,Internacional,6.15,0.0,3,G. Campanharo,6,Gustavo Campanharo,gustavo-campanharo,6.66,Gustavo Campanharo,6,4,5.07,0.0,285,72497,https://s.sde.globo.com/media/person_role/2023/04/02/photo_FORMATO_Fbab3V0.png,1.0,12.0,6.0,3.0,,,,,,,,,,,,,,,,
97,Goiás,4.22,7.7,5,Maguinho,6,Magno José da Silva,maguinho,2.93,Maguinho,7,2,1.6,1.48,290,72532,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_r03QzyK.png,1.0,3.0,13.0,,1.0,7.0,1.0,,,,1.0,,,,,,,,,
98,América-MG,0.9,1.0,5,M. Cavichioli,6,Matheus Fernando Cavichioli,matheus-cavichioli,6.74,Matheus Cavichioli,7,1,1.74,-0.64,327,72580,https://s.sde.globo.com/media/person_role/2021/06/04/4b9a4cd7759d0ef36a25a02c4b9cf8a8_FORMATO.png,,,1.0,,,,,,,,1.0,,19.0,14.0,1.0,,,,,
99,Internacional,1.25,1.8,6,P. Henrique,6,Pedro Henrique Konzen Medina da Silva,pedro-henrique,5.5,Pedro Henrique,7,5,1.82,-0.25,285,72583,https://s.sde.globo.com/media/person_role/2022/04/12/5422d339b6546dc0505e80e10b027269_FORMATO.png,,4.0,8.0,4.0,3.0,4.0,,7.0,,,,,,,,,,,,
100,Fortaleza,5.56,0.0,1,M. Kozlinski,6,Maurício Kozlinski,mauricio-kozlinski,4.92,Maurício Kozlinski,7,1,6.0,0.0,356,72595,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_mZtm5zI.png,,,,,,,,,,1.0,,,1.0,,,,,,,
101,Bahia,0.76,0.8,2,V. Hugo,6,Vitor Hugo Franchescoli de Souza,vitor-hugo,5.22,Vitor Hugo,7,3,2.45,-0.6,265,72605,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_HuEb513.png,1.0,4.0,,,2.0,1.0,,,,,,,,,,,1.0,,,
102,Cuiabá,0.0,-0.3,6,Ceppelini,6,Pablo Daniel Ceppelini Gatto,ceppelini,3.33,Ceppelini,6,4,1.42,-0.41,1371,72762,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_l5sEyLV.png,2.0,3.0,5.0,3.0,1.0,8.0,,,,,,,,,,,,,,
103,Internacional,0.87,1.1,5,L. Adriano,6,Luiz Adriano de Souza da Silva,luiz-adriano,5.21,Luiz Adriano,7,5,2.18,-0.81,285,72772,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_SJwFoxe.png,,2.0,1.0,1.0,1.0,2.0,,2.0,2.0,,,,,,,,,,,
104,Athlético-PR,1.65,2.5,3,Fernandinho,6,Fernando Luiz Rosa,fernandinho,6.09,Fernandinho,7,4,2.27,-0.54,293,72775,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_X6EpiKc.png,2.0,4.0,8.0,,,5.0,,1.0,,,,,,,,1.0,1.0,,,
105,Internacional,2.77,4.8,4,Mercado,6,Gabriel Iván Mercado,mercado,5.95,Mercado,6,3,4.07,0.25,285,72951,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_rOFNbA7.png,2.0,9.0,4.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,,
106,Botafogo,7.22,0.0,1,D. Borges,6,Daniel Fortunato Borges,daniel-borges,6.39,Daniel Borges,6,2,5.9,0.0,263,73318,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_KcG4Ldd.png,,4.0,2.0,1.0,,1.0,,,,,,,,,,,,,,
107,Fluminense,5.64,0.0,3,S. Xavier,6,Samuel Xavier Brito,samuel-xavier,11.17,Samuel Xavier,2,2,5.97,0.0,266,73384,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_GJkHCf2.png,1.0,2.0,3.0,1.0,1.0,1.0,,1.0,,2.0,,,,,,1.0,,,,
108,Internacional,0.79,0.0,3,J. Dias,6,Jean Dias da Costa,jean-dias,3.55,Jean Dias,5,5,2.43,0.0,285,73479,https://s.sde.globo.com/media/person_role/2023/04/10/photo_FORMATO_UU1DWbN.png,,1.0,3.0,,,4.0,,,,,,,,,,1.0,,,,
109,Grêmio,3.76,6.4,6,B. Alves,6,Bruno Fabiano Alves,bruno-alves,7.12,Bruno Alves,7,3,2.48,1.14,284,73620,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_QXt8Pw7.png,1.0,2.0,4.0,1.0,2.0,4.0,,1.0,,2.0,,,,,,,,,,
110,Goiás,1.9,0.0,3,G. Marques,6,Guilherme Costa Marques,guilherme-marques,2.69,Guilherme Marques,6,5,0.87,0.0,290,73781,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_8U4l1F1.png,,2.0,2.0,,1.0,,,,,,,,,,,,,,,
111,Flamengo,4.49,0.0,1,R. Caio,6,Rodrigo Caio Coquette Russo,rodrigo-caio,3.97,Rodrigo Caio,6,3,0.0,0.0,262,73800,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8nCiWcT.png,,,,,,,,,,,,,,,,,,,,
112,América-MG,1.49,2.3,5,Aloísio,6,Aloísio dos Santos Gonçalves,aloisio,8.75,Aloísio,7,5,8.24,-1.77,327,73850,https://s.sde.globo.com/media/person_role/2022/03/31/a411b722d7d0edc88f871c1a48191dc1_FORMATO.png,1.0,1.0,9.0,3.0,5.0,3.0,3.0,4.0,2.0,,,,,,,1.0,,,,
113,Santos,0.2,0.0,3,Alison,6,Alison Lopes Ferreira,alison,3.17,Alison,6,4,1.2,-0.61,277,73974,https://s.sde.globo.com/media/person_role/2021/05/04/83ae4938b05e0e1d67ad49af17785e89_FORMATO.png,,3.0,,,,,,,,,,,,,,,,,,
114,Botafogo,9.04,0.0,0,G. Fernández,6,Roberto Junior Fernández Torres,gatito-fernandez,8.0,Gatito Fernández,6,1,0.0,0.0,263,74061,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_zKZCWAI.png,,,,,,,,,,,,,,,,,,,,
115,Botafogo,4.52,0.0,0,L. Piazon,6,Gustavo Lucas Domingues Piazón,lucas-piazon,4.0,Lucas Piazon,6,4,0.0,0.0,263,74084,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_8iJQEr4.png,,,,,,,,,,,,,,,,,,,,
116,Coritiba,1.18,0.0,3,W. Pottker,6,William de Oliveira Pottker,william-pottker,3.27,William Pottker,6,5,1.07,0.0,294,77809,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_yjb57GF.png,1.0,2.0,3.0,1.0,,3.0,,,,,,,,,,,,,,
117,Athlético-PR,0.54,0.5,4,Madson,6,Madson Ferreira dos Santos,madson,5.9,Madson,6,2,2.45,-1.04,293,78077,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_UA5MZDv.png,,2.0,2.0,,2.0,3.0,,1.0,,1.0,,,,,,,,,,
118,Bahia,5.12,0.0,4,Everaldo,6,Everaldo Stum,everaldo,9.34,Everaldo,6,5,3.2,0.0,265,78117,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_8pHdjST.png,,1.0,5.0,2.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,
119,Internacional,3.38,0.0,5,Renê,6,Renê Rodrigues Martins,rene,9.13,Renê,2,2,4.68,0.0,285,78445,https://s.sde.globo.com/media/person_role/2022/04/12/89131124e240b53f50f1fe351ceb880d_FORMATO.png,,14.0,4.0,,1.0,4.0,,,,1.0,,,,,,,,,,
120,Cuiabá,0.23,-0.1,6,J. Cafu,6,Jonathan Renato Barbosa,jonathan-cafu,6.05,Jonathan Cafu,7,5,2.67,-0.73,1371,78580,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_7bHRcHm.png,1.0,8.0,4.0,,1.0,6.0,,2.0,,,,,,,,1.0,,,,
121,Internacional,6.78,0.0,0,Gabriel,6,Gabriel Girotto Franco,gabriel,6.0,Gabriel,5,4,0.0,0.0,285,78605,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_GUlE7bV.png,,,,,,,,,,,,,,,,,,,,
122,Cruzeiro,2.39,4.2,5,Ramiro,6,Ramiro Moschen Benetti,ramiro,6.14,Ramiro,7,4,4.38,-0.29,283,78715,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_Yl1MU4D.png,3.0,8.0,7.0,1.0,4.0,,1.0,,,,,,,,,1.0,,,,
123,Grêmio,2.24,3.4,2,Reinaldo,6,Reinaldo Manoel da Silva,reinaldo,6.56,Reinaldo,7,2,1.55,0.45,284,78850,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_YOXKUlg.png,1.0,1.0,7.0,,,,,,,1.0,,,,,,,,,,
124,Fluminense,1.18,2.0,5,T. Santos,6,Thiago dos Santos,thiago-santos,2.08,Thiago Santos,6,4,0.44,0.51,266,78855,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_xMjWx6h.png,2.0,4.0,7.0,,,3.0,,,,,,,,,,,,,,
125,Botafogo,3.39,0.0,0,D. Borges,6,Douglas Borges,douglas-borges,3.0,Douglas Borges,6,1,0.0,0.0,263,78893,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_33D9G2h.png,,,,,,,,,,,,,,,,,,,,
126,Santos,3.39,0.0,0,L. Felipe,6,Luiz Felipe do Nascimento dos Santos,luiz-felipe,3.0,Luiz Felipe,6,3,0.0,0.0,277,79035,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_aiqNBl6.png,,,,,,,,,,,,,,,,,,,,
127,Botafogo,5.53,0.0,5,V. Cuesta,6,Víctor Leandro Cuesta,victor-cuesta,8.58,Víctor Cuesta,7,3,4.26,0.0,263,79113,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_iLUMfpx.png,3.0,5.0,3.0,1.0,,,,,1.0,2.0,,,,,,1.0,,,,
128,Fortaleza,0.32,0.2,5,S. Romero,6,Silvio Ezequiel Romero,silvio-romero,4.93,Silvio Romero,6,5,2.98,-0.41,356,79188,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_So2bREb.png,1.0,1.0,4.0,,2.0,3.0,1.0,2.0,,,,,,,,1.0,,,,
129,Cuiabá,-0.54,0.0,4,F. Augusto,6,Filipe Augusto Carvalho Souza,filipe-augusto,1.92,Filipe Augusto,7,4,1.67,0.0,1371,79268,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_S95pz8G.png,,8.0,8.0,,,5.0,,,,,1.0,,,,,,,,,
130,América-MG,0.8,1.3,4,R. Silva,6,Ricardo César Dantas da Silva,ricardo-silva,2.11,Ricardo Silva,7,3,1.15,-0.09,327,79334,https://s.sde.globo.com/media/person_role/2021/06/04/a95541b4ee84849f6e060a780b86704d_FORMATO.png,1.0,4.0,4.0,,,4.0,,,,,,,,,,,,,,
131,Fluminense,2.28,2.8,6,Cano,6,Germán Ezequiel Cano,cano,15.2,Cano,7,5,5.43,-1.26,266,79631,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_CKcA05y.png,,4.0,5.0,4.0,8.0,1.0,2.0,4.0,2.0,,,,,,,,,1.0,,
132,Grêmio,2.37,0.0,3,L. Silva,6,Lucas Silva Borges,lucas-silva,5.25,Lucas Silva,6,4,3.1,0.0,284,79701,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_22BJorG.png,,7.0,2.0,,,3.0,,,,,,,,,,,,,,
133,Coritiba,2.99,5.3,4,Z. Roberto,6,José Roberto Assunção de Araújo Filho,ze-roberto,4.31,Zé Roberto,7,5,3.73,0.26,294,80076,https://s.sde.globo.com/media/person_role/2023/04/10/photo_220x220_Mzobxer.png,2.0,1.0,9.0,1.0,1.0,7.0,1.0,1.0,,,,,,,,1.0,,,,
134,Fortaleza,1.13,1.4,6,Y. Pikachu,6,Glaybson Yago Souza Lisboa,yago-pikachu,8.52,Yago Pikachu,6,4,4.0,-0.58,356,80196,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_jUc4EZ2.png,1.0,1.0,2.0,2.0,4.0,6.0,2.0,2.0,,,,,,,,,,,,
135,São Paulo,2.13,3.0,6,Luciano,6,Luciano da Rocha Neves,luciano,11.2,Luciano,2,5,4.45,0.11,276,80287,https://s.sde.globo.com/media/person_role/2022/03/01/aeb1926a6ddb270206f4ceffcf701d4b_FORMATO.png,2.0,2.0,5.0,3.0,3.0,10.0,2.0,2.0,,,,,,,,1.0,,1.0,,
136,Santos,4.28,7.5,6,L. Lima,6,Lucas Rafael Araújo Lima,lucas-lima,7.37,Lucas Lima,7,4,4.22,0.62,277,80583,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_l0JerUa.png,2.0,10.0,12.0,2.0,2.0,10.0,,1.0,,,,,,,,2.0,,,,
137,Palmeiras,2.26,3.6,3,Luan,6,Luan Garcia Teixeira,luan,7.43,Luan,7,3,7.03,-0.59,275,80692,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_cnIvHfj.png,,4.0,5.0,,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,
138,Grêmio,7.91,0.0,0,P. Geromel,6,Pedro Tonon Geromel,pedro-geromel,7.0,Pedro Geromel,6,3,0.0,0.0,284,80853,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_2mIyND1.png,,,,,,,,,,,,,,,,,,,,
139,Vasco,3.8,6.4,6,Jair,6,Jair Rodrigues Júnior,jair,8.78,Jair,7,4,4.1,0.3,267,81091,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,1.0,13.0,10.0,1.0,1.0,22.0,,,,,,,,,,,,,,
140,Bahia,3.84,0.0,1,L. Mugni,6,Lucas Andrés Mugni,lucas-mugni,3.4,Lucas Mugni,6,4,-0.3,0.0,265,81121,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_t30cY72.png,,,1.0,,,,,,,,,,,,,,,,,
141,Palmeiras,1.58,2.4,4,Mayke,6,Mayke Rocha de Oliveira,mayke,6.48,Mayke,7,2,5.1,-1.76,275,81150,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_VrbLrFd.png,2.0,5.0,8.0,,1.0,,1.0,,,1.0,,,,,,1.0,,,,
142,São Paulo,0.18,0.0,6,Alisson,6,Alisson Euler de Freitas Castro,alisson,4.53,Alisson,7,4,2.53,-0.62,276,81845,https://s.sde.globo.com/media/person_role/2022/03/01/14ebdbca4e280cd9dfdb9b7e2148afe0_FORMATO.png,1.0,6.0,5.0,1.0,3.0,4.0,,1.0,,,,,,,,1.0,,,,
143,Fortaleza,3.26,11.0,1,J. Ricardo,6,João Ricardo Riedi,joao-ricardo,7.35,João Ricardo,6,1,11.0,0.35,356,81881,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_KgJZuxA.png,,,,,,,,,,1.0,,,6.0,,,,,,,
144,Cruzeiro,5.2,9.2,3,H. Dourado,6,José Henrique da Silva Dourado,henrique-dourado,5.67,Henrique Dourado,2,5,3.0,1.92,283,81905,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_X04virK.png,1.0,2.0,6.0,,,3.0,1.0,1.0,,,,,,,,,,,,
145,Goiás,-0.42,-1.0,3,W. Oliveira,6,Willian Osmar de Oliveira Silva,willian-oliveira,1.39,Willian Oliveira,7,4,-0.37,-0.33,290,81952,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_9raWzET.png,1.0,1.0,6.0,,,1.0,,,,,,,,,,,,,,
146,América-MG,0.91,1.2,6,Juninho,6,Adilson dos Anjos Oliveira,juninho,5.61,Juninho,7,4,2.37,-0.58,327,82381,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ek7YW7J.png,,7.0,7.0,2.0,2.0,6.0,,1.0,,,,1.0,,,,,,,,
147,Goiás,6.23,0.0,3,Tadeu,6,Tadeu Antônio Ferreira,tadeu,6.48,Tadeu,5,1,2.17,0.0,290,82453,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_jSvkpAL.png,,,,,,1.0,,,,,,,10.0,4.0,,,,,,
148,Palmeiras,3.38,0.0,5,Z. Rafael,6,José Rafael Vivian,ze-rafael,10.34,Zé Rafael,7,4,4.68,0.0,275,82455,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_XlK02hD.png,3.0,13.0,17.0,3.0,1.0,13.0,,,,,,,,,,1.0,,,,
149,Atlético-MG,2.42,0.0,3,Otávio,6,Otávio Henrique Passos Santos,otavio,4.5,Otávio,6,4,1.77,0.0,282,82463,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,2.0,5.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,
150,Fortaleza,6.71,0.0,5,Tinga,6,Guilherme de Jesus da Silva,tinga,9.62,Tinga,7,2,5.42,0.0,356,82628,https://s.sde.globo.com/media/person_role/2022/05/12/98abba841d176135f9ec02a557177a7f_FORMATO.png,,13.0,3.0,1.0,1.0,1.0,,1.0,,2.0,,,,,,,,,,
151,Goiás,0.17,0.0,3,M. Rangel,6,Marcelo Rangel da Rosa,marcelo-rangel,2.34,Marcelo Rangel,7,1,0.0,-0.38,290,82730,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_jsdA8Zf.png,,,,,,,,,,,,,8.0,8.0,,,,,,
152,Athlético-PR,4.69,8.01,6,P. Turra,6,Paulo César Turra,paulo-turra,10.63,Paulo Turra,7,6,5.84,0.42,293,82747,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_L21KedQ.png,,,,,,,,,,,,,,,,,,,4.0,
153,São Paulo,2.32,3.8,6,W. Rato,6,Wellington Soares da Silva,wellington-rato,5.94,Wellington Rato,6,4,2.13,0.24,276,82766,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_bPEXkEO.png,1.0,8.0,5.0,2.0,1.0,5.0,,,,,,,,,,,,,,
154,Vasco,2.1,3.17,6,M. Barbieri,6,Maurício Nogueira Barbieri,mauricio-barbieri,8.95,Maurício Barbieri,7,6,4.01,-0.15,267,82792,https://s.sde.globo.com/media/person_role/2021/04/27/1cc4a56a4aefc5902e503c4834666651_FORMATO.png,,,,,,,,,,,,,,,,,,,1.0,
155,Flamengo,6.31,10.7,5,Gabriel,6,Gabriel Barbosa Almeida,gabriel,15.25,Gabriel,7,5,6.94,-0.19,262,83257,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_mbchRWW.png,3.0,,1.0,6.0,5.0,6.0,3.0,2.0,,,,,,,,,,,,
156,Atlético-MG,2.03,3.2,6,Patrick,6,Patrick Bezerra do Nascimento,patrick,6.54,Patrick,7,4,2.5,-0.09,282,83433,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_TvGvJD9.png,,10.0,1.0,,1.0,5.0,,,,,,,,,,,,,,
157,Flamengo,1.3,1.3,6,L. Pereira,6,Leonardo Pereira,leo-pereira,13.9,Léo Pereira,7,3,6.75,-0.89,262,83528,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_Wclql1X.png,1.0,12.0,6.0,,,6.0,2.0,1.0,,2.0,,,,,,,,,,
158,Cruzeiro,4.52,0.0,1,Neris,6,Hueglo Neris dos Santos,neris,4.0,Neris,6,3,6.1,0.0,283,83786,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_U329TT2.png,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,
159,Botafogo,7.41,12.4,6,T. Soares,6,Francisco das Chagas Soares dos Santos Meireles,tiquinho-soares,20.27,Tiquinho Soares,7,5,11.35,-0.13,263,84042,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_TbDAa67.png,2.0,4.0,6.0,1.0,5.0,9.0,6.0,6.0,,,,,,,,2.0,,,,
160,Atlético-MG,2.21,3.4,6,Jemerson,6,Jemerson de Jesus Nascimento,jemerson,8.3,Jemerson,7,3,3.48,-0.14,282,84263,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_LiuUOj2.png,1.0,2.0,7.0,1.0,,1.0,,1.0,,3.0,,,,,,1.0,,,,
161,Goiás,5.46,9.9,5,B. Melo,6,Bruno Ferreira Melo,bruno-melo,5.01,Bruno Melo,7,3,2.6,1.78,290,84339,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_FEUiEbp.png,3.0,4.0,3.0,,4.0,4.0,1.0,1.0,,,,,,,,,1.0,,,
162,Cuiabá,3.9,6.9,3,F. Sobral,6,Fernando Pereira do Nascimento,fernando-sobral,5.75,Fernando Sobral,6,4,3.93,0.42,1371,84428,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_DOXZ9Xn.png,,9.0,5.0,,,5.0,,,,,,,,,,,,,,
163,Fortaleza,1.23,2.0,4,Romarinho,6,José Romário Silva de Souza,romarinho,3.39,Romarinho,6,5,1.25,-0.08,356,84523,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_UU97nfg.png,,,1.0,1.0,2.0,5.0,,,,,,,,,,,,,,
164,Bragantino,4.08,7.2,5,L. Evangelista,6,Lucas Evangelista Santana de Oliveira,lucas-evangelista,6.44,Lucas Evangelista,7,4,4.06,1.28,280,84674,https://s.sde.globo.com/media/person_role/2022/05/05/175c2911cb392a7305aef49766feb459_FORMATO.png,,6.0,4.0,1.0,2.0,13.0,,,,,,,,,,1.0,,,,
165,Flamengo,5.65,0.0,0,Varela,6,Guillermo Varela Olivera,varela,5.0,Varela,6,2,0.0,0.0,262,84816,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_M1z2XK5.png,,,,,,,,,,,,,,,,,,,,
166,Coritiba,6.84,12.4,5,Robson,6,Robson dos Santos Fernandes,robson,6.32,Robson,6,5,4.26,1.77,294,84817,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_wdF92Dr.png,,6.0,7.0,1.0,,4.0,1.0,,,,,,,,,1.0,,,,
167,Bahia,-0.82,-2.0,6,M. Felipe,6,Marcos Felipe de Freitas Monteiro,marcos-felipe,5.49,Marcos Felipe,7,1,2.75,-1.0,265,85004,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_kJmHr1X.png,,,,,,1.0,,,,1.0,,,22.0,11.0,,,,,,
168,Palmeiras,3.39,0.0,0,V. Silvestre,6,Vinicius Silvestre da Costa,vinicius-silvestre,3.0,Vinicius Silvestre,6,1,0.0,0.0,275,85083,https://s.sde.globo.com/media/person_role/2022/02/21/6b18b6e2028293647615790cb3edf11f_FORMATO.png,,,,,,,,,,,,,,,,,,,,
169,Corinthians,9.4,0.0,1,Cantillo,6,Víctor Danilo Cantillo Jiménez,cantillo,8.32,Cantillo,6,4,8.9,0.0,264,85315,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_XLtLBFc.png,,6.0,,1.0,,1.0,,,,,,,,,,,,,,
