,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.nome,atletas.slug,atletas.preco_num,atletas.apelido,atletas.status_id,atletas.posicao_id,atletas.media_num,atletas.variacao_num,atletas.clube_id,atletas.atleta_id,atletas.foto,CA,DS,FC,FD,FF,FS,G,I,FT,SG,CV,PS,DE,GS,DP,A,PC,PP,V,GC
19,Corinthians,2.06,3.2,5,Fagner,6,Fagner Conserva Lemos,fagner,7.48,Fagner,7,2,4.02,-0.45,264,42500,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,2.0,12.0,4.0,,3.0,7.0,,,1.0,,,,,,,,,,,
20,Fluminense,2.98,5.0,3,D. Braz,6,David Braz de Oliveira Filho,david-braz,6.48,David Braz,6,3,5.0,0.26,266,50317,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,,,,,,,,,,3.0,,,,,,,,,,
21,Atlético-MG,6.78,0.0,0,A. Kardec,6,Alan Kardec de Sousa Pereira Júnior,alan-kardec,6.0,Alan Kardec,6,5,0.0,0.0,282,50347,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,,,,,,,,,,,,,,,,,,,,
22,Fortaleza,3.62,6.3,6,Titi,6,Christian Chagas Tarouco,titi,7.55,Titi,7,3,4.92,-0.15,356,50353,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,1.0,10.0,5.0,1.0,1.0,6.0,,,,3.0,,,,,,,,,,
23,Goiás,2.87,4.96,6,E. Ávila,6,Emerson Rodrigues Ávila,emerson-avila,6.42,Emerson Ávila,7,6,3.87,0.4,290,50456,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_dFLXQrB.png,,,,,,,,,,,,,,,,,,,2.0,
24,Coritiba,0.44,0.5,3,Henrique,6,Henrique Adriano Buss,henrique,2.81,Henrique,7,3,0.8,0.02,294,50856,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,1.0,2.0,4.0,1.0,,2.0,,,,,,,,,,,,,,
25,Goiás,2.98,0.0,3,Apodi,6,Luiz Diallison de Souza Alves,apodi,5.84,Apodi,6,2,3.57,0.0,290,51042,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,,1.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,
26,Cuiabá,-1.38,-3.0,6,Walter,6,Walter Leandro Capeloza Artune,walter,3.21,Walter,7,1,0.33,-0.8,1371,51413,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,1.0,,,,,,,,,,,,15.0,12.0,,,,,,
27,Corinthians,0.54,0.7,5,Giuliano,6,Giuliano Victor de Paula,giuliano,2.72,Giuliano,6,4,0.5,0.01,264,51548,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,1.0,2.0,4.0,,1.0,3.0,,,,,,,,,,,,,,
28,Flamengo,7.16,0.0,5,E. Ribeiro,6,Everton Augusto de Barros Ribeiro,everton-ribeiro,10.66,Everton Ribeiro,6,4,5.22,0.0,262,51772,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,,6.0,4.0,2.0,1.0,8.0,1.0,1.0,,,,,,,,1.0,,,,
