,atletas.status_id,atletas.foto,atletas.preco_num,atletas.atleta_id,atletas.variacao_num,atletas.posicao_id,atletas.media_num,atletas.clube.id.full.name,atletas.clube_id,atletas.slug,atletas.nome,atletas.rodada_id,atletas.pontos_num,atletas.apelido_abreviado,atletas.apelido,atletas.jogos_num,atletas.minimo_para_valorizar,CA,DE,FS,GS,PC,SG,V,A,CV,DS,FC,FD,FF,I,PS,FT,G,PP,DP,GC
63,6,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,2.61,69040,0.0,1,0.0,Santos,277,vladimir,Vladimir Orlando Cardoso de Araújo Filho,17,0.0,Vladimir,Vladimir,1,3.4,,2.0,,2.0,,,,,1.0,,,,,,,,,,,
64,5,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,4.64,69051,0.0,1,7.0,Bahia,265,danilo-fernandes,Danilo Fernandes Batista,17,0.0,D. Fernandes,Danilo Fernandes,1,5.21,1.0,7.0,,,,,,,,,,,,,,,,,,
65,6,https://s.sde.globo.com/media/person_role/2023/07/29/photo_FORMATO_XQ6h0ek.png,15.0,69063,0.0,4,0.0,São Paulo,276,james-rodriguez,James David Rodríguez Rubio,17,0.0,J. Rodríguez,James Rodríguez,0,0.04,,,,,,,,,,,,,,,,,,,,
66,6,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,3.95,69102,0.0,5,1.24,Atlético-MG,282,vargas,Eduardo Jesús Vargas Rojas,17,0.0,Vargas,Vargas,11,-1.11,3.0,,4.0,,,,,,,3.0,7.0,2.0,2.0,,1.0,,1.0,,,
67,6,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,12.2,69138,2.4,5,4.99,Athlético-PR,293,pablo,Pablo Felipe Teixeira,17,14.4,Pablo,Pablo,11,10.4,2.0,,12.0,,,,,2.0,,12.0,8.0,3.0,8.0,1.0,,1.0,2.0,,,
68,6,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,3.73,69165,-0.63,3,2.3,Flamengo,262,pablo,Pablo Nascimento Castro,17,0.2,Pablo,Pablo,2,0.17,,,1.0,,,1.0,,,,,3.0,,,,,,,,,
69,2,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_o9GWoGq.png,2.12,69189,-0.8,3,1.78,Goiás,290,sidimar,Sidimar Fernando Cigolini,17,0.0,Sidimar,Sidimar,8,0.01,1.0,,5.0,,,2.0,,,,4.0,6.0,1.0,2.0,,,,,,,1.0
70,7,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_f8gCuyP.png,14.6,69318,-1.58,5,8.44,Grêmio,284,luis-suarez,Luis Alberto Suárez Díaz,17,1.8,L. Suárez,Luis Suárez,13,1.05,2.0,,30.0,,,,,3.0,,8.0,13.0,15.0,20.0,11.0,,5.0,4.0,1.0,,
71,7,https://s.sde.globo.com/media/person_role/2023/07/18/photo_FORMATO_WCyBeDb.png,7.19,69325,-0.14,4,1.38,Internacional,285,aranguiz,Charles Mariano Aránguiz Sandoval,17,1.7,Aránguiz,Aránguiz,5,1.26,,,4.0,,,,,,,4.0,5.0,,2.0,,,,,,,
72,7,https://s.sde.globo.com/media/person_role/2023/07/11/photo_FORMATO_ciMordA.png,5.29,69355,0.47,4,2.55,Vasco,267,medel,Gary Alexis Medel Soto,17,3.6,Medel,Medel,2,2.62,,,,,,,,,,5.0,3.0,,,,,,,,,
73,3,https://s.sde.globo.com/media/person_role/2023/07/14/photo_FORMATO_Bc6F9kP.png,5.62,69375,-0.19,4,2.47,Athlético-PR,293,vidal,Arturo Erasmo Vidal Pardo,17,2.3,Vidal,Vidal,9,1.67,3.0,,10.0,,,,,,,11.0,8.0,2.0,5.0,,,1.0,,,,
74,2,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_k90QI3t.png,3.43,69705,-0.05,4,0.73,Cruzeiro,283,nikao,Maycon Vinícius Ferreira da Cruz,17,2.9,Nikão,Nikão,6,2.14,1.0,,4.0,,,,,,,4.0,4.0,,,2.0,,,,,,
75,5,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_yi6UvNz.png,6.7,70171,0.0,2,5.16,Botafogo,263,rafael,Rafael Pereira da Silva,17,0.0,Rafael,Rafael,9,5.45,2.0,,5.0,,,5.0,,,1.0,22.0,12.0,1.0,,,,,,,,
76,6,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ZWCqzu8.png,4.16,70172,-0.47,2,2.54,Grêmio,284,fabio,Fábio Pereira da Silva,17,1.7,Fábio,Fábio,5,1.25,,,3.0,,,,,1.0,,5.0,2.0,,1.0,,,,,,,
77,7,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Lz9yPNA.png,3.1,70221,-0.72,3,2.06,Grêmio,284,bruno-uvini,Bruno Uvini,17,0.0,B. Uvini,Bruno Uvini,12,-0.03,4.0,,6.0,,1.0,1.0,,,,5.0,7.0,3.0,4.0,,,1.0,1.0,,,
78,2,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_c4X4NEA.png,11.08,70360,-0.33,5,5.46,Bragantino,280,eduardo-sasha,Eduardo Colcenti Antunes,17,0.5,E. Sasha,Eduardo Sasha,17,0.15,2.0,,23.0,,,,,2.0,,8.0,12.0,5.0,10.0,6.0,,2.0,6.0,,,
79,7,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_ovYbvXA.png,4.48,70449,-1.49,1,3.03,Coritiba,294,gabriel,Gabriel Vasconcelos Ferreira - Vasconcellos,17,-1.0,Gabriel,Gabriel,15,-0.81,3.0,57.0,1.0,29.0,,3.0,,1.0,,,,,,,,,,,,
80,7,https://s.sde.globo.com/media/person_role/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,7.12,70666,0.34,3,3.27,Cuiabá,1371,marllon,Marllon Gonçalves Jerônimo Borges,17,2.6,Marllon,Marllon,16,1.79,4.0,,9.0,,1.0,4.0,,1.0,,17.0,13.0,,4.0,,,,1.0,,,
81,7,https://s.sde.globo.com/media/person_role/2023/06/12/photo_FORMATO_M7ylRRT.png,9.27,70788,-0.67,5,3.55,Internacional,285,enner-valencia,Enner Remberto Valencia Lastra,17,3.6,E. Valencia,Enner Valencia,4,2.58,,,8.0,,,,,,,3.0,5.0,2.0,4.0,5.0,,1.0,,,,
82,7,https://s.sde.globo.com/media/person_role/2023/04/17/photo_FORMATO_Fp5qEri.png,11.94,70800,0.14,6,5.92,Flamengo,262,jorge-sampaoli,Jorge Sampaoli,17,5.41,J. Sampaoli,Jorge Sampaoli,16,3.75,,,,,,,8.0,,,,,,,,,,,,,
83,7,https://s.sde.globo.com/media/person_role/2023/06/23/photo_FORMATO.png,7.68,70916,0.82,2,3.01,Fluminense,266,diogo-barbosa,Diogo Barbosa Mendanha,17,8.2,D. Barbosa,Diogo Barbosa,8,5.95,1.0,,12.0,,,2.0,,,,8.0,4.0,,1.0,1.0,,,,,,
