,atletas.clube.id.full.name,atletas.posicao_id,atletas.jogos_num,atletas.atleta_id,atletas.nome,atletas.pontos_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.status_id,atletas.slug,atletas.apelido,atletas.media_num,atletas.clube_id,atletas.preco_num,atletas.foto,CA,DS,FC,FD,FF,FS,FT,G,SG,A,I,V,PP,PS,DE,GS,CV,DP,GC,PC
11,Atlético-MG,2,8,38877,Mariano Ferreira Filho,5.4,11,Mariano,,0.82,7,mariano,Mariano,2.64,282,5.98,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JIN8fSy.png,2.0,13.0,14.0,1.0,,1.0,,,2.0,,,,,,,,,,,
12,Atlético-MG,5,10,39148,Givanildo Vieira de Souza,5.6,11,Hulk,,-0.64,7,hulk,Hulk,8.48,282,16.99,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,4.0,1.0,16.0,11.0,16.0,32.0,,5.0,,2.0,6.0,,,1.0,,,,,,
13,América-MG,6,11,39850,Vagner Carmo Mancini,3.65,11,V. Mancini,,0.14,7,vagner-mancini,Vagner Mancini,3.76,327,7.31,https://s.sde.globo.com/media/person_role/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,,,,,,,,,,,,2.0,,,,,,,,
14,São Paulo,6,10,40990,Dorival Silvestre Júnior,4.39,11,D. Júnior,,0.38,7,dorival-junior,Dorival Júnior,5.5,276,10.9,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,,,,,,,,,,,,5.0,,,,,,,,
15,Corinthians,6,8,41327,Vanderlei Luxemburgo da Silva,7.91,11,V. Luxemburgo,,1.07,7,vanderlei-luxemburgo,Vanderlei Luxemburgo,4.37,264,7.77,https://s.sde.globo.com/media/person_role/2023/05/02/photo_FORMATO_53uYX2K.png,,,,,,,,,,,,2.0,,,,,,,,
16,Grêmio,6,11,41929,Renato Portaluppi,6.77,11,R. Gaúcho,,0.66,7,renato-gaucho,Renato Gaúcho,5.37,284,12.61,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,,,,,,,,,,,,6.0,,,,,,,,
17,Athlético-PR,5,6,42116,Willian Gomes de Siqueira,0.0,11,Willian,,-0.08,6,willian,Willian,2.8,293,5.03,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,,,,,1.0,,,2.0,,,,,,,,,,,,
18,Corinthians,1,11,42234,Cássio Roberto Ramos,9.0,11,Cássio,,1.65,7,cassio,Cássio,2.09,264,7.62,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,2.0,,,,,2.0,,,2.0,,,,,,30.0,15.0,,,,1.0
19,Corinthians,2,10,42500,Fagner Conserva Lemos,7.1,11,Fagner,,1.11,3,fagner,Fagner,4.11,264,8.54,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,3.0,16.0,5.0,,3.0,12.0,1.0,,2.0,1.0,,,,,,,,,,
20,Atlético-MG,6,1,43618,Luiz Felipe Scolari,3.41,11,L. Scolari,,-1.83,7,luiz-felipe-scolari,Luiz Felipe Scolari,3.41,282,9.56,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,,,,,,,,,,,,,,,,,,,,
