,atletas.clube.id.full.name,atletas.posicao_id,atletas.jogos_num,atletas.atleta_id,atletas.nome,atletas.pontos_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.status_id,atletas.slug,atletas.apelido,atletas.media_num,atletas.clube_id,atletas.preco_num,atletas.foto,CA,DS,FC,FD,FF,FS,FT,G,SG,A,I,V,PP,PS,DE,GS,CV,DP,GC,PC
81,Cuiabá,3,10,70666,Marllon Gonçalves Jerônimo Borges,0.4,11,Marllon,,-0.76,7,marllon,Marllon,3.5,1371,6.71,https://s.sde.globo.com/media/person_role/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png,3.0,11.0,8.0,,2.0,7.0,,1.0,2.0,1.0,,,,,,,,,,1.0
82,Internacional,5,0,70788,Enner Remberto Valencia Lastra,0.0,11,E. Valencia,,0.0,6,enner-valencia,Enner Valencia,0.0,285,12.0,https://s.sde.globo.com/media/person_role/2023/06/12/photo_FORMATO_M7ylRRT.png,,,,,,,,,,,,,,,,,,,,
83,Flamengo,6,10,70800,Jorge Sampaoli,2.14,11,J. Sampaoli,,-1.15,7,jorge-sampaoli,Jorge Sampaoli,6.1,262,11.04,https://s.sde.globo.com/media/person_role/2023/04/17/photo_FORMATO_Fp5qEri.png,,,,,,,,,,,,5.0,,,,,,,,
84,Fluminense,2,6,70916,Diogo Barbosa Mendanha,0.0,11,D. Barbosa,,0.0,6,diogo-barbosa,Diogo Barbosa,2.0,266,6.95,https://s.sde.globo.com/media/person_role/2023/06/23/photo_FORMATO.png,1.0,5.0,4.0,,1.0,5.0,,,1.0,,1.0,,,,,,,,,
85,Athlético-PR,4,4,70986,Leonardo Cittadini,1.7,11,L. Cittadini,,0.31,6,leo-cittadini,Léo Cittadini,0.3,293,1.83,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_iZBbl8l.png,,1.0,6.0,,1.0,2.0,,,,,,,,,,,,,,
86,Grêmio,4,11,71162,Vinícius Goes Barbosa de Souza,2.1,11,Vina,,0.23,6,vina,Vina,1.76,284,5.23,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_q8oUM9e.png,2.0,2.0,3.0,4.0,2.0,11.0,,1.0,,,,,,,,,,,,
87,Fortaleza,1,4,71571,Fernando Miguel Kaufmann,0.0,11,F. Miguel,,0.0,5,fernando-miguel,Fernando Miguel,5.25,356,10.86,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_qLr4Pp0.png,,,,,,,,,1.0,,,,,,20.0,4.0,,,,
88,Palmeiras,1,10,71631,Weverton Pereira da Silva,0.0,11,Weverton,,0.0,7,weverton,Weverton,3.66,275,10.15,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_PN9nfV7.png,,,,,,1.0,,,3.0,,,,,,29.0,8.0,,,,
89,Palmeiras,3,10,71684,Gustavo Raúl Gómez Portillo,2.9,11,G. Gómez,,0.35,7,gustavo-gomez,Gustavo Gómez,3.07,275,8.67,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_WsvPa3o.png,3.0,13.0,10.0,2.0,1.0,6.0,,,2.0,1.0,1.0,,,,,,,,,
90,Coritiba,4,6,71829,Ocimar de Almeida Júnior,0.0,11,J. Urso,,0.0,6,junior-urso,Júnior Urso,1.23,294,4.08,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7ft8zu4.png,2.0,3.0,4.0,1.0,1.0,10.0,,,,,,,,,,,,,,
91,Fortaleza,5,8,71844,Thiago Galhardo do Nascimento Rocha,2.4,11,T. Galhardo,,0.33,7,thiago-galhardo,Thiago Galhardo,3.35,356,6.55,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_LaKDS7J.png,1.0,2.0,2.0,4.0,3.0,6.0,,2.0,,,2.0,,,,,,,,,
92,Botafogo,4,3,71898,Gabriel Appelt Pires,0.0,11,G. Pires,,0.0,6,gabriel-pires,Gabriel Pires,4.57,263,5.61,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_wzlbP45.png,,11.0,7.0,,2.0,2.0,,,,,,,,,,,,,,
93,América-MG,3,8,72142,Danilo Fernando Avelar,9.3,11,D. Avelar,,0.5,7,danilo-avelar,Danilo Avelar,5.26,327,6.45,https://s.sde.globo.com/media/person_role/2022/04/12/2a7b85e6015605e0770fe393faf72a9a_FORMATO.png,1.0,8.0,11.0,3.0,1.0,3.0,1.0,3.0,1.0,,1.0,,,,,1.0,,,,
94,Atlético-MG,1,11,72294,Everson Felipe Marques Pires,2.5,11,Everson,,0.21,7,everson,Everson,3.82,282,6.02,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_XhJDp6n.png,2.0,,,,,4.0,,,4.0,,,,,,31.0,9.0,,,,
95,São Paulo,1,0,72372,Felipe Alves Raymundo,0.0,11,F. Alves,,0.0,6,felipe-alves,Felipe Alves,0.0,276,6.0,https://s.sde.globo.com/media/person_role/2022/08/16/19b70a0ace7230f7a5033ad9270abf7e_FORMATO.png,,,,,,,,,,,,,,,,,,,,
96,Fluminense,6,11,72391,Fernando Diniz Silva,2.66,11,F. Diniz,,-0.33,7,fernando-diniz,Fernando Diniz,5.63,266,13.86,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_dcBENR5.png,,,,,,,,,,,,5.0,,,,,,,,
97,Internacional,4,7,72497,Gustavo Campanharo,-1.1,11,G. Campanharo,,-0.32,7,gustavo-campanharo,Gustavo Campanharo,2.54,285,4.8,https://s.sde.globo.com/media/person_role/2023/04/02/photo_FORMATO_Fbab3V0.png,4.0,17.0,14.0,3.0,,4.0,,,,,,,,,,,,,,
98,Goiás,2,9,72532,Magno José da Silva,10.3,11,Maguinho,,1.67,7,maguinho,Maguinho,3.37,290,4.68,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_r03QzyK.png,3.0,10.0,25.0,,6.0,12.0,,2.0,1.0,,,,,,,,1.0,,,
99,América-MG,1,6,72580,Matheus Fernando Cavichioli,1.5,11,M. Cavichioli,,-0.61,7,matheus-cavichioli,Matheus Cavichioli,1.7,327,6.13,https://s.sde.globo.com/media/person_role/2021/06/04/4b9a4cd7759d0ef36a25a02c4b9cf8a8_FORMATO.png,,,1.0,,,1.0,,,,,,,,,26.0,17.0,1.0,1.0,1.0,
100,Internacional,5,10,72583,Pedro Henrique Konzen Medina da Silva,9.5,11,P. Henrique,,1.54,7,pedro-henrique,Pedro Henrique,3.68,285,7.78,https://s.sde.globo.com/media/person_role/2022/04/12/5422d339b6546dc0505e80e10b027269_FORMATO.png,,11.0,17.0,4.0,10.0,6.0,,1.0,,1.0,11.0,,,1.0,,,,,,
101,Fortaleza,1,1,72595,Maurício Kozlinski,0.0,11,M. Kozlinski,,0.0,6,mauricio-kozlinski,Maurício Kozlinski,6.0,356,4.92,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_mZtm5zI.png,,,,,,,,,1.0,,,,,,1.0,,,,,
102,Bahia,3,7,72605,Vitor Hugo Franchescoli de Souza,4.7,11,V. Hugo,,0.51,7,vitor-hugo,Vitor Hugo,2.66,265,5.93,https://s.sde.globo.com/media/person_role/2023/04/14/photo_FORMATO_HuEb513.png,1.0,7.0,4.0,,3.0,2.0,,,2.0,,,,,,,,,,,1.0
103,Cuiabá,4,10,72762,Pablo Daniel Ceppelini Gatto,2.0,11,Ceppelini,,0.24,6,ceppelini,Ceppelini,1.39,1371,3.56,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_l5sEyLV.png,2.0,4.0,5.0,4.0,4.0,9.0,,,,,,,,,,,,,,
104,Internacional,5,10,72772,Luiz Adriano de Souza da Silva,3.1,11,L. Adriano,,-0.67,7,luiz-adriano,Luiz Adriano,3.35,285,6.31,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_SJwFoxe.png,,4.0,6.0,3.0,4.0,10.0,2.0,1.0,,1.0,3.0,,,,,,,,,
105,Athlético-PR,4,4,72775,Fernando Luiz Rosa,0.0,11,Fernandinho,,0.0,5,fernandinho,Fernandinho,1.83,293,5.65,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_X6EpiKc.png,2.0,4.0,8.0,,,6.0,,,,1.0,1.0,,,,,,,,,1.0
106,Internacional,3,6,72951,Gabriel Iván Mercado,3.4,11,Mercado,,0.24,3,mercado,Mercado,3.22,285,5.31,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_rOFNbA7.png,3.0,9.0,9.0,2.0,1.0,2.0,,,2.0,,,,,,,,,,,
107,Botafogo,2,1,73318,Daniel Fortunato Borges,0.0,11,D. Borges,,0.0,6,daniel-borges,Daniel Borges,5.9,263,6.39,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_KcG4Ldd.png,,4.0,2.0,1.0,,1.0,,,,,,,,,,,,,,
108,Fluminense,2,7,73384,Samuel Xavier Brito,8.9,11,S. Xavier,,1.07,7,samuel-xavier,Samuel Xavier,4.85,266,10.9,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_GJkHCf2.png,3.0,5.0,8.0,2.0,5.0,8.0,,1.0,2.0,1.0,1.0,,,,,,,,,
109,Internacional,5,7,73479,Jean Dias da Costa,1.3,11,J. Dias,,-0.07,6,jean-dias,Jean Dias,1.58,285,3.07,https://s.sde.globo.com/media/person_role/2023/04/10/photo_FORMATO_UU1DWbN.png,1.0,2.0,5.0,1.0,2.0,7.0,,,,1.0,1.0,,,,,,,,,
110,Santos,6,0,73580,Paulo Roberto Falcão,0.0,11,Falcão,,0.0,7,falcao,Falcão,0.0,277,10.13,https://s.sde.globo.com/media/person_role/2016/04/07/63e9f957d0da2386dc66f1e38c39b957_220x220.png,,,,,,,,,,,,,,,,,,,,
111,Grêmio,3,11,73620,Bruno Fabiano Alves,2.9,11,B. Alves,,0.47,7,bruno-alves,Bruno Alves,1.85,284,6.18,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_QXt8Pw7.png,1.0,6.0,5.0,1.0,2.0,6.0,,,2.0,,2.0,,,,,,,,,
112,Goiás,5,6,73781,Guilherme Costa Marques,0.9,11,G. Marques,,-0.42,6,guilherme-marques,Guilherme Marques,1.28,290,2.48,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_8U4l1F1.png,2.0,8.0,6.0,1.0,1.0,,,,,,1.0,,,,,,,,,
113,Flamengo,3,1,73800,Rodrigo Caio Coquette Russo,0.0,11,R. Caio,,0.0,6,rodrigo-caio,Rodrigo Caio,0.0,262,3.97,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8nCiWcT.png,,,,,,,,,,,,,,,,,,,,
114,América-MG,5,10,73850,Aloísio dos Santos Gonçalves,4.3,11,Aloísio,,0.44,7,aloisio,Aloísio,5.7,327,9.11,https://s.sde.globo.com/media/person_role/2022/03/31/a411b722d7d0edc88f871c1a48191dc1_FORMATO.png,2.0,2.0,14.0,7.0,10.0,8.0,4.0,3.0,,1.0,6.0,,,,,,,,,
115,Santos,4,5,73974,Alison Lopes Ferreira,0.0,11,Alison,,0.0,5,alison,Alison,1.24,277,3.03,https://s.sde.globo.com/media/person_role/2021/05/04/83ae4938b05e0e1d67ad49af17785e89_FORMATO.png,,5.0,1.0,,,1.0,,,,,,,,,,,,,,
116,Botafogo,1,0,74061,Roberto Junior Fernández Torres,0.0,11,G. Fernández,,0.0,6,gatito-fernandez,Gatito Fernández,0.0,263,8.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_zKZCWAI.png,,,,,,,,,,,,,,,,,,,,
117,Botafogo,4,1,74084,Gustavo Lucas Domingues Piazón,0.0,11,L. Piazon,,0.0,6,lucas-piazon,Lucas Piazon,0.0,263,2.81,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_8iJQEr4.png,,,,,,,,,,,,,,,,,,,,
118,Coritiba,5,4,77809,William de Oliveira Pottker,0.0,11,W. Pottker,,0.0,6,william-pottker,William Pottker,0.8,294,2.92,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_yjb57GF.png,1.0,2.0,3.0,1.0,,3.0,,,,,,,,,,,,,,
119,Athlético-PR,2,8,78077,Madson Ferreira dos Santos,-0.4,11,Madson,,-0.05,7,madson,Madson,1.31,293,5.04,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_UA5MZDv.png,1.0,3.0,8.0,,2.0,8.0,,,1.0,,3.0,,,,,,,,,
120,Bahia,5,9,78117,Everaldo Stum,-1.6,11,Everaldo,,-0.71,3,everaldo,Everaldo,2.66,265,7.79,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_8pHdjST.png,3.0,5.0,12.0,4.0,1.0,7.0,,2.0,,,5.0,,,,,,,,,
121,Internacional,2,9,78445,Renê Rodrigues Martins,5.2,11,Renê,,0.57,7,rene,Renê,4.48,285,9.29,https://s.sde.globo.com/media/person_role/2022/04/12/89131124e240b53f50f1fe351ceb880d_FORMATO.png,1.0,18.0,8.0,,2.0,11.0,,,3.0,,,,,,,,,,,
122,Cuiabá,5,10,78580,Jonathan Renato Barbosa,2.0,11,J. Cafu,,0.04,7,jonathan-cafu,Jonathan Cafu,2.71,1371,6.35,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_7bHRcHm.png,1.0,9.0,7.0,1.0,3.0,12.0,,,,2.0,2.0,,,,,,,,,
123,Internacional,4,0,78605,Gabriel Girotto Franco,0.0,11,Gabriel,,0.0,6,gabriel,Gabriel,0.0,285,6.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_GUlE7bV.png,,,,,,,,,,,,,,,,,,,,
124,Cruzeiro,4,6,78715,Ramiro Moschen Benetti,0.0,11,Ramiro,,0.0,5,ramiro,Ramiro,3.8,283,5.62,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_Yl1MU4D.png,3.0,9.0,8.0,1.0,4.0,,,1.0,,1.0,,,,,,,,,,
125,Grêmio,2,6,78850,Reinaldo Manoel da Silva,12.8,11,Reinaldo,,1.25,7,reinaldo,Reinaldo,4.93,284,8.8,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_YOXKUlg.png,3.0,3.0,10.0,2.0,1.0,2.0,,1.0,1.0,3.0,2.0,,,,,,,,,
126,Fluminense,4,7,78855,Thiago dos Santos,0.0,11,T. Santos,,0.0,6,thiago-santos,Thiago Santos,0.32,266,1.65,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_xMjWx6h.png,2.0,4.0,7.0,,,3.0,,,,,,,,,,,,,,
127,Botafogo,1,0,78893,Douglas Borges,0.0,11,D. Borges,,0.0,6,douglas-borges,Douglas Borges,0.0,263,3.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_33D9G2h.png,,,,,,,,,,,,,,,,,,,,
128,Santos,3,0,79035,Luiz Felipe do Nascimento dos Santos,0.0,11,L. Felipe,,0.0,6,luiz-felipe,Luiz Felipe,0.0,277,3.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_aiqNBl6.png,,,,,,,,,,,,,,,,,,,,
129,Botafogo,3,10,79113,Víctor Leandro Cuesta,6.7,11,V. Cuesta,,-0.03,7,victor-cuesta,Víctor Cuesta,6.18,263,10.2,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_iLUMfpx.png,5.0,13.0,7.0,2.0,3.0,5.0,1.0,1.0,6.0,1.0,,,,,,,,,,
130,Fortaleza,5,9,79188,Silvio Ezequiel Romero,0.0,11,S. Romero,,0.0,6,silvio-romero,Silvio Romero,2.49,356,4.88,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_So2bREb.png,1.0,1.0,5.0,,2.0,3.0,,2.0,,1.0,4.0,,,,,,,,,
131,Cuiabá,4,6,79268,Filipe Augusto Carvalho Souza,-0.8,11,F. Augusto,,-0.37,6,filipe-augusto,Filipe Augusto,1.22,1371,1.59,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_S95pz8G.png,1.0,9.0,10.0,,,7.0,,,,,,,,,,,1.0,,,
132,América-MG,3,5,79334,Ricardo César Dantas da Silva,0.0,11,R. Silva,,0.0,5,ricardo-silva,Ricardo Silva,1.04,327,2.01,https://s.sde.globo.com/media/person_role/2021/06/04/a95541b4ee84849f6e060a780b86704d_FORMATO.png,1.0,5.0,6.0,,,4.0,,,,,,,,,,,,,,
133,Fluminense,5,11,79631,Germán Ezequiel Cano,3.6,11,Cano,,-0.44,7,cano,Cano,4.58,266,14.45,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_CKcA05y.png,1.0,8.0,9.0,7.0,11.0,4.0,2.0,3.0,,,7.0,,1.0,,,,,,,
134,Grêmio,4,4,79701,Lucas Silva Borges,0.0,11,L. Silva,,0.0,6,lucas-silva,Lucas Silva,2.67,284,4.71,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_22BJorG.png,,8.0,3.0,,,4.0,,,,,,,,,,,,,,
135,Coritiba,5,8,80076,José Roberto Assunção de Araújo Filho,0.8,11,Z. Roberto,,-0.23,7,ze-roberto,Zé Roberto,2.79,294,3.81,https://s.sde.globo.com/media/person_role/2023/04/10/photo_FORMATO_Mzobxer.png,2.0,5.0,17.0,3.0,3.0,15.0,,1.0,,1.0,1.0,,,,,,1.0,,,
136,Fortaleza,4,11,80196,Glaybson Yago Souza Lisboa,2.2,11,Y. Pikachu,,0.35,6,yago-pikachu,Yago Pikachu,2.59,356,7.79,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_jUc4EZ2.png,2.0,4.0,5.0,2.0,5.0,10.0,,2.0,,,2.0,,,,,,,,,
137,São Paulo,5,11,80287,Luciano da Rocha Neves,10.3,11,Luciano,,1.26,7,luciano,Luciano,5.08,276,12.79,https://s.sde.globo.com/media/person_role/2022/03/01/aeb1926a6ddb270206f4ceffcf701d4b_FORMATO.png,2.0,3.0,8.0,6.0,9.0,19.0,1.0,3.0,,2.0,2.0,,1.0,,,,,,,
138,Santos,4,11,80583,Lucas Rafael Araújo Lima,2.6,11,L. Lima,,0.47,7,lucas-lima,Lucas Lima,3.78,277,7.11,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_l0JerUa.png,2.0,17.0,25.0,2.0,3.0,16.0,,1.0,,2.0,1.0,,,,,,,,,
139,Palmeiras,3,8,80692,Luan Garcia Teixeira,0.6,11,Luan,,-0.81,2,luan,Luan,4.67,275,7.33,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_cnIvHfj.png,1.0,9.0,12.0,1.0,2.0,5.0,1.0,1.0,3.0,,1.0,,,,,,,,,
140,Grêmio,3,0,80853,Pedro Tonon Geromel,0.0,11,P. Geromel,,0.0,5,pedro-geromel,Pedro Geromel,0.0,284,7.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_2mIyND1.png,,,,,,,,,,,,,,,,,,,,
141,Vasco,4,10,81091,Jair Rodrigues Júnior,0.0,11,Jair,,0.0,7,jair,Jair,4.32,267,8.37,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png,3.0,21.0,15.0,1.0,1.0,29.0,,1.0,,,,,,1.0,,,,,,
142,Bahia,4,2,81121,Lucas Andrés Mugni,0.0,11,L. Mugni,,0.0,6,lucas-mugni,Lucas Mugni,0.45,265,2.98,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_t30cY72.png,,1.0,1.0,,,,,,,,,,,,,,,,,
143,Palmeiras,2,9,81150,Mayke Rocha de Oliveira,6.2,11,Mayke,,-0.05,7,mayke,Mayke,5.3,275,8.1,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_VrbLrFd.png,2.0,15.0,12.0,,1.0,3.0,,1.0,3.0,2.0,,,,,,,,,,
144,São Paulo,4,11,81845,Alisson Euler de Freitas Castro,-0.9,11,Alisson,,-0.2,7,alisson,Alisson,2.75,276,5.01,https://s.sde.globo.com/media/person_role/2022/03/01/14ebdbca4e280cd9dfdb9b7e2148afe0_FORMATO.png,1.0,14.0,14.0,1.0,4.0,9.0,,,,2.0,1.0,,,,,,,,,
145,Fortaleza,1,6,81881,João Ricardo Riedi,8.0,11,J. Ricardo,,-0.11,7,joao-ricardo,João Ricardo,7.0,356,8.28,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_KgJZuxA.png,1.0,,,,,2.0,,,4.0,,,,,,19.0,4.0,,1.0,,
146,Cruzeiro,5,8,81905,José Henrique da Silva Dourado,2.0,11,H. Dourado,,-0.06,6,henrique-dourado,Henrique Dourado,2.69,283,5.08,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_X04virK.png,1.0,3.0,10.0,2.0,7.0,7.0,1.0,1.0,,,6.0,,,,,,,,,
147,Goiás,4,8,81952,Willian Osmar de Oliveira Silva,2.1,11,W. Oliveira,,0.17,3,willian-oliveira,Willian Oliveira,1.61,290,2.59,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_9raWzET.png,3.0,10.0,17.0,1.0,1.0,14.0,,,,,,,,,,,,,,
148,América-MG,4,11,82381,Adilson dos Anjos Oliveira,1.7,11,Juninho,,0.03,7,juninho,Juninho,1.69,327,5.22,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ek7YW7J.png,1.0,10.0,10.0,3.0,2.0,9.0,,,,,1.0,,,1.0,,,,,,
149,Goiás,1,8,82453,Tadeu Antônio Ferreira,9.0,11,Tadeu,,1.66,7,tadeu,Tadeu,3.19,290,6.97,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_jSvkpAL.png,,,,,,1.0,,,1.0,,,,,,30.0,10.0,,,,
150,Palmeiras,4,10,82455,José Rafael Vivian,8.6,11,Z. Rafael,,0.43,7,ze-rafael,Zé Rafael,4.42,275,10.95,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_XlK02hD.png,4.0,27.0,24.0,5.0,2.0,21.0,,,,1.0,1.0,,,,,,,,,
151,Atlético-MG,4,4,82463,Otávio Henrique Passos Santos,0.0,11,Otávio,,0.0,6,otavio,Otávio,2.03,282,4.13,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png,3.0,8.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,
152,Fortaleza,2,10,82628,Guilherme de Jesus da Silva,7.3,11,Tinga,,0.82,7,tinga,Tinga,6.1,356,10.43,https://s.sde.globo.com/media/person_role/2022/05/12/98abba841d176135f9ec02a557177a7f_FORMATO.png,,27.0,5.0,2.0,2.0,3.0,,,5.0,,3.0,,,,,,,,,
153,Goiás,1,3,82730,Marcelo Rangel da Rosa,0.0,11,M. Rangel,,0.0,6,marcelo-rangel,Marcelo Rangel,0.0,290,2.34,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_jsdA8Zf.png,,,,,,,,,,,,,,,8.0,8.0,,,,
154,São Paulo,4,10,82766,Wellington Soares da Silva,0.0,11,W. Rato,,-0.4,6,wellington-rato,Wellington Rato,2.38,276,5.67,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_bPEXkEO.png,2.0,9.0,5.0,2.0,2.0,5.0,,,,2.0,,,,,,,,,,
155,Flamengo,5,8,83257,Gabriel Barbosa Almeida,0.0,11,Gabriel,,0.0,7,gabriel,Gabriel,5.8,262,13.44,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_mbchRWW.png,4.0,2.0,3.0,9.0,8.0,8.0,1.0,3.0,,1.0,3.0,,1.0,,,,,,,
156,Atlético-MG,4,11,83433,Patrick Bezerra do Nascimento,0.0,11,Patrick,,-0.51,6,patrick,Patrick,2.03,282,5.8,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_TvGvJD9.png,1.0,14.0,4.0,1.0,2.0,10.0,,,,,1.0,,,,,,,,,
157,Flamengo,3,10,83528,Leonardo Pereira,4.8,11,L. Pereira,,-0.2,7,leo-pereira,Léo Pereira,6.89,262,14.7,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_Wclql1X.png,1.0,19.0,7.0,,1.0,9.0,,3.0,4.0,,1.0,,,,,,,,,
158,Cruzeiro,3,2,83786,Hueglo dos Santos Neris,0.0,11,Neris,,0.0,6,neris,Neris,3.05,283,3.01,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_U329TT2.png,2.0,2.0,6.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,
159,Botafogo,5,10,84042,Francisco das Chagas Soares dos Santos Meireles,7.8,11,T. Soares,,-0.73,7,tiquinho-soares,Tiquinho Soares,10.28,263,19.85,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_TbDAa67.png,4.0,5.0,13.0,4.0,11.0,18.0,,9.0,,3.0,9.0,,1.0,,,,,,,
160,Atlético-MG,3,10,84263,Jemerson de Jesus Nascimento,2.0,11,Jemerson,,0.08,7,jemerson,Jemerson,3.01,282,7.73,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_LiuUOj2.png,1.0,5.0,13.0,1.0,1.0,4.0,,,4.0,1.0,1.0,,,,,,,,,
161,Goiás,3,10,84339,Bruno Ferreira Melo,11.0,11,B. Melo,,1.85,7,bruno-melo,Bruno Melo,3.83,290,6.6,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_FEUiEbp.png,3.0,6.0,4.0,2.0,5.0,8.0,,2.0,1.0,1.0,1.0,,,,,,,,,1.0
162,Cuiabá,4,8,84428,Fernando Pereira do Nascimento,7.0,11,F. Sobral,,0.77,7,fernando-sobral,Fernando Sobral,6.21,1371,8.01,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_DOXZ9Xn.png,2.0,20.0,11.0,5.0,5.0,16.0,,1.0,,1.0,,,,,,,,,,
163,Fortaleza,5,7,84523,José Romário Silva de Souza,0.0,11,Romarinho,,0.0,6,romarinho,Romarinho,0.96,356,2.9,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_UU97nfg.png,,,1.0,2.0,2.0,6.0,,,,,,,,,,,,,,
164,Bragantino,4,10,84674,Lucas Evangelista Santana de Oliveira,10.7,11,L. Evangelista,,0.96,7,lucas-evangelista,Lucas Evangelista,5.82,280,8.97,https://s.sde.globo.com/media/person_role/2022/05/05/175c2911cb392a7305aef49766feb459_FORMATO.png,1.0,17.0,9.0,2.0,6.0,23.0,1.0,,,4.0,1.0,,,,,,,,,
165,Flamengo,2,1,84816,Guillermo Varela Olivera,0.0,11,Varela,,0.0,6,varela,Varela,5.6,262,4.61,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_M1z2XK5.png,,1.0,2.0,,,,,,1.0,,,,,,,,,,,
166,Coritiba,5,10,84817,Robson dos Santos Fernandes,8.6,11,Robson,,0.96,3,robson,Robson,5.38,294,7.74,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_wdF92Dr.png,3.0,18.0,21.0,3.0,4.0,12.0,,3.0,,1.0,3.0,,,,,,,,,
167,Bahia,1,11,85004,Marcos Felipe de Freitas Monteiro,8.0,11,M. Felipe,,1.07,7,marcos-felipe,Marcos Felipe,3.23,265,7.28,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_kJmHr1X.png,,,,,,1.0,,,3.0,,,,,,36.0,16.0,,,,
168,Palmeiras,1,0,85083,Vinicius Silvestre da Costa,0.0,11,V. Silvestre,,0.0,6,vinicius-silvestre,Vinicius Silvestre,0.0,275,3.0,https://s.sde.globo.com/media/person_role/2022/02/21/6b18b6e2028293647615790cb3edf11f_FORMATO.png,,,,,,,,,,,,,,,,,,,,
